Year,Garda Division,Type of Offence,VALUE,Population
2003,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",596.0,109139
2003,Cavan-Monaghan Garda Division,Burglary and related offences,480.0,109139
2003,Cavan-Monaghan Garda Division,Controlled drug offences,191.0,109139
2003,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,651.0,109139
2003,Cavan-Monaghan Garda Division,Dangerous or negligent acts,866.0,109139
2003,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",93.0,109139
2003,Cavan-Monaghan Garda Division,Homicide & related offences,2.0,109139
2003,Cavan-Monaghan Garda Division,Kidnapping and related offences,2.0,109139
2003,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",165.0,109139
2003,Cavan-Monaghan Garda Division,Offences not elsewhere classified,78.0,109139
2003,Cavan-Monaghan Garda Division,Public order and other social code offences,1215.0,109139
2003,Cavan-Monaghan Garda Division,Road and traffic offences,1140.0,109139
2003,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",12.0,109139
2003,Cavan-Monaghan Garda Division,Sexual offences,49.0,109139
2003,Cavan-Monaghan Garda Division,Theft and related offences,1100.0,109139
2003,Cavan-Monaghan Garda Division,Weapons and explosives offences,31.0,109139
2003,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",375.0,103277
2003,Clare Garda Division,Burglary and related offences,345.0,103277
2003,Clare Garda Division,Controlled drug offences,181.0,103277
2003,Clare Garda Division,Damage to property and to the environment  offences,700.0,103277
2003,Clare Garda Division,Dangerous or negligent acts,543.0,103277
2003,Clare Garda Division,"Fraud, deception and related offences",95.0,103277
2003,Clare Garda Division,Homicide & related offences,5.0,103277
2003,Clare Garda Division,Kidnapping and related offences,4.0,103277
2003,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",92.0,103277
2003,Clare Garda Division,Offences not elsewhere classified,43.0,103277
2003,Clare Garda Division,Public order and other social code offences,693.0,103277
2003,Clare Garda Division,Road and traffic offences,1027.0,103277
2003,Clare Garda Division,"Robbery, extortion and hijacking offences",15.0,103277
2003,Clare Garda Division,Sexual offences,45.0,103277
2003,Clare Garda Division,Theft and related offences,1079.0,103277
2003,Clare Garda Division,Weapons and explosives offences,41.0,103277
2003,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",867.0,447829
2003,Cork City Garda Division,Burglary and related offences,988.0,447829
2003,Cork City Garda Division,Controlled drug offences,575.0,447829
2003,Cork City Garda Division,Damage to property and to the environment  offences,2293.0,447829
2003,Cork City Garda Division,Dangerous or negligent acts,881.0,447829
2003,Cork City Garda Division,"Fraud, deception and related offences",208.0,447829
2003,Cork City Garda Division,Homicide & related offences,3.0,447829
2003,Cork City Garda Division,Kidnapping and related offences,5.0,447829
2003,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",427.0,447829
2003,Cork City Garda Division,Offences not elsewhere classified,104.0,447829
2003,Cork City Garda Division,Public order and other social code offences,3682.0,447829
2003,Cork City Garda Division,Road and traffic offences,2524.0,447829
2003,Cork City Garda Division,"Robbery, extortion and hijacking offences",173.0,447829
2003,Cork City Garda Division,Sexual offences,80.0,447829
2003,Cork City Garda Division,Theft and related offences,4438.0,447829
2003,Cork City Garda Division,Weapons and explosives offences,118.0,447829
2003,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",415.0,447829
2003,Cork North Garda Division,Burglary and related offences,446.0,447829
2003,Cork North Garda Division,Controlled drug offences,318.0,447829
2003,Cork North Garda Division,Damage to property and to the environment  offences,740.0,447829
2003,Cork North Garda Division,Dangerous or negligent acts,528.0,447829
2003,Cork North Garda Division,"Fraud, deception and related offences",86.0,447829
2003,Cork North Garda Division,Homicide & related offences,2.0,447829
2003,Cork North Garda Division,Kidnapping and related offences,7.0,447829
2003,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",82.0,447829
2003,Cork North Garda Division,Offences not elsewhere classified,69.0,447829
2003,Cork North Garda Division,Public order and other social code offences,1039.0,447829
2003,Cork North Garda Division,Road and traffic offences,658.0,447829
2003,Cork North Garda Division,"Robbery, extortion and hijacking offences",14.0,447829
2003,Cork North Garda Division,Sexual offences,40.0,447829
2003,Cork North Garda Division,Theft and related offences,1037.0,447829
2003,Cork North Garda Division,Weapons and explosives offences,20.0,447829
2003,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",337.0,447829
2003,Cork West Garda Division,Burglary and related offences,261.0,447829
2003,Cork West Garda Division,Controlled drug offences,306.0,447829
2003,Cork West Garda Division,Damage to property and to the environment  offences,434.0,447829
2003,Cork West Garda Division,Dangerous or negligent acts,433.0,447829
2003,Cork West Garda Division,"Fraud, deception and related offences",50.0,447829
2003,Cork West Garda Division,Homicide & related offences,1.0,447829
2003,Cork West Garda Division,Kidnapping and related offences,0.0,447829
2003,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",57.0,447829
2003,Cork West Garda Division,Offences not elsewhere classified,33.0,447829
2003,Cork West Garda Division,Public order and other social code offences,785.0,447829
2003,Cork West Garda Division,Road and traffic offences,602.0,447829
2003,Cork West Garda Division,"Robbery, extortion and hijacking offences",2.0,447829
2003,Cork West Garda Division,Sexual offences,25.0,447829
2003,Cork West Garda Division,Theft and related offences,713.0,447829
2003,Cork West Garda Division,Weapons and explosives offences,31.0,447829
2003,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",294.0,1122821
2003,D.M.R. Eastern Garda Division,Burglary and related offences,1706.0,1122821
2003,D.M.R. Eastern Garda Division,Controlled drug offences,350.0,1122821
2003,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1234.0,1122821
2003,D.M.R. Eastern Garda Division,Dangerous or negligent acts,346.0,1122821
2003,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",90.0,1122821
2003,D.M.R. Eastern Garda Division,Homicide & related offences,2.0,1122821
2003,D.M.R. Eastern Garda Division,Kidnapping and related offences,2.0,1122821
2003,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",159.0,1122821
2003,D.M.R. Eastern Garda Division,Offences not elsewhere classified,38.0,1122821
2003,D.M.R. Eastern Garda Division,Public order and other social code offences,1312.0,1122821
2003,D.M.R. Eastern Garda Division,Road and traffic offences,2021.0,1122821
2003,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",186.0,1122821
2003,D.M.R. Eastern Garda Division,Sexual offences,41.0,1122821
2003,D.M.R. Eastern Garda Division,Theft and related offences,3111.0,1122821
2003,D.M.R. Eastern Garda Division,Weapons and explosives offences,40.0,1122821
2003,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",579.0,1122821
2003,D.M.R. North Central Garda Division,Burglary and related offences,1119.0,1122821
2003,D.M.R. North Central Garda Division,Controlled drug offences,421.0,1122821
2003,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1940.0,1122821
2003,D.M.R. North Central Garda Division,Dangerous or negligent acts,549.0,1122821
2003,D.M.R. North Central Garda Division,"Fraud, deception and related offences",173.0,1122821
2003,D.M.R. North Central Garda Division,Homicide & related offences,9.0,1122821
2003,D.M.R. North Central Garda Division,Kidnapping and related offences,7.0,1122821
2003,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",1690.0,1122821
2003,D.M.R. North Central Garda Division,Offences not elsewhere classified,135.0,1122821
2003,D.M.R. North Central Garda Division,Public order and other social code offences,4324.0,1122821
2003,D.M.R. North Central Garda Division,Road and traffic offences,3923.0,1122821
2003,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",344.0,1122821
2003,D.M.R. North Central Garda Division,Sexual offences,76.0,1122821
2003,D.M.R. North Central Garda Division,Theft and related offences,8375.0,1122821
2003,D.M.R. North Central Garda Division,Weapons and explosives offences,181.0,1122821
2003,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",617.0,1122821
2003,D.M.R. Northern Garda Division,Burglary and related offences,2052.0,1122821
2003,D.M.R. Northern Garda Division,Controlled drug offences,631.0,1122821
2003,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,3021.0,1122821
2003,D.M.R. Northern Garda Division,Dangerous or negligent acts,1073.0,1122821
2003,D.M.R. Northern Garda Division,"Fraud, deception and related offences",570.0,1122821
2003,D.M.R. Northern Garda Division,Homicide & related offences,9.0,1122821
2003,D.M.R. Northern Garda Division,Kidnapping and related offences,6.0,1122821
2003,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",317.0,1122821
2003,D.M.R. Northern Garda Division,Offences not elsewhere classified,108.0,1122821
2003,D.M.R. Northern Garda Division,Public order and other social code offences,1946.0,1122821
2003,D.M.R. Northern Garda Division,Road and traffic offences,3402.0,1122821
2003,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",281.0,1122821
2003,D.M.R. Northern Garda Division,Sexual offences,96.0,1122821
2003,D.M.R. Northern Garda Division,Theft and related offences,5538.0,1122821
2003,D.M.R. Northern Garda Division,Weapons and explosives offences,134.0,1122821
2003,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",713.0,1122821
2003,D.M.R. South Central Garda Division,Burglary and related offences,2085.0,1122821
2003,D.M.R. South Central Garda Division,Controlled drug offences,496.0,1122821
2003,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,2005.0,1122821
2003,D.M.R. South Central Garda Division,Dangerous or negligent acts,660.0,1122821
2003,D.M.R. South Central Garda Division,"Fraud, deception and related offences",244.0,1122821
2003,D.M.R. South Central Garda Division,Homicide & related offences,4.0,1122821
2003,D.M.R. South Central Garda Division,Kidnapping and related offences,5.0,1122821
2003,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",483.0,1122821
2003,D.M.R. South Central Garda Division,Offences not elsewhere classified,126.0,1122821
2003,D.M.R. South Central Garda Division,Public order and other social code offences,4023.0,1122821
2003,D.M.R. South Central Garda Division,Road and traffic offences,3930.0,1122821
2003,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",532.0,1122821
2003,D.M.R. South Central Garda Division,Sexual offences,52.0,1122821
2003,D.M.R. South Central Garda Division,Theft and related offences,8785.0,1122821
2003,D.M.R. South Central Garda Division,Weapons and explosives offences,181.0,1122821
2003,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",756.0,1122821
2003,D.M.R. Southern Garda Division,Burglary and related offences,2114.0,1122821
2003,D.M.R. Southern Garda Division,Controlled drug offences,717.0,1122821
2003,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,2723.0,1122821
2003,D.M.R. Southern Garda Division,Dangerous or negligent acts,899.0,1122821
2003,D.M.R. Southern Garda Division,"Fraud, deception and related offences",132.0,1122821
2003,D.M.R. Southern Garda Division,Homicide & related offences,4.0,1122821
2003,D.M.R. Southern Garda Division,Kidnapping and related offences,5.0,1122821
2003,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",563.0,1122821
2003,D.M.R. Southern Garda Division,Offences not elsewhere classified,64.0,1122821
2003,D.M.R. Southern Garda Division,Public order and other social code offences,1952.0,1122821
2003,D.M.R. Southern Garda Division,Road and traffic offences,4764.0,1122821
2003,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",317.0,1122821
2003,D.M.R. Southern Garda Division,Sexual offences,139.0,1122821
2003,D.M.R. Southern Garda Division,Theft and related offences,5127.0,1122821
2003,D.M.R. Southern Garda Division,Weapons and explosives offences,160.0,1122821
2003,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",727.0,1122821
2003,D.M.R. Western Garda Division,Burglary and related offences,1976.0,1122821
2003,D.M.R. Western Garda Division,Controlled drug offences,444.0,1122821
2003,D.M.R. Western Garda Division,Damage to property and to the environment  offences,3124.0,1122821
2003,D.M.R. Western Garda Division,Dangerous or negligent acts,1095.0,1122821
2003,D.M.R. Western Garda Division,"Fraud, deception and related offences",180.0,1122821
2003,D.M.R. Western Garda Division,Homicide & related offences,8.0,1122821
2003,D.M.R. Western Garda Division,Kidnapping and related offences,10.0,1122821
2003,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",494.0,1122821
2003,D.M.R. Western Garda Division,Offences not elsewhere classified,67.0,1122821
2003,D.M.R. Western Garda Division,Public order and other social code offences,1861.0,1122821
2003,D.M.R. Western Garda Division,Road and traffic offences,3931.0,1122821
2003,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",397.0,1122821
2003,D.M.R. Western Garda Division,Sexual offences,110.0,1122821
2003,D.M.R. Western Garda Division,Theft and related offences,6298.0,1122821
2003,D.M.R. Western Garda Division,Weapons and explosives offences,228.0,1122821
2003,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",761.0,137575
2003,Donegal Garda Division,Burglary and related offences,565.0,137575
2003,Donegal Garda Division,Controlled drug offences,309.0,137575
2003,Donegal Garda Division,Damage to property and to the environment  offences,1200.0,137575
2003,Donegal Garda Division,Dangerous or negligent acts,944.0,137575
2003,Donegal Garda Division,"Fraud, deception and related offences",142.0,137575
2003,Donegal Garda Division,Homicide & related offences,3.0,137575
2003,Donegal Garda Division,Kidnapping and related offences,2.0,137575
2003,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",89.0,137575
2003,Donegal Garda Division,Offences not elsewhere classified,49.0,137575
2003,Donegal Garda Division,Public order and other social code offences,2142.0,137575
2003,Donegal Garda Division,Road and traffic offences,1079.0,137575
2003,Donegal Garda Division,"Robbery, extortion and hijacking offences",17.0,137575
2003,Donegal Garda Division,Sexual offences,91.0,137575
2003,Donegal Garda Division,Theft and related offences,1317.0,137575
2003,Donegal Garda Division,Weapons and explosives offences,33.0,137575
2003,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",619.0,209077
2003,Galway Garda Division,Burglary and related offences,977.0,209077
2003,Galway Garda Division,Controlled drug offences,341.0,209077
2003,Galway Garda Division,Damage to property and to the environment  offences,1227.0,209077
2003,Galway Garda Division,Dangerous or negligent acts,1105.0,209077
2003,Galway Garda Division,"Fraud, deception and related offences",129.0,209077
2003,Galway Garda Division,Homicide & related offences,3.0,209077
2003,Galway Garda Division,Kidnapping and related offences,3.0,209077
2003,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",185.0,209077
2003,Galway Garda Division,Offences not elsewhere classified,95.0,209077
2003,Galway Garda Division,Public order and other social code offences,1993.0,209077
2003,Galway Garda Division,Road and traffic offences,1347.0,209077
2003,Galway Garda Division,"Robbery, extortion and hijacking offences",56.0,209077
2003,Galway Garda Division,Sexual offences,70.0,209077
2003,Galway Garda Division,Theft and related offences,2707.0,209077
2003,Galway Garda Division,Weapons and explosives offences,60.0,209077
2003,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",385.0,132527
2003,Kerry Garda Division,Burglary and related offences,307.0,132527
2003,Kerry Garda Division,Controlled drug offences,197.0,132527
2003,Kerry Garda Division,Damage to property and to the environment  offences,529.0,132527
2003,Kerry Garda Division,Dangerous or negligent acts,749.0,132527
2003,Kerry Garda Division,"Fraud, deception and related offences",56.0,132527
2003,Kerry Garda Division,Homicide & related offences,1.0,132527
2003,Kerry Garda Division,Kidnapping and related offences,0.0,132527
2003,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",154.0,132527
2003,Kerry Garda Division,Offences not elsewhere classified,32.0,132527
2003,Kerry Garda Division,Public order and other social code offences,1786.0,132527
2003,Kerry Garda Division,Road and traffic offences,1581.0,132527
2003,Kerry Garda Division,"Robbery, extortion and hijacking offences",21.0,132527
2003,Kerry Garda Division,Sexual offences,48.0,132527
2003,Kerry Garda Division,Theft and related offences,1186.0,132527
2003,Kerry Garda Division,Weapons and explosives offences,22.0,132527
2003,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",552.0,163944
2003,Kildare Garda Division,Burglary and related offences,1239.0,163944
2003,Kildare Garda Division,Controlled drug offences,541.0,163944
2003,Kildare Garda Division,Damage to property and to the environment  offences,1097.0,163944
2003,Kildare Garda Division,Dangerous or negligent acts,986.0,163944
2003,Kildare Garda Division,"Fraud, deception and related offences",157.0,163944
2003,Kildare Garda Division,Homicide & related offences,0.0,163944
2003,Kildare Garda Division,Kidnapping and related offences,3.0,163944
2003,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",156.0,163944
2003,Kildare Garda Division,Offences not elsewhere classified,55.0,163944
2003,Kildare Garda Division,Public order and other social code offences,1798.0,163944
2003,Kildare Garda Division,Road and traffic offences,1687.0,163944
2003,Kildare Garda Division,"Robbery, extortion and hijacking offences",76.0,163944
2003,Kildare Garda Division,Sexual offences,54.0,163944
2003,Kildare Garda Division,Theft and related offences,2332.0,163944
2003,Kildare Garda Division,Weapons and explosives offences,48.0,163944
2003,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",356.0,126353
2003,Kilkenny-Carlow Garda Division,Burglary and related offences,771.0,126353
2003,Kilkenny-Carlow Garda Division,Controlled drug offences,420.0,126353
2003,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,490.0,126353
2003,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,660.0,126353
2003,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",140.0,126353
2003,Kilkenny-Carlow Garda Division,Homicide & related offences,1.0,126353
