Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",128.0
2003Q1,Cavan-Monaghan Garda Division,Burglary and related offences,136.0
2003Q1,Cavan-Monaghan Garda Division,Controlled drug offences,26.0
2003Q1,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,145.0
2003Q1,Cavan-Monaghan Garda Division,Dangerous or negligent acts,160.0
2003Q1,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",33.0
2003Q1,Cavan-Monaghan Garda Division,Homicide & related offences,1.0
2003Q1,Cavan-Monaghan Garda Division,Kidnapping and related offences,1.0
2003Q1,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",32.0
2003Q1,Cavan-Monaghan Garda Division,Offences not elsewhere classified,19.0
2003Q1,Cavan-Monaghan Garda Division,Public order and other social code offences,243.0
2003Q1,Cavan-Monaghan Garda Division,Road and traffic offences,242.0
2003Q1,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q1,Cavan-Monaghan Garda Division,Sexual offences,24.0
2003Q1,Cavan-Monaghan Garda Division,Theft and related offences,248.0
2003Q1,Cavan-Monaghan Garda Division,Weapons and explosives offences,6.0
2003Q1,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",95.0
2003Q1,Clare Garda Division,Burglary and related offences,70.0
2003Q1,Clare Garda Division,Controlled drug offences,42.0
2003Q1,Clare Garda Division,Damage to property and to the environment  offences,158.0
2003Q1,Clare Garda Division,Dangerous or negligent acts,102.0
2003Q1,Clare Garda Division,"Fraud, deception and related offences",8.0
2003Q1,Clare Garda Division,Homicide & related offences,1.0
2003Q1,Clare Garda Division,Kidnapping and related offences,2.0
2003Q1,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2003Q1,Clare Garda Division,Offences not elsewhere classified,15.0
2003Q1,Clare Garda Division,Public order and other social code offences,106.0
2003Q1,Clare Garda Division,Road and traffic offences,210.0
2003Q1,Clare Garda Division,"Robbery, extortion and hijacking offences",7.0
2003Q1,Clare Garda Division,Sexual offences,16.0
2003Q1,Clare Garda Division,Theft and related offences,251.0
2003Q1,Clare Garda Division,Weapons and explosives offences,7.0
2003Q1,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",226.0
2003Q1,Cork City Garda Division,Burglary and related offences,297.0
2003Q1,Cork City Garda Division,Controlled drug offences,105.0
2003Q1,Cork City Garda Division,Damage to property and to the environment  offences,534.0
2003Q1,Cork City Garda Division,Dangerous or negligent acts,227.0
2003Q1,Cork City Garda Division,"Fraud, deception and related offences",98.0
2003Q1,Cork City Garda Division,Homicide & related offences,2.0
2003Q1,Cork City Garda Division,Kidnapping and related offences,1.0
2003Q1,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",108.0
2003Q1,Cork City Garda Division,Offences not elsewhere classified,52.0
2003Q1,Cork City Garda Division,Public order and other social code offences,827.0
2003Q1,Cork City Garda Division,Road and traffic offences,551.0
2003Q1,Cork City Garda Division,"Robbery, extortion and hijacking offences",65.0
2003Q1,Cork City Garda Division,Sexual offences,26.0
2003Q1,Cork City Garda Division,Theft and related offences,1251.0
2003Q1,Cork City Garda Division,Weapons and explosives offences,37.0
2003Q1,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",114.0
2003Q1,Cork North Garda Division,Burglary and related offences,109.0
2003Q1,Cork North Garda Division,Controlled drug offences,77.0
2003Q1,Cork North Garda Division,Damage to property and to the environment  offences,166.0
2003Q1,Cork North Garda Division,Dangerous or negligent acts,91.0
2003Q1,Cork North Garda Division,"Fraud, deception and related offences",25.0
2003Q1,Cork North Garda Division,Homicide & related offences,1.0
2003Q1,Cork North Garda Division,Kidnapping and related offences,4.0
2003Q1,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",15.0
2003Q1,Cork North Garda Division,Offences not elsewhere classified,16.0
2003Q1,Cork North Garda Division,Public order and other social code offences,184.0
2003Q1,Cork North Garda Division,Road and traffic offences,112.0
2003Q1,Cork North Garda Division,"Robbery, extortion and hijacking offences",4.0
2003Q1,Cork North Garda Division,Sexual offences,11.0
2003Q1,Cork North Garda Division,Theft and related offences,264.0
2003Q1,Cork North Garda Division,Weapons and explosives offences,3.0
2003Q1,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",87.0
2003Q1,Cork West Garda Division,Burglary and related offences,80.0
2003Q1,Cork West Garda Division,Controlled drug offences,53.0
2003Q1,Cork West Garda Division,Damage to property and to the environment  offences,97.0
2003Q1,Cork West Garda Division,Dangerous or negligent acts,76.0
2003Q1,Cork West Garda Division,"Fraud, deception and related offences",31.0
2003Q1,Cork West Garda Division,Homicide & related offences,0.0
2003Q1,Cork West Garda Division,Kidnapping and related offences,0.0
2003Q1,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",15.0
2003Q1,Cork West Garda Division,Offences not elsewhere classified,9.0
2003Q1,Cork West Garda Division,Public order and other social code offences,171.0
2003Q1,Cork West Garda Division,Road and traffic offences,120.0
2003Q1,Cork West Garda Division,"Robbery, extortion and hijacking offences",0.0
2003Q1,Cork West Garda Division,Sexual offences,13.0
2003Q1,Cork West Garda Division,Theft and related offences,165.0
2003Q1,Cork West Garda Division,Weapons and explosives offences,4.0
2003Q1,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",90.0
2003Q1,D.M.R. Eastern Garda Division,Burglary and related offences,530.0
2003Q1,D.M.R. Eastern Garda Division,Controlled drug offences,78.0
2003Q1,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,341.0
2003Q1,D.M.R. Eastern Garda Division,Dangerous or negligent acts,87.0
2003Q1,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",21.0
2003Q1,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2003Q1,D.M.R. Eastern Garda Division,Kidnapping and related offences,1.0
2003Q1,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2003Q1,D.M.R. Eastern Garda Division,Offences not elsewhere classified,9.0
2003Q1,D.M.R. Eastern Garda Division,Public order and other social code offences,348.0
2003Q1,D.M.R. Eastern Garda Division,Road and traffic offences,501.0
2003Q1,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",51.0
2003Q1,D.M.R. Eastern Garda Division,Sexual offences,15.0
2003Q1,D.M.R. Eastern Garda Division,Theft and related offences,746.0
2003Q1,D.M.R. Eastern Garda Division,Weapons and explosives offences,9.0
2003Q1,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",175.0
2003Q1,D.M.R. North Central Garda Division,Burglary and related offences,290.0
2003Q1,D.M.R. North Central Garda Division,Controlled drug offences,71.0
2003Q1,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,552.0
2003Q1,D.M.R. North Central Garda Division,Dangerous or negligent acts,122.0
2003Q1,D.M.R. North Central Garda Division,"Fraud, deception and related offences",55.0
2003Q1,D.M.R. North Central Garda Division,Homicide & related offences,4.0
2003Q1,D.M.R. North Central Garda Division,Kidnapping and related offences,3.0
2003Q1,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",455.0
2003Q1,D.M.R. North Central Garda Division,Offences not elsewhere classified,38.0
2003Q1,D.M.R. North Central Garda Division,Public order and other social code offences,819.0
2003Q1,D.M.R. North Central Garda Division,Road and traffic offences,752.0
2003Q1,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",105.0
2003Q1,D.M.R. North Central Garda Division,Sexual offences,37.0
2003Q1,D.M.R. North Central Garda Division,Theft and related offences,2068.0
2003Q1,D.M.R. North Central Garda Division,Weapons and explosives offences,49.0
2003Q1,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",166.0
2003Q1,D.M.R. Northern Garda Division,Burglary and related offences,597.0
2003Q1,D.M.R. Northern Garda Division,Controlled drug offences,136.0
2003Q1,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,734.0
2003Q1,D.M.R. Northern Garda Division,Dangerous or negligent acts,217.0
2003Q1,D.M.R. Northern Garda Division,"Fraud, deception and related offences",81.0
2003Q1,D.M.R. Northern Garda Division,Homicide & related offences,0.0
2003Q1,D.M.R. Northern Garda Division,Kidnapping and related offences,4.0
2003Q1,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",79.0
2003Q1,D.M.R. Northern Garda Division,Offences not elsewhere classified,16.0
2003Q1,D.M.R. Northern Garda Division,Public order and other social code offences,417.0
2003Q1,D.M.R. Northern Garda Division,Road and traffic offences,725.0
2003Q1,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",83.0
2003Q1,D.M.R. Northern Garda Division,Sexual offences,34.0
2003Q1,D.M.R. Northern Garda Division,Theft and related offences,1385.0
2003Q1,D.M.R. Northern Garda Division,Weapons and explosives offences,25.0
2003Q1,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",198.0
2003Q1,D.M.R. South Central Garda Division,Burglary and related offences,574.0
2003Q1,D.M.R. South Central Garda Division,Controlled drug offences,94.0
2003Q1,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,571.0
2003Q1,D.M.R. South Central Garda Division,Dangerous or negligent acts,165.0
2003Q1,D.M.R. South Central Garda Division,"Fraud, deception and related offences",101.0
2003Q1,D.M.R. South Central Garda Division,Homicide & related offences,2.0
2003Q1,D.M.R. South Central Garda Division,Kidnapping and related offences,0.0
2003Q1,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",95.0
2003Q1,D.M.R. South Central Garda Division,Offences not elsewhere classified,26.0
2003Q1,D.M.R. South Central Garda Division,Public order and other social code offences,762.0
2003Q1,D.M.R. South Central Garda Division,Road and traffic offences,913.0
2003Q1,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",155.0
2003Q1,D.M.R. South Central Garda Division,Sexual offences,13.0
2003Q1,D.M.R. South Central Garda Division,Theft and related offences,2268.0
2003Q1,D.M.R. South Central Garda Division,Weapons and explosives offences,55.0
2003Q1,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",229.0
2003Q1,D.M.R. Southern Garda Division,Burglary and related offences,523.0
2003Q1,D.M.R. Southern Garda Division,Controlled drug offences,156.0
2003Q1,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,727.0
2003Q1,D.M.R. Southern Garda Division,Dangerous or negligent acts,189.0
2003Q1,D.M.R. Southern Garda Division,"Fraud, deception and related offences",41.0
2003Q1,D.M.R. Southern Garda Division,Homicide & related offences,0.0
2003Q1,D.M.R. Southern Garda Division,Kidnapping and related offences,2.0
2003Q1,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",199.0
2003Q1,D.M.R. Southern Garda Division,Offences not elsewhere classified,10.0
2003Q1,D.M.R. Southern Garda Division,Public order and other social code offences,488.0
2003Q1,D.M.R. Southern Garda Division,Road and traffic offences,1019.0
2003Q1,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",101.0
2003Q1,D.M.R. Southern Garda Division,Sexual offences,38.0
2003Q1,D.M.R. Southern Garda Division,Theft and related offences,1215.0
2003Q1,D.M.R. Southern Garda Division,Weapons and explosives offences,40.0
2003Q1,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",214.0
2003Q1,D.M.R. Western Garda Division,Burglary and related offences,460.0
2003Q1,D.M.R. Western Garda Division,Controlled drug offences,94.0
2003Q1,D.M.R. Western Garda Division,Damage to property and to the environment  offences,813.0
2003Q1,D.M.R. Western Garda Division,Dangerous or negligent acts,259.0
2003Q1,D.M.R. Western Garda Division,"Fraud, deception and related offences",88.0
2003Q1,D.M.R. Western Garda Division,Homicide & related offences,1.0
2003Q1,D.M.R. Western Garda Division,Kidnapping and related offences,6.0
2003Q1,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",139.0
2003Q1,D.M.R. Western Garda Division,Offences not elsewhere classified,17.0
2003Q1,D.M.R. Western Garda Division,Public order and other social code offences,466.0
2003Q1,D.M.R. Western Garda Division,Road and traffic offences,919.0
2003Q1,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",91.0
2003Q1,D.M.R. Western Garda Division,Sexual offences,37.0
2003Q1,D.M.R. Western Garda Division,Theft and related offences,1498.0
