Year,Garda Division,Type of Offence,VALUE
2003,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",596.0
2003,Cavan-Monaghan Garda Division,Burglary and related offences,480.0
2003,Cavan-Monaghan Garda Division,Controlled drug offences,191.0
2003,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,651.0
2003,Cavan-Monaghan Garda Division,Dangerous or negligent acts,866.0
2003,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",93.0
2003,Cavan-Monaghan Garda Division,Homicide & related offences,2.0
2003,Cavan-Monaghan Garda Division,Kidnapping and related offences,2.0
2003,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",165.0
2003,Cavan-Monaghan Garda Division,Offences not elsewhere classified,78.0
2003,Cavan-Monaghan Garda Division,Public order and other social code offences,1215.0
2003,Cavan-Monaghan Garda Division,Road and traffic offences,1140.0
2003,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",12.0
2003,Cavan-Monaghan Garda Division,Sexual offences,49.0
2003,Cavan-Monaghan Garda Division,Theft and related offences,1100.0
2003,Cavan-Monaghan Garda Division,Weapons and explosives offences,31.0
2004,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",630.0
2004,Cavan-Monaghan Garda Division,Burglary and related offences,393.0
2004,Cavan-Monaghan Garda Division,Controlled drug offences,186.0
2004,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,693.0
2004,Cavan-Monaghan Garda Division,Dangerous or negligent acts,1063.0
2004,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",126.0
2004,Cavan-Monaghan Garda Division,Homicide & related offences,6.0
2004,Cavan-Monaghan Garda Division,Kidnapping and related offences,5.0
2004,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",190.0
2004,Cavan-Monaghan Garda Division,Offences not elsewhere classified,60.0
2004,Cavan-Monaghan Garda Division,Public order and other social code offences,1661.0
2004,Cavan-Monaghan Garda Division,Road and traffic offences,1297.0
2004,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",14.0
2004,Cavan-Monaghan Garda Division,Sexual offences,38.0
2004,Cavan-Monaghan Garda Division,Theft and related offences,978.0
2004,Cavan-Monaghan Garda Division,Weapons and explosives offences,25.0
2005,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",676.0
2005,Cavan-Monaghan Garda Division,Burglary and related offences,481.0
2005,Cavan-Monaghan Garda Division,Controlled drug offences,256.0
2005,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,734.0
2005,Cavan-Monaghan Garda Division,Dangerous or negligent acts,1238.0
2005,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",123.0
2005,Cavan-Monaghan Garda Division,Homicide & related offences,5.0
2005,Cavan-Monaghan Garda Division,Kidnapping and related offences,2.0
2005,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",149.0
2005,Cavan-Monaghan Garda Division,Offences not elsewhere classified,46.0
2005,Cavan-Monaghan Garda Division,Public order and other social code offences,1836.0
2005,Cavan-Monaghan Garda Division,Road and traffic offences,1436.0
2005,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",8.0
2005,Cavan-Monaghan Garda Division,Sexual offences,48.0
2005,Cavan-Monaghan Garda Division,Theft and related offences,1108.0
2005,Cavan-Monaghan Garda Division,Weapons and explosives offences,36.0
2006,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",721.0
2006,Cavan-Monaghan Garda Division,Burglary and related offences,386.0
2006,Cavan-Monaghan Garda Division,Controlled drug offences,294.0
2006,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,806.0
2006,Cavan-Monaghan Garda Division,Dangerous or negligent acts,2968.0
2006,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",130.0
2006,Cavan-Monaghan Garda Division,Homicide & related offences,3.0
2006,Cavan-Monaghan Garda Division,Kidnapping and related offences,1.0
2006,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",189.0
2006,Cavan-Monaghan Garda Division,Offences not elsewhere classified,112.0
2006,Cavan-Monaghan Garda Division,Public order and other social code offences,1867.0
2006,Cavan-Monaghan Garda Division,Road and traffic offences,3184.0
2006,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",8.0
2006,Cavan-Monaghan Garda Division,Sexual offences,41.0
2006,Cavan-Monaghan Garda Division,Theft and related offences,1072.0
2006,Cavan-Monaghan Garda Division,Weapons and explosives offences,57.0
2007,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",814.0
2007,Cavan-Monaghan Garda Division,Burglary and related offences,447.0
2007,Cavan-Monaghan Garda Division,Controlled drug offences,329.0
2007,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,905.0
2007,Cavan-Monaghan Garda Division,Dangerous or negligent acts,2478.0
2007,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",158.0
2007,Cavan-Monaghan Garda Division,Homicide & related offences,1.0
2007,Cavan-Monaghan Garda Division,Kidnapping and related offences,0.0
2007,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",155.0
2007,Cavan-Monaghan Garda Division,Offences not elsewhere classified,136.0
2007,Cavan-Monaghan Garda Division,Public order and other social code offences,1973.0
2007,Cavan-Monaghan Garda Division,Road and traffic offences,2980.0
2007,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",27.0
2007,Cavan-Monaghan Garda Division,Sexual offences,33.0
2007,Cavan-Monaghan Garda Division,Theft and related offences,1160.0
2007,Cavan-Monaghan Garda Division,Weapons and explosives offences,64.0
2008,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",764.0
2008,Cavan-Monaghan Garda Division,Burglary and related offences,369.0
2008,Cavan-Monaghan Garda Division,Controlled drug offences,329.0
2008,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,809.0
2008,Cavan-Monaghan Garda Division,Dangerous or negligent acts,2128.0
2008,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",194.0
2008,Cavan-Monaghan Garda Division,Homicide & related offences,3.0
2008,Cavan-Monaghan Garda Division,Kidnapping and related offences,2.0
2008,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",174.0
2008,Cavan-Monaghan Garda Division,Offences not elsewhere classified,153.0
2008,Cavan-Monaghan Garda Division,Public order and other social code offences,1755.0
2008,Cavan-Monaghan Garda Division,Road and traffic offences,3364.0
2008,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",13.0
2008,Cavan-Monaghan Garda Division,Sexual offences,39.0
2008,Cavan-Monaghan Garda Division,Theft and related offences,1267.0
2008,Cavan-Monaghan Garda Division,Weapons and explosives offences,41.0
2009,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",679.0
2009,Cavan-Monaghan Garda Division,Burglary and related offences,489.0
2009,Cavan-Monaghan Garda Division,Controlled drug offences,233.0
