Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",128.0
2003Q1,Cavan-Monaghan Garda Division,Burglary and related offences,136.0
2003Q1,Cavan-Monaghan Garda Division,Controlled drug offences,26.0
2003Q1,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,145.0
2003Q1,Cavan-Monaghan Garda Division,Dangerous or negligent acts,160.0
2003Q1,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",33.0
2003Q1,Cavan-Monaghan Garda Division,Homicide & related offences,1.0
2003Q1,Cavan-Monaghan Garda Division,Kidnapping and related offences,1.0
2003Q1,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",32.0
2003Q1,Cavan-Monaghan Garda Division,Offences not elsewhere classified,19.0
2003Q1,Cavan-Monaghan Garda Division,Public order and other social code offences,243.0
2003Q1,Cavan-Monaghan Garda Division,Road and traffic offences,242.0
2003Q1,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q1,Cavan-Monaghan Garda Division,Sexual offences,24.0
2003Q1,Cavan-Monaghan Garda Division,Theft and related offences,248.0
2003Q1,Cavan-Monaghan Garda Division,Weapons and explosives offences,6.0
2003Q2,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",131.0
2003Q2,Cavan-Monaghan Garda Division,Burglary and related offences,119.0
2003Q2,Cavan-Monaghan Garda Division,Controlled drug offences,24.0
2003Q2,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,170.0
2003Q2,Cavan-Monaghan Garda Division,Dangerous or negligent acts,243.0
2003Q2,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",20.0
2003Q2,Cavan-Monaghan Garda Division,Homicide & related offences,0.0
2003Q2,Cavan-Monaghan Garda Division,Kidnapping and related offences,0.0
2003Q2,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",37.0
2003Q2,Cavan-Monaghan Garda Division,Offences not elsewhere classified,17.0
2003Q2,Cavan-Monaghan Garda Division,Public order and other social code offences,319.0
2003Q2,Cavan-Monaghan Garda Division,Road and traffic offences,316.0
2003Q2,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",4.0
2003Q2,Cavan-Monaghan Garda Division,Sexual offences,15.0
2003Q2,Cavan-Monaghan Garda Division,Theft and related offences,294.0
2003Q2,Cavan-Monaghan Garda Division,Weapons and explosives offences,10.0
2003Q3,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",180.0
2003Q3,Cavan-Monaghan Garda Division,Burglary and related offences,111.0
2003Q3,Cavan-Monaghan Garda Division,Controlled drug offences,34.0
2003Q3,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,144.0
2003Q3,Cavan-Monaghan Garda Division,Dangerous or negligent acts,206.0
2003Q3,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",12.0
2003Q3,Cavan-Monaghan Garda Division,Homicide & related offences,1.0
2003Q3,Cavan-Monaghan Garda Division,Kidnapping and related offences,1.0
2003Q3,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2003Q3,Cavan-Monaghan Garda Division,Offences not elsewhere classified,18.0
2003Q3,Cavan-Monaghan Garda Division,Public order and other social code offences,289.0
2003Q3,Cavan-Monaghan Garda Division,Road and traffic offences,270.0
2003Q3,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q3,Cavan-Monaghan Garda Division,Sexual offences,5.0
2003Q3,Cavan-Monaghan Garda Division,Theft and related offences,313.0
2003Q3,Cavan-Monaghan Garda Division,Weapons and explosives offences,6.0
2003Q4,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",157.0
2003Q4,Cavan-Monaghan Garda Division,Burglary and related offences,114.0
2003Q4,Cavan-Monaghan Garda Division,Controlled drug offences,107.0
2003Q4,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,192.0
2003Q4,Cavan-Monaghan Garda Division,Dangerous or negligent acts,257.0
2003Q4,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",28.0
2003Q4,Cavan-Monaghan Garda Division,Homicide & related offences,0.0
2003Q4,Cavan-Monaghan Garda Division,Kidnapping and related offences,0.0
2003Q4,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",56.0
2003Q4,Cavan-Monaghan Garda Division,Offences not elsewhere classified,24.0
2003Q4,Cavan-Monaghan Garda Division,Public order and other social code offences,364.0
2003Q4,Cavan-Monaghan Garda Division,Road and traffic offences,312.0
2003Q4,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",4.0
2003Q4,Cavan-Monaghan Garda Division,Sexual offences,5.0
2003Q4,Cavan-Monaghan Garda Division,Theft and related offences,245.0
2003Q4,Cavan-Monaghan Garda Division,Weapons and explosives offences,9.0
2004Q1,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",152.0
2004Q1,Cavan-Monaghan Garda Division,Burglary and related offences,86.0
2004Q1,Cavan-Monaghan Garda Division,Controlled drug offences,39.0
2004Q1,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,168.0
2004Q1,Cavan-Monaghan Garda Division,Dangerous or negligent acts,253.0
2004Q1,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",32.0
2004Q1,Cavan-Monaghan Garda Division,Homicide & related offences,0.0
2004Q1,Cavan-Monaghan Garda Division,Kidnapping and related offences,0.0
2004Q1,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",69.0
2004Q1,Cavan-Monaghan Garda Division,Offences not elsewhere classified,19.0
2004Q1,Cavan-Monaghan Garda Division,Public order and other social code offences,301.0
2004Q1,Cavan-Monaghan Garda Division,Road and traffic offences,292.0
2004Q1,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q1,Cavan-Monaghan Garda Division,Sexual offences,14.0
2004Q1,Cavan-Monaghan Garda Division,Theft and related offences,269.0
2004Q1,Cavan-Monaghan Garda Division,Weapons and explosives offences,4.0
2004Q2,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",169.0
2004Q2,Cavan-Monaghan Garda Division,Burglary and related offences,125.0
2004Q2,Cavan-Monaghan Garda Division,Controlled drug offences,27.0
2004Q2,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,172.0
2004Q2,Cavan-Monaghan Garda Division,Dangerous or negligent acts,274.0
2004Q2,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",34.0
2004Q2,Cavan-Monaghan Garda Division,Homicide & related offences,0.0
2004Q2,Cavan-Monaghan Garda Division,Kidnapping and related offences,1.0
2004Q2,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2004Q2,Cavan-Monaghan Garda Division,Offences not elsewhere classified,20.0
2004Q2,Cavan-Monaghan Garda Division,Public order and other social code offences,375.0
2004Q2,Cavan-Monaghan Garda Division,Road and traffic offences,342.0
2004Q2,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",1.0
2004Q2,Cavan-Monaghan Garda Division,Sexual offences,13.0
2004Q2,Cavan-Monaghan Garda Division,Theft and related offences,256.0
2004Q2,Cavan-Monaghan Garda Division,Weapons and explosives offences,5.0
2004Q3,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",139.0
2004Q3,Cavan-Monaghan Garda Division,Burglary and related offences,96.0
2004Q3,Cavan-Monaghan Garda Division,Controlled drug offences,49.0
2004Q3,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,166.0
2004Q3,Cavan-Monaghan Garda Division,Dangerous or negligent acts,280.0
2004Q3,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",30.0
2004Q3,Cavan-Monaghan Garda Division,Homicide & related offences,3.0
2004Q3,Cavan-Monaghan Garda Division,Kidnapping and related offences,2.0
2004Q3,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",47.0
2004Q3,Cavan-Monaghan Garda Division,Offences not elsewhere classified,6.0
2004Q3,Cavan-Monaghan Garda Division,Public order and other social code offences,436.0
2004Q3,Cavan-Monaghan Garda Division,Road and traffic offences,305.0
2004Q3,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",7.0
2004Q3,Cavan-Monaghan Garda Division,Sexual offences,6.0
2004Q3,Cavan-Monaghan Garda Division,Theft and related offences,213.0
2004Q3,Cavan-Monaghan Garda Division,Weapons and explosives offences,6.0
2004Q4,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",170.0
2004Q4,Cavan-Monaghan Garda Division,Burglary and related offences,86.0
2004Q4,Cavan-Monaghan Garda Division,Controlled drug offences,71.0
2004Q4,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,187.0
2004Q4,Cavan-Monaghan Garda Division,Dangerous or negligent acts,256.0
2004Q4,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",30.0
2004Q4,Cavan-Monaghan Garda Division,Homicide & related offences,3.0
2004Q4,Cavan-Monaghan Garda Division,Kidnapping and related offences,2.0
2004Q4,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",39.0
2004Q4,Cavan-Monaghan Garda Division,Offences not elsewhere classified,15.0
2004Q4,Cavan-Monaghan Garda Division,Public order and other social code offences,549.0
2004Q4,Cavan-Monaghan Garda Division,Road and traffic offences,358.0
2004Q4,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q4,Cavan-Monaghan Garda Division,Sexual offences,5.0
2004Q4,Cavan-Monaghan Garda Division,Theft and related offences,240.0
2004Q4,Cavan-Monaghan Garda Division,Weapons and explosives offences,10.0
2005Q1,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",158.0
2005Q1,Cavan-Monaghan Garda Division,Burglary and related offences,100.0
2005Q1,Cavan-Monaghan Garda Division,Controlled drug offences,78.0
2005Q1,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,144.0
2005Q1,Cavan-Monaghan Garda Division,Dangerous or negligent acts,246.0
2005Q1,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",33.0
2005Q1,Cavan-Monaghan Garda Division,Homicide & related offences,1.0
2005Q1,Cavan-Monaghan Garda Division,Kidnapping and related offences,0.0
2005Q1,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2005Q1,Cavan-Monaghan Garda Division,Offences not elsewhere classified,10.0
2005Q1,Cavan-Monaghan Garda Division,Public order and other social code offences,469.0
2005Q1,Cavan-Monaghan Garda Division,Road and traffic offences,348.0
2005Q1,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",0.0
2005Q1,Cavan-Monaghan Garda Division,Sexual offences,12.0
2005Q1,Cavan-Monaghan Garda Division,Theft and related offences,273.0
2005Q1,Cavan-Monaghan Garda Division,Weapons and explosives offences,9.0
2005Q2,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",155.0
2005Q2,Cavan-Monaghan Garda Division,Burglary and related offences,111.0
2005Q2,Cavan-Monaghan Garda Division,Controlled drug offences,60.0
2005Q2,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,159.0
2005Q2,Cavan-Monaghan Garda Division,Dangerous or negligent acts,293.0
2005Q2,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",27.0
2005Q2,Cavan-Monaghan Garda Division,Homicide & related offences,1.0
2005Q2,Cavan-Monaghan Garda Division,Kidnapping and related offences,2.0
2005Q2,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",45.0
2005Q2,Cavan-Monaghan Garda Division,Offences not elsewhere classified,13.0
2005Q2,Cavan-Monaghan Garda Division,Public order and other social code offences,446.0
2005Q2,Cavan-Monaghan Garda Division,Road and traffic offences,363.0
2005Q2,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",5.0
2005Q2,Cavan-Monaghan Garda Division,Sexual offences,11.0
2005Q2,Cavan-Monaghan Garda Division,Theft and related offences,250.0
2005Q2,Cavan-Monaghan Garda Division,Weapons and explosives offences,9.0
2005Q3,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",174.0
2005Q3,Cavan-Monaghan Garda Division,Burglary and related offences,126.0
