Year,Garda Division,Type of Offence,VALUE
2003,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",375.0
2003,Clare Garda Division,Burglary and related offences,345.0
2003,Clare Garda Division,Controlled drug offences,181.0
2003,Clare Garda Division,Damage to property and to the environment  offences,700.0
2003,Clare Garda Division,Dangerous or negligent acts,543.0
2003,Clare Garda Division,"Fraud, deception and related offences",95.0
2003,Clare Garda Division,Homicide & related offences,5.0
2003,Clare Garda Division,Kidnapping and related offences,4.0
2003,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",92.0
2003,Clare Garda Division,Offences not elsewhere classified,43.0
2003,Clare Garda Division,Public order and other social code offences,693.0
2003,Clare Garda Division,Road and traffic offences,1027.0
2003,Clare Garda Division,"Robbery, extortion and hijacking offences",15.0
2003,Clare Garda Division,Sexual offences,45.0
2003,Clare Garda Division,Theft and related offences,1079.0
2003,Clare Garda Division,Weapons and explosives offences,41.0
2004,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",284.0
2004,Clare Garda Division,Burglary and related offences,279.0
2004,Clare Garda Division,Controlled drug offences,209.0
2004,Clare Garda Division,Damage to property and to the environment  offences,689.0
2004,Clare Garda Division,Dangerous or negligent acts,571.0
2004,Clare Garda Division,"Fraud, deception and related offences",60.0
2004,Clare Garda Division,Homicide & related offences,3.0
2004,Clare Garda Division,Kidnapping and related offences,1.0
2004,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",66.0
2004,Clare Garda Division,Offences not elsewhere classified,47.0
2004,Clare Garda Division,Public order and other social code offences,825.0
2004,Clare Garda Division,Road and traffic offences,1220.0
2004,Clare Garda Division,"Robbery, extortion and hijacking offences",17.0
2004,Clare Garda Division,Sexual offences,46.0
2004,Clare Garda Division,Theft and related offences,1049.0
2004,Clare Garda Division,Weapons and explosives offences,45.0
2005,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",303.0
2005,Clare Garda Division,Burglary and related offences,304.0
2005,Clare Garda Division,Controlled drug offences,224.0
2005,Clare Garda Division,Damage to property and to the environment  offences,752.0
2005,Clare Garda Division,Dangerous or negligent acts,827.0
2005,Clare Garda Division,"Fraud, deception and related offences",71.0
2005,Clare Garda Division,Homicide & related offences,6.0
2005,Clare Garda Division,Kidnapping and related offences,1.0
2005,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",94.0
2005,Clare Garda Division,Offences not elsewhere classified,72.0
2005,Clare Garda Division,Public order and other social code offences,1253.0
2005,Clare Garda Division,Road and traffic offences,1676.0
2005,Clare Garda Division,"Robbery, extortion and hijacking offences",13.0
2005,Clare Garda Division,Sexual offences,32.0
2005,Clare Garda Division,Theft and related offences,958.0
2005,Clare Garda Division,Weapons and explosives offences,51.0
2006,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",319.0
2006,Clare Garda Division,Burglary and related offences,439.0
2006,Clare Garda Division,Controlled drug offences,344.0
2006,Clare Garda Division,Damage to property and to the environment  offences,814.0
2006,Clare Garda Division,Dangerous or negligent acts,1558.0
2006,Clare Garda Division,"Fraud, deception and related offences",57.0
2006,Clare Garda Division,Homicide & related offences,2.0
2006,Clare Garda Division,Kidnapping and related offences,3.0
2006,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",111.0
2006,Clare Garda Division,Offences not elsewhere classified,101.0
2006,Clare Garda Division,Public order and other social code offences,1139.0
2006,Clare Garda Division,Road and traffic offences,2920.0
2006,Clare Garda Division,"Robbery, extortion and hijacking offences",11.0
2006,Clare Garda Division,Sexual offences,38.0
2006,Clare Garda Division,Theft and related offences,1097.0
2006,Clare Garda Division,Weapons and explosives offences,38.0
2007,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",375.0
2007,Clare Garda Division,Burglary and related offences,450.0
2007,Clare Garda Division,Controlled drug offences,356.0
2007,Clare Garda Division,Damage to property and to the environment  offences,784.0
2007,Clare Garda Division,Dangerous or negligent acts,1838.0
2007,Clare Garda Division,"Fraud, deception and related offences",94.0
2007,Clare Garda Division,Homicide & related offences,10.0
2007,Clare Garda Division,Kidnapping and related offences,3.0
2007,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",139.0
2007,Clare Garda Division,Offences not elsewhere classified,132.0
2007,Clare Garda Division,Public order and other social code offences,1517.0
2007,Clare Garda Division,Road and traffic offences,4024.0
2007,Clare Garda Division,"Robbery, extortion and hijacking offences",23.0
2007,Clare Garda Division,Sexual offences,33.0
2007,Clare Garda Division,Theft and related offences,1153.0
2007,Clare Garda Division,Weapons and explosives offences,83.0
