Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",95.0
2003Q1,Clare Garda Division,Burglary and related offences,70.0
2003Q1,Clare Garda Division,Controlled drug offences,42.0
2003Q1,Clare Garda Division,Damage to property and to the environment  offences,158.0
2003Q1,Clare Garda Division,Dangerous or negligent acts,102.0
2003Q1,Clare Garda Division,"Fraud, deception and related offences",8.0
2003Q1,Clare Garda Division,Homicide & related offences,1.0
2003Q1,Clare Garda Division,Kidnapping and related offences,2.0
2003Q1,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2003Q1,Clare Garda Division,Offences not elsewhere classified,15.0
2003Q1,Clare Garda Division,Public order and other social code offences,106.0
2003Q1,Clare Garda Division,Road and traffic offences,210.0
2003Q1,Clare Garda Division,"Robbery, extortion and hijacking offences",7.0
2003Q1,Clare Garda Division,Sexual offences,16.0
2003Q1,Clare Garda Division,Theft and related offences,251.0
2003Q1,Clare Garda Division,Weapons and explosives offences,7.0
2003Q2,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",83.0
2003Q2,Clare Garda Division,Burglary and related offences,77.0
2003Q2,Clare Garda Division,Controlled drug offences,42.0
2003Q2,Clare Garda Division,Damage to property and to the environment  offences,172.0
2003Q2,Clare Garda Division,Dangerous or negligent acts,175.0
2003Q2,Clare Garda Division,"Fraud, deception and related offences",10.0
2003Q2,Clare Garda Division,Homicide & related offences,3.0
2003Q2,Clare Garda Division,Kidnapping and related offences,0.0
2003Q2,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2003Q2,Clare Garda Division,Offences not elsewhere classified,6.0
2003Q2,Clare Garda Division,Public order and other social code offences,177.0
2003Q2,Clare Garda Division,Road and traffic offences,293.0
2003Q2,Clare Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q2,Clare Garda Division,Sexual offences,14.0
2003Q2,Clare Garda Division,Theft and related offences,272.0
2003Q2,Clare Garda Division,Weapons and explosives offences,5.0
2003Q3,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",100.0
2003Q3,Clare Garda Division,Burglary and related offences,120.0
2003Q3,Clare Garda Division,Controlled drug offences,68.0
2003Q3,Clare Garda Division,Damage to property and to the environment  offences,220.0
2003Q3,Clare Garda Division,Dangerous or negligent acts,155.0
2003Q3,Clare Garda Division,"Fraud, deception and related offences",64.0
2003Q3,Clare Garda Division,Homicide & related offences,0.0
2003Q3,Clare Garda Division,Kidnapping and related offences,1.0
2003Q3,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2003Q3,Clare Garda Division,Offences not elsewhere classified,7.0
2003Q3,Clare Garda Division,Public order and other social code offences,218.0
2003Q3,Clare Garda Division,Road and traffic offences,259.0
2003Q3,Clare Garda Division,"Robbery, extortion and hijacking offences",5.0
2003Q3,Clare Garda Division,Sexual offences,8.0
2003Q3,Clare Garda Division,Theft and related offences,306.0
2003Q3,Clare Garda Division,Weapons and explosives offences,13.0
2003Q4,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",97.0
2003Q4,Clare Garda Division,Burglary and related offences,78.0
2003Q4,Clare Garda Division,Controlled drug offences,29.0
2003Q4,Clare Garda Division,Damage to property and to the environment  offences,150.0
2003Q4,Clare Garda Division,Dangerous or negligent acts,111.0
2003Q4,Clare Garda Division,"Fraud, deception and related offences",13.0
2003Q4,Clare Garda Division,Homicide & related offences,1.0
2003Q4,Clare Garda Division,Kidnapping and related offences,1.0
2003Q4,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",16.0
2003Q4,Clare Garda Division,Offences not elsewhere classified,15.0
2003Q4,Clare Garda Division,Public order and other social code offences,192.0
2003Q4,Clare Garda Division,Road and traffic offences,265.0
2003Q4,Clare Garda Division,"Robbery, extortion and hijacking offences",1.0
2003Q4,Clare Garda Division,Sexual offences,7.0
2003Q4,Clare Garda Division,Theft and related offences,250.0
2003Q4,Clare Garda Division,Weapons and explosives offences,16.0
2004Q1,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",53.0
2004Q1,Clare Garda Division,Burglary and related offences,72.0
2004Q1,Clare Garda Division,Controlled drug offences,49.0
2004Q1,Clare Garda Division,Damage to property and to the environment  offences,158.0
2004Q1,Clare Garda Division,Dangerous or negligent acts,104.0
2004Q1,Clare Garda Division,"Fraud, deception and related offences",14.0
2004Q1,Clare Garda Division,Homicide & related offences,0.0
2004Q1,Clare Garda Division,Kidnapping and related offences,0.0
2004Q1,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",14.0
2004Q1,Clare Garda Division,Offences not elsewhere classified,12.0
2004Q1,Clare Garda Division,Public order and other social code offences,159.0
2004Q1,Clare Garda Division,Road and traffic offences,179.0
2004Q1,Clare Garda Division,"Robbery, extortion and hijacking offences",6.0
2004Q1,Clare Garda Division,Sexual offences,19.0
2004Q1,Clare Garda Division,Theft and related offences,306.0
2004Q1,Clare Garda Division,Weapons and explosives offences,7.0
2004Q2,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",69.0
2004Q2,Clare Garda Division,Burglary and related offences,57.0
2004Q2,Clare Garda Division,Controlled drug offences,40.0
2004Q2,Clare Garda Division,Damage to property and to the environment  offences,169.0
2004Q2,Clare Garda Division,Dangerous or negligent acts,130.0
2004Q2,Clare Garda Division,"Fraud, deception and related offences",13.0
