Year,Garda Division,Type of Offence,VALUE
2003,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",867.0
2003,Cork City Garda Division,Burglary and related offences,988.0
2003,Cork City Garda Division,Controlled drug offences,575.0
2003,Cork City Garda Division,Damage to property and to the environment  offences,2293.0
2003,Cork City Garda Division,Dangerous or negligent acts,881.0
2003,Cork City Garda Division,"Fraud, deception and related offences",208.0
2003,Cork City Garda Division,Homicide & related offences,3.0
2003,Cork City Garda Division,Kidnapping and related offences,5.0
2003,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",427.0
2003,Cork City Garda Division,Offences not elsewhere classified,104.0
2003,Cork City Garda Division,Public order and other social code offences,3682.0
2003,Cork City Garda Division,Road and traffic offences,2524.0
2003,Cork City Garda Division,"Robbery, extortion and hijacking offences",173.0
2003,Cork City Garda Division,Sexual offences,80.0
2003,Cork City Garda Division,Theft and related offences,4438.0
2003,Cork City Garda Division,Weapons and explosives offences,118.0
2004,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",820.0
2004,Cork City Garda Division,Burglary and related offences,1066.0
2004,Cork City Garda Division,Controlled drug offences,764.0
2004,Cork City Garda Division,Damage to property and to the environment  offences,2562.0
2004,Cork City Garda Division,Dangerous or negligent acts,1261.0
2004,Cork City Garda Division,"Fraud, deception and related offences",183.0
2004,Cork City Garda Division,Homicide & related offences,2.0
2004,Cork City Garda Division,Kidnapping and related offences,2.0
2004,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",364.0
2004,Cork City Garda Division,Offences not elsewhere classified,26.0
2004,Cork City Garda Division,Public order and other social code offences,3631.0
2004,Cork City Garda Division,Road and traffic offences,3486.0
2004,Cork City Garda Division,"Robbery, extortion and hijacking offences",164.0
2004,Cork City Garda Division,Sexual offences,88.0
2004,Cork City Garda Division,Theft and related offences,4698.0
2004,Cork City Garda Division,Weapons and explosives offences,144.0
2005,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",744.0
2005,Cork City Garda Division,Burglary and related offences,1116.0
2005,Cork City Garda Division,Controlled drug offences,777.0
2005,Cork City Garda Division,Damage to property and to the environment  offences,2752.0
2005,Cork City Garda Division,Dangerous or negligent acts,1230.0
2005,Cork City Garda Division,"Fraud, deception and related offences",195.0
2005,Cork City Garda Division,Homicide & related offences,5.0
2005,Cork City Garda Division,Kidnapping and related offences,3.0
2005,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",417.0
2005,Cork City Garda Division,Offences not elsewhere classified,32.0
2005,Cork City Garda Division,Public order and other social code offences,4049.0
2005,Cork City Garda Division,Road and traffic offences,3647.0
2005,Cork City Garda Division,"Robbery, extortion and hijacking offences",137.0
2005,Cork City Garda Division,Sexual offences,89.0
2005,Cork City Garda Division,Theft and related offences,5264.0
2005,Cork City Garda Division,Weapons and explosives offences,145.0
2006,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",840.0
2006,Cork City Garda Division,Burglary and related offences,931.0
2006,Cork City Garda Division,Controlled drug offences,912.0
2006,Cork City Garda Division,Damage to property and to the environment  offences,2905.0
2006,Cork City Garda Division,Dangerous or negligent acts,3125.0
2006,Cork City Garda Division,"Fraud, deception and related offences",214.0
2006,Cork City Garda Division,Homicide & related offences,6.0
2006,Cork City Garda Division,Kidnapping and related offences,3.0
2006,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",464.0
2006,Cork City Garda Division,Offences not elsewhere classified,24.0
2006,Cork City Garda Division,Public order and other social code offences,4184.0
2006,Cork City Garda Division,Road and traffic offences,7840.0
2006,Cork City Garda Division,"Robbery, extortion and hijacking offences",129.0
2006,Cork City Garda Division,Sexual offences,81.0
2006,Cork City Garda Division,Theft and related offences,4663.0
2006,Cork City Garda Division,Weapons and explosives offences,166.0
2007,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",938.0
2007,Cork City Garda Division,Burglary and related offences,855.0
2007,Cork City Garda Division,Controlled drug offences,986.0
2007,Cork City Garda Division,Damage to property and to the environment  offences,2727.0
2007,Cork City Garda Division,Dangerous or negligent acts,3106.0
2007,Cork City Garda Division,"Fraud, deception and related offences",268.0
2007,Cork City Garda Division,Homicide & related offences,3.0
2007,Cork City Garda Division,Kidnapping and related offences,3.0
2007,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",664.0
2007,Cork City Garda Division,Offences not elsewhere classified,138.0
2007,Cork City Garda Division,Public order and other social code offences,4870.0
2007,Cork City Garda Division,Road and traffic offences,10204.0
2007,Cork City Garda Division,"Robbery, extortion and hijacking offences",123.0
2007,Cork City Garda Division,Sexual offences,62.0
2007,Cork City Garda Division,Theft and related offences,4527.0
2007,Cork City Garda Division,Weapons and explosives offences,207.0
2008,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1158.0
2008,Cork City Garda Division,Burglary and related offences,949.0
2008,Cork City Garda Division,Controlled drug offences,1491.0
2008,Cork City Garda Division,Damage to property and to the environment  offences,2874.0
2008,Cork City Garda Division,Dangerous or negligent acts,2958.0
2008,Cork City Garda Division,"Fraud, deception and related offences",376.0
2008,Cork City Garda Division,Homicide & related offences,6.0
