Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",226.0
2003Q1,Cork City Garda Division,Burglary and related offences,297.0
2003Q1,Cork City Garda Division,Controlled drug offences,105.0
2003Q1,Cork City Garda Division,Damage to property and to the environment  offences,534.0
2003Q1,Cork City Garda Division,Dangerous or negligent acts,227.0
2003Q1,Cork City Garda Division,"Fraud, deception and related offences",98.0
2003Q1,Cork City Garda Division,Homicide & related offences,2.0
2003Q1,Cork City Garda Division,Kidnapping and related offences,1.0
2003Q1,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",108.0
2003Q1,Cork City Garda Division,Offences not elsewhere classified,52.0
2003Q1,Cork City Garda Division,Public order and other social code offences,827.0
2003Q1,Cork City Garda Division,Road and traffic offences,551.0
2003Q1,Cork City Garda Division,"Robbery, extortion and hijacking offences",65.0
2003Q1,Cork City Garda Division,Sexual offences,26.0
2003Q1,Cork City Garda Division,Theft and related offences,1251.0
2003Q1,Cork City Garda Division,Weapons and explosives offences,37.0
2003Q2,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",234.0
2003Q2,Cork City Garda Division,Burglary and related offences,215.0
2003Q2,Cork City Garda Division,Controlled drug offences,165.0
2003Q2,Cork City Garda Division,Damage to property and to the environment  offences,673.0
2003Q2,Cork City Garda Division,Dangerous or negligent acts,195.0
2003Q2,Cork City Garda Division,"Fraud, deception and related offences",28.0
2003Q2,Cork City Garda Division,Homicide & related offences,1.0
2003Q2,Cork City Garda Division,Kidnapping and related offences,2.0
2003Q2,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",112.0
2003Q2,Cork City Garda Division,Offences not elsewhere classified,16.0
2003Q2,Cork City Garda Division,Public order and other social code offences,901.0
2003Q2,Cork City Garda Division,Road and traffic offences,494.0
2003Q2,Cork City Garda Division,"Robbery, extortion and hijacking offences",45.0
2003Q2,Cork City Garda Division,Sexual offences,25.0
2003Q2,Cork City Garda Division,Theft and related offences,1099.0
2003Q2,Cork City Garda Division,Weapons and explosives offences,26.0
2003Q3,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",244.0
2003Q3,Cork City Garda Division,Burglary and related offences,266.0
2003Q3,Cork City Garda Division,Controlled drug offences,152.0
2003Q3,Cork City Garda Division,Damage to property and to the environment  offences,537.0
2003Q3,Cork City Garda Division,Dangerous or negligent acts,201.0
2003Q3,Cork City Garda Division,"Fraud, deception and related offences",49.0
2003Q3,Cork City Garda Division,Homicide & related offences,0.0
2003Q3,Cork City Garda Division,Kidnapping and related offences,1.0
2003Q3,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",100.0
2003Q3,Cork City Garda Division,Offences not elsewhere classified,14.0
2003Q3,Cork City Garda Division,Public order and other social code offences,974.0
2003Q3,Cork City Garda Division,Road and traffic offences,590.0
2003Q3,Cork City Garda Division,"Robbery, extortion and hijacking offences",30.0
2003Q3,Cork City Garda Division,Sexual offences,11.0
2003Q3,Cork City Garda Division,Theft and related offences,1096.0
2003Q3,Cork City Garda Division,Weapons and explosives offences,32.0
2003Q4,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",163.0
2003Q4,Cork City Garda Division,Burglary and related offences,210.0
2003Q4,Cork City Garda Division,Controlled drug offences,153.0
2003Q4,Cork City Garda Division,Damage to property and to the environment  offences,549.0
2003Q4,Cork City Garda Division,Dangerous or negligent acts,258.0
2003Q4,Cork City Garda Division,"Fraud, deception and related offences",33.0
2003Q4,Cork City Garda Division,Homicide & related offences,0.0
2003Q4,Cork City Garda Division,Kidnapping and related offences,1.0
2003Q4,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",107.0
2003Q4,Cork City Garda Division,Offences not elsewhere classified,22.0
2003Q4,Cork City Garda Division,Public order and other social code offences,980.0
2003Q4,Cork City Garda Division,Road and traffic offences,889.0
2003Q4,Cork City Garda Division,"Robbery, extortion and hijacking offences",33.0
2003Q4,Cork City Garda Division,Sexual offences,18.0
2003Q4,Cork City Garda Division,Theft and related offences,992.0
2003Q4,Cork City Garda Division,Weapons and explosives offences,23.0
2004Q1,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",220.0
2004Q1,Cork City Garda Division,Burglary and related offences,246.0
2004Q1,Cork City Garda Division,Controlled drug offences,170.0
2004Q1,Cork City Garda Division,Damage to property and to the environment  offences,639.0
2004Q1,Cork City Garda Division,Dangerous or negligent acts,284.0
2004Q1,Cork City Garda Division,"Fraud, deception and related offences",58.0
2004Q1,Cork City Garda Division,Homicide & related offences,0.0
2004Q1,Cork City Garda Division,Kidnapping and related offences,1.0
2004Q1,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",109.0
2004Q1,Cork City Garda Division,Offences not elsewhere classified,10.0
2004Q1,Cork City Garda Division,Public order and other social code offences,850.0
2004Q1,Cork City Garda Division,Road and traffic offences,678.0
2004Q1,Cork City Garda Division,"Robbery, extortion and hijacking offences",44.0
2004Q1,Cork City Garda Division,Sexual offences,48.0
2004Q1,Cork City Garda Division,Theft and related offences,1269.0
2004Q1,Cork City Garda Division,Weapons and explosives offences,33.0
2004Q2,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",188.0
2004Q2,Cork City Garda Division,Burglary and related offences,292.0
2004Q2,Cork City Garda Division,Controlled drug offences,197.0
2004Q2,Cork City Garda Division,Damage to property and to the environment  offences,622.0
2004Q2,Cork City Garda Division,Dangerous or negligent acts,264.0
2004Q2,Cork City Garda Division,"Fraud, deception and related offences",55.0
2004Q2,Cork City Garda Division,Homicide & related offences,2.0
2004Q2,Cork City Garda Division,Kidnapping and related offences,0.0
2004Q2,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",95.0
2004Q2,Cork City Garda Division,Offences not elsewhere classified,6.0
2004Q2,Cork City Garda Division,Public order and other social code offences,800.0
2004Q2,Cork City Garda Division,Road and traffic offences,906.0
2004Q2,Cork City Garda Division,"Robbery, extortion and hijacking offences",37.0
2004Q2,Cork City Garda Division,Sexual offences,16.0
2004Q2,Cork City Garda Division,Theft and related offences,1174.0
2004Q2,Cork City Garda Division,Weapons and explosives offences,45.0
2004Q3,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",206.0
2004Q3,Cork City Garda Division,Burglary and related offences,309.0
2004Q3,Cork City Garda Division,Controlled drug offences,207.0
2004Q3,Cork City Garda Division,Damage to property and to the environment  offences,669.0
2004Q3,Cork City Garda Division,Dangerous or negligent acts,339.0
2004Q3,Cork City Garda Division,"Fraud, deception and related offences",31.0
2004Q3,Cork City Garda Division,Homicide & related offences,0.0
2004Q3,Cork City Garda Division,Kidnapping and related offences,1.0
2004Q3,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",81.0
2004Q3,Cork City Garda Division,Offences not elsewhere classified,6.0
2004Q3,Cork City Garda Division,Public order and other social code offences,820.0
2004Q3,Cork City Garda Division,Road and traffic offences,884.0
2004Q3,Cork City Garda Division,"Robbery, extortion and hijacking offences",40.0
2004Q3,Cork City Garda Division,Sexual offences,13.0
2004Q3,Cork City Garda Division,Theft and related offences,1068.0
2004Q3,Cork City Garda Division,Weapons and explosives offences,28.0
2004Q4,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",206.0
2004Q4,Cork City Garda Division,Burglary and related offences,219.0
2004Q4,Cork City Garda Division,Controlled drug offences,190.0
2004Q4,Cork City Garda Division,Damage to property and to the environment  offences,632.0
2004Q4,Cork City Garda Division,Dangerous or negligent acts,374.0
2004Q4,Cork City Garda Division,"Fraud, deception and related offences",39.0
2004Q4,Cork City Garda Division,Homicide & related offences,0.0
2004Q4,Cork City Garda Division,Kidnapping and related offences,0.0
2004Q4,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",79.0
2004Q4,Cork City Garda Division,Offences not elsewhere classified,4.0
2004Q4,Cork City Garda Division,Public order and other social code offences,1161.0
2004Q4,Cork City Garda Division,Road and traffic offences,1018.0
2004Q4,Cork City Garda Division,"Robbery, extortion and hijacking offences",43.0
2004Q4,Cork City Garda Division,Sexual offences,11.0
2004Q4,Cork City Garda Division,Theft and related offences,1187.0
2004Q4,Cork City Garda Division,Weapons and explosives offences,38.0
2005Q1,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",210.0
2005Q1,Cork City Garda Division,Burglary and related offences,260.0
2005Q1,Cork City Garda Division,Controlled drug offences,197.0
2005Q1,Cork City Garda Division,Damage to property and to the environment  offences,702.0
2005Q1,Cork City Garda Division,Dangerous or negligent acts,277.0
2005Q1,Cork City Garda Division,"Fraud, deception and related offences",54.0
2005Q1,Cork City Garda Division,Homicide & related offences,0.0
2005Q1,Cork City Garda Division,Kidnapping and related offences,0.0
2005Q1,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",106.0
2005Q1,Cork City Garda Division,Offences not elsewhere classified,10.0
2005Q1,Cork City Garda Division,Public order and other social code offences,968.0
2005Q1,Cork City Garda Division,Road and traffic offences,806.0
2005Q1,Cork City Garda Division,"Robbery, extortion and hijacking offences",45.0
2005Q1,Cork City Garda Division,Sexual offences,36.0
2005Q1,Cork City Garda Division,Theft and related offences,1377.0
2005Q1,Cork City Garda Division,Weapons and explosives offences,38.0
2005Q2,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",188.0
2005Q2,Cork City Garda Division,Burglary and related offences,280.0
2005Q2,Cork City Garda Division,Controlled drug offences,214.0
2005Q2,Cork City Garda Division,Damage to property and to the environment  offences,713.0
2005Q2,Cork City Garda Division,Dangerous or negligent acts,289.0
2005Q2,Cork City Garda Division,"Fraud, deception and related offences",61.0
2005Q2,Cork City Garda Division,Homicide & related offences,1.0
2005Q2,Cork City Garda Division,Kidnapping and related offences,3.0
2005Q2,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",126.0
2005Q2,Cork City Garda Division,Offences not elsewhere classified,11.0
2005Q2,Cork City Garda Division,Public order and other social code offences,958.0
2005Q2,Cork City Garda Division,Road and traffic offences,917.0
2005Q2,Cork City Garda Division,"Robbery, extortion and hijacking offences",38.0
2005Q2,Cork City Garda Division,Sexual offences,28.0
2005Q2,Cork City Garda Division,Theft and related offences,1439.0
2005Q2,Cork City Garda Division,Weapons and explosives offences,35.0
2005Q3,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",158.0
2005Q3,Cork City Garda Division,Burglary and related offences,297.0
2005Q3,Cork City Garda Division,Controlled drug offences,183.0
2005Q3,Cork City Garda Division,Damage to property and to the environment  offences,602.0
2005Q3,Cork City Garda Division,Dangerous or negligent acts,326.0
2005Q3,Cork City Garda Division,"Fraud, deception and related offences",27.0
2005Q3,Cork City Garda Division,Homicide & related offences,3.0
2005Q3,Cork City Garda Division,Kidnapping and related offences,0.0
2005Q3,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",88.0
2005Q3,Cork City Garda Division,Offences not elsewhere classified,7.0
2005Q3,Cork City Garda Division,Public order and other social code offences,1041.0
2005Q3,Cork City Garda Division,Road and traffic offences,904.0
2005Q3,Cork City Garda Division,"Robbery, extortion and hijacking offences",26.0
2005Q3,Cork City Garda Division,Sexual offences,11.0
2005Q3,Cork City Garda Division,Theft and related offences,1203.0
2005Q3,Cork City Garda Division,Weapons and explosives offences,43.0
2005Q4,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",188.0
2005Q4,Cork City Garda Division,Burglary and related offences,279.0
2005Q4,Cork City Garda Division,Controlled drug offences,183.0
2005Q4,Cork City Garda Division,Damage to property and to the environment  offences,735.0
2005Q4,Cork City Garda Division,Dangerous or negligent acts,338.0
2005Q4,Cork City Garda Division,"Fraud, deception and related offences",53.0
2005Q4,Cork City Garda Division,Homicide & related offences,1.0
2005Q4,Cork City Garda Division,Kidnapping and related offences,0.0
2005Q4,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",97.0
2005Q4,Cork City Garda Division,Offences not elsewhere classified,4.0
2005Q4,Cork City Garda Division,Public order and other social code offences,1082.0
2005Q4,Cork City Garda Division,Road and traffic offences,1020.0
2005Q4,Cork City Garda Division,"Robbery, extortion and hijacking offences",28.0
2005Q4,Cork City Garda Division,Sexual offences,14.0
2005Q4,Cork City Garda Division,Theft and related offences,1245.0
2005Q4,Cork City Garda Division,Weapons and explosives offences,29.0
2006Q1,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",223.0
2006Q1,Cork City Garda Division,Burglary and related offences,227.0
2006Q1,Cork City Garda Division,Controlled drug offences,192.0
2006Q1,Cork City Garda Division,Damage to property and to the environment  offences,778.0
2006Q1,Cork City Garda Division,Dangerous or negligent acts,621.0
2006Q1,Cork City Garda Division,"Fraud, deception and related offences",73.0
2006Q1,Cork City Garda Division,Homicide & related offences,1.0
2006Q1,Cork City Garda Division,Kidnapping and related offences,2.0
2006Q1,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",111.0
2006Q1,Cork City Garda Division,Offences not elsewhere classified,4.0
2006Q1,Cork City Garda Division,Public order and other social code offences,989.0
2006Q1,Cork City Garda Division,Road and traffic offences,921.0
2006Q1,Cork City Garda Division,"Robbery, extortion and hijacking offences",38.0
2006Q1,Cork City Garda Division,Sexual offences,33.0
2006Q1,Cork City Garda Division,Theft and related offences,1358.0
2006Q1,Cork City Garda Division,Weapons and explosives offences,37.0
2006Q2,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",190.0
2006Q2,Cork City Garda Division,Burglary and related offences,249.0
2006Q2,Cork City Garda Division,Controlled drug offences,247.0
2006Q2,Cork City Garda Division,Damage to property and to the environment  offences,718.0
2006Q2,Cork City Garda Division,Dangerous or negligent acts,812.0
2006Q2,Cork City Garda Division,"Fraud, deception and related offences",55.0
2006Q2,Cork City Garda Division,Homicide & related offences,1.0
2006Q2,Cork City Garda Division,Kidnapping and related offences,0.0
2006Q2,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",105.0
2006Q2,Cork City Garda Division,Offences not elsewhere classified,3.0
2006Q2,Cork City Garda Division,Public order and other social code offences,1070.0
2006Q2,Cork City Garda Division,Road and traffic offences,2136.0
2006Q2,Cork City Garda Division,"Robbery, extortion and hijacking offences",36.0
2006Q2,Cork City Garda Division,Sexual offences,12.0
2006Q2,Cork City Garda Division,Theft and related offences,1163.0
2006Q2,Cork City Garda Division,Weapons and explosives offences,40.0
2006Q3,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",232.0
2006Q3,Cork City Garda Division,Burglary and related offences,276.0
2006Q3,Cork City Garda Division,Controlled drug offences,198.0
2006Q3,Cork City Garda Division,Damage to property and to the environment  offences,671.0
2006Q3,Cork City Garda Division,Dangerous or negligent acts,884.0
2006Q3,Cork City Garda Division,"Fraud, deception and related offences",48.0
2006Q3,Cork City Garda Division,Homicide & related offences,3.0
2006Q3,Cork City Garda Division,Kidnapping and related offences,0.0
2006Q3,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",106.0
2006Q3,Cork City Garda Division,Offences not elsewhere classified,5.0
2006Q3,Cork City Garda Division,Public order and other social code offences,1048.0
2006Q3,Cork City Garda Division,Road and traffic offences,2289.0
2006Q3,Cork City Garda Division,"Robbery, extortion and hijacking offences",35.0
2006Q3,Cork City Garda Division,Sexual offences,14.0
2006Q3,Cork City Garda Division,Theft and related offences,1040.0
2006Q3,Cork City Garda Division,Weapons and explosives offences,44.0
2006Q4,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",195.0
2006Q4,Cork City Garda Division,Burglary and related offences,179.0
2006Q4,Cork City Garda Division,Controlled drug offences,275.0
2006Q4,Cork City Garda Division,Damage to property and to the environment  offences,738.0
2006Q4,Cork City Garda Division,Dangerous or negligent acts,808.0
2006Q4,Cork City Garda Division,"Fraud, deception and related offences",38.0
2006Q4,Cork City Garda Division,Homicide & related offences,1.0
2006Q4,Cork City Garda Division,Kidnapping and related offences,1.0
2006Q4,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",142.0
2006Q4,Cork City Garda Division,Offences not elsewhere classified,12.0
2006Q4,Cork City Garda Division,Public order and other social code offences,1077.0
2006Q4,Cork City Garda Division,Road and traffic offences,2494.0
2006Q4,Cork City Garda Division,"Robbery, extortion and hijacking offences",20.0
2006Q4,Cork City Garda Division,Sexual offences,22.0
2006Q4,Cork City Garda Division,Theft and related offences,1102.0
2006Q4,Cork City Garda Division,Weapons and explosives offences,45.0
2007Q1,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",226.0
2007Q1,Cork City Garda Division,Burglary and related offences,191.0
2007Q1,Cork City Garda Division,Controlled drug offences,235.0
2007Q1,Cork City Garda Division,Damage to property and to the environment  offences,759.0
2007Q1,Cork City Garda Division,Dangerous or negligent acts,802.0
2007Q1,Cork City Garda Division,"Fraud, deception and related offences",67.0
2007Q1,Cork City Garda Division,Homicide & related offences,0.0
2007Q1,Cork City Garda Division,Kidnapping and related offences,0.0
2007Q1,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",166.0
2007Q1,Cork City Garda Division,Offences not elsewhere classified,38.0
2007Q1,Cork City Garda Division,Public order and other social code offences,1027.0
2007Q1,Cork City Garda Division,Road and traffic offences,2570.0
2007Q1,Cork City Garda Division,"Robbery, extortion and hijacking offences",33.0
2007Q1,Cork City Garda Division,Sexual offences,26.0
2007Q1,Cork City Garda Division,Theft and related offences,1295.0
2007Q1,Cork City Garda Division,Weapons and explosives offences,41.0
2007Q2,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",221.0
2007Q2,Cork City Garda Division,Burglary and related offences,204.0
2007Q2,Cork City Garda Division,Controlled drug offences,249.0
2007Q2,Cork City Garda Division,Damage to property and to the environment  offences,670.0
2007Q2,Cork City Garda Division,Dangerous or negligent acts,845.0
2007Q2,Cork City Garda Division,"Fraud, deception and related offences",45.0
2007Q2,Cork City Garda Division,Homicide & related offences,0.0
2007Q2,Cork City Garda Division,Kidnapping and related offences,1.0
2007Q2,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",160.0
2007Q2,Cork City Garda Division,Offences not elsewhere classified,36.0
2007Q2,Cork City Garda Division,Public order and other social code offences,1317.0
2007Q2,Cork City Garda Division,Road and traffic offences,2634.0
2007Q2,Cork City Garda Division,"Robbery, extortion and hijacking offences",28.0
2007Q2,Cork City Garda Division,Sexual offences,12.0
2007Q2,Cork City Garda Division,Theft and related offences,1157.0
2007Q2,Cork City Garda Division,Weapons and explosives offences,54.0
2007Q3,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",227.0
2007Q3,Cork City Garda Division,Burglary and related offences,202.0
2007Q3,Cork City Garda Division,Controlled drug offences,279.0
2007Q3,Cork City Garda Division,Damage to property and to the environment  offences,581.0
2007Q3,Cork City Garda Division,Dangerous or negligent acts,814.0
2007Q3,Cork City Garda Division,"Fraud, deception and related offences",74.0
2007Q3,Cork City Garda Division,Homicide & related offences,1.0
2007Q3,Cork City Garda Division,Kidnapping and related offences,0.0
2007Q3,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",149.0
2007Q3,Cork City Garda Division,Offences not elsewhere classified,24.0
2007Q3,Cork City Garda Division,Public order and other social code offences,1230.0
2007Q3,Cork City Garda Division,Road and traffic offences,2487.0
2007Q3,Cork City Garda Division,"Robbery, extortion and hijacking offences",25.0
2007Q3,Cork City Garda Division,Sexual offences,17.0
2007Q3,Cork City Garda Division,Theft and related offences,969.0
2007Q3,Cork City Garda Division,Weapons and explosives offences,65.0
2007Q4,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",264.0
2007Q4,Cork City Garda Division,Burglary and related offences,258.0
2007Q4,Cork City Garda Division,Controlled drug offences,223.0
2007Q4,Cork City Garda Division,Damage to property and to the environment  offences,717.0
2007Q4,Cork City Garda Division,Dangerous or negligent acts,645.0
2007Q4,Cork City Garda Division,"Fraud, deception and related offences",82.0
2007Q4,Cork City Garda Division,Homicide & related offences,2.0
2007Q4,Cork City Garda Division,Kidnapping and related offences,2.0
2007Q4,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",189.0
2007Q4,Cork City Garda Division,Offences not elsewhere classified,40.0
2007Q4,Cork City Garda Division,Public order and other social code offences,1296.0
2007Q4,Cork City Garda Division,Road and traffic offences,2513.0
2007Q4,Cork City Garda Division,"Robbery, extortion and hijacking offences",37.0
2007Q4,Cork City Garda Division,Sexual offences,7.0
2007Q4,Cork City Garda Division,Theft and related offences,1106.0
2007Q4,Cork City Garda Division,Weapons and explosives offences,47.0
2008Q1,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",281.0
2008Q1,Cork City Garda Division,Burglary and related offences,204.0
2008Q1,Cork City Garda Division,Controlled drug offences,353.0
2008Q1,Cork City Garda Division,Damage to property and to the environment  offences,778.0
2008Q1,Cork City Garda Division,Dangerous or negligent acts,726.0
2008Q1,Cork City Garda Division,"Fraud, deception and related offences",113.0
2008Q1,Cork City Garda Division,Homicide & related offences,2.0
2008Q1,Cork City Garda Division,Kidnapping and related offences,0.0
2008Q1,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",230.0
2008Q1,Cork City Garda Division,Offences not elsewhere classified,72.0
2008Q1,Cork City Garda Division,Public order and other social code offences,1152.0
2008Q1,Cork City Garda Division,Road and traffic offences,2936.0
2008Q1,Cork City Garda Division,"Robbery, extortion and hijacking offences",54.0
2008Q1,Cork City Garda Division,Sexual offences,26.0
2008Q1,Cork City Garda Division,Theft and related offences,1278.0
2008Q1,Cork City Garda Division,Weapons and explosives offences,66.0
2008Q2,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",256.0
2008Q2,Cork City Garda Division,Burglary and related offences,256.0
2008Q2,Cork City Garda Division,Controlled drug offences,368.0
2008Q2,Cork City Garda Division,Damage to property and to the environment  offences,696.0
2008Q2,Cork City Garda Division,Dangerous or negligent acts,774.0
2008Q2,Cork City Garda Division,"Fraud, deception and related offences",112.0
2008Q2,Cork City Garda Division,Homicide & related offences,0.0
2008Q2,Cork City Garda Division,Kidnapping and related offences,2.0
2008Q2,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",206.0
2008Q2,Cork City Garda Division,Offences not elsewhere classified,42.0
2008Q2,Cork City Garda Division,Public order and other social code offences,1275.0
2008Q2,Cork City Garda Division,Road and traffic offences,2959.0
2008Q2,Cork City Garda Division,"Robbery, extortion and hijacking offences",27.0
2008Q2,Cork City Garda Division,Sexual offences,28.0
2008Q2,Cork City Garda Division,Theft and related offences,1312.0
2008Q2,Cork City Garda Division,Weapons and explosives offences,79.0
2008Q3,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",307.0
2008Q3,Cork City Garda Division,Burglary and related offences,248.0
2008Q3,Cork City Garda Division,Controlled drug offences,391.0
2008Q3,Cork City Garda Division,Damage to property and to the environment  offences,663.0
2008Q3,Cork City Garda Division,Dangerous or negligent acts,667.0
2008Q3,Cork City Garda Division,"Fraud, deception and related offences",74.0
