Year,Garda Division,Type of Offence,VALUE
2003,Cork North Garda Division,"Abandoning a child, child neglect and cruelty (0422)",4.0
2003,Cork North Garda Division,Abduction of person under 16 years of age (0512),3.0
2003,Cork North Garda Division,Aggravated burglary (0711),3.0
2003,Cork North Garda Division,Arson (1211),25.0
2003,Cork North Garda Division,"Assault causing harm, poisoning (034)",92.0
2003,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",415.0
2003,Cork North Garda Division,Blackmail or extortion (0621),0.0
2003,Cork North Garda Division,Burglary (not aggravated) (0712),443.0
2003,Cork North Garda Division,Burglary and related offences (07),446.0
2003,Cork North Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2003,Cork North Garda Division,Controlled drug offences (10),318.0
2003,Cork North Garda Division,Criminal damage (not arson) (1212),708.0
2003,Cork North Garda Division,Cultivation or manufacture of drugs (1012),2.0
2003,Cork North Garda Division,Damage to property and to the environment  offences (12),740.0
2003,Cork North Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2003,Cork North Garda Division,Dangerous driving leading to death (012),2.0
2003,Cork North Garda Division,Dangerous or negligent acts (04),528.0
2003,Cork North Garda Division,Dangerous/careless driving and motorway offences (0414),158.0
2003,Cork North Garda Division,Discharging a firearm (1121),1.0
2003,Cork North Garda Division,Disorderly conduct (131),913.0
2003,Cork North Garda Division,"Driving licence-failure to have, produce, etc. (1411)",24.0
2003,Cork North Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",338.0
2003,Cork North Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),1.0
2003,Cork North Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),337.0
2003,Cork North Garda Division,Endangering traffic offences (0425),3.0
2003,Cork North Garda Division,Endangerment with potential for serious harm/death (0421),2.0
2003,Cork North Garda Division,"Explosives, chemical weapons offences (111)",0.0
2003,Cork North Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Cork North Garda Division,False imprisonment (0511),4.0
2003,Cork North Garda Division,Fireworks offences (114),0.0
2003,Cork North Garda Division,"Fraud, deception and related offences (09)",86.0
2003,Cork North Garda Division,Harassment and related offences (033),59.0
2003,Cork North Garda Division,Homicide & related offences (01),2.0
2003,Cork North Garda Division,Human trafficking offences (0513),0.0
2003,Cork North Garda Division,Importation of drugs (1011),0.0
2003,Cork North Garda Division,Infanticide (0113),0.0
2003,Cork North Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",287.0
2003,Cork North Garda Division,Kidnapping and related offences (05),7.0
2003,Cork North Garda Division,Light rail offences (Luas) (1443),0.0
2003,Cork North Garda Division,Liquor licensing offences (133),110.0
2003,Cork North Garda Division,Litter offences (1221),7.0
2003,Cork North Garda Division,Manslaughter (0112),0.0
2003,Cork North Garda Division,Murder (0111),0.0
2003,Cork North Garda Division,Murder-attempt (0311),0.0
2003,Cork North Garda Division,Obstruction under Road Traffic Acts (1432),3.0
2003,Cork North Garda Division,Offences against government and its agents (151),5.0
2003,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime (15)",82.0
2003,Cork North Garda Division,Offences not elsewhere classified (16),69.0
