Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",114.0
2003Q1,Cork North Garda Division,Burglary and related offences,109.0
2003Q1,Cork North Garda Division,Controlled drug offences,77.0
2003Q1,Cork North Garda Division,Damage to property and to the environment  offences,166.0
2003Q1,Cork North Garda Division,Dangerous or negligent acts,91.0
2003Q1,Cork North Garda Division,"Fraud, deception and related offences",25.0
2003Q1,Cork North Garda Division,Homicide & related offences,1.0
2003Q1,Cork North Garda Division,Kidnapping and related offences,4.0
2003Q1,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",15.0
2003Q1,Cork North Garda Division,Offences not elsewhere classified,16.0
2003Q1,Cork North Garda Division,Public order and other social code offences,184.0
2003Q1,Cork North Garda Division,Road and traffic offences,112.0
2003Q1,Cork North Garda Division,"Robbery, extortion and hijacking offences",4.0
2003Q1,Cork North Garda Division,Sexual offences,11.0
2003Q1,Cork North Garda Division,Theft and related offences,264.0
2003Q1,Cork North Garda Division,Weapons and explosives offences,3.0
2003Q2,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",107.0
2003Q2,Cork North Garda Division,Burglary and related offences,105.0
2003Q2,Cork North Garda Division,Controlled drug offences,67.0
2003Q2,Cork North Garda Division,Damage to property and to the environment  offences,191.0
2003Q2,Cork North Garda Division,Dangerous or negligent acts,135.0
2003Q2,Cork North Garda Division,"Fraud, deception and related offences",18.0
2003Q2,Cork North Garda Division,Homicide & related offences,0.0
2003Q2,Cork North Garda Division,Kidnapping and related offences,1.0
2003Q2,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",28.0
2003Q2,Cork North Garda Division,Offences not elsewhere classified,20.0
2003Q2,Cork North Garda Division,Public order and other social code offences,232.0
2003Q2,Cork North Garda Division,Road and traffic offences,169.0
2003Q2,Cork North Garda Division,"Robbery, extortion and hijacking offences",4.0
2003Q2,Cork North Garda Division,Sexual offences,14.0
2003Q2,Cork North Garda Division,Theft and related offences,247.0
2003Q2,Cork North Garda Division,Weapons and explosives offences,4.0
2003Q3,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",110.0
2003Q3,Cork North Garda Division,Burglary and related offences,103.0
2003Q3,Cork North Garda Division,Controlled drug offences,81.0
2003Q3,Cork North Garda Division,Damage to property and to the environment  offences,202.0
2003Q3,Cork North Garda Division,Dangerous or negligent acts,140.0
2003Q3,Cork North Garda Division,"Fraud, deception and related offences",25.0
2003Q3,Cork North Garda Division,Homicide & related offences,0.0
