Year,Garda Division,Type of Offence,VALUE
2003,Cork West Garda Division,"Abandoning a child, child neglect and cruelty (0422)",1.0
2003,Cork West Garda Division,Abduction of person under 16 years of age (0512),0.0
2003,Cork West Garda Division,Aggravated burglary (0711),7.0
2003,Cork West Garda Division,Arson (1211),26.0
2003,Cork West Garda Division,"Assault causing harm, poisoning (034)",95.0
2003,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",337.0
2003,Cork West Garda Division,Blackmail or extortion (0621),0.0
2003,Cork West Garda Division,Burglary (not aggravated) (0712),253.0
2003,Cork West Garda Division,Burglary and related offences (07),261.0
2003,Cork West Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2003,Cork West Garda Division,Controlled drug offences (10),306.0
2003,Cork West Garda Division,Criminal damage (not arson) (1212),406.0
2003,Cork West Garda Division,Cultivation or manufacture of drugs (1012),11.0
2003,Cork West Garda Division,Damage to property and to the environment  offences (12),434.0
2003,Cork West Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2003,Cork West Garda Division,Dangerous driving leading to death (012),1.0
2003,Cork West Garda Division,Dangerous or negligent acts (04),433.0
2003,Cork West Garda Division,Dangerous/careless driving and motorway offences (0414),85.0
2003,Cork West Garda Division,Discharging a firearm (1121),7.0
2003,Cork West Garda Division,Disorderly conduct (131),657.0
2003,Cork West Garda Division,"Driving licence-failure to have, produce, etc. (1411)",17.0
2003,Cork West Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",269.0
2003,Cork West Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),2.0
2003,Cork West Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),267.0
2003,Cork West Garda Division,Endangering traffic offences (0425),1.0
2003,Cork West Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2003,Cork West Garda Division,"Explosives, chemical weapons offences (111)",0.0
2003,Cork West Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Cork West Garda Division,False imprisonment (0511),0.0
2003,Cork West Garda Division,Fireworks offences (114),0.0
2003,Cork West Garda Division,"Fraud, deception and related offences (09)",50.0
2003,Cork West Garda Division,Harassment and related offences (033),58.0
2003,Cork West Garda Division,Homicide & related offences (01),1.0
2003,Cork West Garda Division,Human trafficking offences (0513),0.0
2003,Cork West Garda Division,Importation of drugs (1011),0.0
2003,Cork West Garda Division,Infanticide (0113),0.0
2003,Cork West Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",229.0
2003,Cork West Garda Division,Kidnapping and related offences (05),0.0
2003,Cork West Garda Division,Light rail offences (Luas) (1443),0.0
2003,Cork West Garda Division,Liquor licensing offences (133),113.0
2003,Cork West Garda Division,Litter offences (1221),2.0
2003,Cork West Garda Division,Manslaughter (0112),0.0
2003,Cork West Garda Division,Murder (0111),0.0
2003,Cork West Garda Division,Murder-attempt (0311),0.0
2003,Cork West Garda Division,Obstruction under Road Traffic Acts (1432),0.0
2003,Cork West Garda Division,Offences against government and its agents (151),1.0
