Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",87.0
2003Q1,Cork West Garda Division,Burglary and related offences,80.0
2003Q1,Cork West Garda Division,Controlled drug offences,53.0
2003Q1,Cork West Garda Division,Damage to property and to the environment  offences,97.0
2003Q1,Cork West Garda Division,Dangerous or negligent acts,76.0
2003Q1,Cork West Garda Division,"Fraud, deception and related offences",31.0
2003Q1,Cork West Garda Division,Homicide & related offences,0.0
2003Q1,Cork West Garda Division,Kidnapping and related offences,0.0
2003Q1,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",15.0
2003Q1,Cork West Garda Division,Offences not elsewhere classified,9.0
2003Q1,Cork West Garda Division,Public order and other social code offences,171.0
2003Q1,Cork West Garda Division,Road and traffic offences,120.0
2003Q1,Cork West Garda Division,"Robbery, extortion and hijacking offences",0.0
2003Q1,Cork West Garda Division,Sexual offences,13.0
2003Q1,Cork West Garda Division,Theft and related offences,165.0
2003Q1,Cork West Garda Division,Weapons and explosives offences,4.0
2003Q2,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",75.0
2003Q2,Cork West Garda Division,Burglary and related offences,50.0
2003Q2,Cork West Garda Division,Controlled drug offences,81.0
2003Q2,Cork West Garda Division,Damage to property and to the environment  offences,97.0
2003Q2,Cork West Garda Division,Dangerous or negligent acts,120.0
2003Q2,Cork West Garda Division,"Fraud, deception and related offences",7.0
2003Q2,Cork West Garda Division,Homicide & related offences,0.0
2003Q2,Cork West Garda Division,Kidnapping and related offences,0.0
2003Q2,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",11.0
2003Q2,Cork West Garda Division,Offences not elsewhere classified,7.0
2003Q2,Cork West Garda Division,Public order and other social code offences,215.0
2003Q2,Cork West Garda Division,Road and traffic offences,150.0
2003Q2,Cork West Garda Division,"Robbery, extortion and hijacking offences",1.0
2003Q2,Cork West Garda Division,Sexual offences,6.0
2003Q2,Cork West Garda Division,Theft and related offences,160.0
2003Q2,Cork West Garda Division,Weapons and explosives offences,5.0
2003Q3,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",82.0
2003Q3,Cork West Garda Division,Burglary and related offences,69.0
2003Q3,Cork West Garda Division,Controlled drug offences,65.0
2003Q3,Cork West Garda Division,Damage to property and to the environment  offences,126.0
2003Q3,Cork West Garda Division,Dangerous or negligent acts,108.0
2003Q3,Cork West Garda Division,"Fraud, deception and related offences",7.0
2003Q3,Cork West Garda Division,Homicide & related offences,0.0
2003Q3,Cork West Garda Division,Kidnapping and related offences,0.0
2003Q3,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",14.0
2003Q3,Cork West Garda Division,Offences not elsewhere classified,3.0
2003Q3,Cork West Garda Division,Public order and other social code offences,218.0
2003Q3,Cork West Garda Division,Road and traffic offences,161.0
2003Q3,Cork West Garda Division,"Robbery, extortion and hijacking offences",0.0
2003Q3,Cork West Garda Division,Sexual offences,4.0
2003Q3,Cork West Garda Division,Theft and related offences,213.0
2003Q3,Cork West Garda Division,Weapons and explosives offences,14.0
2003Q4,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",93.0
2003Q4,Cork West Garda Division,Burglary and related offences,62.0
2003Q4,Cork West Garda Division,Controlled drug offences,107.0
2003Q4,Cork West Garda Division,Damage to property and to the environment  offences,114.0
2003Q4,Cork West Garda Division,Dangerous or negligent acts,129.0
2003Q4,Cork West Garda Division,"Fraud, deception and related offences",5.0
2003Q4,Cork West Garda Division,Homicide & related offences,1.0
2003Q4,Cork West Garda Division,Kidnapping and related offences,0.0
2003Q4,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2003Q4,Cork West Garda Division,Offences not elsewhere classified,14.0
2003Q4,Cork West Garda Division,Public order and other social code offences,181.0
2003Q4,Cork West Garda Division,Road and traffic offences,171.0
2003Q4,Cork West Garda Division,"Robbery, extortion and hijacking offences",1.0
2003Q4,Cork West Garda Division,Sexual offences,2.0
2003Q4,Cork West Garda Division,Theft and related offences,175.0
2003Q4,Cork West Garda Division,Weapons and explosives offences,8.0
2004Q1,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",81.0
2004Q1,Cork West Garda Division,Burglary and related offences,60.0
2004Q1,Cork West Garda Division,Controlled drug offences,50.0
2004Q1,Cork West Garda Division,Damage to property and to the environment  offences,119.0
2004Q1,Cork West Garda Division,Dangerous or negligent acts,71.0
2004Q1,Cork West Garda Division,"Fraud, deception and related offences",8.0
2004Q1,Cork West Garda Division,Homicide & related offences,2.0
2004Q1,Cork West Garda Division,Kidnapping and related offences,0.0
2004Q1,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",11.0
2004Q1,Cork West Garda Division,Offences not elsewhere classified,19.0
2004Q1,Cork West Garda Division,Public order and other social code offences,142.0
2004Q1,Cork West Garda Division,Road and traffic offences,158.0
2004Q1,Cork West Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q1,Cork West Garda Division,Sexual offences,8.0
2004Q1,Cork West Garda Division,Theft and related offences,164.0
2004Q1,Cork West Garda Division,Weapons and explosives offences,6.0
2004Q2,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",79.0
2004Q2,Cork West Garda Division,Burglary and related offences,53.0
2004Q2,Cork West Garda Division,Controlled drug offences,70.0
2004Q2,Cork West Garda Division,Damage to property and to the environment  offences,123.0
2004Q2,Cork West Garda Division,Dangerous or negligent acts,113.0
2004Q2,Cork West Garda Division,"Fraud, deception and related offences",15.0
2004Q2,Cork West Garda Division,Homicide & related offences,1.0
2004Q2,Cork West Garda Division,Kidnapping and related offences,0.0
2004Q2,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",7.0
2004Q2,Cork West Garda Division,Offences not elsewhere classified,9.0
2004Q2,Cork West Garda Division,Public order and other social code offences,216.0
2004Q2,Cork West Garda Division,Road and traffic offences,201.0
2004Q2,Cork West Garda Division,"Robbery, extortion and hijacking offences",0.0
2004Q2,Cork West Garda Division,Sexual offences,10.0
2004Q2,Cork West Garda Division,Theft and related offences,217.0
2004Q2,Cork West Garda Division,Weapons and explosives offences,8.0
2004Q3,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",84.0
2004Q3,Cork West Garda Division,Burglary and related offences,92.0
2004Q3,Cork West Garda Division,Controlled drug offences,34.0
2004Q3,Cork West Garda Division,Damage to property and to the environment  offences,148.0
2004Q3,Cork West Garda Division,Dangerous or negligent acts,111.0
2004Q3,Cork West Garda Division,"Fraud, deception and related offences",3.0
2004Q3,Cork West Garda Division,Homicide & related offences,1.0
2004Q3,Cork West Garda Division,Kidnapping and related offences,0.0
2004Q3,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",20.0
2004Q3,Cork West Garda Division,Offences not elsewhere classified,5.0
2004Q3,Cork West Garda Division,Public order and other social code offences,229.0
2004Q3,Cork West Garda Division,Road and traffic offences,179.0
2004Q3,Cork West Garda Division,"Robbery, extortion and hijacking offences",1.0
2004Q3,Cork West Garda Division,Sexual offences,13.0
2004Q3,Cork West Garda Division,Theft and related offences,208.0
2004Q3,Cork West Garda Division,Weapons and explosives offences,3.0
2004Q4,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",66.0
2004Q4,Cork West Garda Division,Burglary and related offences,70.0
2004Q4,Cork West Garda Division,Controlled drug offences,40.0
2004Q4,Cork West Garda Division,Damage to property and to the environment  offences,125.0
2004Q4,Cork West Garda Division,Dangerous or negligent acts,126.0
2004Q4,Cork West Garda Division,"Fraud, deception and related offences",7.0
2004Q4,Cork West Garda Division,Homicide & related offences,1.0
2004Q4,Cork West Garda Division,Kidnapping and related offences,0.0
2004Q4,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",9.0
2004Q4,Cork West Garda Division,Offences not elsewhere classified,9.0
2004Q4,Cork West Garda Division,Public order and other social code offences,276.0
2004Q4,Cork West Garda Division,Road and traffic offences,190.0
2004Q4,Cork West Garda Division,"Robbery, extortion and hijacking offences",0.0
2004Q4,Cork West Garda Division,Sexual offences,3.0
2004Q4,Cork West Garda Division,Theft and related offences,176.0
2004Q4,Cork West Garda Division,Weapons and explosives offences,10.0
2005Q1,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",72.0
2005Q1,Cork West Garda Division,Burglary and related offences,81.0
2005Q1,Cork West Garda Division,Controlled drug offences,42.0
2005Q1,Cork West Garda Division,Damage to property and to the environment  offences,113.0
2005Q1,Cork West Garda Division,Dangerous or negligent acts,83.0
2005Q1,Cork West Garda Division,"Fraud, deception and related offences",11.0
2005Q1,Cork West Garda Division,Homicide & related offences,0.0
2005Q1,Cork West Garda Division,Kidnapping and related offences,0.0
2005Q1,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",12.0
2005Q1,Cork West Garda Division,Offences not elsewhere classified,10.0
2005Q1,Cork West Garda Division,Public order and other social code offences,274.0
2005Q1,Cork West Garda Division,Road and traffic offences,249.0
2005Q1,Cork West Garda Division,"Robbery, extortion and hijacking offences",1.0
2005Q1,Cork West Garda Division,Sexual offences,6.0
2005Q1,Cork West Garda Division,Theft and related offences,161.0
2005Q1,Cork West Garda Division,Weapons and explosives offences,7.0
2005Q2,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",83.0
2005Q2,Cork West Garda Division,Burglary and related offences,62.0
2005Q2,Cork West Garda Division,Controlled drug offences,74.0
2005Q2,Cork West Garda Division,Damage to property and to the environment  offences,132.0
2005Q2,Cork West Garda Division,Dangerous or negligent acts,115.0
2005Q2,Cork West Garda Division,"Fraud, deception and related offences",22.0
2005Q2,Cork West Garda Division,Homicide & related offences,0.0
2005Q2,Cork West Garda Division,Kidnapping and related offences,0.0
2005Q2,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",14.0
2005Q2,Cork West Garda Division,Offences not elsewhere classified,16.0
2005Q2,Cork West Garda Division,Public order and other social code offences,252.0
2005Q2,Cork West Garda Division,Road and traffic offences,269.0
2005Q2,Cork West Garda Division,"Robbery, extortion and hijacking offences",0.0
2005Q2,Cork West Garda Division,Sexual offences,12.0
2005Q2,Cork West Garda Division,Theft and related offences,216.0
2005Q2,Cork West Garda Division,Weapons and explosives offences,15.0
2005Q3,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",60.0
2005Q3,Cork West Garda Division,Burglary and related offences,58.0
2005Q3,Cork West Garda Division,Controlled drug offences,269.0
2005Q3,Cork West Garda Division,Damage to property and to the environment  offences,111.0
2005Q3,Cork West Garda Division,Dangerous or negligent acts,109.0
2005Q3,Cork West Garda Division,"Fraud, deception and related offences",17.0
2005Q3,Cork West Garda Division,Homicide & related offences,2.0
2005Q3,Cork West Garda Division,Kidnapping and related offences,0.0
2005Q3,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",15.0
2005Q3,Cork West Garda Division,Offences not elsewhere classified,10.0
2005Q3,Cork West Garda Division,Public order and other social code offences,298.0
2005Q3,Cork West Garda Division,Road and traffic offences,289.0
2005Q3,Cork West Garda Division,"Robbery, extortion and hijacking offences",3.0
2005Q3,Cork West Garda Division,Sexual offences,7.0
2005Q3,Cork West Garda Division,Theft and related offences,230.0
2005Q3,Cork West Garda Division,Weapons and explosives offences,6.0
2005Q4,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",74.0
2005Q4,Cork West Garda Division,Burglary and related offences,85.0
2005Q4,Cork West Garda Division,Controlled drug offences,50.0
2005Q4,Cork West Garda Division,Damage to property and to the environment  offences,93.0
2005Q4,Cork West Garda Division,Dangerous or negligent acts,131.0
2005Q4,Cork West Garda Division,"Fraud, deception and related offences",10.0
2005Q4,Cork West Garda Division,Homicide & related offences,1.0
2005Q4,Cork West Garda Division,Kidnapping and related offences,0.0
2005Q4,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",16.0
2005Q4,Cork West Garda Division,Offences not elsewhere classified,15.0
2005Q4,Cork West Garda Division,Public order and other social code offences,253.0
2005Q4,Cork West Garda Division,Road and traffic offences,228.0
2005Q4,Cork West Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q4,Cork West Garda Division,Sexual offences,5.0
2005Q4,Cork West Garda Division,Theft and related offences,139.0
2005Q4,Cork West Garda Division,Weapons and explosives offences,9.0
2006Q1,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",60.0
2006Q1,Cork West Garda Division,Burglary and related offences,76.0
2006Q1,Cork West Garda Division,Controlled drug offences,40.0
2006Q1,Cork West Garda Division,Damage to property and to the environment  offences,149.0
2006Q1,Cork West Garda Division,Dangerous or negligent acts,243.0
2006Q1,Cork West Garda Division,"Fraud, deception and related offences",22.0
2006Q1,Cork West Garda Division,Homicide & related offences,0.0
2006Q1,Cork West Garda Division,Kidnapping and related offences,1.0
2006Q1,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",16.0
2006Q1,Cork West Garda Division,Offences not elsewhere classified,14.0
2006Q1,Cork West Garda Division,Public order and other social code offences,227.0
2006Q1,Cork West Garda Division,Road and traffic offences,335.0
2006Q1,Cork West Garda Division,"Robbery, extortion and hijacking offences",3.0
2006Q1,Cork West Garda Division,Sexual offences,3.0
2006Q1,Cork West Garda Division,Theft and related offences,261.0
2006Q1,Cork West Garda Division,Weapons and explosives offences,8.0
