Year,Garda Division,Type of Offence,VALUE
2003,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",294.0
2003,D.M.R. Eastern Garda Division,Burglary and related offences,1706.0
2003,D.M.R. Eastern Garda Division,Controlled drug offences,350.0
2003,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1234.0
2003,D.M.R. Eastern Garda Division,Dangerous or negligent acts,346.0
2003,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",90.0
2003,D.M.R. Eastern Garda Division,Homicide & related offences,2.0
2003,D.M.R. Eastern Garda Division,Kidnapping and related offences,2.0
2003,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",159.0
2003,D.M.R. Eastern Garda Division,Offences not elsewhere classified,38.0
2003,D.M.R. Eastern Garda Division,Public order and other social code offences,1312.0
2003,D.M.R. Eastern Garda Division,Road and traffic offences,2021.0
2003,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",186.0
2003,D.M.R. Eastern Garda Division,Sexual offences,41.0
2003,D.M.R. Eastern Garda Division,Theft and related offences,3111.0
2003,D.M.R. Eastern Garda Division,Weapons and explosives offences,40.0
2004,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",305.0
2004,D.M.R. Eastern Garda Division,Burglary and related offences,1563.0
2004,D.M.R. Eastern Garda Division,Controlled drug offences,393.0
2004,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1455.0
2004,D.M.R. Eastern Garda Division,Dangerous or negligent acts,353.0
2004,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",86.0
2004,D.M.R. Eastern Garda Division,Homicide & related offences,3.0
2004,D.M.R. Eastern Garda Division,Kidnapping and related offences,2.0
2004,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",162.0
2004,D.M.R. Eastern Garda Division,Offences not elsewhere classified,26.0
2004,D.M.R. Eastern Garda Division,Public order and other social code offences,1373.0
2004,D.M.R. Eastern Garda Division,Road and traffic offences,2308.0
2004,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",169.0
2004,D.M.R. Eastern Garda Division,Sexual offences,45.0
2004,D.M.R. Eastern Garda Division,Theft and related offences,3067.0
2004,D.M.R. Eastern Garda Division,Weapons and explosives offences,32.0
2005,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",356.0
2005,D.M.R. Eastern Garda Division,Burglary and related offences,1639.0
2005,D.M.R. Eastern Garda Division,Controlled drug offences,661.0
2005,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1669.0
2005,D.M.R. Eastern Garda Division,Dangerous or negligent acts,358.0
2005,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",143.0
2005,D.M.R. Eastern Garda Division,Homicide & related offences,1.0
2005,D.M.R. Eastern Garda Division,Kidnapping and related offences,3.0
2005,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",178.0
2005,D.M.R. Eastern Garda Division,Offences not elsewhere classified,27.0
2005,D.M.R. Eastern Garda Division,Public order and other social code offences,1454.0
2005,D.M.R. Eastern Garda Division,Road and traffic offences,2851.0
2005,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",113.0
2005,D.M.R. Eastern Garda Division,Sexual offences,26.0
2005,D.M.R. Eastern Garda Division,Theft and related offences,3043.0
2005,D.M.R. Eastern Garda Division,Weapons and explosives offences,63.0
2006,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",348.0
2006,D.M.R. Eastern Garda Division,Burglary and related offences,1513.0
2006,D.M.R. Eastern Garda Division,Controlled drug offences,634.0
2006,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1703.0
2006,D.M.R. Eastern Garda Division,Dangerous or negligent acts,1089.0
2006,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",136.0
2006,D.M.R. Eastern Garda Division,Homicide & related offences,2.0
2006,D.M.R. Eastern Garda Division,Kidnapping and related offences,2.0
2006,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",205.0
2006,D.M.R. Eastern Garda Division,Offences not elsewhere classified,26.0
2006,D.M.R. Eastern Garda Division,Public order and other social code offences,1731.0
2006,D.M.R. Eastern Garda Division,Road and traffic offences,6402.0
2006,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",90.0
2006,D.M.R. Eastern Garda Division,Sexual offences,28.0
2006,D.M.R. Eastern Garda Division,Theft and related offences,3157.0
2006,D.M.R. Eastern Garda Division,Weapons and explosives offences,53.0
2007,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",441.0
2007,D.M.R. Eastern Garda Division,Burglary and related offences,1204.0
2007,D.M.R. Eastern Garda Division,Controlled drug offences,643.0
2007,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1689.0
2007,D.M.R. Eastern Garda Division,Dangerous or negligent acts,1303.0
2007,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",209.0
2007,D.M.R. Eastern Garda Division,Homicide & related offences,2.0
2007,D.M.R. Eastern Garda Division,Kidnapping and related offences,2.0
2007,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",245.0
2007,D.M.R. Eastern Garda Division,Offences not elsewhere classified,52.0
2007,D.M.R. Eastern Garda Division,Public order and other social code offences,2220.0
2007,D.M.R. Eastern Garda Division,Road and traffic offences,8732.0
2007,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",82.0
2007,D.M.R. Eastern Garda Division,Sexual offences,37.0
2007,D.M.R. Eastern Garda Division,Theft and related offences,2918.0
2007,D.M.R. Eastern Garda Division,Weapons and explosives offences,92.0
2008,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",494.0
2008,D.M.R. Eastern Garda Division,Burglary and related offences,1236.0
2008,D.M.R. Eastern Garda Division,Controlled drug offences,806.0
2008,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1622.0
2008,D.M.R. Eastern Garda Division,Dangerous or negligent acts,1446.0
2008,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",237.0
2008,D.M.R. Eastern Garda Division,Homicide & related offences,1.0
2008,D.M.R. Eastern Garda Division,Kidnapping and related offences,1.0
2008,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",399.0
2008,D.M.R. Eastern Garda Division,Offences not elsewhere classified,54.0
2008,D.M.R. Eastern Garda Division,Public order and other social code offences,2241.0
2008,D.M.R. Eastern Garda Division,Road and traffic offences,8797.0
2008,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",78.0
2008,D.M.R. Eastern Garda Division,Sexual offences,26.0
2008,D.M.R. Eastern Garda Division,Theft and related offences,2851.0
2008,D.M.R. Eastern Garda Division,Weapons and explosives offences,99.0
2009,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",490.0
2009,D.M.R. Eastern Garda Division,Burglary and related offences,1405.0
2009,D.M.R. Eastern Garda Division,Controlled drug offences,638.0
2009,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1633.0
2009,D.M.R. Eastern Garda Division,Dangerous or negligent acts,1106.0
2009,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",244.0
2009,D.M.R. Eastern Garda Division,Homicide & related offences,2.0
2009,D.M.R. Eastern Garda Division,Kidnapping and related offences,5.0
2009,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",334.0
2009,D.M.R. Eastern Garda Division,Offences not elsewhere classified,51.0
2009,D.M.R. Eastern Garda Division,Public order and other social code offences,2073.0
2009,D.M.R. Eastern Garda Division,Road and traffic offences,8447.0
2009,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",65.0
2009,D.M.R. Eastern Garda Division,Sexual offences,47.0
2009,D.M.R. Eastern Garda Division,Theft and related offences,3228.0
2009,D.M.R. Eastern Garda Division,Weapons and explosives offences,92.0
2010,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",504.0
2010,D.M.R. Eastern Garda Division,Burglary and related offences,1493.0
2010,D.M.R. Eastern Garda Division,Controlled drug offences,617.0
2010,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1616.0
2010,D.M.R. Eastern Garda Division,Dangerous or negligent acts,1233.0
2010,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",235.0
2010,D.M.R. Eastern Garda Division,Homicide & related offences,1.0
2010,D.M.R. Eastern Garda Division,Kidnapping and related offences,5.0
2010,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",317.0
2010,D.M.R. Eastern Garda Division,Offences not elsewhere classified,68.0
2010,D.M.R. Eastern Garda Division,Public order and other social code offences,1684.0
2010,D.M.R. Eastern Garda Division,Road and traffic offences,8376.0
2010,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",125.0
2010,D.M.R. Eastern Garda Division,Sexual offences,48.0
2010,D.M.R. Eastern Garda Division,Theft and related offences,3333.0
2010,D.M.R. Eastern Garda Division,Weapons and explosives offences,105.0
2011,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",441.0
2011,D.M.R. Eastern Garda Division,Burglary and related offences,1435.0
2011,D.M.R. Eastern Garda Division,Controlled drug offences,638.0
2011,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1354.0
2011,D.M.R. Eastern Garda Division,Dangerous or negligent acts,1402.0
2011,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",310.0
2011,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2011,D.M.R. Eastern Garda Division,Kidnapping and related offences,4.0
2011,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",307.0
2011,D.M.R. Eastern Garda Division,Offences not elsewhere classified,38.0
2011,D.M.R. Eastern Garda Division,Public order and other social code offences,1352.0
2011,D.M.R. Eastern Garda Division,Road and traffic offences,6061.0
2011,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",126.0
2011,D.M.R. Eastern Garda Division,Sexual offences,40.0
2011,D.M.R. Eastern Garda Division,Theft and related offences,3551.0
2011,D.M.R. Eastern Garda Division,Weapons and explosives offences,94.0
2012,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",416.0
2012,D.M.R. Eastern Garda Division,Burglary and related offences,1647.0
2012,D.M.R. Eastern Garda Division,Controlled drug offences,543.0
2012,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1277.0
2012,D.M.R. Eastern Garda Division,Dangerous or negligent acts,1021.0
2012,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",305.0
2012,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2012,D.M.R. Eastern Garda Division,Kidnapping and related offences,2.0
2012,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",263.0
2012,D.M.R. Eastern Garda Division,Offences not elsewhere classified,39.0
2012,D.M.R. Eastern Garda Division,Public order and other social code offences,1116.0
2012,D.M.R. Eastern Garda Division,Road and traffic offences,4057.0
2012,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",114.0
2012,D.M.R. Eastern Garda Division,Sexual offences,58.0
2012,D.M.R. Eastern Garda Division,Theft and related offences,3635.0
2012,D.M.R. Eastern Garda Division,Weapons and explosives offences,80.0
2013,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",389.0
2013,D.M.R. Eastern Garda Division,Burglary and related offences,1367.0
2013,D.M.R. Eastern Garda Division,Controlled drug offences,450.0
2013,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1134.0
2013,D.M.R. Eastern Garda Division,Dangerous or negligent acts,882.0
2013,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",219.0
2013,D.M.R. Eastern Garda Division,Homicide & related offences,2.0
2013,D.M.R. Eastern Garda Division,Kidnapping and related offences,3.0
2013,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",273.0
2013,D.M.R. Eastern Garda Division,Offences not elsewhere classified,45.0
2013,D.M.R. Eastern Garda Division,Public order and other social code offences,910.0
2013,D.M.R. Eastern Garda Division,Road and traffic offences,3373.0
2013,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",105.0
2013,D.M.R. Eastern Garda Division,Sexual offences,48.0
2013,D.M.R. Eastern Garda Division,Theft and related offences,3457.0
2013,D.M.R. Eastern Garda Division,Weapons and explosives offences,65.0
2014,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",427.0
2014,D.M.R. Eastern Garda Division,Burglary and related offences,1872.0
2014,D.M.R. Eastern Garda Division,Controlled drug offences,272.0
2014,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1214.0
2014,D.M.R. Eastern Garda Division,Dangerous or negligent acts,1227.0
2014,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",260.0
2014,D.M.R. Eastern Garda Division,Homicide & related offences,2.0
2014,D.M.R. Eastern Garda Division,Kidnapping and related offences,4.0
2014,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",275.0
2014,D.M.R. Eastern Garda Division,Offences not elsewhere classified,21.0
2014,D.M.R. Eastern Garda Division,Public order and other social code offences,813.0
2014,D.M.R. Eastern Garda Division,Road and traffic offences,2687.0
2014,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",122.0
2014,D.M.R. Eastern Garda Division,Sexual offences,63.0
2014,D.M.R. Eastern Garda Division,Theft and related offences,3691.0
2014,D.M.R. Eastern Garda Division,Weapons and explosives offences,68.0
2015,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",513.0
2015,D.M.R. Eastern Garda Division,Burglary and related offences,2298.0
2015,D.M.R. Eastern Garda Division,Controlled drug offences,320.0
2015,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,1094.0
2015,D.M.R. Eastern Garda Division,Dangerous or negligent acts,994.0
2015,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",254.0
2015,D.M.R. Eastern Garda Division,Homicide & related offences,1.0
2015,D.M.R. Eastern Garda Division,Kidnapping and related offences,10.0
2015,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",275.0
2015,D.M.R. Eastern Garda Division,Offences not elsewhere classified,47.0
2015,D.M.R. Eastern Garda Division,Public order and other social code offences,655.0
2015,D.M.R. Eastern Garda Division,Road and traffic offences,2000.0
2015,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",88.0
2015,D.M.R. Eastern Garda Division,Sexual offences,72.0
2015,D.M.R. Eastern Garda Division,Theft and related offences,3858.0
2015,D.M.R. Eastern Garda Division,Weapons and explosives offences,51.0
2016,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",462.0
2016,D.M.R. Eastern Garda Division,Burglary and related offences,1855.0
2016,D.M.R. Eastern Garda Division,Controlled drug offences,281.0
2016,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,911.0
2016,D.M.R. Eastern Garda Division,Dangerous or negligent acts,780.0
2016,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",231.0
2016,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2016,D.M.R. Eastern Garda Division,Kidnapping and related offences,5.0
2016,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",261.0
2016,D.M.R. Eastern Garda Division,Offences not elsewhere classified,34.0
2016,D.M.R. Eastern Garda Division,Public order and other social code offences,601.0
2016,D.M.R. Eastern Garda Division,Road and traffic offences,1544.0
2016,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",77.0
2016,D.M.R. Eastern Garda Division,Sexual offences,79.0
2016,D.M.R. Eastern Garda Division,Theft and related offences,3289.0
2016,D.M.R. Eastern Garda Division,Weapons and explosives offences,48.0
2017,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",550.0
2017,D.M.R. Eastern Garda Division,Burglary and related offences,1722.0
2017,D.M.R. Eastern Garda Division,Controlled drug offences,430.0
2017,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,842.0
