Quarter,Garda Division,Type of Offence,VALUE
2003Q1,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",90.0
2003Q1,D.M.R. Eastern Garda Division,Burglary and related offences,530.0
2003Q1,D.M.R. Eastern Garda Division,Controlled drug offences,78.0
2003Q1,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,341.0
2003Q1,D.M.R. Eastern Garda Division,Dangerous or negligent acts,87.0
2003Q1,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",21.0
2003Q1,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2003Q1,D.M.R. Eastern Garda Division,Kidnapping and related offences,1.0
2003Q1,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2003Q1,D.M.R. Eastern Garda Division,Offences not elsewhere classified,9.0
2003Q1,D.M.R. Eastern Garda Division,Public order and other social code offences,348.0
2003Q1,D.M.R. Eastern Garda Division,Road and traffic offences,501.0
2003Q1,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",51.0
2003Q1,D.M.R. Eastern Garda Division,Sexual offences,15.0
2003Q1,D.M.R. Eastern Garda Division,Theft and related offences,746.0
2003Q1,D.M.R. Eastern Garda Division,Weapons and explosives offences,9.0
2003Q2,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",71.0
2003Q2,D.M.R. Eastern Garda Division,Burglary and related offences,433.0
2003Q2,D.M.R. Eastern Garda Division,Controlled drug offences,69.0
2003Q2,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,336.0
2003Q2,D.M.R. Eastern Garda Division,Dangerous or negligent acts,87.0
2003Q2,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",21.0
2003Q2,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2003Q2,D.M.R. Eastern Garda Division,Kidnapping and related offences,1.0
2003Q2,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",27.0
2003Q2,D.M.R. Eastern Garda Division,Offences not elsewhere classified,3.0
2003Q2,D.M.R. Eastern Garda Division,Public order and other social code offences,344.0
2003Q2,D.M.R. Eastern Garda Division,Road and traffic offences,463.0
2003Q2,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",54.0
2003Q2,D.M.R. Eastern Garda Division,Sexual offences,8.0
2003Q2,D.M.R. Eastern Garda Division,Theft and related offences,745.0
2003Q2,D.M.R. Eastern Garda Division,Weapons and explosives offences,12.0
2003Q3,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",76.0
2003Q3,D.M.R. Eastern Garda Division,Burglary and related offences,371.0
2003Q3,D.M.R. Eastern Garda Division,Controlled drug offences,91.0
2003Q3,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,251.0
2003Q3,D.M.R. Eastern Garda Division,Dangerous or negligent acts,79.0
2003Q3,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",26.0
2003Q3,D.M.R. Eastern Garda Division,Homicide & related offences,1.0
