Year,Garda Division,Type of Offence,VALUE
2003,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",579.0
2003,D.M.R. North Central Garda Division,Burglary and related offences,1119.0
2003,D.M.R. North Central Garda Division,Controlled drug offences,421.0
2003,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1940.0
2003,D.M.R. North Central Garda Division,Dangerous or negligent acts,549.0
2003,D.M.R. North Central Garda Division,"Fraud, deception and related offences",173.0
2003,D.M.R. North Central Garda Division,Homicide & related offences,9.0
2003,D.M.R. North Central Garda Division,Kidnapping and related offences,7.0
2003,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",1690.0
2003,D.M.R. North Central Garda Division,Offences not elsewhere classified,135.0
2003,D.M.R. North Central Garda Division,Public order and other social code offences,4324.0
2003,D.M.R. North Central Garda Division,Road and traffic offences,3923.0
2003,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",344.0
2003,D.M.R. North Central Garda Division,Sexual offences,76.0
2003,D.M.R. North Central Garda Division,Theft and related offences,8375.0
2003,D.M.R. North Central Garda Division,Weapons and explosives offences,181.0
2004,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",648.0
2004,D.M.R. North Central Garda Division,Burglary and related offences,1072.0
2004,D.M.R. North Central Garda Division,Controlled drug offences,470.0
2004,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,2352.0
2004,D.M.R. North Central Garda Division,Dangerous or negligent acts,537.0
2004,D.M.R. North Central Garda Division,"Fraud, deception and related offences",202.0
2004,D.M.R. North Central Garda Division,Homicide & related offences,2.0
2004,D.M.R. North Central Garda Division,Kidnapping and related offences,5.0
2004,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",1621.0
2004,D.M.R. North Central Garda Division,Offences not elsewhere classified,97.0
2004,D.M.R. North Central Garda Division,Public order and other social code offences,4591.0
2004,D.M.R. North Central Garda Division,Road and traffic offences,4542.0
2004,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",310.0
2004,D.M.R. North Central Garda Division,Sexual offences,54.0
2004,D.M.R. North Central Garda Division,Theft and related offences,7667.0
2004,D.M.R. North Central Garda Division,Weapons and explosives offences,181.0
2005,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",484.0
2005,D.M.R. North Central Garda Division,Burglary and related offences,1144.0
2005,D.M.R. North Central Garda Division,Controlled drug offences,690.0
2005,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1846.0
2005,D.M.R. North Central Garda Division,Dangerous or negligent acts,498.0
2005,D.M.R. North Central Garda Division,"Fraud, deception and related offences",276.0
2005,D.M.R. North Central Garda Division,Homicide & related offences,5.0
2005,D.M.R. North Central Garda Division,Kidnapping and related offences,4.0
2005,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",2250.0
2005,D.M.R. North Central Garda Division,Offences not elsewhere classified,79.0
2005,D.M.R. North Central Garda Division,Public order and other social code offences,4363.0
2005,D.M.R. North Central Garda Division,Road and traffic offences,4175.0
2005,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",347.0
2005,D.M.R. North Central Garda Division,Sexual offences,54.0
2005,D.M.R. North Central Garda Division,Theft and related offences,7043.0
2005,D.M.R. North Central Garda Division,Weapons and explosives offences,223.0
2006,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",630.0
2006,D.M.R. North Central Garda Division,Burglary and related offences,1110.0
2006,D.M.R. North Central Garda Division,Controlled drug offences,776.0
2006,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1747.0
2006,D.M.R. North Central Garda Division,Dangerous or negligent acts,889.0
2006,D.M.R. North Central Garda Division,"Fraud, deception and related offences",348.0
2006,D.M.R. North Central Garda Division,Homicide & related offences,8.0
2006,D.M.R. North Central Garda Division,Kidnapping and related offences,8.0
2006,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",2840.0
2006,D.M.R. North Central Garda Division,Offences not elsewhere classified,111.0
2006,D.M.R. North Central Garda Division,Public order and other social code offences,3672.0
2006,D.M.R. North Central Garda Division,Road and traffic offences,8379.0
2006,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",293.0
2006,D.M.R. North Central Garda Division,Sexual offences,70.0
2006,D.M.R. North Central Garda Division,Theft and related offences,6502.0
2006,D.M.R. North Central Garda Division,Weapons and explosives offences,330.0
2007,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",722.0
2007,D.M.R. North Central Garda Division,Burglary and related offences,1068.0
2007,D.M.R. North Central Garda Division,Controlled drug offences,981.0
2007,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1942.0
2007,D.M.R. North Central Garda Division,Dangerous or negligent acts,1527.0
2007,D.M.R. North Central Garda Division,"Fraud, deception and related offences",415.0
2007,D.M.R. North Central Garda Division,Homicide & related offences,3.0
2007,D.M.R. North Central Garda Division,Kidnapping and related offences,3.0
2007,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",3879.0
2007,D.M.R. North Central Garda Division,Offences not elsewhere classified,113.0
2007,D.M.R. North Central Garda Division,Public order and other social code offences,3272.0
2007,D.M.R. North Central Garda Division,Road and traffic offences,9823.0
2007,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",225.0
2007,D.M.R. North Central Garda Division,Sexual offences,53.0
2007,D.M.R. North Central Garda Division,Theft and related offences,6763.0
2007,D.M.R. North Central Garda Division,Weapons and explosives offences,329.0
2008,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",729.0
2008,D.M.R. North Central Garda Division,Burglary and related offences,1002.0
2008,D.M.R. North Central Garda Division,Controlled drug offences,1223.0
2008,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,2131.0
2008,D.M.R. North Central Garda Division,Dangerous or negligent acts,1242.0
2008,D.M.R. North Central Garda Division,"Fraud, deception and related offences",401.0
2008,D.M.R. North Central Garda Division,Homicide & related offences,3.0
2008,D.M.R. North Central Garda Division,Kidnapping and related offences,4.0
2008,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",5178.0
2008,D.M.R. North Central Garda Division,Offences not elsewhere classified,163.0
2008,D.M.R. North Central Garda Division,Public order and other social code offences,4051.0
2008,D.M.R. North Central Garda Division,Road and traffic offences,11205.0
2008,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",229.0
2008,D.M.R. North Central Garda Division,Sexual offences,53.0
2008,D.M.R. North Central Garda Division,Theft and related offences,7197.0
2008,D.M.R. North Central Garda Division,Weapons and explosives offences,359.0
2009,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",730.0
2009,D.M.R. North Central Garda Division,Burglary and related offences,1103.0
2009,D.M.R. North Central Garda Division,Controlled drug offences,1232.0
2009,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,2157.0
2009,D.M.R. North Central Garda Division,Dangerous or negligent acts,790.0
2009,D.M.R. North Central Garda Division,"Fraud, deception and related offences",368.0
2009,D.M.R. North Central Garda Division,Homicide & related offences,6.0
2009,D.M.R. North Central Garda Division,Kidnapping and related offences,6.0
2009,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",4307.0
2009,D.M.R. North Central Garda Division,Offences not elsewhere classified,134.0
2009,D.M.R. North Central Garda Division,Public order and other social code offences,2992.0
2009,D.M.R. North Central Garda Division,Road and traffic offences,9539.0
2009,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",295.0
2009,D.M.R. North Central Garda Division,Sexual offences,42.0
2009,D.M.R. North Central Garda Division,Theft and related offences,6452.0
2009,D.M.R. North Central Garda Division,Weapons and explosives offences,323.0
2010,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",805.0
2010,D.M.R. North Central Garda Division,Burglary and related offences,1056.0
2010,D.M.R. North Central Garda Division,Controlled drug offences,1099.0
2010,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1850.0
2010,D.M.R. North Central Garda Division,Dangerous or negligent acts,772.0
2010,D.M.R. North Central Garda Division,"Fraud, deception and related offences",375.0
2010,D.M.R. North Central Garda Division,Homicide & related offences,5.0
2010,D.M.R. North Central Garda Division,Kidnapping and related offences,5.0
2010,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",4244.0
2010,D.M.R. North Central Garda Division,Offences not elsewhere classified,118.0
2010,D.M.R. North Central Garda Division,Public order and other social code offences,2877.0
2010,D.M.R. North Central Garda Division,Road and traffic offences,6641.0
2010,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",496.0
2010,D.M.R. North Central Garda Division,Sexual offences,71.0
2010,D.M.R. North Central Garda Division,Theft and related offences,7402.0
2010,D.M.R. North Central Garda Division,Weapons and explosives offences,383.0
2011,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",817.0
2011,D.M.R. North Central Garda Division,Burglary and related offences,1112.0
2011,D.M.R. North Central Garda Division,Controlled drug offences,915.0
2011,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1940.0
2011,D.M.R. North Central Garda Division,Dangerous or negligent acts,1474.0
2011,D.M.R. North Central Garda Division,"Fraud, deception and related offences",415.0
2011,D.M.R. North Central Garda Division,Homicide & related offences,2.0
2011,D.M.R. North Central Garda Division,Kidnapping and related offences,4.0
2011,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",3751.0
2011,D.M.R. North Central Garda Division,Offences not elsewhere classified,46.0
2011,D.M.R. North Central Garda Division,Public order and other social code offences,2873.0
2011,D.M.R. North Central Garda Division,Road and traffic offences,5726.0
2011,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",449.0
2011,D.M.R. North Central Garda Division,Sexual offences,74.0
2011,D.M.R. North Central Garda Division,Theft and related offences,7284.0
2011,D.M.R. North Central Garda Division,Weapons and explosives offences,337.0
2012,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",702.0
2012,D.M.R. North Central Garda Division,Burglary and related offences,1010.0
2012,D.M.R. North Central Garda Division,Controlled drug offences,1102.0
2012,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1639.0
2012,D.M.R. North Central Garda Division,Dangerous or negligent acts,1712.0
2012,D.M.R. North Central Garda Division,"Fraud, deception and related offences",426.0
2012,D.M.R. North Central Garda Division,Homicide & related offences,4.0
2012,D.M.R. North Central Garda Division,Kidnapping and related offences,8.0
2012,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",3662.0
2012,D.M.R. North Central Garda Division,Offences not elsewhere classified,45.0
2012,D.M.R. North Central Garda Division,Public order and other social code offences,2470.0
2012,D.M.R. North Central Garda Division,Road and traffic offences,4571.0
2012,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",398.0
2012,D.M.R. North Central Garda Division,Sexual offences,57.0
2012,D.M.R. North Central Garda Division,Theft and related offences,6931.0
2012,D.M.R. North Central Garda Division,Weapons and explosives offences,280.0
2013,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",719.0
2013,D.M.R. North Central Garda Division,Burglary and related offences,995.0
2013,D.M.R. North Central Garda Division,Controlled drug offences,988.0
2013,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1514.0
2013,D.M.R. North Central Garda Division,Dangerous or negligent acts,887.0
2013,D.M.R. North Central Garda Division,"Fraud, deception and related offences",384.0
2013,D.M.R. North Central Garda Division,Homicide & related offences,3.0
2013,D.M.R. North Central Garda Division,Kidnapping and related offences,10.0
2013,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",3148.0
2013,D.M.R. North Central Garda Division,Offences not elsewhere classified,57.0
2013,D.M.R. North Central Garda Division,Public order and other social code offences,2047.0
2013,D.M.R. North Central Garda Division,Road and traffic offences,3542.0
2013,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",368.0
2013,D.M.R. North Central Garda Division,Sexual offences,76.0
2013,D.M.R. North Central Garda Division,Theft and related offences,7630.0
2013,D.M.R. North Central Garda Division,Weapons and explosives offences,258.0
2014,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",804.0
2014,D.M.R. North Central Garda Division,Burglary and related offences,1117.0
2014,D.M.R. North Central Garda Division,Controlled drug offences,1896.0
2014,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1522.0
2014,D.M.R. North Central Garda Division,Dangerous or negligent acts,710.0
2014,D.M.R. North Central Garda Division,"Fraud, deception and related offences",369.0
2014,D.M.R. North Central Garda Division,Homicide & related offences,6.0
2014,D.M.R. North Central Garda Division,Kidnapping and related offences,6.0
2014,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",3244.0
2014,D.M.R. North Central Garda Division,Offences not elsewhere classified,62.0
2014,D.M.R. North Central Garda Division,Public order and other social code offences,1801.0
2014,D.M.R. North Central Garda Division,Road and traffic offences,3123.0
2014,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",342.0
2014,D.M.R. North Central Garda Division,Sexual offences,75.0
2014,D.M.R. North Central Garda Division,Theft and related offences,7659.0
2014,D.M.R. North Central Garda Division,Weapons and explosives offences,213.0
2015,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",910.0
2015,D.M.R. North Central Garda Division,Burglary and related offences,871.0
2015,D.M.R. North Central Garda Division,Controlled drug offences,1694.0
2015,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,1469.0
2015,D.M.R. North Central Garda Division,Dangerous or negligent acts,1187.0
2015,D.M.R. North Central Garda Division,"Fraud, deception and related offences",526.0
2015,D.M.R. North Central Garda Division,Homicide & related offences,3.0
2015,D.M.R. North Central Garda Division,Kidnapping and related offences,9.0
2015,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",3712.0
2015,D.M.R. North Central Garda Division,Offences not elsewhere classified,98.0
2015,D.M.R. North Central Garda Division,Public order and other social code offences,4034.0
2015,D.M.R. North Central Garda Division,Road and traffic offences,2680.0
2015,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",327.0
