Quarter,Garda Division,Type of Offence,VALUE
2003Q1,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",175.0
2003Q1,D.M.R. North Central Garda Division,Burglary and related offences,290.0
2003Q1,D.M.R. North Central Garda Division,Controlled drug offences,71.0
2003Q1,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,552.0
2003Q1,D.M.R. North Central Garda Division,Dangerous or negligent acts,122.0
2003Q1,D.M.R. North Central Garda Division,"Fraud, deception and related offences",55.0
2003Q1,D.M.R. North Central Garda Division,Homicide & related offences,4.0
2003Q1,D.M.R. North Central Garda Division,Kidnapping and related offences,3.0
2003Q1,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",455.0
2003Q1,D.M.R. North Central Garda Division,Offences not elsewhere classified,38.0
2003Q1,D.M.R. North Central Garda Division,Public order and other social code offences,819.0
2003Q1,D.M.R. North Central Garda Division,Road and traffic offences,752.0
2003Q1,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",105.0
2003Q1,D.M.R. North Central Garda Division,Sexual offences,37.0
2003Q1,D.M.R. North Central Garda Division,Theft and related offences,2068.0
2003Q1,D.M.R. North Central Garda Division,Weapons and explosives offences,49.0
2003Q2,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",135.0
2003Q2,D.M.R. North Central Garda Division,Burglary and related offences,295.0
2003Q2,D.M.R. North Central Garda Division,Controlled drug offences,112.0
2003Q2,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,479.0
2003Q2,D.M.R. North Central Garda Division,Dangerous or negligent acts,136.0
2003Q2,D.M.R. North Central Garda Division,"Fraud, deception and related offences",33.0
2003Q2,D.M.R. North Central Garda Division,Homicide & related offences,3.0
2003Q2,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2003Q2,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",402.0
2003Q2,D.M.R. North Central Garda Division,Offences not elsewhere classified,36.0
2003Q2,D.M.R. North Central Garda Division,Public order and other social code offences,1012.0
2003Q2,D.M.R. North Central Garda Division,Road and traffic offences,832.0
2003Q2,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",65.0
2003Q2,D.M.R. North Central Garda Division,Sexual offences,8.0
2003Q2,D.M.R. North Central Garda Division,Theft and related offences,2107.0
2003Q2,D.M.R. North Central Garda Division,Weapons and explosives offences,47.0
2003Q3,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",135.0
2003Q3,D.M.R. North Central Garda Division,Burglary and related offences,247.0
2003Q3,D.M.R. North Central Garda Division,Controlled drug offences,125.0
2003Q3,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,476.0
2003Q3,D.M.R. North Central Garda Division,Dangerous or negligent acts,139.0
2003Q3,D.M.R. North Central Garda Division,"Fraud, deception and related offences",45.0
2003Q3,D.M.R. North Central Garda Division,Homicide & related offences,1.0
2003Q3,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2003Q3,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",413.0
2003Q3,D.M.R. North Central Garda Division,Offences not elsewhere classified,31.0
2003Q3,D.M.R. North Central Garda Division,Public order and other social code offences,1324.0
