Year,Garda Division,Type of Offence,VALUE
2003,D.M.R. Northern Garda Division,"Abandoning a child, child neglect and cruelty (0422)",16.0
2003,D.M.R. Northern Garda Division,Abduction of person under 16 years of age (0512),3.0
2003,D.M.R. Northern Garda Division,Aggravated burglary (0711),30.0
2003,D.M.R. Northern Garda Division,Arson (1211),85.0
2003,D.M.R. Northern Garda Division,"Assault causing harm, poisoning (034)",203.0
2003,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",617.0
2003,D.M.R. Northern Garda Division,Blackmail or extortion (0621),1.0
2003,D.M.R. Northern Garda Division,Burglary (not aggravated) (0712),1986.0
2003,D.M.R. Northern Garda Division,Burglary and related offences (07),2052.0
2003,D.M.R. Northern Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",10.0
2003,D.M.R. Northern Garda Division,Controlled drug offences (10),631.0
2003,D.M.R. Northern Garda Division,Criminal damage (not arson) (1212),2934.0
2003,D.M.R. Northern Garda Division,Cultivation or manufacture of drugs (1012),0.0
2003,D.M.R. Northern Garda Division,Damage to property and to the environment  offences (12),3021.0
2003,D.M.R. Northern Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2003,D.M.R. Northern Garda Division,Dangerous driving leading to death (012),6.0
2003,D.M.R. Northern Garda Division,Dangerous or negligent acts (04),1073.0
2003,D.M.R. Northern Garda Division,Dangerous/careless driving and motorway offences (0414),194.0
2003,D.M.R. Northern Garda Division,Discharging a firearm (1121),18.0
2003,D.M.R. Northern Garda Division,Disorderly conduct (131),1755.0
2003,D.M.R. Northern Garda Division,"Driving licence-failure to have, produce, etc. (1411)",74.0
2003,D.M.R. Northern Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",645.0
2003,D.M.R. Northern Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),10.0
2003,D.M.R. Northern Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),635.0
2003,D.M.R. Northern Garda Division,Endangering traffic offences (0425),10.0
2003,D.M.R. Northern Garda Division,Endangerment with potential for serious harm/death (0421),16.0
2003,D.M.R. Northern Garda Division,"Explosives, chemical weapons offences (111)",3.0
2003,D.M.R. Northern Garda Division,False alarm/interference with aircraft or air transport facilities (0424),8.0
2003,D.M.R. Northern Garda Division,False imprisonment (0511),3.0
2003,D.M.R. Northern Garda Division,Fireworks offences (114),0.0
2003,D.M.R. Northern Garda Division,"Fraud, deception and related offences (09)",570.0
2003,D.M.R. Northern Garda Division,Harassment and related offences (033),43.0
2003,D.M.R. Northern Garda Division,Homicide & related offences (01),9.0
2003,D.M.R. Northern Garda Division,Human trafficking offences (0513),0.0
2003,D.M.R. Northern Garda Division,Importation of drugs (1011),21.0
2003,D.M.R. Northern Garda Division,Infanticide (0113),0.0
2003,D.M.R. Northern Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",863.0
2003,D.M.R. Northern Garda Division,Kidnapping and related offences (05),6.0
2003,D.M.R. Northern Garda Division,Light rail offences (Luas) (1443),0.0
2003,D.M.R. Northern Garda Division,Liquor licensing offences (133),20.0
2003,D.M.R. Northern Garda Division,Litter offences (1221),2.0
2003,D.M.R. Northern Garda Division,Manslaughter (0112),2.0
2003,D.M.R. Northern Garda Division,Murder (0111),1.0
2003,D.M.R. Northern Garda Division,Murder-attempt (0311),0.0
2003,D.M.R. Northern Garda Division,Obstruction under Road Traffic Acts (1432),4.0
2003,D.M.R. Northern Garda Division,Offences against government and its agents (151),21.0
2003,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime (15)",317.0
2003,D.M.R. Northern Garda Division,Offences not elsewhere classified (16),108.0
2003,D.M.R. Northern Garda Division,"Offences while in custody, breach of court orders (157)",286.0
2003,D.M.R. Northern Garda Division,Offensive weapons offences (n.e.c.) (113),90.0
2003,D.M.R. Northern Garda Division,Organisation of crime and conspiracy to commit crime (152),1.0
2003,D.M.R. Northern Garda Division,Other assault (035),369.0
2003,D.M.R. Northern Garda Division,Other drug offences (103),22.0
2003,D.M.R. Northern Garda Division,Other road offences (1433),2120.0
2003,D.M.R. Northern Garda Division,Other sexual offences (022),13.0
2003,D.M.R. Northern Garda Division,"Other thefts, handling stolen property (084)",2503.0
2003,D.M.R. Northern Garda Division,Perverting the course of justice (153),9.0
2003,D.M.R. Northern Garda Division,Possession of a firearm (1122),23.0
