Quarter,Garda Division,Type of Offence,VALUE
2003Q1,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",166.0
2003Q1,D.M.R. Northern Garda Division,Burglary and related offences,597.0
2003Q1,D.M.R. Northern Garda Division,Controlled drug offences,136.0
2003Q1,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,734.0
2003Q1,D.M.R. Northern Garda Division,Dangerous or negligent acts,217.0
2003Q1,D.M.R. Northern Garda Division,"Fraud, deception and related offences",81.0
2003Q1,D.M.R. Northern Garda Division,Homicide & related offences,0.0
2003Q1,D.M.R. Northern Garda Division,Kidnapping and related offences,4.0
2003Q1,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",79.0
2003Q1,D.M.R. Northern Garda Division,Offences not elsewhere classified,16.0
2003Q1,D.M.R. Northern Garda Division,Public order and other social code offences,417.0
2003Q1,D.M.R. Northern Garda Division,Road and traffic offences,725.0
2003Q1,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",83.0
2003Q1,D.M.R. Northern Garda Division,Sexual offences,34.0
2003Q1,D.M.R. Northern Garda Division,Theft and related offences,1385.0
2003Q1,D.M.R. Northern Garda Division,Weapons and explosives offences,25.0
2003Q2,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",153.0
2003Q2,D.M.R. Northern Garda Division,Burglary and related offences,469.0
2003Q2,D.M.R. Northern Garda Division,Controlled drug offences,162.0
2003Q2,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,746.0
2003Q2,D.M.R. Northern Garda Division,Dangerous or negligent acts,276.0
2003Q2,D.M.R. Northern Garda Division,"Fraud, deception and related offences",74.0
2003Q2,D.M.R. Northern Garda Division,Homicide & related offences,7.0
2003Q2,D.M.R. Northern Garda Division,Kidnapping and related offences,1.0
2003Q2,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",69.0
2003Q2,D.M.R. Northern Garda Division,Offences not elsewhere classified,26.0
2003Q2,D.M.R. Northern Garda Division,Public order and other social code offences,476.0
2003Q2,D.M.R. Northern Garda Division,Road and traffic offences,772.0
2003Q2,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",63.0
2003Q2,D.M.R. Northern Garda Division,Sexual offences,10.0
2003Q2,D.M.R. Northern Garda Division,Theft and related offences,1341.0
2003Q2,D.M.R. Northern Garda Division,Weapons and explosives offences,40.0
2003Q3,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",147.0
2003Q3,D.M.R. Northern Garda Division,Burglary and related offences,464.0
2003Q3,D.M.R. Northern Garda Division,Controlled drug offences,180.0
2003Q3,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,705.0
2003Q3,D.M.R. Northern Garda Division,Dangerous or negligent acts,262.0
2003Q3,D.M.R. Northern Garda Division,"Fraud, deception and related offences",226.0
2003Q3,D.M.R. Northern Garda Division,Homicide & related offences,2.0
2003Q3,D.M.R. Northern Garda Division,Kidnapping and related offences,1.0
2003Q3,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",87.0
2003Q3,D.M.R. Northern Garda Division,Offences not elsewhere classified,30.0
2003Q3,D.M.R. Northern Garda Division,Public order and other social code offences,499.0
2003Q3,D.M.R. Northern Garda Division,Road and traffic offences,999.0
2003Q3,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",61.0
2003Q3,D.M.R. Northern Garda Division,Sexual offences,18.0
2003Q3,D.M.R. Northern Garda Division,Theft and related offences,1472.0
2003Q3,D.M.R. Northern Garda Division,Weapons and explosives offences,39.0
2003Q4,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",151.0
2003Q4,D.M.R. Northern Garda Division,Burglary and related offences,522.0
2003Q4,D.M.R. Northern Garda Division,Controlled drug offences,153.0
2003Q4,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,836.0
2003Q4,D.M.R. Northern Garda Division,Dangerous or negligent acts,318.0
2003Q4,D.M.R. Northern Garda Division,"Fraud, deception and related offences",189.0
2003Q4,D.M.R. Northern Garda Division,Homicide & related offences,0.0
2003Q4,D.M.R. Northern Garda Division,Kidnapping and related offences,0.0
