Quarter,Garda Division,Type of Offence,VALUE
2003Q1,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",198.0
2003Q1,D.M.R. South Central Garda Division,Burglary and related offences,574.0
2003Q1,D.M.R. South Central Garda Division,Controlled drug offences,94.0
2003Q1,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,571.0
2003Q1,D.M.R. South Central Garda Division,Dangerous or negligent acts,165.0
2003Q1,D.M.R. South Central Garda Division,"Fraud, deception and related offences",101.0
2003Q1,D.M.R. South Central Garda Division,Homicide & related offences,2.0
2003Q1,D.M.R. South Central Garda Division,Kidnapping and related offences,0.0
2003Q1,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",95.0
2003Q1,D.M.R. South Central Garda Division,Offences not elsewhere classified,26.0
2003Q1,D.M.R. South Central Garda Division,Public order and other social code offences,762.0
2003Q1,D.M.R. South Central Garda Division,Road and traffic offences,913.0
2003Q1,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",155.0
2003Q1,D.M.R. South Central Garda Division,Sexual offences,13.0
2003Q1,D.M.R. South Central Garda Division,Theft and related offences,2268.0
2003Q1,D.M.R. South Central Garda Division,Weapons and explosives offences,55.0
2003Q2,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",205.0
2003Q2,D.M.R. South Central Garda Division,Burglary and related offences,455.0
2003Q2,D.M.R. South Central Garda Division,Controlled drug offences,144.0
2003Q2,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,543.0
2003Q2,D.M.R. South Central Garda Division,Dangerous or negligent acts,149.0
2003Q2,D.M.R. South Central Garda Division,"Fraud, deception and related offences",35.0
2003Q2,D.M.R. South Central Garda Division,Homicide & related offences,1.0
2003Q2,D.M.R. South Central Garda Division,Kidnapping and related offences,1.0
2003Q2,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",108.0
2003Q2,D.M.R. South Central Garda Division,Offences not elsewhere classified,53.0
2003Q2,D.M.R. South Central Garda Division,Public order and other social code offences,939.0
2003Q2,D.M.R. South Central Garda Division,Road and traffic offences,1003.0
2003Q2,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",151.0
2003Q2,D.M.R. South Central Garda Division,Sexual offences,20.0
2003Q2,D.M.R. South Central Garda Division,Theft and related offences,2324.0
2003Q2,D.M.R. South Central Garda Division,Weapons and explosives offences,40.0
2003Q3,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",139.0
2003Q3,D.M.R. South Central Garda Division,Burglary and related offences,532.0
2003Q3,D.M.R. South Central Garda Division,Controlled drug offences,155.0
2003Q3,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,441.0
2003Q3,D.M.R. South Central Garda Division,Dangerous or negligent acts,206.0
2003Q3,D.M.R. South Central Garda Division,"Fraud, deception and related offences",61.0
2003Q3,D.M.R. South Central Garda Division,Homicide & related offences,1.0
2003Q3,D.M.R. South Central Garda Division,Kidnapping and related offences,3.0
2003Q3,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",151.0
2003Q3,D.M.R. South Central Garda Division,Offences not elsewhere classified,22.0
2003Q3,D.M.R. South Central Garda Division,Public order and other social code offences,1196.0
2003Q3,D.M.R. South Central Garda Division,Road and traffic offences,1042.0
2003Q3,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",127.0
2003Q3,D.M.R. South Central Garda Division,Sexual offences,12.0
2003Q3,D.M.R. South Central Garda Division,Theft and related offences,2223.0
2003Q3,D.M.R. South Central Garda Division,Weapons and explosives offences,56.0
2003Q4,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",171.0
2003Q4,D.M.R. South Central Garda Division,Burglary and related offences,524.0
2003Q4,D.M.R. South Central Garda Division,Controlled drug offences,103.0
2003Q4,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,450.0
2003Q4,D.M.R. South Central Garda Division,Dangerous or negligent acts,140.0
2003Q4,D.M.R. South Central Garda Division,"Fraud, deception and related offences",47.0
2003Q4,D.M.R. South Central Garda Division,Homicide & related offences,0.0
2003Q4,D.M.R. South Central Garda Division,Kidnapping and related offences,1.0
2003Q4,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",129.0
2003Q4,D.M.R. South Central Garda Division,Offences not elsewhere classified,25.0
2003Q4,D.M.R. South Central Garda Division,Public order and other social code offences,1126.0
2003Q4,D.M.R. South Central Garda Division,Road and traffic offences,972.0
2003Q4,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",99.0
2003Q4,D.M.R. South Central Garda Division,Sexual offences,7.0
2003Q4,D.M.R. South Central Garda Division,Theft and related offences,1970.0
2003Q4,D.M.R. South Central Garda Division,Weapons and explosives offences,30.0
2004Q1,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",179.0
2004Q1,D.M.R. South Central Garda Division,Burglary and related offences,486.0
2004Q1,D.M.R. South Central Garda Division,Controlled drug offences,116.0
2004Q1,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,580.0
2004Q1,D.M.R. South Central Garda Division,Dangerous or negligent acts,142.0
2004Q1,D.M.R. South Central Garda Division,"Fraud, deception and related offences",67.0
2004Q1,D.M.R. South Central Garda Division,Homicide & related offences,9.0
2004Q1,D.M.R. South Central Garda Division,Kidnapping and related offences,0.0
2004Q1,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",139.0
2004Q1,D.M.R. South Central Garda Division,Offences not elsewhere classified,21.0
2004Q1,D.M.R. South Central Garda Division,Public order and other social code offences,905.0
2004Q1,D.M.R. South Central Garda Division,Road and traffic offences,1035.0
2004Q1,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",126.0
2004Q1,D.M.R. South Central Garda Division,Sexual offences,18.0
2004Q1,D.M.R. South Central Garda Division,Theft and related offences,1862.0
2004Q1,D.M.R. South Central Garda Division,Weapons and explosives offences,33.0
2004Q2,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",162.0
2004Q2,D.M.R. South Central Garda Division,Burglary and related offences,466.0
2004Q2,D.M.R. South Central Garda Division,Controlled drug offences,154.0
2004Q2,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,536.0
2004Q2,D.M.R. South Central Garda Division,Dangerous or negligent acts,168.0
2004Q2,D.M.R. South Central Garda Division,"Fraud, deception and related offences",39.0
2004Q2,D.M.R. South Central Garda Division,Homicide & related offences,1.0
2004Q2,D.M.R. South Central Garda Division,Kidnapping and related offences,1.0
2004Q2,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",135.0
2004Q2,D.M.R. South Central Garda Division,Offences not elsewhere classified,24.0
2004Q2,D.M.R. South Central Garda Division,Public order and other social code offences,914.0
2004Q2,D.M.R. South Central Garda Division,Road and traffic offences,1159.0
2004Q2,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",120.0
2004Q2,D.M.R. South Central Garda Division,Sexual offences,15.0
2004Q2,D.M.R. South Central Garda Division,Theft and related offences,2058.0
2004Q2,D.M.R. South Central Garda Division,Weapons and explosives offences,41.0
2004Q3,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",156.0
2004Q3,D.M.R. South Central Garda Division,Burglary and related offences,532.0
2004Q3,D.M.R. South Central Garda Division,Controlled drug offences,215.0
2004Q3,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,527.0
2004Q3,D.M.R. South Central Garda Division,Dangerous or negligent acts,169.0
2004Q3,D.M.R. South Central Garda Division,"Fraud, deception and related offences",44.0
2004Q3,D.M.R. South Central Garda Division,Homicide & related offences,1.0
2004Q3,D.M.R. South Central Garda Division,Kidnapping and related offences,1.0
2004Q3,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",115.0
2004Q3,D.M.R. South Central Garda Division,Offences not elsewhere classified,10.0
2004Q3,D.M.R. South Central Garda Division,Public order and other social code offences,908.0
2004Q3,D.M.R. South Central Garda Division,Road and traffic offences,1239.0
2004Q3,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",93.0
2004Q3,D.M.R. South Central Garda Division,Sexual offences,18.0
2004Q3,D.M.R. South Central Garda Division,Theft and related offences,1976.0
2004Q3,D.M.R. South Central Garda Division,Weapons and explosives offences,39.0
2004Q4,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",178.0
2004Q4,D.M.R. South Central Garda Division,Burglary and related offences,489.0
2004Q4,D.M.R. South Central Garda Division,Controlled drug offences,143.0
2004Q4,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,480.0
2004Q4,D.M.R. South Central Garda Division,Dangerous or negligent acts,201.0
2004Q4,D.M.R. South Central Garda Division,"Fraud, deception and related offences",51.0
2004Q4,D.M.R. South Central Garda Division,Homicide & related offences,2.0
2004Q4,D.M.R. South Central Garda Division,Kidnapping and related offences,0.0
2004Q4,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",126.0
2004Q4,D.M.R. South Central Garda Division,Offences not elsewhere classified,21.0
2004Q4,D.M.R. South Central Garda Division,Public order and other social code offences,1160.0
2004Q4,D.M.R. South Central Garda Division,Road and traffic offences,1366.0
2004Q4,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",79.0
2004Q4,D.M.R. South Central Garda Division,Sexual offences,11.0
2004Q4,D.M.R. South Central Garda Division,Theft and related offences,1842.0
2004Q4,D.M.R. South Central Garda Division,Weapons and explosives offences,46.0
2005Q1,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",168.0
2005Q1,D.M.R. South Central Garda Division,Burglary and related offences,583.0
2005Q1,D.M.R. South Central Garda Division,Controlled drug offences,136.0
2005Q1,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,443.0
2005Q1,D.M.R. South Central Garda Division,Dangerous or negligent acts,183.0
2005Q1,D.M.R. South Central Garda Division,"Fraud, deception and related offences",82.0
2005Q1,D.M.R. South Central Garda Division,Homicide & related offences,2.0
2005Q1,D.M.R. South Central Garda Division,Kidnapping and related offences,3.0
2005Q1,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",150.0
2005Q1,D.M.R. South Central Garda Division,Offences not elsewhere classified,8.0
2005Q1,D.M.R. South Central Garda Division,Public order and other social code offences,985.0
2005Q1,D.M.R. South Central Garda Division,Road and traffic offences,1328.0
2005Q1,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",78.0
2005Q1,D.M.R. South Central Garda Division,Sexual offences,17.0
2005Q1,D.M.R. South Central Garda Division,Theft and related offences,1755.0
2005Q1,D.M.R. South Central Garda Division,Weapons and explosives offences,33.0
2005Q2,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",157.0
2005Q2,D.M.R. South Central Garda Division,Burglary and related offences,600.0
2005Q2,D.M.R. South Central Garda Division,Controlled drug offences,175.0
2005Q2,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,519.0
2005Q2,D.M.R. South Central Garda Division,Dangerous or negligent acts,193.0
2005Q2,D.M.R. South Central Garda Division,"Fraud, deception and related offences",69.0
2005Q2,D.M.R. South Central Garda Division,Homicide & related offences,3.0
2005Q2,D.M.R. South Central Garda Division,Kidnapping and related offences,1.0
2005Q2,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",193.0
2005Q2,D.M.R. South Central Garda Division,Offences not elsewhere classified,13.0
2005Q2,D.M.R. South Central Garda Division,Public order and other social code offences,959.0
2005Q2,D.M.R. South Central Garda Division,Road and traffic offences,1387.0
2005Q2,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",91.0
2005Q2,D.M.R. South Central Garda Division,Sexual offences,12.0
2005Q2,D.M.R. South Central Garda Division,Theft and related offences,1796.0
2005Q2,D.M.R. South Central Garda Division,Weapons and explosives offences,45.0
2005Q3,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",147.0
2005Q3,D.M.R. South Central Garda Division,Burglary and related offences,499.0
2005Q3,D.M.R. South Central Garda Division,Controlled drug offences,172.0
2005Q3,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,486.0
2005Q3,D.M.R. South Central Garda Division,Dangerous or negligent acts,205.0
2005Q3,D.M.R. South Central Garda Division,"Fraud, deception and related offences",72.0
2005Q3,D.M.R. South Central Garda Division,Homicide & related offences,1.0
2005Q3,D.M.R. South Central Garda Division,Kidnapping and related offences,0.0
2005Q3,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",156.0
2005Q3,D.M.R. South Central Garda Division,Offences not elsewhere classified,18.0
2005Q3,D.M.R. South Central Garda Division,Public order and other social code offences,1127.0
2005Q3,D.M.R. South Central Garda Division,Road and traffic offences,1482.0
2005Q3,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",73.0
2005Q3,D.M.R. South Central Garda Division,Sexual offences,19.0
2005Q3,D.M.R. South Central Garda Division,Theft and related offences,1823.0
2005Q3,D.M.R. South Central Garda Division,Weapons and explosives offences,48.0
2005Q4,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",188.0
2005Q4,D.M.R. South Central Garda Division,Burglary and related offences,491.0
2005Q4,D.M.R. South Central Garda Division,Controlled drug offences,144.0
2005Q4,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,576.0
2005Q4,D.M.R. South Central Garda Division,Dangerous or negligent acts,198.0
2005Q4,D.M.R. South Central Garda Division,"Fraud, deception and related offences",92.0
2005Q4,D.M.R. South Central Garda Division,Homicide & related offences,2.0
2005Q4,D.M.R. South Central Garda Division,Kidnapping and related offences,5.0
2005Q4,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",201.0
2005Q4,D.M.R. South Central Garda Division,Offences not elsewhere classified,12.0
2005Q4,D.M.R. South Central Garda Division,Public order and other social code offences,1354.0
2005Q4,D.M.R. South Central Garda Division,Road and traffic offences,1290.0
2005Q4,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",78.0
2005Q4,D.M.R. South Central Garda Division,Sexual offences,28.0
2005Q4,D.M.R. South Central Garda Division,Theft and related offences,1702.0
2005Q4,D.M.R. South Central Garda Division,Weapons and explosives offences,42.0
2006Q1,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",197.0
2006Q1,D.M.R. South Central Garda Division,Burglary and related offences,487.0
2006Q1,D.M.R. South Central Garda Division,Controlled drug offences,198.0
2006Q1,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,607.0
2006Q1,D.M.R. South Central Garda Division,Dangerous or negligent acts,532.0
2006Q1,D.M.R. South Central Garda Division,"Fraud, deception and related offences",66.0
2006Q1,D.M.R. South Central Garda Division,Homicide & related offences,0.0
2006Q1,D.M.R. South Central Garda Division,Kidnapping and related offences,1.0
2006Q1,D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",215.0
2006Q1,D.M.R. South Central Garda Division,Offences not elsewhere classified,16.0
2006Q1,D.M.R. South Central Garda Division,Public order and other social code offences,1061.0
2006Q1,D.M.R. South Central Garda Division,Road and traffic offences,1453.0
2006Q1,D.M.R. South Central Garda Division,"Robbery, extortion and hijacking offences",84.0
2006Q1,D.M.R. South Central Garda Division,Sexual offences,19.0
2006Q1,D.M.R. South Central Garda Division,Theft and related offences,1561.0
2006Q1,D.M.R. South Central Garda Division,Weapons and explosives offences,58.0
2006Q2,D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",182.0
2006Q2,D.M.R. South Central Garda Division,Burglary and related offences,427.0
2006Q2,D.M.R. South Central Garda Division,Controlled drug offences,213.0
2006Q2,D.M.R. South Central Garda Division,Damage to property and to the environment  offences,550.0
