Year,Garda Division,Type of Offence,VALUE
2003,D.M.R. Southern Garda Division,"Abandoning a child, child neglect and cruelty (0422)",13.0
2003,D.M.R. Southern Garda Division,Abduction of person under 16 years of age (0512),0.0
2003,D.M.R. Southern Garda Division,Aggravated burglary (0711),39.0
2003,D.M.R. Southern Garda Division,Arson (1211),115.0
2003,D.M.R. Southern Garda Division,"Assault causing harm, poisoning (034)",303.0
2003,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",756.0
2003,D.M.R. Southern Garda Division,Blackmail or extortion (0621),1.0
2003,D.M.R. Southern Garda Division,Burglary (not aggravated) (0712),2052.0
2003,D.M.R. Southern Garda Division,Burglary and related offences (07),2114.0
2003,D.M.R. Southern Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",14.0
2003,D.M.R. Southern Garda Division,Controlled drug offences (10),717.0
2003,D.M.R. Southern Garda Division,Criminal damage (not arson) (1212),2607.0
2003,D.M.R. Southern Garda Division,Cultivation or manufacture of drugs (1012),3.0
2003,D.M.R. Southern Garda Division,Damage to property and to the environment  offences (12),2723.0
2003,D.M.R. Southern Garda Division,Dangerous driving causing serious bodily harm (0411),2.0
2003,D.M.R. Southern Garda Division,Dangerous driving leading to death (012),1.0
2003,D.M.R. Southern Garda Division,Dangerous or negligent acts (04),899.0
2003,D.M.R. Southern Garda Division,Dangerous/careless driving and motorway offences (0414),153.0
2003,D.M.R. Southern Garda Division,Discharging a firearm (1121),11.0
2003,D.M.R. Southern Garda Division,Disorderly conduct (131),1726.0
2003,D.M.R. Southern Garda Division,"Driving licence-failure to have, produce, etc. (1411)",76.0
2003,D.M.R. Southern Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",529.0
2003,D.M.R. Southern Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),4.0
2003,D.M.R. Southern Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),525.0
2003,D.M.R. Southern Garda Division,Endangering traffic offences (0425),6.0
2003,D.M.R. Southern Garda Division,Endangerment with potential for serious harm/death (0421),2.0
2003,D.M.R. Southern Garda Division,"Explosives, chemical weapons offences (111)",3.0
2003,D.M.R. Southern Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,D.M.R. Southern Garda Division,False imprisonment (0511),5.0
2003,D.M.R. Southern Garda Division,Fireworks offences (114),0.0
2003,D.M.R. Southern Garda Division,"Fraud, deception and related offences (09)",132.0
2003,D.M.R. Southern Garda Division,Harassment and related offences (033),58.0
2003,D.M.R. Southern Garda Division,Homicide & related offences (01),4.0
2003,D.M.R. Southern Garda Division,Human trafficking offences (0513),0.0
2003,D.M.R. Southern Garda Division,Importation of drugs (1011),2.0
2003,D.M.R. Southern Garda Division,Infanticide (0113),0.0
2003,D.M.R. Southern Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",1528.0
2003,D.M.R. Southern Garda Division,Kidnapping and related offences (05),5.0
2003,D.M.R. Southern Garda Division,Light rail offences (Luas) (1443),0.0
2003,D.M.R. Southern Garda Division,Liquor licensing offences (133),26.0
2003,D.M.R. Southern Garda Division,Litter offences (1221),1.0
2003,D.M.R. Southern Garda Division,Manslaughter (0112),0.0
2003,D.M.R. Southern Garda Division,Murder (0111),3.0
2003,D.M.R. Southern Garda Division,Murder-attempt (0311),1.0
2003,D.M.R. Southern Garda Division,Obstruction under Road Traffic Acts (1432),1.0
2003,D.M.R. Southern Garda Division,Offences against government and its agents (151),11.0
2003,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime (15)",563.0
2003,D.M.R. Southern Garda Division,Offences not elsewhere classified (16),64.0
2003,D.M.R. Southern Garda Division,"Offences while in custody, breach of court orders (157)",518.0
2003,D.M.R. Southern Garda Division,Offensive weapons offences (n.e.c.) (113),111.0
2003,D.M.R. Southern Garda Division,Organisation of crime and conspiracy to commit crime (152),0.0
2003,D.M.R. Southern Garda Division,Other assault (035),390.0
2003,D.M.R. Southern Garda Division,Other drug offences (103),15.0
2003,D.M.R. Southern Garda Division,Other road offences (1433),2874.0
2003,D.M.R. Southern Garda Division,Other sexual offences (022),6.0
2003,D.M.R. Southern Garda Division,"Other thefts, handling stolen property (084)",2114.0
2003,D.M.R. Southern Garda Division,Perverting the course of justice (153),34.0
2003,D.M.R. Southern Garda Division,Possession of a firearm (1122),35.0
2003,D.M.R. Southern Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",23.0
2003,D.M.R. Southern Garda Division,Possession of drugs for personal use (1022),554.0
2003,D.M.R. Southern Garda Division,Possession of drugs for sale or supply (1021),143.0
2003,D.M.R. Southern Garda Division,Prostitution offences (134),2.0
2003,D.M.R. Southern Garda Division,Public order and other social code offences (13),1952.0
2003,D.M.R. Southern Garda Division,Public service vehicle offences (1442),37.0
2003,D.M.R. Southern Garda Division,Rape and sexual assault (021),133.0
2003,D.M.R. Southern Garda Division,"Regulated betting/money, collection/trading offences (135)",5.0
2003,D.M.R. Southern Garda Division,Road and traffic offences (14),4764.0
2003,D.M.R. Southern Garda Division,Road transport - carriage of goods offences (1441),14.0
2003,D.M.R. Southern Garda Division,Roadworthiness/regulatory offences (143),91.0
2003,D.M.R. Southern Garda Division,Robbery from the person (0613),195.0
2003,D.M.R. Southern Garda Division,Robbery of an establishment or institution (0611),106.0
2003,D.M.R. Southern Garda Division,Robbery of cash or goods in transit (0612),1.0
2003,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences (06)",317.0
2003,D.M.R. Southern Garda Division,Sexual offences (02),139.0
2003,D.M.R. Southern Garda Division,Social code offences (n.e.c.) (136),63.0
