Quarter,Garda Division,Type of Offence,VALUE
2003Q1,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",229.0
2003Q1,D.M.R. Southern Garda Division,Burglary and related offences,523.0
2003Q1,D.M.R. Southern Garda Division,Controlled drug offences,156.0
2003Q1,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,727.0
2003Q1,D.M.R. Southern Garda Division,Dangerous or negligent acts,189.0
2003Q1,D.M.R. Southern Garda Division,"Fraud, deception and related offences",41.0
2003Q1,D.M.R. Southern Garda Division,Homicide & related offences,0.0
2003Q1,D.M.R. Southern Garda Division,Kidnapping and related offences,2.0
2003Q1,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",199.0
2003Q1,D.M.R. Southern Garda Division,Offences not elsewhere classified,10.0
2003Q1,D.M.R. Southern Garda Division,Public order and other social code offences,488.0
2003Q1,D.M.R. Southern Garda Division,Road and traffic offences,1019.0
2003Q1,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",101.0
2003Q1,D.M.R. Southern Garda Division,Sexual offences,38.0
2003Q1,D.M.R. Southern Garda Division,Theft and related offences,1215.0
2003Q1,D.M.R. Southern Garda Division,Weapons and explosives offences,40.0
2003Q2,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",172.0
2003Q2,D.M.R. Southern Garda Division,Burglary and related offences,513.0
2003Q2,D.M.R. Southern Garda Division,Controlled drug offences,241.0
2003Q2,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,696.0
2003Q2,D.M.R. Southern Garda Division,Dangerous or negligent acts,219.0
2003Q2,D.M.R. Southern Garda Division,"Fraud, deception and related offences",24.0
2003Q2,D.M.R. Southern Garda Division,Homicide & related offences,1.0
2003Q2,D.M.R. Southern Garda Division,Kidnapping and related offences,2.0
2003Q2,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",111.0
2003Q2,D.M.R. Southern Garda Division,Offences not elsewhere classified,19.0
2003Q2,D.M.R. Southern Garda Division,Public order and other social code offences,490.0
2003Q2,D.M.R. Southern Garda Division,Road and traffic offences,1237.0
2003Q2,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",64.0
2003Q2,D.M.R. Southern Garda Division,Sexual offences,28.0
2003Q2,D.M.R. Southern Garda Division,Theft and related offences,1340.0
2003Q2,D.M.R. Southern Garda Division,Weapons and explosives offences,39.0
2003Q3,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",183.0
2003Q3,D.M.R. Southern Garda Division,Burglary and related offences,587.0
2003Q3,D.M.R. Southern Garda Division,Controlled drug offences,157.0
2003Q3,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,664.0
2003Q3,D.M.R. Southern Garda Division,Dangerous or negligent acts,271.0
2003Q3,D.M.R. Southern Garda Division,"Fraud, deception and related offences",47.0
2003Q3,D.M.R. Southern Garda Division,Homicide & related offences,1.0
2003Q3,D.M.R. Southern Garda Division,Kidnapping and related offences,0.0
2003Q3,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",138.0
2003Q3,D.M.R. Southern Garda Division,Offences not elsewhere classified,12.0
2003Q3,D.M.R. Southern Garda Division,Public order and other social code offences,516.0
2003Q3,D.M.R. Southern Garda Division,Road and traffic offences,1242.0
2003Q3,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",67.0
2003Q3,D.M.R. Southern Garda Division,Sexual offences,61.0
2003Q3,D.M.R. Southern Garda Division,Theft and related offences,1284.0
2003Q3,D.M.R. Southern Garda Division,Weapons and explosives offences,38.0
2003Q4,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",172.0
2003Q4,D.M.R. Southern Garda Division,Burglary and related offences,491.0
2003Q4,D.M.R. Southern Garda Division,Controlled drug offences,163.0
2003Q4,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,636.0
2003Q4,D.M.R. Southern Garda Division,Dangerous or negligent acts,220.0
2003Q4,D.M.R. Southern Garda Division,"Fraud, deception and related offences",20.0
2003Q4,D.M.R. Southern Garda Division,Homicide & related offences,2.0
2003Q4,D.M.R. Southern Garda Division,Kidnapping and related offences,1.0
2003Q4,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",115.0
2003Q4,D.M.R. Southern Garda Division,Offences not elsewhere classified,23.0
2003Q4,D.M.R. Southern Garda Division,Public order and other social code offences,458.0
2003Q4,D.M.R. Southern Garda Division,Road and traffic offences,1266.0
2003Q4,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",85.0
2003Q4,D.M.R. Southern Garda Division,Sexual offences,12.0
2003Q4,D.M.R. Southern Garda Division,Theft and related offences,1288.0
2003Q4,D.M.R. Southern Garda Division,Weapons and explosives offences,43.0
2004Q1,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",213.0
2004Q1,D.M.R. Southern Garda Division,Burglary and related offences,691.0
2004Q1,D.M.R. Southern Garda Division,Controlled drug offences,145.0
2004Q1,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,984.0
2004Q1,D.M.R. Southern Garda Division,Dangerous or negligent acts,201.0
2004Q1,D.M.R. Southern Garda Division,"Fraud, deception and related offences",33.0
2004Q1,D.M.R. Southern Garda Division,Homicide & related offences,0.0
2004Q1,D.M.R. Southern Garda Division,Kidnapping and related offences,3.0
2004Q1,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",130.0
2004Q1,D.M.R. Southern Garda Division,Offences not elsewhere classified,18.0
2004Q1,D.M.R. Southern Garda Division,Public order and other social code offences,674.0
2004Q1,D.M.R. Southern Garda Division,Road and traffic offences,1334.0
2004Q1,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",80.0
2004Q1,D.M.R. Southern Garda Division,Sexual offences,37.0
2004Q1,D.M.R. Southern Garda Division,Theft and related offences,1538.0
2004Q1,D.M.R. Southern Garda Division,Weapons and explosives offences,37.0
2004Q2,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",201.0
2004Q2,D.M.R. Southern Garda Division,Burglary and related offences,463.0
2004Q2,D.M.R. Southern Garda Division,Controlled drug offences,185.0
2004Q2,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,831.0
2004Q2,D.M.R. Southern Garda Division,Dangerous or negligent acts,225.0
2004Q2,D.M.R. Southern Garda Division,"Fraud, deception and related offences",39.0
2004Q2,D.M.R. Southern Garda Division,Homicide & related offences,1.0
2004Q2,D.M.R. Southern Garda Division,Kidnapping and related offences,1.0
2004Q2,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",145.0
2004Q2,D.M.R. Southern Garda Division,Offences not elsewhere classified,7.0
2004Q2,D.M.R. Southern Garda Division,Public order and other social code offences,621.0
2004Q2,D.M.R. Southern Garda Division,Road and traffic offences,1406.0
2004Q2,D.M.R. Southern Garda Division,"Robbery, extortion and hijacking offences",70.0
2004Q2,D.M.R. Southern Garda Division,Sexual offences,26.0
2004Q2,D.M.R. Southern Garda Division,Theft and related offences,1639.0
2004Q2,D.M.R. Southern Garda Division,Weapons and explosives offences,30.0
2004Q3,D.M.R. Southern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",210.0
2004Q3,D.M.R. Southern Garda Division,Burglary and related offences,520.0
2004Q3,D.M.R. Southern Garda Division,Controlled drug offences,167.0
2004Q3,D.M.R. Southern Garda Division,Damage to property and to the environment  offences,975.0
2004Q3,D.M.R. Southern Garda Division,Dangerous or negligent acts,218.0
2004Q3,D.M.R. Southern Garda Division,"Fraud, deception and related offences",40.0
2004Q3,D.M.R. Southern Garda Division,Homicide & related offences,1.0
2004Q3,D.M.R. Southern Garda Division,Kidnapping and related offences,0.0
2004Q3,D.M.R. Southern Garda Division,"Offences against government, justice procedures and organisation of crime",166.0
