Year,Garda Division,Type of Offence,VALUE
2003,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",727.0
2003,D.M.R. Western Garda Division,Burglary and related offences,1976.0
2003,D.M.R. Western Garda Division,Controlled drug offences,444.0
2003,D.M.R. Western Garda Division,Damage to property and to the environment  offences,3124.0
2003,D.M.R. Western Garda Division,Dangerous or negligent acts,1095.0
2003,D.M.R. Western Garda Division,"Fraud, deception and related offences",180.0
2003,D.M.R. Western Garda Division,Homicide & related offences,8.0
2003,D.M.R. Western Garda Division,Kidnapping and related offences,10.0
2003,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",494.0
2003,D.M.R. Western Garda Division,Offences not elsewhere classified,67.0
2003,D.M.R. Western Garda Division,Public order and other social code offences,1861.0
2003,D.M.R. Western Garda Division,Road and traffic offences,3931.0
2003,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",397.0
2003,D.M.R. Western Garda Division,Sexual offences,110.0
2003,D.M.R. Western Garda Division,Theft and related offences,6298.0
2003,D.M.R. Western Garda Division,Weapons and explosives offences,228.0
2004,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",684.0
2004,D.M.R. Western Garda Division,Burglary and related offences,1747.0
2004,D.M.R. Western Garda Division,Controlled drug offences,475.0
2004,D.M.R. Western Garda Division,Damage to property and to the environment  offences,3546.0
2004,D.M.R. Western Garda Division,Dangerous or negligent acts,1100.0
2004,D.M.R. Western Garda Division,"Fraud, deception and related offences",192.0
2004,D.M.R. Western Garda Division,Homicide & related offences,7.0
2004,D.M.R. Western Garda Division,Kidnapping and related offences,10.0
2004,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",438.0
2004,D.M.R. Western Garda Division,Offences not elsewhere classified,47.0
2004,D.M.R. Western Garda Division,Public order and other social code offences,2173.0
2004,D.M.R. Western Garda Division,Road and traffic offences,4781.0
2004,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",366.0
2004,D.M.R. Western Garda Division,Sexual offences,99.0
2004,D.M.R. Western Garda Division,Theft and related offences,6700.0
2004,D.M.R. Western Garda Division,Weapons and explosives offences,245.0
2005,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",712.0
2005,D.M.R. Western Garda Division,Burglary and related offences,1448.0
2005,D.M.R. Western Garda Division,Controlled drug offences,695.0
2005,D.M.R. Western Garda Division,Damage to property and to the environment  offences,3708.0
2005,D.M.R. Western Garda Division,Dangerous or negligent acts,1871.0
2005,D.M.R. Western Garda Division,"Fraud, deception and related offences",228.0
2005,D.M.R. Western Garda Division,Homicide & related offences,9.0
2005,D.M.R. Western Garda Division,Kidnapping and related offences,13.0
2005,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",666.0
2005,D.M.R. Western Garda Division,Offences not elsewhere classified,59.0
2005,D.M.R. Western Garda Division,Public order and other social code offences,3036.0
2005,D.M.R. Western Garda Division,Road and traffic offences,7539.0
2005,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",329.0
2005,D.M.R. Western Garda Division,Sexual offences,92.0
2005,D.M.R. Western Garda Division,Theft and related offences,6593.0
2005,D.M.R. Western Garda Division,Weapons and explosives offences,295.0
2006,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",834.0
2006,D.M.R. Western Garda Division,Burglary and related offences,1583.0
2006,D.M.R. Western Garda Division,Controlled drug offences,998.0
2006,D.M.R. Western Garda Division,Damage to property and to the environment  offences,4213.0
2006,D.M.R. Western Garda Division,Dangerous or negligent acts,10881.0
2006,D.M.R. Western Garda Division,"Fraud, deception and related offences",309.0
