Quarter,Garda Division,Type of Offence,VALUE
2003Q1,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",214.0
2003Q1,D.M.R. Western Garda Division,Burglary and related offences,460.0
2003Q1,D.M.R. Western Garda Division,Controlled drug offences,94.0
2003Q1,D.M.R. Western Garda Division,Damage to property and to the environment  offences,813.0
2003Q1,D.M.R. Western Garda Division,Dangerous or negligent acts,259.0
2003Q1,D.M.R. Western Garda Division,"Fraud, deception and related offences",88.0
2003Q1,D.M.R. Western Garda Division,Homicide & related offences,1.0
2003Q1,D.M.R. Western Garda Division,Kidnapping and related offences,6.0
2003Q1,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",139.0
2003Q1,D.M.R. Western Garda Division,Offences not elsewhere classified,17.0
2003Q1,D.M.R. Western Garda Division,Public order and other social code offences,466.0
2003Q1,D.M.R. Western Garda Division,Road and traffic offences,919.0
2003Q1,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",91.0
2003Q1,D.M.R. Western Garda Division,Sexual offences,37.0
2003Q1,D.M.R. Western Garda Division,Theft and related offences,1498.0
2003Q1,D.M.R. Western Garda Division,Weapons and explosives offences,62.0
2003Q2,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",182.0
2003Q2,D.M.R. Western Garda Division,Burglary and related offences,451.0
2003Q2,D.M.R. Western Garda Division,Controlled drug offences,131.0
2003Q2,D.M.R. Western Garda Division,Damage to property and to the environment  offences,740.0
2003Q2,D.M.R. Western Garda Division,Dangerous or negligent acts,244.0
2003Q2,D.M.R. Western Garda Division,"Fraud, deception and related offences",26.0
2003Q2,D.M.R. Western Garda Division,Homicide & related offences,1.0
2003Q2,D.M.R. Western Garda Division,Kidnapping and related offences,2.0
2003Q2,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",103.0
2003Q2,D.M.R. Western Garda Division,Offences not elsewhere classified,12.0
2003Q2,D.M.R. Western Garda Division,Public order and other social code offences,447.0
2003Q2,D.M.R. Western Garda Division,Road and traffic offences,980.0
2003Q2,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",98.0
2003Q2,D.M.R. Western Garda Division,Sexual offences,30.0
2003Q2,D.M.R. Western Garda Division,Theft and related offences,1564.0
2003Q2,D.M.R. Western Garda Division,Weapons and explosives offences,46.0
2003Q3,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",172.0
2003Q3,D.M.R. Western Garda Division,Burglary and related offences,499.0
2003Q3,D.M.R. Western Garda Division,Controlled drug offences,116.0
2003Q3,D.M.R. Western Garda Division,Damage to property and to the environment  offences,752.0
2003Q3,D.M.R. Western Garda Division,Dangerous or negligent acts,308.0
2003Q3,D.M.R. Western Garda Division,"Fraud, deception and related offences",36.0
2003Q3,D.M.R. Western Garda Division,Homicide & related offences,1.0
2003Q3,D.M.R. Western Garda Division,Kidnapping and related offences,1.0
2003Q3,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",128.0
2003Q3,D.M.R. Western Garda Division,Offences not elsewhere classified,20.0
2003Q3,D.M.R. Western Garda Division,Public order and other social code offences,462.0
2003Q3,D.M.R. Western Garda Division,Road and traffic offences,1145.0
2003Q3,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",92.0
2003Q3,D.M.R. Western Garda Division,Sexual offences,18.0
2003Q3,D.M.R. Western Garda Division,Theft and related offences,1599.0
2003Q3,D.M.R. Western Garda Division,Weapons and explosives offences,59.0
2003Q4,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",159.0
2003Q4,D.M.R. Western Garda Division,Burglary and related offences,566.0
2003Q4,D.M.R. Western Garda Division,Controlled drug offences,103.0
2003Q4,D.M.R. Western Garda Division,Damage to property and to the environment  offences,819.0
2003Q4,D.M.R. Western Garda Division,Dangerous or negligent acts,284.0
2003Q4,D.M.R. Western Garda Division,"Fraud, deception and related offences",30.0
2003Q4,D.M.R. Western Garda Division,Homicide & related offences,5.0
2003Q4,D.M.R. Western Garda Division,Kidnapping and related offences,1.0
2003Q4,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",124.0
2003Q4,D.M.R. Western Garda Division,Offences not elsewhere classified,18.0
2003Q4,D.M.R. Western Garda Division,Public order and other social code offences,486.0
2003Q4,D.M.R. Western Garda Division,Road and traffic offences,887.0
