Year,Garda Division,Type of Offence,VALUE
2003,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",761.0
2003,Donegal Garda Division,Burglary and related offences,565.0
2003,Donegal Garda Division,Controlled drug offences,309.0
2003,Donegal Garda Division,Damage to property and to the environment  offences,1200.0
2003,Donegal Garda Division,Dangerous or negligent acts,944.0
2003,Donegal Garda Division,"Fraud, deception and related offences",142.0
2003,Donegal Garda Division,Homicide & related offences,3.0
2003,Donegal Garda Division,Kidnapping and related offences,2.0
2003,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",89.0
2003,Donegal Garda Division,Offences not elsewhere classified,49.0
2003,Donegal Garda Division,Public order and other social code offences,2142.0
2003,Donegal Garda Division,Road and traffic offences,1079.0
2003,Donegal Garda Division,"Robbery, extortion and hijacking offences",17.0
2003,Donegal Garda Division,Sexual offences,91.0
2003,Donegal Garda Division,Theft and related offences,1317.0
2003,Donegal Garda Division,Weapons and explosives offences,33.0
2004,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",666.0
2004,Donegal Garda Division,Burglary and related offences,512.0
2004,Donegal Garda Division,Controlled drug offences,216.0
2004,Donegal Garda Division,Damage to property and to the environment  offences,1163.0
2004,Donegal Garda Division,Dangerous or negligent acts,984.0
2004,Donegal Garda Division,"Fraud, deception and related offences",89.0
2004,Donegal Garda Division,Homicide & related offences,4.0
2004,Donegal Garda Division,Kidnapping and related offences,2.0
2004,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",106.0
2004,Donegal Garda Division,Offences not elsewhere classified,58.0
2004,Donegal Garda Division,Public order and other social code offences,2277.0
2004,Donegal Garda Division,Road and traffic offences,1251.0
2004,Donegal Garda Division,"Robbery, extortion and hijacking offences",11.0
2004,Donegal Garda Division,Sexual offences,80.0
2004,Donegal Garda Division,Theft and related offences,1262.0
2004,Donegal Garda Division,Weapons and explosives offences,45.0
2005,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",770.0
2005,Donegal Garda Division,Burglary and related offences,423.0
2005,Donegal Garda Division,Controlled drug offences,226.0
2005,Donegal Garda Division,Damage to property and to the environment  offences,1281.0
2005,Donegal Garda Division,Dangerous or negligent acts,1309.0
2005,Donegal Garda Division,"Fraud, deception and related offences",142.0
2005,Donegal Garda Division,Homicide & related offences,13.0
2005,Donegal Garda Division,Kidnapping and related offences,1.0
2005,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",118.0
2005,Donegal Garda Division,Offences not elsewhere classified,55.0
2005,Donegal Garda Division,Public order and other social code offences,2844.0
2005,Donegal Garda Division,Road and traffic offences,1710.0
2005,Donegal Garda Division,"Robbery, extortion and hijacking offences",13.0
2005,Donegal Garda Division,Sexual offences,62.0
2005,Donegal Garda Division,Theft and related offences,1269.0
2005,Donegal Garda Division,Weapons and explosives offences,45.0
2006,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",839.0
2006,Donegal Garda Division,Burglary and related offences,375.0
2006,Donegal Garda Division,Controlled drug offences,340.0
2006,Donegal Garda Division,Damage to property and to the environment  offences,1287.0
2006,Donegal Garda Division,Dangerous or negligent acts,3264.0
2006,Donegal Garda Division,"Fraud, deception and related offences",111.0
2006,Donegal Garda Division,Homicide & related offences,4.0
2006,Donegal Garda Division,Kidnapping and related offences,3.0
2006,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",125.0
2006,Donegal Garda Division,Offences not elsewhere classified,67.0
