Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",215.0
2003Q1,Donegal Garda Division,Burglary and related offences,112.0
2003Q1,Donegal Garda Division,Controlled drug offences,78.0
2003Q1,Donegal Garda Division,Damage to property and to the environment  offences,298.0
2003Q1,Donegal Garda Division,Dangerous or negligent acts,171.0
2003Q1,Donegal Garda Division,"Fraud, deception and related offences",19.0
2003Q1,Donegal Garda Division,Homicide & related offences,1.0
2003Q1,Donegal Garda Division,Kidnapping and related offences,0.0
2003Q1,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",19.0
2003Q1,Donegal Garda Division,Offences not elsewhere classified,15.0
2003Q1,Donegal Garda Division,Public order and other social code offences,352.0
2003Q1,Donegal Garda Division,Road and traffic offences,199.0
2003Q1,Donegal Garda Division,"Robbery, extortion and hijacking offences",6.0
2003Q1,Donegal Garda Division,Sexual offences,34.0
2003Q1,Donegal Garda Division,Theft and related offences,287.0
2003Q1,Donegal Garda Division,Weapons and explosives offences,8.0
2003Q2,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",176.0
2003Q2,Donegal Garda Division,Burglary and related offences,148.0
2003Q2,Donegal Garda Division,Controlled drug offences,86.0
2003Q2,Donegal Garda Division,Damage to property and to the environment  offences,305.0
2003Q2,Donegal Garda Division,Dangerous or negligent acts,259.0
2003Q2,Donegal Garda Division,"Fraud, deception and related offences",51.0
2003Q2,Donegal Garda Division,Homicide & related offences,0.0
2003Q2,Donegal Garda Division,Kidnapping and related offences,0.0
2003Q2,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2003Q2,Donegal Garda Division,Offences not elsewhere classified,13.0
2003Q2,Donegal Garda Division,Public order and other social code offences,475.0
2003Q2,Donegal Garda Division,Road and traffic offences,247.0
2003Q2,Donegal Garda Division,"Robbery, extortion and hijacking offences",4.0
2003Q2,Donegal Garda Division,Sexual offences,20.0
2003Q2,Donegal Garda Division,Theft and related offences,339.0
2003Q2,Donegal Garda Division,Weapons and explosives offences,8.0
2003Q3,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",205.0
2003Q3,Donegal Garda Division,Burglary and related offences,141.0
2003Q3,Donegal Garda Division,Controlled drug offences,84.0
2003Q3,Donegal Garda Division,Damage to property and to the environment  offences,304.0
2003Q3,Donegal Garda Division,Dangerous or negligent acts,269.0
2003Q3,Donegal Garda Division,"Fraud, deception and related offences",43.0
2003Q3,Donegal Garda Division,Homicide & related offences,2.0
2003Q3,Donegal Garda Division,Kidnapping and related offences,2.0
2003Q3,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",18.0
2003Q3,Donegal Garda Division,Offences not elsewhere classified,13.0
2003Q3,Donegal Garda Division,Public order and other social code offences,536.0
2003Q3,Donegal Garda Division,Road and traffic offences,282.0
2003Q3,Donegal Garda Division,"Robbery, extortion and hijacking offences",4.0
2003Q3,Donegal Garda Division,Sexual offences,19.0
2003Q3,Donegal Garda Division,Theft and related offences,373.0
2003Q3,Donegal Garda Division,Weapons and explosives offences,10.0
2003Q4,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",165.0
2003Q4,Donegal Garda Division,Burglary and related offences,164.0
2003Q4,Donegal Garda Division,Controlled drug offences,61.0
2003Q4,Donegal Garda Division,Damage to property and to the environment  offences,293.0
2003Q4,Donegal Garda Division,Dangerous or negligent acts,245.0
2003Q4,Donegal Garda Division,"Fraud, deception and related offences",29.0
2003Q4,Donegal Garda Division,Homicide & related offences,0.0
2003Q4,Donegal Garda Division,Kidnapping and related offences,0.0
2003Q4,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2003Q4,Donegal Garda Division,Offences not elsewhere classified,8.0
2003Q4,Donegal Garda Division,Public order and other social code offences,779.0
2003Q4,Donegal Garda Division,Road and traffic offences,351.0
2003Q4,Donegal Garda Division,"Robbery, extortion and hijacking offences",3.0
2003Q4,Donegal Garda Division,Sexual offences,18.0
2003Q4,Donegal Garda Division,Theft and related offences,318.0
2003Q4,Donegal Garda Division,Weapons and explosives offences,7.0
2004Q1,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",150.0
2004Q1,Donegal Garda Division,Burglary and related offences,128.0
2004Q1,Donegal Garda Division,Controlled drug offences,67.0
2004Q1,Donegal Garda Division,Damage to property and to the environment  offences,302.0
2004Q1,Donegal Garda Division,Dangerous or negligent acts,224.0
2004Q1,Donegal Garda Division,"Fraud, deception and related offences",17.0
2004Q1,Donegal Garda Division,Homicide & related offences,2.0
2004Q1,Donegal Garda Division,Kidnapping and related offences,1.0
2004Q1,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2004Q1,Donegal Garda Division,Offences not elsewhere classified,15.0
2004Q1,Donegal Garda Division,Public order and other social code offences,376.0
2004Q1,Donegal Garda Division,Road and traffic offences,268.0
2004Q1,Donegal Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q1,Donegal Garda Division,Sexual offences,22.0
2004Q1,Donegal Garda Division,Theft and related offences,291.0
2004Q1,Donegal Garda Division,Weapons and explosives offences,10.0
2004Q2,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",207.0
2004Q2,Donegal Garda Division,Burglary and related offences,110.0
2004Q2,Donegal Garda Division,Controlled drug offences,52.0
2004Q2,Donegal Garda Division,Damage to property and to the environment  offences,273.0
2004Q2,Donegal Garda Division,Dangerous or negligent acts,248.0
2004Q2,Donegal Garda Division,"Fraud, deception and related offences",23.0
2004Q2,Donegal Garda Division,Homicide & related offences,2.0
2004Q2,Donegal Garda Division,Kidnapping and related offences,0.0
2004Q2,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",19.0
2004Q2,Donegal Garda Division,Offences not elsewhere classified,12.0
2004Q2,Donegal Garda Division,Public order and other social code offences,542.0
2004Q2,Donegal Garda Division,Road and traffic offences,310.0
2004Q2,Donegal Garda Division,"Robbery, extortion and hijacking offences",1.0
2004Q2,Donegal Garda Division,Sexual offences,36.0
2004Q2,Donegal Garda Division,Theft and related offences,303.0
2004Q2,Donegal Garda Division,Weapons and explosives offences,10.0
2004Q3,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",157.0
2004Q3,Donegal Garda Division,Burglary and related offences,149.0
2004Q3,Donegal Garda Division,Controlled drug offences,54.0
2004Q3,Donegal Garda Division,Damage to property and to the environment  offences,289.0
2004Q3,Donegal Garda Division,Dangerous or negligent acts,267.0
2004Q3,Donegal Garda Division,"Fraud, deception and related offences",24.0
2004Q3,Donegal Garda Division,Homicide & related offences,0.0
2004Q3,Donegal Garda Division,Kidnapping and related offences,1.0
2004Q3,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2004Q3,Donegal Garda Division,Offences not elsewhere classified,14.0
2004Q3,Donegal Garda Division,Public order and other social code offences,540.0
2004Q3,Donegal Garda Division,Road and traffic offences,345.0
2004Q3,Donegal Garda Division,"Robbery, extortion and hijacking offences",1.0
2004Q3,Donegal Garda Division,Sexual offences,14.0
2004Q3,Donegal Garda Division,Theft and related offences,365.0
2004Q3,Donegal Garda Division,Weapons and explosives offences,13.0
2004Q4,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",152.0
2004Q4,Donegal Garda Division,Burglary and related offences,125.0
2004Q4,Donegal Garda Division,Controlled drug offences,43.0
2004Q4,Donegal Garda Division,Damage to property and to the environment  offences,299.0
2004Q4,Donegal Garda Division,Dangerous or negligent acts,245.0
2004Q4,Donegal Garda Division,"Fraud, deception and related offences",25.0
2004Q4,Donegal Garda Division,Homicide & related offences,0.0
2004Q4,Donegal Garda Division,Kidnapping and related offences,0.0
2004Q4,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2004Q4,Donegal Garda Division,Offences not elsewhere classified,17.0
2004Q4,Donegal Garda Division,Public order and other social code offences,819.0
2004Q4,Donegal Garda Division,Road and traffic offences,328.0
2004Q4,Donegal Garda Division,"Robbery, extortion and hijacking offences",5.0
2004Q4,Donegal Garda Division,Sexual offences,8.0
2004Q4,Donegal Garda Division,Theft and related offences,303.0
2004Q4,Donegal Garda Division,Weapons and explosives offences,12.0
2005Q1,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",183.0
2005Q1,Donegal Garda Division,Burglary and related offences,108.0
2005Q1,Donegal Garda Division,Controlled drug offences,38.0
2005Q1,Donegal Garda Division,Damage to property and to the environment  offences,287.0
2005Q1,Donegal Garda Division,Dangerous or negligent acts,276.0
2005Q1,Donegal Garda Division,"Fraud, deception and related offences",29.0
2005Q1,Donegal Garda Division,Homicide & related offences,2.0
2005Q1,Donegal Garda Division,Kidnapping and related offences,0.0
2005Q1,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2005Q1,Donegal Garda Division,Offences not elsewhere classified,11.0
2005Q1,Donegal Garda Division,Public order and other social code offences,672.0
2005Q1,Donegal Garda Division,Road and traffic offences,349.0
2005Q1,Donegal Garda Division,"Robbery, extortion and hijacking offences",2.0
2005Q1,Donegal Garda Division,Sexual offences,16.0
2005Q1,Donegal Garda Division,Theft and related offences,322.0
2005Q1,Donegal Garda Division,Weapons and explosives offences,8.0
2005Q2,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",175.0
2005Q2,Donegal Garda Division,Burglary and related offences,116.0
2005Q2,Donegal Garda Division,Controlled drug offences,69.0
2005Q2,Donegal Garda Division,Damage to property and to the environment  offences,341.0
2005Q2,Donegal Garda Division,Dangerous or negligent acts,354.0
2005Q2,Donegal Garda Division,"Fraud, deception and related offences",50.0
2005Q2,Donegal Garda Division,Homicide & related offences,1.0
2005Q2,Donegal Garda Division,Kidnapping and related offences,0.0
2005Q2,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",30.0
2005Q2,Donegal Garda Division,Offences not elsewhere classified,10.0
2005Q2,Donegal Garda Division,Public order and other social code offences,740.0
2005Q2,Donegal Garda Division,Road and traffic offences,415.0
2005Q2,Donegal Garda Division,"Robbery, extortion and hijacking offences",3.0
2005Q2,Donegal Garda Division,Sexual offences,17.0
2005Q2,Donegal Garda Division,Theft and related offences,281.0
2005Q2,Donegal Garda Division,Weapons and explosives offences,13.0
2005Q3,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",204.0
2005Q3,Donegal Garda Division,Burglary and related offences,119.0
2005Q3,Donegal Garda Division,Controlled drug offences,65.0
2005Q3,Donegal Garda Division,Damage to property and to the environment  offences,330.0
2005Q3,Donegal Garda Division,Dangerous or negligent acts,318.0
2005Q3,Donegal Garda Division,"Fraud, deception and related offences",42.0
2005Q3,Donegal Garda Division,Homicide & related offences,4.0
2005Q3,Donegal Garda Division,Kidnapping and related offences,1.0
2005Q3,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2005Q3,Donegal Garda Division,Offences not elsewhere classified,14.0
2005Q3,Donegal Garda Division,Public order and other social code offences,759.0
2005Q3,Donegal Garda Division,Road and traffic offences,444.0
2005Q3,Donegal Garda Division,"Robbery, extortion and hijacking offences",3.0
2005Q3,Donegal Garda Division,Sexual offences,17.0
2005Q3,Donegal Garda Division,Theft and related offences,346.0
2005Q3,Donegal Garda Division,Weapons and explosives offences,10.0
2005Q4,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",208.0
2005Q4,Donegal Garda Division,Burglary and related offences,80.0
2005Q4,Donegal Garda Division,Controlled drug offences,54.0
2005Q4,Donegal Garda Division,Damage to property and to the environment  offences,323.0
