Year,Garda Division,Type of Offence,VALUE
2003,Galway Garda Division,"Abandoning a child, child neglect and cruelty (0422)",8.0
2003,Galway Garda Division,Abduction of person under 16 years of age (0512),0.0
2003,Galway Garda Division,Aggravated burglary (0711),4.0
2003,Galway Garda Division,Arson (1211),35.0
2003,Galway Garda Division,"Assault causing harm, poisoning (034)",189.0
2003,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",619.0
2003,Galway Garda Division,Blackmail or extortion (0621),0.0
2003,Galway Garda Division,Burglary (not aggravated) (0712),973.0
2003,Galway Garda Division,Burglary and related offences (07),977.0
2003,Galway Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2003,Galway Garda Division,Controlled drug offences (10),341.0
2003,Galway Garda Division,Criminal damage (not arson) (1212),1191.0
2003,Galway Garda Division,Cultivation or manufacture of drugs (1012),11.0
2003,Galway Garda Division,Damage to property and to the environment  offences (12),1227.0
2003,Galway Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2003,Galway Garda Division,Dangerous driving leading to death (012),0.0
2003,Galway Garda Division,Dangerous or negligent acts (04),1105.0
2003,Galway Garda Division,Dangerous/careless driving and motorway offences (0414),231.0
2003,Galway Garda Division,Discharging a firearm (1121),2.0
2003,Galway Garda Division,Disorderly conduct (131),1629.0
2003,Galway Garda Division,"Driving licence-failure to have, produce, etc. (1411)",27.0
2003,Galway Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",568.0
2003,Galway Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),7.0
2003,Galway Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),561.0
2003,Galway Garda Division,Endangering traffic offences (0425),2.0
2003,Galway Garda Division,Endangerment with potential for serious harm/death (0421),1.0
2003,Galway Garda Division,"Explosives, chemical weapons offences (111)",2.0
2003,Galway Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Galway Garda Division,False imprisonment (0511),3.0
2003,Galway Garda Division,Fireworks offences (114),0.0
2003,Galway Garda Division,"Fraud, deception and related offences (09)",129.0
2003,Galway Garda Division,Harassment and related offences (033),35.0
2003,Galway Garda Division,Homicide & related offences (01),3.0
2003,Galway Garda Division,Human trafficking offences (0513),0.0
2003,Galway Garda Division,Importation of drugs (1011),3.0
2003,Galway Garda Division,Infanticide (0113),0.0
2003,Galway Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",829.0
2003,Galway Garda Division,Kidnapping and related offences (05),3.0
2003,Galway Garda Division,Light rail offences (Luas) (1443),0.0
2003,Galway Garda Division,Liquor licensing offences (133),293.0
2003,Galway Garda Division,Litter offences (1221),1.0
2003,Galway Garda Division,Manslaughter (0112),2.0
2003,Galway Garda Division,Murder (0111),1.0
2003,Galway Garda Division,Murder-attempt (0311),0.0
2003,Galway Garda Division,Obstruction under Road Traffic Acts (1432),26.0
2003,Galway Garda Division,Offences against government and its agents (151),2.0
2003,Galway Garda Division,"Offences against government, justice procedures and organisation of crime (15)",185.0
2003,Galway Garda Division,Offences not elsewhere classified (16),95.0
2003,Galway Garda Division,"Offences while in custody, breach of court orders (157)",177.0
2003,Galway Garda Division,Offensive weapons offences (n.e.c.) (113),36.0
2003,Galway Garda Division,Organisation of crime and conspiracy to commit crime (152),0.0
2003,Galway Garda Division,Other assault (035),395.0
2003,Galway Garda Division,Other drug offences (103),8.0
2003,Galway Garda Division,Other road offences (1433),277.0
2003,Galway Garda Division,Other sexual offences (022),1.0
2003,Galway Garda Division,"Other thefts, handling stolen property (084)",1277.0
2003,Galway Garda Division,Perverting the course of justice (153),6.0
2003,Galway Garda Division,Possession of a firearm (1122),20.0
2003,Galway Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",0.0
2003,Galway Garda Division,Possession of drugs for personal use (1022),268.0
2003,Galway Garda Division,Possession of drugs for sale or supply (1021),51.0
2003,Galway Garda Division,Prostitution offences (134),0.0
2003,Galway Garda Division,Public order and other social code offences (13),1993.0
2003,Galway Garda Division,Public service vehicle offences (1442),4.0
2003,Galway Garda Division,Rape and sexual assault (021),69.0
2003,Galway Garda Division,"Regulated betting/money, collection/trading offences (135)",33.0
2003,Galway Garda Division,Road and traffic offences (14),1347.0
2003,Galway Garda Division,Road transport - carriage of goods offences (1441),4.0
2003,Galway Garda Division,Roadworthiness/regulatory offences (143),46.0
2003,Galway Garda Division,Robbery from the person (0613),42.0
2003,Galway Garda Division,Robbery of an establishment or institution (0611),14.0
2003,Galway Garda Division,Robbery of cash or goods in transit (0612),0.0
2003,Galway Garda Division,"Robbery, extortion and hijacking offences (06)",56.0
2003,Galway Garda Division,Sexual offences (02),70.0
2003,Galway Garda Division,Social code offences (n.e.c.) (136),13.0
2003,Galway Garda Division,Speeding (0415),295.0
2003,Galway Garda Division,Theft and related offences (08),2707.0
2003,Galway Garda Division,Theft from person (0821),183.0
2003,Galway Garda Division,Theft from shop (0822),752.0
2003,Galway Garda Division,Theft/taking of vehicle and related offences (081),495.0
2003,Galway Garda Division,Threat to kill or cause serious harm (0313),0.0
2003,Galway Garda Division,Trespass offences (132),25.0
2003,Galway Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2003,Galway Garda Division,Vehicle tax/registration offences (142),134.0
2003,Galway Garda Division,Weapons and explosives offences (11),60.0
2004,Galway Garda Division,"Abandoning a child, child neglect and cruelty (0422)",10.0
2004,Galway Garda Division,Abduction of person under 16 years of age (0512),0.0
2004,Galway Garda Division,Aggravated burglary (0711),3.0
2004,Galway Garda Division,Arson (1211),43.0
2004,Galway Garda Division,"Assault causing harm, poisoning (034)",165.0
2004,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",651.0
2004,Galway Garda Division,Blackmail or extortion (0621),0.0
2004,Galway Garda Division,Burglary (not aggravated) (0712),713.0
2004,Galway Garda Division,Burglary and related offences (07),720.0
2004,Galway Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",1.0
2004,Galway Garda Division,Controlled drug offences (10),378.0
2004,Galway Garda Division,Criminal damage (not arson) (1212),1145.0
2004,Galway Garda Division,Cultivation or manufacture of drugs (1012),3.0
2004,Galway Garda Division,Damage to property and to the environment  offences (12),1188.0
2004,Galway Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2004,Galway Garda Division,Dangerous driving leading to death (012),8.0
2004,Galway Garda Division,Dangerous or negligent acts (04),1239.0
2004,Galway Garda Division,Dangerous/careless driving and motorway offences (0414),262.0
2004,Galway Garda Division,Discharging a firearm (1121),7.0
2004,Galway Garda Division,Disorderly conduct (131),1610.0
2004,Galway Garda Division,"Driving licence-failure to have, produce, etc. (1411)",32.0
2004,Galway Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",615.0
2004,Galway Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),1.0
2004,Galway Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),614.0
2004,Galway Garda Division,Endangering traffic offences (0425),4.0
2004,Galway Garda Division,Endangerment with potential for serious harm/death (0421),1.0
2004,Galway Garda Division,"Explosives, chemical weapons offences (111)",5.0
2004,Galway Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2004,Galway Garda Division,False imprisonment (0511),3.0
2004,Galway Garda Division,Fireworks offences (114),0.0
2004,Galway Garda Division,"Fraud, deception and related offences (09)",100.0
2004,Galway Garda Division,Harassment and related offences (033),42.0
2004,Galway Garda Division,Homicide & related offences (01),8.0
2004,Galway Garda Division,Human trafficking offences (0513),0.0
2004,Galway Garda Division,Importation of drugs (1011),3.0
2004,Galway Garda Division,Infanticide (0113),0.0
2004,Galway Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",661.0
2004,Galway Garda Division,Kidnapping and related offences (05),3.0
2004,Galway Garda Division,Light rail offences (Luas) (1443),0.0
2004,Galway Garda Division,Liquor licensing offences (133),301.0
2004,Galway Garda Division,Litter offences (1221),0.0
2004,Galway Garda Division,Manslaughter (0112),0.0
2004,Galway Garda Division,Murder (0111),0.0
2004,Galway Garda Division,Murder-attempt (0311),0.0
2004,Galway Garda Division,Obstruction under Road Traffic Acts (1432),19.0
2004,Galway Garda Division,Offences against government and its agents (151),8.0
2004,Galway Garda Division,"Offences against government, justice procedures and organisation of crime (15)",197.0
