Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",175.0
2003Q1,Galway Garda Division,Burglary and related offences,211.0
2003Q1,Galway Garda Division,Controlled drug offences,59.0
2003Q1,Galway Garda Division,Damage to property and to the environment  offences,320.0
2003Q1,Galway Garda Division,Dangerous or negligent acts,235.0
2003Q1,Galway Garda Division,"Fraud, deception and related offences",45.0
2003Q1,Galway Garda Division,Homicide & related offences,1.0
2003Q1,Galway Garda Division,Kidnapping and related offences,2.0
2003Q1,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2003Q1,Galway Garda Division,Offences not elsewhere classified,31.0
2003Q1,Galway Garda Division,Public order and other social code offences,422.0
2003Q1,Galway Garda Division,Road and traffic offences,265.0
2003Q1,Galway Garda Division,"Robbery, extortion and hijacking offences",18.0
2003Q1,Galway Garda Division,Sexual offences,36.0
2003Q1,Galway Garda Division,Theft and related offences,718.0
2003Q1,Galway Garda Division,Weapons and explosives offences,27.0
2003Q2,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",162.0
2003Q2,Galway Garda Division,Burglary and related offences,244.0
2003Q2,Galway Garda Division,Controlled drug offences,89.0
2003Q2,Galway Garda Division,Damage to property and to the environment  offences,338.0
2003Q2,Galway Garda Division,Dangerous or negligent acts,242.0
2003Q2,Galway Garda Division,"Fraud, deception and related offences",32.0
2003Q2,Galway Garda Division,Homicide & related offences,0.0
2003Q2,Galway Garda Division,Kidnapping and related offences,0.0
2003Q2,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",46.0
2003Q2,Galway Garda Division,Offences not elsewhere classified,22.0
2003Q2,Galway Garda Division,Public order and other social code offences,480.0
2003Q2,Galway Garda Division,Road and traffic offences,357.0
2003Q2,Galway Garda Division,"Robbery, extortion and hijacking offences",14.0
2003Q2,Galway Garda Division,Sexual offences,14.0
2003Q2,Galway Garda Division,Theft and related offences,637.0
2003Q2,Galway Garda Division,Weapons and explosives offences,7.0
2003Q3,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",141.0
2003Q3,Galway Garda Division,Burglary and related offences,279.0
2003Q3,Galway Garda Division,Controlled drug offences,84.0
2003Q3,Galway Garda Division,Damage to property and to the environment  offences,267.0
2003Q3,Galway Garda Division,Dangerous or negligent acts,324.0
2003Q3,Galway Garda Division,"Fraud, deception and related offences",13.0
2003Q3,Galway Garda Division,Homicide & related offences,2.0
2003Q3,Galway Garda Division,Kidnapping and related offences,1.0
2003Q3,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",37.0
2003Q3,Galway Garda Division,Offences not elsewhere classified,20.0
2003Q3,Galway Garda Division,Public order and other social code offences,527.0
2003Q3,Galway Garda Division,Road and traffic offences,388.0
2003Q3,Galway Garda Division,"Robbery, extortion and hijacking offences",12.0
2003Q3,Galway Garda Division,Sexual offences,11.0
2003Q3,Galway Garda Division,Theft and related offences,687.0
2003Q3,Galway Garda Division,Weapons and explosives offences,9.0
2003Q4,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",141.0
2003Q4,Galway Garda Division,Burglary and related offences,243.0
2003Q4,Galway Garda Division,Controlled drug offences,109.0
2003Q4,Galway Garda Division,Damage to property and to the environment  offences,302.0
2003Q4,Galway Garda Division,Dangerous or negligent acts,304.0
2003Q4,Galway Garda Division,"Fraud, deception and related offences",39.0
2003Q4,Galway Garda Division,Homicide & related offences,0.0
2003Q4,Galway Garda Division,Kidnapping and related offences,0.0
2003Q4,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",60.0
2003Q4,Galway Garda Division,Offences not elsewhere classified,22.0
2003Q4,Galway Garda Division,Public order and other social code offences,564.0
2003Q4,Galway Garda Division,Road and traffic offences,337.0
2003Q4,Galway Garda Division,"Robbery, extortion and hijacking offences",12.0
2003Q4,Galway Garda Division,Sexual offences,9.0
2003Q4,Galway Garda Division,Theft and related offences,665.0
2003Q4,Galway Garda Division,Weapons and explosives offences,17.0
2004Q1,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",167.0
2004Q1,Galway Garda Division,Burglary and related offences,228.0
2004Q1,Galway Garda Division,Controlled drug offences,102.0
2004Q1,Galway Garda Division,Damage to property and to the environment  offences,292.0
2004Q1,Galway Garda Division,Dangerous or negligent acts,272.0
2004Q1,Galway Garda Division,"Fraud, deception and related offences",25.0
2004Q1,Galway Garda Division,Homicide & related offences,1.0
2004Q1,Galway Garda Division,Kidnapping and related offences,0.0
2004Q1,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",59.0
2004Q1,Galway Garda Division,Offences not elsewhere classified,22.0
2004Q1,Galway Garda Division,Public order and other social code offences,417.0
2004Q1,Galway Garda Division,Road and traffic offences,303.0
2004Q1,Galway Garda Division,"Robbery, extortion and hijacking offences",13.0
2004Q1,Galway Garda Division,Sexual offences,33.0
2004Q1,Galway Garda Division,Theft and related offences,645.0
2004Q1,Galway Garda Division,Weapons and explosives offences,15.0
2004Q2,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",165.0
2004Q2,Galway Garda Division,Burglary and related offences,168.0
2004Q2,Galway Garda Division,Controlled drug offences,143.0
2004Q2,Galway Garda Division,Damage to property and to the environment  offences,250.0
2004Q2,Galway Garda Division,Dangerous or negligent acts,306.0
2004Q2,Galway Garda Division,"Fraud, deception and related offences",19.0
2004Q2,Galway Garda Division,Homicide & related offences,4.0
2004Q2,Galway Garda Division,Kidnapping and related offences,1.0
2004Q2,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",47.0
2004Q2,Galway Garda Division,Offences not elsewhere classified,12.0
2004Q2,Galway Garda Division,Public order and other social code offences,428.0
2004Q2,Galway Garda Division,Road and traffic offences,363.0
2004Q2,Galway Garda Division,"Robbery, extortion and hijacking offences",10.0
2004Q2,Galway Garda Division,Sexual offences,9.0
2004Q2,Galway Garda Division,Theft and related offences,575.0
2004Q2,Galway Garda Division,Weapons and explosives offences,18.0
2004Q3,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",155.0
2004Q3,Galway Garda Division,Burglary and related offences,159.0
2004Q3,Galway Garda Division,Controlled drug offences,63.0
2004Q3,Galway Garda Division,Damage to property and to the environment  offences,295.0
2004Q3,Galway Garda Division,Dangerous or negligent acts,340.0
2004Q3,Galway Garda Division,"Fraud, deception and related offences",26.0
2004Q3,Galway Garda Division,Homicide & related offences,2.0
2004Q3,Galway Garda Division,Kidnapping and related offences,1.0
2004Q3,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",39.0
2004Q3,Galway Garda Division,Offences not elsewhere classified,22.0
2004Q3,Galway Garda Division,Public order and other social code offences,471.0
2004Q3,Galway Garda Division,Road and traffic offences,373.0
2004Q3,Galway Garda Division,"Robbery, extortion and hijacking offences",8.0
2004Q3,Galway Garda Division,Sexual offences,19.0
