Year,Garda Division,Type of Offence,VALUE
2003,Kerry Garda Division,"Abandoning a child, child neglect and cruelty (0422)",5.0
2003,Kerry Garda Division,Abduction of person under 16 years of age (0512),0.0
2003,Kerry Garda Division,Aggravated burglary (0711),2.0
2003,Kerry Garda Division,Arson (1211),16.0
2003,Kerry Garda Division,"Assault causing harm, poisoning (034)",101.0
2003,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",385.0
2003,Kerry Garda Division,Blackmail or extortion (0621),0.0
2003,Kerry Garda Division,Burglary (not aggravated) (0712),305.0
2003,Kerry Garda Division,Burglary and related offences (07),307.0
2003,Kerry Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2003,Kerry Garda Division,Controlled drug offences (10),197.0
2003,Kerry Garda Division,Criminal damage (not arson) (1212),511.0
2003,Kerry Garda Division,Cultivation or manufacture of drugs (1012),4.0
2003,Kerry Garda Division,Damage to property and to the environment  offences (12),529.0
2003,Kerry Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2003,Kerry Garda Division,Dangerous driving leading to death (012),1.0
2003,Kerry Garda Division,Dangerous or negligent acts (04),749.0
2003,Kerry Garda Division,Dangerous/careless driving and motorway offences (0414),65.0
2003,Kerry Garda Division,Discharging a firearm (1121),1.0
2003,Kerry Garda Division,Disorderly conduct (131),1425.0
2003,Kerry Garda Division,"Driving licence-failure to have, produce, etc. (1411)",28.0
2003,Kerry Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",516.0
2003,Kerry Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),4.0
2003,Kerry Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),512.0
2003,Kerry Garda Division,Endangering traffic offences (0425),4.0
2003,Kerry Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2003,Kerry Garda Division,"Explosives, chemical weapons offences (111)",0.0
2003,Kerry Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Kerry Garda Division,False imprisonment (0511),0.0
2003,Kerry Garda Division,Fireworks offences (114),0.0
2003,Kerry Garda Division,"Fraud, deception and related offences (09)",56.0
2003,Kerry Garda Division,Harassment and related offences (033),26.0
2003,Kerry Garda Division,Homicide & related offences (01),1.0
2003,Kerry Garda Division,Human trafficking offences (0513),0.0
2003,Kerry Garda Division,Importation of drugs (1011),0.0
2003,Kerry Garda Division,Infanticide (0113),0.0
2003,Kerry Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",306.0
2003,Kerry Garda Division,Kidnapping and related offences (05),0.0
2003,Kerry Garda Division,Light rail offences (Luas) (1443),0.0
2003,Kerry Garda Division,Liquor licensing offences (133),318.0
2003,Kerry Garda Division,Litter offences (1221),2.0
2003,Kerry Garda Division,Manslaughter (0112),0.0
2003,Kerry Garda Division,Murder (0111),0.0
2003,Kerry Garda Division,Murder-attempt (0311),0.0
2003,Kerry Garda Division,Obstruction under Road Traffic Acts (1432),2.0
2003,Kerry Garda Division,Offences against government and its agents (151),3.0
2003,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime (15)",154.0
2003,Kerry Garda Division,Offences not elsewhere classified (16),32.0
2003,Kerry Garda Division,"Offences while in custody, breach of court orders (157)",150.0
2003,Kerry Garda Division,Offensive weapons offences (n.e.c.) (113),17.0
2003,Kerry Garda Division,Organisation of crime and conspiracy to commit crime (152),0.0
2003,Kerry Garda Division,Other assault (035),258.0
2003,Kerry Garda Division,Other drug offences (103),7.0
2003,Kerry Garda Division,Other road offences (1433),1031.0
2003,Kerry Garda Division,Other sexual offences (022),2.0
2003,Kerry Garda Division,"Other thefts, handling stolen property (084)",632.0
2003,Kerry Garda Division,Perverting the course of justice (153),1.0
2003,Kerry Garda Division,Possession of a firearm (1122),4.0
2003,Kerry Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",0.0
2003,Kerry Garda Division,Possession of drugs for personal use (1022),135.0
2003,Kerry Garda Division,Possession of drugs for sale or supply (1021),51.0
2003,Kerry Garda Division,Prostitution offences (134),0.0
2003,Kerry Garda Division,Public order and other social code offences (13),1786.0
2003,Kerry Garda Division,Public service vehicle offences (1442),1.0
2003,Kerry Garda Division,Rape and sexual assault (021),46.0
2003,Kerry Garda Division,"Regulated betting/money, collection/trading offences (135)",13.0
2003,Kerry Garda Division,Road and traffic offences (14),1581.0
2003,Kerry Garda Division,Road transport - carriage of goods offences (1441),25.0
2003,Kerry Garda Division,Roadworthiness/regulatory offences (143),29.0
2003,Kerry Garda Division,Robbery from the person (0613),17.0
2003,Kerry Garda Division,Robbery of an establishment or institution (0611),4.0
2003,Kerry Garda Division,Robbery of cash or goods in transit (0612),0.0
2003,Kerry Garda Division,"Robbery, extortion and hijacking offences (06)",21.0
2003,Kerry Garda Division,Sexual offences (02),48.0
2003,Kerry Garda Division,Social code offences (n.e.c.) (136),7.0
2003,Kerry Garda Division,Speeding (0415),158.0
2003,Kerry Garda Division,Theft and related offences (08),1186.0
2003,Kerry Garda Division,Theft from person (0821),93.0
2003,Kerry Garda Division,Theft from shop (0822),340.0
2003,Kerry Garda Division,Theft/taking of vehicle and related offences (081),121.0
2003,Kerry Garda Division,Threat to kill or cause serious harm (0313),0.0
2003,Kerry Garda Division,Trespass offences (132),23.0
2003,Kerry Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2003,Kerry Garda Division,Vehicle tax/registration offences (142),159.0
2003,Kerry Garda Division,Weapons and explosives offences (11),22.0
2004,Kerry Garda Division,"Abandoning a child, child neglect and cruelty (0422)",5.0
2004,Kerry Garda Division,Abduction of person under 16 years of age (0512),0.0
2004,Kerry Garda Division,Aggravated burglary (0711),1.0
2004,Kerry Garda Division,Arson (1211),41.0
2004,Kerry Garda Division,"Assault causing harm, poisoning (034)",125.0
2004,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",416.0
2004,Kerry Garda Division,Blackmail or extortion (0621),0.0
2004,Kerry Garda Division,Burglary (not aggravated) (0712),355.0
2004,Kerry Garda Division,Burglary and related offences (07),356.0
2004,Kerry Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",2.0
2004,Kerry Garda Division,Controlled drug offences (10),169.0
2004,Kerry Garda Division,Criminal damage (not arson) (1212),567.0
2004,Kerry Garda Division,Cultivation or manufacture of drugs (1012),2.0
2004,Kerry Garda Division,Damage to property and to the environment  offences (12),610.0
2004,Kerry Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2004,Kerry Garda Division,Dangerous driving leading to death (012),4.0
2004,Kerry Garda Division,Dangerous or negligent acts (04),908.0
2004,Kerry Garda Division,Dangerous/careless driving and motorway offences (0414),117.0
2004,Kerry Garda Division,Discharging a firearm (1121),3.0
2004,Kerry Garda Division,Disorderly conduct (131),1371.0
2004,Kerry Garda Division,"Driving licence-failure to have, produce, etc. (1411)",48.0
2004,Kerry Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",523.0
2004,Kerry Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),1.0
