Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",106.0
2003Q1,Kerry Garda Division,Burglary and related offences,70.0
2003Q1,Kerry Garda Division,Controlled drug offences,50.0
2003Q1,Kerry Garda Division,Damage to property and to the environment  offences,132.0
2003Q1,Kerry Garda Division,Dangerous or negligent acts,130.0
2003Q1,Kerry Garda Division,"Fraud, deception and related offences",15.0
2003Q1,Kerry Garda Division,Homicide & related offences,0.0
2003Q1,Kerry Garda Division,Kidnapping and related offences,0.0
2003Q1,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",41.0
2003Q1,Kerry Garda Division,Offences not elsewhere classified,5.0
2003Q1,Kerry Garda Division,Public order and other social code offences,351.0
2003Q1,Kerry Garda Division,Road and traffic offences,264.0
2003Q1,Kerry Garda Division,"Robbery, extortion and hijacking offences",3.0
2003Q1,Kerry Garda Division,Sexual offences,22.0
2003Q1,Kerry Garda Division,Theft and related offences,281.0
2003Q1,Kerry Garda Division,Weapons and explosives offences,5.0
2003Q2,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",101.0
2003Q2,Kerry Garda Division,Burglary and related offences,84.0
2003Q2,Kerry Garda Division,Controlled drug offences,50.0
2003Q2,Kerry Garda Division,Damage to property and to the environment  offences,122.0
2003Q2,Kerry Garda Division,Dangerous or negligent acts,163.0
2003Q2,Kerry Garda Division,"Fraud, deception and related offences",15.0
2003Q2,Kerry Garda Division,Homicide & related offences,0.0
2003Q2,Kerry Garda Division,Kidnapping and related offences,0.0
2003Q2,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",28.0
2003Q2,Kerry Garda Division,Offences not elsewhere classified,11.0
2003Q2,Kerry Garda Division,Public order and other social code offences,507.0
2003Q2,Kerry Garda Division,Road and traffic offences,341.0
2003Q2,Kerry Garda Division,"Robbery, extortion and hijacking offences",7.0
2003Q2,Kerry Garda Division,Sexual offences,9.0
2003Q2,Kerry Garda Division,Theft and related offences,297.0
2003Q2,Kerry Garda Division,Weapons and explosives offences,4.0
2003Q3,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",103.0
2003Q3,Kerry Garda Division,Burglary and related offences,77.0
2003Q3,Kerry Garda Division,Controlled drug offences,48.0
2003Q3,Kerry Garda Division,Damage to property and to the environment  offences,138.0
2003Q3,Kerry Garda Division,Dangerous or negligent acts,212.0
2003Q3,Kerry Garda Division,"Fraud, deception and related offences",15.0
2003Q3,Kerry Garda Division,Homicide & related offences,1.0
2003Q3,Kerry Garda Division,Kidnapping and related offences,0.0
2003Q3,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2003Q3,Kerry Garda Division,Offences not elsewhere classified,8.0
2003Q3,Kerry Garda Division,Public order and other social code offences,443.0
2003Q3,Kerry Garda Division,Road and traffic offences,389.0
2003Q3,Kerry Garda Division,"Robbery, extortion and hijacking offences",10.0
2003Q3,Kerry Garda Division,Sexual offences,10.0
2003Q3,Kerry Garda Division,Theft and related offences,331.0
2003Q3,Kerry Garda Division,Weapons and explosives offences,8.0
2003Q4,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",75.0
2003Q4,Kerry Garda Division,Burglary and related offences,76.0
2003Q4,Kerry Garda Division,Controlled drug offences,49.0
2003Q4,Kerry Garda Division,Damage to property and to the environment  offences,137.0
2003Q4,Kerry Garda Division,Dangerous or negligent acts,244.0
2003Q4,Kerry Garda Division,"Fraud, deception and related offences",11.0
2003Q4,Kerry Garda Division,Homicide & related offences,0.0
2003Q4,Kerry Garda Division,Kidnapping and related offences,0.0
2003Q4,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",50.0
2003Q4,Kerry Garda Division,Offences not elsewhere classified,8.0
2003Q4,Kerry Garda Division,Public order and other social code offences,485.0
2003Q4,Kerry Garda Division,Road and traffic offences,587.0
2003Q4,Kerry Garda Division,"Robbery, extortion and hijacking offences",1.0
2003Q4,Kerry Garda Division,Sexual offences,7.0
2003Q4,Kerry Garda Division,Theft and related offences,277.0
2003Q4,Kerry Garda Division,Weapons and explosives offences,5.0
2004Q1,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",94.0
2004Q1,Kerry Garda Division,Burglary and related offences,94.0
2004Q1,Kerry Garda Division,Controlled drug offences,38.0
2004Q1,Kerry Garda Division,Damage to property and to the environment  offences,149.0
2004Q1,Kerry Garda Division,Dangerous or negligent acts,235.0
2004Q1,Kerry Garda Division,"Fraud, deception and related offences",24.0
2004Q1,Kerry Garda Division,Homicide & related offences,2.0
2004Q1,Kerry Garda Division,Kidnapping and related offences,3.0
2004Q1,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2004Q1,Kerry Garda Division,Offences not elsewhere classified,8.0
2004Q1,Kerry Garda Division,Public order and other social code offences,402.0
2004Q1,Kerry Garda Division,Road and traffic offences,498.0
2004Q1,Kerry Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q1,Kerry Garda Division,Sexual offences,21.0
2004Q1,Kerry Garda Division,Theft and related offences,250.0
2004Q1,Kerry Garda Division,Weapons and explosives offences,8.0
2004Q2,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",105.0
2004Q2,Kerry Garda Division,Burglary and related offences,108.0
2004Q2,Kerry Garda Division,Controlled drug offences,42.0
2004Q2,Kerry Garda Division,Damage to property and to the environment  offences,172.0
2004Q2,Kerry Garda Division,Dangerous or negligent acts,219.0
2004Q2,Kerry Garda Division,"Fraud, deception and related offences",9.0
2004Q2,Kerry Garda Division,Homicide & related offences,0.0
2004Q2,Kerry Garda Division,Kidnapping and related offences,0.0
2004Q2,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",37.0
2004Q2,Kerry Garda Division,Offences not elsewhere classified,3.0
2004Q2,Kerry Garda Division,Public order and other social code offences,419.0
2004Q2,Kerry Garda Division,Road and traffic offences,437.0
2004Q2,Kerry Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q2,Kerry Garda Division,Sexual offences,11.0
2004Q2,Kerry Garda Division,Theft and related offences,269.0
2004Q2,Kerry Garda Division,Weapons and explosives offences,10.0
2004Q3,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",113.0
2004Q3,Kerry Garda Division,Burglary and related offences,99.0
2004Q3,Kerry Garda Division,Controlled drug offences,45.0
2004Q3,Kerry Garda Division,Damage to property and to the environment  offences,148.0
2004Q3,Kerry Garda Division,Dangerous or negligent acts,219.0
2004Q3,Kerry Garda Division,"Fraud, deception and related offences",9.0
2004Q3,Kerry Garda Division,Homicide & related offences,5.0
2004Q3,Kerry Garda Division,Kidnapping and related offences,0.0
2004Q3,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",16.0
2004Q3,Kerry Garda Division,Offences not elsewhere classified,5.0
2004Q3,Kerry Garda Division,Public order and other social code offences,506.0
2004Q3,Kerry Garda Division,Road and traffic offences,501.0
2004Q3,Kerry Garda Division,"Robbery, extortion and hijacking offences",5.0
2004Q3,Kerry Garda Division,Sexual offences,14.0
2004Q3,Kerry Garda Division,Theft and related offences,284.0
2004Q3,Kerry Garda Division,Weapons and explosives offences,8.0
2004Q4,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",104.0
2004Q4,Kerry Garda Division,Burglary and related offences,55.0
2004Q4,Kerry Garda Division,Controlled drug offences,44.0
2004Q4,Kerry Garda Division,Damage to property and to the environment  offences,141.0
2004Q4,Kerry Garda Division,Dangerous or negligent acts,235.0
2004Q4,Kerry Garda Division,"Fraud, deception and related offences",7.0
2004Q4,Kerry Garda Division,Homicide & related offences,1.0
2004Q4,Kerry Garda Division,Kidnapping and related offences,0.0
2004Q4,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",32.0
2004Q4,Kerry Garda Division,Offences not elsewhere classified,6.0
2004Q4,Kerry Garda Division,Public order and other social code offences,425.0
2004Q4,Kerry Garda Division,Road and traffic offences,642.0
2004Q4,Kerry Garda Division,"Robbery, extortion and hijacking offences",5.0
2004Q4,Kerry Garda Division,Sexual offences,19.0
2004Q4,Kerry Garda Division,Theft and related offences,228.0
2004Q4,Kerry Garda Division,Weapons and explosives offences,7.0
2005Q1,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",92.0
2005Q1,Kerry Garda Division,Burglary and related offences,94.0
2005Q1,Kerry Garda Division,Controlled drug offences,55.0
2005Q1,Kerry Garda Division,Damage to property and to the environment  offences,131.0
2005Q1,Kerry Garda Division,Dangerous or negligent acts,176.0
2005Q1,Kerry Garda Division,"Fraud, deception and related offences",15.0
2005Q1,Kerry Garda Division,Homicide & related offences,1.0
2005Q1,Kerry Garda Division,Kidnapping and related offences,0.0
2005Q1,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",32.0
2005Q1,Kerry Garda Division,Offences not elsewhere classified,7.0
2005Q1,Kerry Garda Division,Public order and other social code offences,444.0
2005Q1,Kerry Garda Division,Road and traffic offences,503.0
2005Q1,Kerry Garda Division,"Robbery, extortion and hijacking offences",6.0
2005Q1,Kerry Garda Division,Sexual offences,14.0
2005Q1,Kerry Garda Division,Theft and related offences,251.0
2005Q1,Kerry Garda Division,Weapons and explosives offences,3.0
2005Q2,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",77.0
2005Q2,Kerry Garda Division,Burglary and related offences,110.0
2005Q2,Kerry Garda Division,Controlled drug offences,102.0
2005Q2,Kerry Garda Division,Damage to property and to the environment  offences,146.0
2005Q2,Kerry Garda Division,Dangerous or negligent acts,261.0
2005Q2,Kerry Garda Division,"Fraud, deception and related offences",2.0
2005Q2,Kerry Garda Division,Homicide & related offences,0.0
2005Q2,Kerry Garda Division,Kidnapping and related offences,0.0
2005Q2,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2005Q2,Kerry Garda Division,Offences not elsewhere classified,12.0
2005Q2,Kerry Garda Division,Public order and other social code offences,614.0
2005Q2,Kerry Garda Division,Road and traffic offences,621.0
2005Q2,Kerry Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q2,Kerry Garda Division,Sexual offences,14.0
2005Q2,Kerry Garda Division,Theft and related offences,272.0
2005Q2,Kerry Garda Division,Weapons and explosives offences,16.0
2005Q3,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",132.0
2005Q3,Kerry Garda Division,Burglary and related offences,145.0
2005Q3,Kerry Garda Division,Controlled drug offences,57.0
2005Q3,Kerry Garda Division,Damage to property and to the environment  offences,169.0
2005Q3,Kerry Garda Division,Dangerous or negligent acts,213.0
2005Q3,Kerry Garda Division,"Fraud, deception and related offences",5.0
2005Q3,Kerry Garda Division,Homicide & related offences,2.0
2005Q3,Kerry Garda Division,Kidnapping and related offences,0.0
2005Q3,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",52.0
2005Q3,Kerry Garda Division,Offences not elsewhere classified,7.0
2005Q3,Kerry Garda Division,Public order and other social code offences,650.0
2005Q3,Kerry Garda Division,Road and traffic offences,445.0
2005Q3,Kerry Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q3,Kerry Garda Division,Sexual offences,9.0
2005Q3,Kerry Garda Division,Theft and related offences,345.0
2005Q3,Kerry Garda Division,Weapons and explosives offences,18.0
2005Q4,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",100.0
2005Q4,Kerry Garda Division,Burglary and related offences,158.0
2005Q4,Kerry Garda Division,Controlled drug offences,105.0
2005Q4,Kerry Garda Division,Damage to property and to the environment  offences,99.0
2005Q4,Kerry Garda Division,Dangerous or negligent acts,175.0
2005Q4,Kerry Garda Division,"Fraud, deception and related offences",5.0
2005Q4,Kerry Garda Division,Homicide & related offences,1.0
2005Q4,Kerry Garda Division,Kidnapping and related offences,0.0
2005Q4,Kerry Garda Division,"Offences against government, justice procedures and organisation of crime",25.0
2005Q4,Kerry Garda Division,Offences not elsewhere classified,15.0
2005Q4,Kerry Garda Division,Public order and other social code offences,571.0
2005Q4,Kerry Garda Division,Road and traffic offences,462.0
2005Q4,Kerry Garda Division,"Robbery, extortion and hijacking offences",6.0
2005Q4,Kerry Garda Division,Sexual offences,10.0
2005Q4,Kerry Garda Division,Theft and related offences,323.0
2005Q4,Kerry Garda Division,Weapons and explosives offences,13.0
2006Q1,Kerry Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",122.0
2006Q1,Kerry Garda Division,Burglary and related offences,162.0
2006Q1,Kerry Garda Division,Controlled drug offences,72.0
2006Q1,Kerry Garda Division,Damage to property and to the environment  offences,144.0
2006Q1,Kerry Garda Division,Dangerous or negligent acts,248.0
2006Q1,Kerry Garda Division,"Fraud, deception and related offences",16.0
2006Q1,Kerry Garda Division,Homicide & related offences,1.0
