Year,Garda Division,Type of Offence,VALUE
2003,Kildare Garda Division,"Abandoning a child, child neglect and cruelty (0422)",11.0
2003,Kildare Garda Division,Abduction of person under 16 years of age (0512),1.0
2003,Kildare Garda Division,Aggravated burglary (0711),10.0
2003,Kildare Garda Division,Arson (1211),57.0
2003,Kildare Garda Division,"Assault causing harm, poisoning (034)",161.0
2003,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",552.0
2003,Kildare Garda Division,Blackmail or extortion (0621),0.0
2003,Kildare Garda Division,Burglary (not aggravated) (0712),1223.0
2003,Kildare Garda Division,Burglary and related offences (07),1239.0
2003,Kildare Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2003,Kildare Garda Division,Controlled drug offences (10),541.0
2003,Kildare Garda Division,Criminal damage (not arson) (1212),1037.0
2003,Kildare Garda Division,Cultivation or manufacture of drugs (1012),1.0
2003,Kildare Garda Division,Damage to property and to the environment  offences (12),1097.0
2003,Kildare Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2003,Kildare Garda Division,Dangerous driving leading to death (012),0.0
2003,Kildare Garda Division,Dangerous or negligent acts (04),986.0
2003,Kildare Garda Division,Dangerous/careless driving and motorway offences (0414),182.0
2003,Kildare Garda Division,Discharging a firearm (1121),2.0
2003,Kildare Garda Division,Disorderly conduct (131),1644.0
2003,Kildare Garda Division,"Driving licence-failure to have, produce, etc. (1411)",19.0
2003,Kildare Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",457.0
2003,Kildare Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),3.0
2003,Kildare Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),454.0
2003,Kildare Garda Division,Endangering traffic offences (0425),10.0
2003,Kildare Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2003,Kildare Garda Division,"Explosives, chemical weapons offences (111)",4.0
2003,Kildare Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Kildare Garda Division,False imprisonment (0511),2.0
2003,Kildare Garda Division,Fireworks offences (114),0.0
2003,Kildare Garda Division,"Fraud, deception and related offences (09)",157.0
2003,Kildare Garda Division,Harassment and related offences (033),26.0
2003,Kildare Garda Division,Homicide & related offences (01),0.0
2003,Kildare Garda Division,Human trafficking offences (0513),0.0
2003,Kildare Garda Division,Importation of drugs (1011),2.0
2003,Kildare Garda Division,Infanticide (0113),0.0
2003,Kildare Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",570.0
2003,Kildare Garda Division,Kidnapping and related offences (05),3.0
2003,Kildare Garda Division,Light rail offences (Luas) (1443),0.0
2003,Kildare Garda Division,Liquor licensing offences (133),84.0
2003,Kildare Garda Division,Litter offences (1221),3.0
2003,Kildare Garda Division,Manslaughter (0112),0.0
2003,Kildare Garda Division,Murder (0111),0.0
2003,Kildare Garda Division,Murder-attempt (0311),0.0
2003,Kildare Garda Division,Obstruction under Road Traffic Acts (1432),3.0
2003,Kildare Garda Division,Offences against government and its agents (151),5.0
2003,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime (15)",156.0
2003,Kildare Garda Division,Offences not elsewhere classified (16),55.0
2003,Kildare Garda Division,"Offences while in custody, breach of court orders (157)",145.0
2003,Kildare Garda Division,Offensive weapons offences (n.e.c.) (113),35.0
2003,Kildare Garda Division,Organisation of crime and conspiracy to commit crime (152),3.0
2003,Kildare Garda Division,Other assault (035),365.0
2003,Kildare Garda Division,Other drug offences (103),6.0
2003,Kildare Garda Division,Other road offences (1433),840.0
2003,Kildare Garda Division,Other sexual offences (022),1.0
2003,Kildare Garda Division,"Other thefts, handling stolen property (084)",1408.0
2003,Kildare Garda Division,Perverting the course of justice (153),3.0
2003,Kildare Garda Division,Possession of a firearm (1122),7.0
2003,Kildare Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",6.0
2003,Kildare Garda Division,Possession of drugs for personal use (1022),464.0
2003,Kildare Garda Division,Possession of drugs for sale or supply (1021),68.0
2003,Kildare Garda Division,Prostitution offences (134),1.0
2003,Kildare Garda Division,Public order and other social code offences (13),1798.0
2003,Kildare Garda Division,Public service vehicle offences (1442),3.0
2003,Kildare Garda Division,Rape and sexual assault (021),53.0
2003,Kildare Garda Division,"Regulated betting/money, collection/trading offences (135)",1.0
2003,Kildare Garda Division,Road and traffic offences (14),1687.0
2003,Kildare Garda Division,Road transport - carriage of goods offences (1441),37.0
2003,Kildare Garda Division,Roadworthiness/regulatory offences (143),26.0
2003,Kildare Garda Division,Robbery from the person (0613),20.0
2003,Kildare Garda Division,Robbery of an establishment or institution (0611),52.0
2003,Kildare Garda Division,Robbery of cash or goods in transit (0612),4.0
2003,Kildare Garda Division,"Robbery, extortion and hijacking offences (06)",76.0
2003,Kildare Garda Division,Sexual offences (02),54.0
2003,Kildare Garda Division,Social code offences (n.e.c.) (136),12.0
2003,Kildare Garda Division,Speeding (0415),326.0
2003,Kildare Garda Division,Theft and related offences (08),2332.0
2003,Kildare Garda Division,Theft from person (0821),133.0
2003,Kildare Garda Division,Theft from shop (0822),324.0
2003,Kildare Garda Division,Theft/taking of vehicle and related offences (081),467.0
2003,Kildare Garda Division,Threat to kill or cause serious harm (0313),0.0
2003,Kildare Garda Division,Trespass offences (132),56.0
2003,Kildare Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2003,Kildare Garda Division,Vehicle tax/registration offences (142),189.0
2003,Kildare Garda Division,Weapons and explosives offences (11),48.0
2004,Kildare Garda Division,"Abandoning a child, child neglect and cruelty (0422)",12.0
2004,Kildare Garda Division,Abduction of person under 16 years of age (0512),0.0
2004,Kildare Garda Division,Aggravated burglary (0711),8.0
2004,Kildare Garda Division,Arson (1211),54.0
2004,Kildare Garda Division,"Assault causing harm, poisoning (034)",145.0
2004,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",480.0
2004,Kildare Garda Division,Blackmail or extortion (0621),0.0
2004,Kildare Garda Division,Burglary (not aggravated) (0712),1156.0
2004,Kildare Garda Division,Burglary and related offences (07),1168.0
2004,Kildare Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2004,Kildare Garda Division,Controlled drug offences (10),541.0
2004,Kildare Garda Division,Criminal damage (not arson) (1212),1082.0
2004,Kildare Garda Division,Cultivation or manufacture of drugs (1012),0.0
2004,Kildare Garda Division,Damage to property and to the environment  offences (12),1139.0
2004,Kildare Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2004,Kildare Garda Division,Dangerous driving leading to death (012),3.0
2004,Kildare Garda Division,Dangerous or negligent acts (04),1078.0
2004,Kildare Garda Division,Dangerous/careless driving and motorway offences (0414),219.0
2004,Kildare Garda Division,Discharging a firearm (1121),6.0
2004,Kildare Garda Division,Disorderly conduct (131),1495.0
2004,Kildare Garda Division,"Driving licence-failure to have, produce, etc. (1411)",31.0
2004,Kildare Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",531.0
2004,Kildare Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),4.0
2004,Kildare Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),527.0
2004,Kildare Garda Division,Endangering traffic offences (0425),7.0
2004,Kildare Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2004,Kildare Garda Division,"Explosives, chemical weapons offences (111)",2.0
2004,Kildare Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2004,Kildare Garda Division,False imprisonment (0511),0.0
2004,Kildare Garda Division,Fireworks offences (114),0.0
2004,Kildare Garda Division,"Fraud, deception and related offences (09)",130.0
2004,Kildare Garda Division,Harassment and related offences (033),32.0
2004,Kildare Garda Division,Homicide & related offences (01),4.0
2004,Kildare Garda Division,Human trafficking offences (0513),0.0
2004,Kildare Garda Division,Importation of drugs (1011),2.0
2004,Kildare Garda Division,Infanticide (0113),0.0
2004,Kildare Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",746.0
2004,Kildare Garda Division,Kidnapping and related offences (05),0.0
2004,Kildare Garda Division,Light rail offences (Luas) (1443),0.0
2004,Kildare Garda Division,Liquor licensing offences (133),97.0
2004,Kildare Garda Division,Litter offences (1221),3.0
2004,Kildare Garda Division,Manslaughter (0112),1.0
2004,Kildare Garda Division,Murder (0111),0.0
2004,Kildare Garda Division,Murder-attempt (0311),0.0
2004,Kildare Garda Division,Obstruction under Road Traffic Acts (1432),6.0
2004,Kildare Garda Division,Offences against government and its agents (151),0.0
2004,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime (15)",153.0
2004,Kildare Garda Division,Offences not elsewhere classified (16),39.0
2004,Kildare Garda Division,"Offences while in custody, breach of court orders (157)",147.0
2004,Kildare Garda Division,Offensive weapons offences (n.e.c.) (113),23.0
