Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",137.0
2003Q1,Kildare Garda Division,Burglary and related offences,307.0
2003Q1,Kildare Garda Division,Controlled drug offences,75.0
2003Q1,Kildare Garda Division,Damage to property and to the environment  offences,281.0
2003Q1,Kildare Garda Division,Dangerous or negligent acts,250.0
2003Q1,Kildare Garda Division,"Fraud, deception and related offences",82.0
2003Q1,Kildare Garda Division,Homicide & related offences,0.0
2003Q1,Kildare Garda Division,Kidnapping and related offences,0.0
2003Q1,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",38.0
2003Q1,Kildare Garda Division,Offences not elsewhere classified,10.0
2003Q1,Kildare Garda Division,Public order and other social code offences,437.0
2003Q1,Kildare Garda Division,Road and traffic offences,380.0
2003Q1,Kildare Garda Division,"Robbery, extortion and hijacking offences",17.0
2003Q1,Kildare Garda Division,Sexual offences,18.0
2003Q1,Kildare Garda Division,Theft and related offences,600.0
2003Q1,Kildare Garda Division,Weapons and explosives offences,9.0
2003Q2,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",155.0
2003Q2,Kildare Garda Division,Burglary and related offences,261.0
2003Q2,Kildare Garda Division,Controlled drug offences,116.0
2003Q2,Kildare Garda Division,Damage to property and to the environment  offences,275.0
2003Q2,Kildare Garda Division,Dangerous or negligent acts,288.0
2003Q2,Kildare Garda Division,"Fraud, deception and related offences",35.0
2003Q2,Kildare Garda Division,Homicide & related offences,0.0
2003Q2,Kildare Garda Division,Kidnapping and related offences,0.0
2003Q2,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2003Q2,Kildare Garda Division,Offences not elsewhere classified,18.0
2003Q2,Kildare Garda Division,Public order and other social code offences,527.0
2003Q2,Kildare Garda Division,Road and traffic offences,432.0
2003Q2,Kildare Garda Division,"Robbery, extortion and hijacking offences",22.0
2003Q2,Kildare Garda Division,Sexual offences,16.0
2003Q2,Kildare Garda Division,Theft and related offences,590.0
2003Q2,Kildare Garda Division,Weapons and explosives offences,11.0
2003Q3,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",148.0
2003Q3,Kildare Garda Division,Burglary and related offences,280.0
2003Q3,Kildare Garda Division,Controlled drug offences,271.0
2003Q3,Kildare Garda Division,Damage to property and to the environment  offences,248.0
2003Q3,Kildare Garda Division,Dangerous or negligent acts,201.0
2003Q3,Kildare Garda Division,"Fraud, deception and related offences",17.0
2003Q3,Kildare Garda Division,Homicide & related offences,0.0
2003Q3,Kildare Garda Division,Kidnapping and related offences,2.0
2003Q3,Kildare Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2003Q3,Kildare Garda Division,Offences not elsewhere classified,10.0
2003Q3,Kildare Garda Division,Public order and other social code offences,387.0
2003Q3,Kildare Garda Division,Road and traffic offences,377.0
2003Q3,Kildare Garda Division,"Robbery, extortion and hijacking offences",17.0
2003Q3,Kildare Garda Division,Sexual offences,9.0
2003Q3,Kildare Garda Division,Theft and related offences,601.0
2003Q3,Kildare Garda Division,Weapons and explosives offences,12.0
2003Q4,Kildare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",112.0
2003Q4,Kildare Garda Division,Burglary and related offences,391.0
2003Q4,Kildare Garda Division,Controlled drug offences,79.0
2003Q4,Kildare Garda Division,Damage to property and to the environment  offences,293.0
