Year,Garda Division,Type of Offence,VALUE
2003,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",356.0
2003,Kilkenny-Carlow Garda Division,Burglary and related offences,771.0
2003,Kilkenny-Carlow Garda Division,Controlled drug offences,420.0
2003,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,490.0
2003,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,660.0
2003,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",140.0
2003,Kilkenny-Carlow Garda Division,Homicide & related offences,1.0
2003,Kilkenny-Carlow Garda Division,Kidnapping and related offences,3.0
2003,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",96.0
2003,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,27.0
2003,Kilkenny-Carlow Garda Division,Public order and other social code offences,1447.0
2003,Kilkenny-Carlow Garda Division,Road and traffic offences,973.0
2003,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",44.0
2003,Kilkenny-Carlow Garda Division,Sexual offences,65.0
2003,Kilkenny-Carlow Garda Division,Theft and related offences,1306.0
2003,Kilkenny-Carlow Garda Division,Weapons and explosives offences,62.0
2004,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",402.0
2004,Kilkenny-Carlow Garda Division,Burglary and related offences,756.0
2004,Kilkenny-Carlow Garda Division,Controlled drug offences,417.0
2004,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,592.0
2004,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,694.0
2004,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",121.0
2004,Kilkenny-Carlow Garda Division,Homicide & related offences,5.0
2004,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2004,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",105.0
2004,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,17.0
2004,Kilkenny-Carlow Garda Division,Public order and other social code offences,1463.0
2004,Kilkenny-Carlow Garda Division,Road and traffic offences,1095.0
2004,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",23.0
2004,Kilkenny-Carlow Garda Division,Sexual offences,51.0
2004,Kilkenny-Carlow Garda Division,Theft and related offences,1402.0
2004,Kilkenny-Carlow Garda Division,Weapons and explosives offences,41.0
2005,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",422.0
2005,Kilkenny-Carlow Garda Division,Burglary and related offences,839.0
2005,Kilkenny-Carlow Garda Division,Controlled drug offences,439.0
2005,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,797.0
2005,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,729.0
2005,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",74.0
2005,Kilkenny-Carlow Garda Division,Homicide & related offences,2.0
2005,Kilkenny-Carlow Garda Division,Kidnapping and related offences,2.0
2005,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",91.0
2005,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,15.0
2005,Kilkenny-Carlow Garda Division,Public order and other social code offences,1338.0
2005,Kilkenny-Carlow Garda Division,Road and traffic offences,1523.0
2005,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",38.0
2005,Kilkenny-Carlow Garda Division,Sexual offences,54.0
2005,Kilkenny-Carlow Garda Division,Theft and related offences,1660.0
2005,Kilkenny-Carlow Garda Division,Weapons and explosives offences,35.0
2006,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",507.0
2006,Kilkenny-Carlow Garda Division,Burglary and related offences,945.0
2006,Kilkenny-Carlow Garda Division,Controlled drug offences,472.0
2006,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,1098.0
2006,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,1661.0
2006,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",80.0
2006,Kilkenny-Carlow Garda Division,Homicide & related offences,4.0
2006,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2006,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",120.0
2006,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,30.0
2006,Kilkenny-Carlow Garda Division,Public order and other social code offences,1418.0
2006,Kilkenny-Carlow Garda Division,Road and traffic offences,3107.0
2006,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",33.0
2006,Kilkenny-Carlow Garda Division,Sexual offences,46.0
2006,Kilkenny-Carlow Garda Division,Theft and related offences,2035.0
2006,Kilkenny-Carlow Garda Division,Weapons and explosives offences,34.0
