Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",98.0
2003Q1,Kilkenny-Carlow Garda Division,Burglary and related offences,156.0
2003Q1,Kilkenny-Carlow Garda Division,Controlled drug offences,90.0
2003Q1,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,125.0
2003Q1,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,152.0
2003Q1,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",24.0
2003Q1,Kilkenny-Carlow Garda Division,Homicide & related offences,1.0
2003Q1,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2003Q1,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2003Q1,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,12.0
2003Q1,Kilkenny-Carlow Garda Division,Public order and other social code offences,395.0
2003Q1,Kilkenny-Carlow Garda Division,Road and traffic offences,222.0
2003Q1,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",15.0
2003Q1,Kilkenny-Carlow Garda Division,Sexual offences,27.0
2003Q1,Kilkenny-Carlow Garda Division,Theft and related offences,294.0
2003Q1,Kilkenny-Carlow Garda Division,Weapons and explosives offences,31.0
2003Q2,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",85.0
2003Q2,Kilkenny-Carlow Garda Division,Burglary and related offences,214.0
2003Q2,Kilkenny-Carlow Garda Division,Controlled drug offences,133.0
2003Q2,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,113.0
2003Q2,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,183.0
2003Q2,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",31.0
2003Q2,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2003Q2,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2003Q2,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",22.0
2003Q2,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,6.0
2003Q2,Kilkenny-Carlow Garda Division,Public order and other social code offences,359.0
2003Q2,Kilkenny-Carlow Garda Division,Road and traffic offences,243.0
2003Q2,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",8.0
2003Q2,Kilkenny-Carlow Garda Division,Sexual offences,15.0
2003Q2,Kilkenny-Carlow Garda Division,Theft and related offences,332.0
2003Q2,Kilkenny-Carlow Garda Division,Weapons and explosives offences,3.0
2003Q3,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",89.0
2003Q3,Kilkenny-Carlow Garda Division,Burglary and related offences,164.0
2003Q3,Kilkenny-Carlow Garda Division,Controlled drug offences,95.0
2003Q3,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,136.0
2003Q3,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,166.0
2003Q3,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",35.0
2003Q3,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2003Q3,Kilkenny-Carlow Garda Division,Kidnapping and related offences,2.0
2003Q3,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",28.0
2003Q3,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,5.0
2003Q3,Kilkenny-Carlow Garda Division,Public order and other social code offences,353.0
2003Q3,Kilkenny-Carlow Garda Division,Road and traffic offences,213.0
2003Q3,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",9.0
2003Q3,Kilkenny-Carlow Garda Division,Sexual offences,18.0
2003Q3,Kilkenny-Carlow Garda Division,Theft and related offences,357.0
2003Q3,Kilkenny-Carlow Garda Division,Weapons and explosives offences,6.0
2003Q4,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",84.0
2003Q4,Kilkenny-Carlow Garda Division,Burglary and related offences,237.0
2003Q4,Kilkenny-Carlow Garda Division,Controlled drug offences,102.0
2003Q4,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,116.0
2003Q4,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,159.0
2003Q4,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",50.0
2003Q4,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2003Q4,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2003Q4,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",20.0
2003Q4,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,4.0
2003Q4,Kilkenny-Carlow Garda Division,Public order and other social code offences,340.0
2003Q4,Kilkenny-Carlow Garda Division,Road and traffic offences,295.0
2003Q4,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",12.0
2003Q4,Kilkenny-Carlow Garda Division,Sexual offences,5.0
2003Q4,Kilkenny-Carlow Garda Division,Theft and related offences,323.0
2003Q4,Kilkenny-Carlow Garda Division,Weapons and explosives offences,22.0
2004Q1,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",144.0
2004Q1,Kilkenny-Carlow Garda Division,Burglary and related offences,237.0
2004Q1,Kilkenny-Carlow Garda Division,Controlled drug offences,128.0
2004Q1,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,167.0
2004Q1,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,121.0
2004Q1,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",54.0
2004Q1,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2004Q1,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2004Q1,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",30.0
2004Q1,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,5.0
2004Q1,Kilkenny-Carlow Garda Division,Public order and other social code offences,370.0
2004Q1,Kilkenny-Carlow Garda Division,Road and traffic offences,203.0
2004Q1,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q1,Kilkenny-Carlow Garda Division,Sexual offences,19.0
2004Q1,Kilkenny-Carlow Garda Division,Theft and related offences,419.0
2004Q1,Kilkenny-Carlow Garda Division,Weapons and explosives offences,14.0
2004Q2,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",79.0
2004Q2,Kilkenny-Carlow Garda Division,Burglary and related offences,187.0
2004Q2,Kilkenny-Carlow Garda Division,Controlled drug offences,121.0
2004Q2,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,139.0
2004Q2,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,165.0
2004Q2,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",30.0
2004Q2,Kilkenny-Carlow Garda Division,Homicide & related offences,2.0
2004Q2,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2004Q2,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",25.0
2004Q2,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,4.0
2004Q2,Kilkenny-Carlow Garda Division,Public order and other social code offences,373.0
2004Q2,Kilkenny-Carlow Garda Division,Road and traffic offences,297.0
2004Q2,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",5.0
2004Q2,Kilkenny-Carlow Garda Division,Sexual offences,12.0
2004Q2,Kilkenny-Carlow Garda Division,Theft and related offences,328.0
2004Q2,Kilkenny-Carlow Garda Division,Weapons and explosives offences,11.0
2004Q3,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",85.0
2004Q3,Kilkenny-Carlow Garda Division,Burglary and related offences,149.0
2004Q3,Kilkenny-Carlow Garda Division,Controlled drug offences,96.0
2004Q3,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,136.0
2004Q3,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,188.0
2004Q3,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",20.0
2004Q3,Kilkenny-Carlow Garda Division,Homicide & related offences,2.0
2004Q3,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2004Q3,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2004Q3,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,6.0
2004Q3,Kilkenny-Carlow Garda Division,Public order and other social code offences,344.0
2004Q3,Kilkenny-Carlow Garda Division,Road and traffic offences,256.0
2004Q3,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q3,Kilkenny-Carlow Garda Division,Sexual offences,6.0
2004Q3,Kilkenny-Carlow Garda Division,Theft and related offences,314.0
2004Q3,Kilkenny-Carlow Garda Division,Weapons and explosives offences,7.0
2004Q4,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",94.0
2004Q4,Kilkenny-Carlow Garda Division,Burglary and related offences,183.0
2004Q4,Kilkenny-Carlow Garda Division,Controlled drug offences,72.0
2004Q4,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,150.0
2004Q4,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,220.0
2004Q4,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",17.0
2004Q4,Kilkenny-Carlow Garda Division,Homicide & related offences,1.0
2004Q4,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2004Q4,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2004Q4,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,2.0
2004Q4,Kilkenny-Carlow Garda Division,Public order and other social code offences,376.0
2004Q4,Kilkenny-Carlow Garda Division,Road and traffic offences,339.0
2004Q4,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",11.0
