Year,Garda Division,Type of Offence,VALUE
2003,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",429.0
2003,Laois-Offaly Garda Division,Burglary and related offences,637.0
2003,Laois-Offaly Garda Division,Controlled drug offences,258.0
2003,Laois-Offaly Garda Division,Damage to property and to the environment  offences,660.0
2003,Laois-Offaly Garda Division,Dangerous or negligent acts,578.0
2003,Laois-Offaly Garda Division,"Fraud, deception and related offences",68.0
2003,Laois-Offaly Garda Division,Homicide & related offences,4.0
2003,Laois-Offaly Garda Division,Kidnapping and related offences,1.0
2003,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",94.0
2003,Laois-Offaly Garda Division,Offences not elsewhere classified,61.0
2003,Laois-Offaly Garda Division,Public order and other social code offences,1135.0
2003,Laois-Offaly Garda Division,Road and traffic offences,716.0
2003,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",20.0
2003,Laois-Offaly Garda Division,Sexual offences,33.0
2003,Laois-Offaly Garda Division,Theft and related offences,1517.0
2003,Laois-Offaly Garda Division,Weapons and explosives offences,25.0
2004,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",443.0
2004,Laois-Offaly Garda Division,Burglary and related offences,697.0
2004,Laois-Offaly Garda Division,Controlled drug offences,366.0
2004,Laois-Offaly Garda Division,Damage to property and to the environment  offences,627.0
2004,Laois-Offaly Garda Division,Dangerous or negligent acts,938.0
2004,Laois-Offaly Garda Division,"Fraud, deception and related offences",115.0
2004,Laois-Offaly Garda Division,Homicide & related offences,5.0
2004,Laois-Offaly Garda Division,Kidnapping and related offences,2.0
2004,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",101.0
2004,Laois-Offaly Garda Division,Offences not elsewhere classified,41.0
2004,Laois-Offaly Garda Division,Public order and other social code offences,1043.0
2004,Laois-Offaly Garda Division,Road and traffic offences,1082.0
2004,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",20.0
2004,Laois-Offaly Garda Division,Sexual offences,47.0
2004,Laois-Offaly Garda Division,Theft and related offences,1391.0
2004,Laois-Offaly Garda Division,Weapons and explosives offences,61.0
2005,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",488.0
2005,Laois-Offaly Garda Division,Burglary and related offences,731.0
2005,Laois-Offaly Garda Division,Controlled drug offences,798.0
2005,Laois-Offaly Garda Division,Damage to property and to the environment  offences,829.0
2005,Laois-Offaly Garda Division,Dangerous or negligent acts,1171.0
2005,Laois-Offaly Garda Division,"Fraud, deception and related offences",118.0
2005,Laois-Offaly Garda Division,Homicide & related offences,2.0
2005,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2005,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",141.0
2005,Laois-Offaly Garda Division,Offences not elsewhere classified,51.0
2005,Laois-Offaly Garda Division,Public order and other social code offences,1547.0
2005,Laois-Offaly Garda Division,Road and traffic offences,1397.0
2005,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",28.0
2005,Laois-Offaly Garda Division,Sexual offences,36.0
2005,Laois-Offaly Garda Division,Theft and related offences,1472.0
2005,Laois-Offaly Garda Division,Weapons and explosives offences,73.0
2006,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",499.0
2006,Laois-Offaly Garda Division,Burglary and related offences,658.0
2006,Laois-Offaly Garda Division,Controlled drug offences,629.0
2006,Laois-Offaly Garda Division,Damage to property and to the environment  offences,932.0
2006,Laois-Offaly Garda Division,Dangerous or negligent acts,2044.0
2006,Laois-Offaly Garda Division,"Fraud, deception and related offences",88.0
2006,Laois-Offaly Garda Division,Homicide & related offences,2.0
2006,Laois-Offaly Garda Division,Kidnapping and related offences,2.0
2006,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",175.0
2006,Laois-Offaly Garda Division,Offences not elsewhere classified,61.0
2006,Laois-Offaly Garda Division,Public order and other social code offences,1137.0
2006,Laois-Offaly Garda Division,Road and traffic offences,2469.0
2006,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",21.0
2006,Laois-Offaly Garda Division,Sexual offences,36.0
2006,Laois-Offaly Garda Division,Theft and related offences,1554.0
2006,Laois-Offaly Garda Division,Weapons and explosives offences,65.0
2007,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",570.0
2007,Laois-Offaly Garda Division,Burglary and related offences,686.0
2007,Laois-Offaly Garda Division,Controlled drug offences,816.0
2007,Laois-Offaly Garda Division,Damage to property and to the environment  offences,1066.0
2007,Laois-Offaly Garda Division,Dangerous or negligent acts,2390.0
2007,Laois-Offaly Garda Division,"Fraud, deception and related offences",138.0
2007,Laois-Offaly Garda Division,Homicide & related offences,6.0
2007,Laois-Offaly Garda Division,Kidnapping and related offences,4.0
2007,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",175.0
2007,Laois-Offaly Garda Division,Offences not elsewhere classified,78.0
2007,Laois-Offaly Garda Division,Public order and other social code offences,1298.0
2007,Laois-Offaly Garda Division,Road and traffic offences,2977.0
2007,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",29.0
2007,Laois-Offaly Garda Division,Sexual offences,36.0
2007,Laois-Offaly Garda Division,Theft and related offences,1523.0
2007,Laois-Offaly Garda Division,Weapons and explosives offences,91.0
2008,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",596.0
2008,Laois-Offaly Garda Division,Burglary and related offences,692.0
2008,Laois-Offaly Garda Division,Controlled drug offences,822.0
2008,Laois-Offaly Garda Division,Damage to property and to the environment  offences,1153.0
2008,Laois-Offaly Garda Division,Dangerous or negligent acts,2360.0
2008,Laois-Offaly Garda Division,"Fraud, deception and related offences",156.0
2008,Laois-Offaly Garda Division,Homicide & related offences,4.0
2008,Laois-Offaly Garda Division,Kidnapping and related offences,2.0
2008,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",212.0
2008,Laois-Offaly Garda Division,Offences not elsewhere classified,111.0
2008,Laois-Offaly Garda Division,Public order and other social code offences,1311.0
2008,Laois-Offaly Garda Division,Road and traffic offences,4115.0
2008,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",25.0
2008,Laois-Offaly Garda Division,Sexual offences,27.0
2008,Laois-Offaly Garda Division,Theft and related offences,1720.0
2008,Laois-Offaly Garda Division,Weapons and explosives offences,84.0
2009,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",592.0
2009,Laois-Offaly Garda Division,Burglary and related offences,699.0
2009,Laois-Offaly Garda Division,Controlled drug offences,635.0
2009,Laois-Offaly Garda Division,Damage to property and to the environment  offences,1097.0
2009,Laois-Offaly Garda Division,Dangerous or negligent acts,2186.0
2009,Laois-Offaly Garda Division,"Fraud, deception and related offences",156.0
2009,Laois-Offaly Garda Division,Homicide & related offences,2.0
2009,Laois-Offaly Garda Division,Kidnapping and related offences,1.0
2009,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",195.0
2009,Laois-Offaly Garda Division,Offences not elsewhere classified,84.0
2009,Laois-Offaly Garda Division,Public order and other social code offences,1299.0
2009,Laois-Offaly Garda Division,Road and traffic offences,3124.0
2009,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",38.0
2009,Laois-Offaly Garda Division,Sexual offences,42.0
2009,Laois-Offaly Garda Division,Theft and related offences,1839.0
2009,Laois-Offaly Garda Division,Weapons and explosives offences,120.0
2010,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",532.0
2010,Laois-Offaly Garda Division,Burglary and related offences,759.0
2010,Laois-Offaly Garda Division,Controlled drug offences,604.0
2010,Laois-Offaly Garda Division,Damage to property and to the environment  offences,985.0
2010,Laois-Offaly Garda Division,Dangerous or negligent acts,1137.0
2010,Laois-Offaly Garda Division,"Fraud, deception and related offences",130.0
2010,Laois-Offaly Garda Division,Homicide & related offences,1.0
2010,Laois-Offaly Garda Division,Kidnapping and related offences,3.0
2010,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",173.0
2010,Laois-Offaly Garda Division,Offences not elsewhere classified,84.0
2010,Laois-Offaly Garda Division,Public order and other social code offences,1283.0
2010,Laois-Offaly Garda Division,Road and traffic offences,2507.0
2010,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",38.0
2010,Laois-Offaly Garda Division,Sexual offences,52.0
2010,Laois-Offaly Garda Division,Theft and related offences,1837.0
2010,Laois-Offaly Garda Division,Weapons and explosives offences,108.0
2011,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",498.0
2011,Laois-Offaly Garda Division,Burglary and related offences,989.0
2011,Laois-Offaly Garda Division,Controlled drug offences,551.0
2011,Laois-Offaly Garda Division,Damage to property and to the environment  offences,938.0
2011,Laois-Offaly Garda Division,Dangerous or negligent acts,1307.0
2011,Laois-Offaly Garda Division,"Fraud, deception and related offences",156.0
2011,Laois-Offaly Garda Division,Homicide & related offences,1.0
2011,Laois-Offaly Garda Division,Kidnapping and related offences,5.0
2011,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",154.0
2011,Laois-Offaly Garda Division,Offences not elsewhere classified,94.0
2011,Laois-Offaly Garda Division,Public order and other social code offences,1080.0
2011,Laois-Offaly Garda Division,Road and traffic offences,2192.0
2011,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",46.0
2011,Laois-Offaly Garda Division,Sexual offences,59.0
2011,Laois-Offaly Garda Division,Theft and related offences,1701.0
2011,Laois-Offaly Garda Division,Weapons and explosives offences,81.0
2012,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",525.0
2012,Laois-Offaly Garda Division,Burglary and related offences,987.0
2012,Laois-Offaly Garda Division,Controlled drug offences,536.0
2012,Laois-Offaly Garda Division,Damage to property and to the environment  offences,863.0
2012,Laois-Offaly Garda Division,Dangerous or negligent acts,1178.0
2012,Laois-Offaly Garda Division,"Fraud, deception and related offences",113.0
2012,Laois-Offaly Garda Division,Homicide & related offences,3.0
2012,Laois-Offaly Garda Division,Kidnapping and related offences,2.0
2012,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",186.0
2012,Laois-Offaly Garda Division,Offences not elsewhere classified,121.0
2012,Laois-Offaly Garda Division,Public order and other social code offences,951.0
2012,Laois-Offaly Garda Division,Road and traffic offences,2399.0
2012,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",31.0
2012,Laois-Offaly Garda Division,Sexual offences,72.0
2012,Laois-Offaly Garda Division,Theft and related offences,1666.0
2012,Laois-Offaly Garda Division,Weapons and explosives offences,89.0
2013,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",470.0
2013,Laois-Offaly Garda Division,Burglary and related offences,1058.0
2013,Laois-Offaly Garda Division,Controlled drug offences,602.0
2013,Laois-Offaly Garda Division,Damage to property and to the environment  offences,877.0
2013,Laois-Offaly Garda Division,Dangerous or negligent acts,1290.0
2013,Laois-Offaly Garda Division,"Fraud, deception and related offences",137.0
2013,Laois-Offaly Garda Division,Homicide & related offences,1.0
2013,Laois-Offaly Garda Division,Kidnapping and related offences,3.0
2013,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",150.0
2013,Laois-Offaly Garda Division,Offences not elsewhere classified,93.0
2013,Laois-Offaly Garda Division,Public order and other social code offences,835.0
