Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",143.0
2003Q1,Laois-Offaly Garda Division,Burglary and related offences,162.0
2003Q1,Laois-Offaly Garda Division,Controlled drug offences,80.0
2003Q1,Laois-Offaly Garda Division,Damage to property and to the environment  offences,193.0
2003Q1,Laois-Offaly Garda Division,Dangerous or negligent acts,126.0
2003Q1,Laois-Offaly Garda Division,"Fraud, deception and related offences",25.0
2003Q1,Laois-Offaly Garda Division,Homicide & related offences,0.0
2003Q1,Laois-Offaly Garda Division,Kidnapping and related offences,1.0
2003Q1,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",25.0
2003Q1,Laois-Offaly Garda Division,Offences not elsewhere classified,24.0
2003Q1,Laois-Offaly Garda Division,Public order and other social code offences,313.0
2003Q1,Laois-Offaly Garda Division,Road and traffic offences,148.0
2003Q1,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",4.0
2003Q1,Laois-Offaly Garda Division,Sexual offences,14.0
2003Q1,Laois-Offaly Garda Division,Theft and related offences,457.0
2003Q1,Laois-Offaly Garda Division,Weapons and explosives offences,7.0
2003Q2,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",116.0
2003Q2,Laois-Offaly Garda Division,Burglary and related offences,166.0
2003Q2,Laois-Offaly Garda Division,Controlled drug offences,63.0
2003Q2,Laois-Offaly Garda Division,Damage to property and to the environment  offences,144.0
2003Q2,Laois-Offaly Garda Division,Dangerous or negligent acts,157.0
2003Q2,Laois-Offaly Garda Division,"Fraud, deception and related offences",11.0
2003Q2,Laois-Offaly Garda Division,Homicide & related offences,1.0
2003Q2,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2003Q2,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2003Q2,Laois-Offaly Garda Division,Offences not elsewhere classified,13.0
2003Q2,Laois-Offaly Garda Division,Public order and other social code offences,265.0
2003Q2,Laois-Offaly Garda Division,Road and traffic offences,181.0
2003Q2,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",8.0
2003Q2,Laois-Offaly Garda Division,Sexual offences,10.0
2003Q2,Laois-Offaly Garda Division,Theft and related offences,326.0
2003Q2,Laois-Offaly Garda Division,Weapons and explosives offences,7.0
2003Q3,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",83.0
2003Q3,Laois-Offaly Garda Division,Burglary and related offences,138.0
2003Q3,Laois-Offaly Garda Division,Controlled drug offences,58.0
2003Q3,Laois-Offaly Garda Division,Damage to property and to the environment  offences,162.0
2003Q3,Laois-Offaly Garda Division,Dangerous or negligent acts,136.0
2003Q3,Laois-Offaly Garda Division,"Fraud, deception and related offences",21.0
2003Q3,Laois-Offaly Garda Division,Homicide & related offences,1.0
2003Q3,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2003Q3,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",16.0
2003Q3,Laois-Offaly Garda Division,Offences not elsewhere classified,11.0
2003Q3,Laois-Offaly Garda Division,Public order and other social code offences,250.0
2003Q3,Laois-Offaly Garda Division,Road and traffic offences,182.0
2003Q3,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",6.0
2003Q3,Laois-Offaly Garda Division,Sexual offences,3.0
2003Q3,Laois-Offaly Garda Division,Theft and related offences,401.0
2003Q3,Laois-Offaly Garda Division,Weapons and explosives offences,5.0
2003Q4,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",87.0
2003Q4,Laois-Offaly Garda Division,Burglary and related offences,171.0
2003Q4,Laois-Offaly Garda Division,Controlled drug offences,57.0
2003Q4,Laois-Offaly Garda Division,Damage to property and to the environment  offences,161.0
2003Q4,Laois-Offaly Garda Division,Dangerous or negligent acts,159.0
2003Q4,Laois-Offaly Garda Division,"Fraud, deception and related offences",11.0
2003Q4,Laois-Offaly Garda Division,Homicide & related offences,2.0
2003Q4,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2003Q4,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2003Q4,Laois-Offaly Garda Division,Offences not elsewhere classified,13.0
2003Q4,Laois-Offaly Garda Division,Public order and other social code offences,307.0
2003Q4,Laois-Offaly Garda Division,Road and traffic offences,205.0
2003Q4,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q4,Laois-Offaly Garda Division,Sexual offences,6.0
2003Q4,Laois-Offaly Garda Division,Theft and related offences,333.0
2003Q4,Laois-Offaly Garda Division,Weapons and explosives offences,6.0
2004Q1,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",123.0
2004Q1,Laois-Offaly Garda Division,Burglary and related offences,223.0
2004Q1,Laois-Offaly Garda Division,Controlled drug offences,60.0
2004Q1,Laois-Offaly Garda Division,Damage to property and to the environment  offences,147.0
2004Q1,Laois-Offaly Garda Division,Dangerous or negligent acts,151.0
2004Q1,Laois-Offaly Garda Division,"Fraud, deception and related offences",36.0
2004Q1,Laois-Offaly Garda Division,Homicide & related offences,0.0
2004Q1,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2004Q1,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",23.0
2004Q1,Laois-Offaly Garda Division,Offences not elsewhere classified,12.0
2004Q1,Laois-Offaly Garda Division,Public order and other social code offences,245.0
2004Q1,Laois-Offaly Garda Division,Road and traffic offences,179.0
2004Q1,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",6.0
2004Q1,Laois-Offaly Garda Division,Sexual offences,32.0
2004Q1,Laois-Offaly Garda Division,Theft and related offences,393.0
2004Q1,Laois-Offaly Garda Division,Weapons and explosives offences,39.0
2004Q2,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2004Q2,Laois-Offaly Garda Division,Burglary and related offences,166.0
2004Q2,Laois-Offaly Garda Division,Controlled drug offences,57.0
2004Q2,Laois-Offaly Garda Division,Damage to property and to the environment  offences,149.0
2004Q2,Laois-Offaly Garda Division,Dangerous or negligent acts,241.0
2004Q2,Laois-Offaly Garda Division,"Fraud, deception and related offences",30.0
2004Q2,Laois-Offaly Garda Division,Homicide & related offences,1.0
2004Q2,Laois-Offaly Garda Division,Kidnapping and related offences,1.0
2004Q2,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2004Q2,Laois-Offaly Garda Division,Offences not elsewhere classified,10.0
2004Q2,Laois-Offaly Garda Division,Public order and other social code offences,243.0
2004Q2,Laois-Offaly Garda Division,Road and traffic offences,266.0
2004Q2,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",2.0
2004Q2,Laois-Offaly Garda Division,Sexual offences,8.0
2004Q2,Laois-Offaly Garda Division,Theft and related offences,350.0
2004Q2,Laois-Offaly Garda Division,Weapons and explosives offences,3.0
2004Q3,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",117.0
2004Q3,Laois-Offaly Garda Division,Burglary and related offences,118.0
2004Q3,Laois-Offaly Garda Division,Controlled drug offences,178.0
2004Q3,Laois-Offaly Garda Division,Damage to property and to the environment  offences,174.0
2004Q3,Laois-Offaly Garda Division,Dangerous or negligent acts,247.0
2004Q3,Laois-Offaly Garda Division,"Fraud, deception and related offences",31.0
2004Q3,Laois-Offaly Garda Division,Homicide & related offences,3.0
2004Q3,Laois-Offaly Garda Division,Kidnapping and related offences,1.0
2004Q3,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",23.0
2004Q3,Laois-Offaly Garda Division,Offences not elsewhere classified,8.0
2004Q3,Laois-Offaly Garda Division,Public order and other social code offences,269.0
2004Q3,Laois-Offaly Garda Division,Road and traffic offences,318.0
2004Q3,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",7.0
2004Q3,Laois-Offaly Garda Division,Sexual offences,3.0
2004Q3,Laois-Offaly Garda Division,Theft and related offences,347.0
2004Q3,Laois-Offaly Garda Division,Weapons and explosives offences,11.0
2004Q4,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",107.0
2004Q4,Laois-Offaly Garda Division,Burglary and related offences,190.0
2004Q4,Laois-Offaly Garda Division,Controlled drug offences,71.0
2004Q4,Laois-Offaly Garda Division,Damage to property and to the environment  offences,157.0
2004Q4,Laois-Offaly Garda Division,Dangerous or negligent acts,299.0
2004Q4,Laois-Offaly Garda Division,"Fraud, deception and related offences",18.0
2004Q4,Laois-Offaly Garda Division,Homicide & related offences,1.0
2004Q4,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2004Q4,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2004Q4,Laois-Offaly Garda Division,Offences not elsewhere classified,11.0
2004Q4,Laois-Offaly Garda Division,Public order and other social code offences,286.0
2004Q4,Laois-Offaly Garda Division,Road and traffic offences,319.0
2004Q4,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",5.0
