Year,Garda Division,Type of Offence,VALUE
2003,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",709.0
2003,Limerick Garda Division,Burglary and related offences,1076.0
2003,Limerick Garda Division,Controlled drug offences,408.0
2003,Limerick Garda Division,Damage to property and to the environment  offences,2192.0
2003,Limerick Garda Division,Dangerous or negligent acts,1224.0
2003,Limerick Garda Division,"Fraud, deception and related offences",208.0
2003,Limerick Garda Division,Homicide & related offences,10.0
2003,Limerick Garda Division,Kidnapping and related offences,7.0
2003,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",278.0
2003,Limerick Garda Division,Offences not elsewhere classified,32.0
2003,Limerick Garda Division,Public order and other social code offences,1632.0
2003,Limerick Garda Division,Road and traffic offences,1818.0
2003,Limerick Garda Division,"Robbery, extortion and hijacking offences",106.0
2003,Limerick Garda Division,Sexual offences,62.0
2003,Limerick Garda Division,Theft and related offences,3870.0
2003,Limerick Garda Division,Weapons and explosives offences,150.0
2004,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",650.0
2004,Limerick Garda Division,Burglary and related offences,1097.0
2004,Limerick Garda Division,Controlled drug offences,649.0
2004,Limerick Garda Division,Damage to property and to the environment  offences,2096.0
2004,Limerick Garda Division,Dangerous or negligent acts,1397.0
2004,Limerick Garda Division,"Fraud, deception and related offences",170.0
2004,Limerick Garda Division,Homicide & related offences,10.0
2004,Limerick Garda Division,Kidnapping and related offences,8.0
2004,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",226.0
2004,Limerick Garda Division,Offences not elsewhere classified,42.0
2004,Limerick Garda Division,Public order and other social code offences,1967.0
2004,Limerick Garda Division,Road and traffic offences,2619.0
2004,Limerick Garda Division,"Robbery, extortion and hijacking offences",112.0
2004,Limerick Garda Division,Sexual offences,73.0
2004,Limerick Garda Division,Theft and related offences,3390.0
2004,Limerick Garda Division,Weapons and explosives offences,221.0
2005,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",794.0
2005,Limerick Garda Division,Burglary and related offences,1385.0
2005,Limerick Garda Division,Controlled drug offences,751.0
2005,Limerick Garda Division,Damage to property and to the environment  offences,2760.0
2005,Limerick Garda Division,Dangerous or negligent acts,1494.0
2005,Limerick Garda Division,"Fraud, deception and related offences",211.0
2005,Limerick Garda Division,Homicide & related offences,5.0
2005,Limerick Garda Division,Kidnapping and related offences,4.0
2005,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",197.0
2005,Limerick Garda Division,Offences not elsewhere classified,78.0
2005,Limerick Garda Division,Public order and other social code offences,2202.0
2005,Limerick Garda Division,Road and traffic offences,4292.0
2005,Limerick Garda Division,"Robbery, extortion and hijacking offences",87.0
2005,Limerick Garda Division,Sexual offences,60.0
2005,Limerick Garda Division,Theft and related offences,4391.0
2005,Limerick Garda Division,Weapons and explosives offences,254.0
2006,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",874.0
2006,Limerick Garda Division,Burglary and related offences,1244.0
2006,Limerick Garda Division,Controlled drug offences,630.0
2006,Limerick Garda Division,Damage to property and to the environment  offences,3060.0
2006,Limerick Garda Division,Dangerous or negligent acts,2111.0
2006,Limerick Garda Division,"Fraud, deception and related offences",164.0
2006,Limerick Garda Division,Homicide & related offences,10.0
2006,Limerick Garda Division,Kidnapping and related offences,6.0
2006,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",249.0
2006,Limerick Garda Division,Offences not elsewhere classified,57.0
2006,Limerick Garda Division,Public order and other social code offences,2514.0
2006,Limerick Garda Division,Road and traffic offences,7129.0
2006,Limerick Garda Division,"Robbery, extortion and hijacking offences",107.0
2006,Limerick Garda Division,Sexual offences,57.0
2006,Limerick Garda Division,Theft and related offences,4906.0
2006,Limerick Garda Division,Weapons and explosives offences,277.0
2007,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1009.0
2007,Limerick Garda Division,Burglary and related offences,1251.0
2007,Limerick Garda Division,Controlled drug offences,845.0
