Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",175.0
2003Q1,Limerick Garda Division,Burglary and related offences,280.0
2003Q1,Limerick Garda Division,Controlled drug offences,66.0
2003Q1,Limerick Garda Division,Damage to property and to the environment  offences,664.0
2003Q1,Limerick Garda Division,Dangerous or negligent acts,213.0
2003Q1,Limerick Garda Division,"Fraud, deception and related offences",83.0
2003Q1,Limerick Garda Division,Homicide & related offences,3.0
2003Q1,Limerick Garda Division,Kidnapping and related offences,4.0
2003Q1,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",84.0
2003Q1,Limerick Garda Division,Offences not elsewhere classified,11.0
2003Q1,Limerick Garda Division,Public order and other social code offences,382.0
2003Q1,Limerick Garda Division,Road and traffic offences,363.0
2003Q1,Limerick Garda Division,"Robbery, extortion and hijacking offences",34.0
2003Q1,Limerick Garda Division,Sexual offences,18.0
2003Q1,Limerick Garda Division,Theft and related offences,1019.0
2003Q1,Limerick Garda Division,Weapons and explosives offences,41.0
2003Q2,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",193.0
2003Q2,Limerick Garda Division,Burglary and related offences,253.0
2003Q2,Limerick Garda Division,Controlled drug offences,114.0
2003Q2,Limerick Garda Division,Damage to property and to the environment  offences,532.0
2003Q2,Limerick Garda Division,Dangerous or negligent acts,370.0
2003Q2,Limerick Garda Division,"Fraud, deception and related offences",37.0
2003Q2,Limerick Garda Division,Homicide & related offences,1.0
2003Q2,Limerick Garda Division,Kidnapping and related offences,1.0
2003Q2,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",67.0
2003Q2,Limerick Garda Division,Offences not elsewhere classified,9.0
2003Q2,Limerick Garda Division,Public order and other social code offences,419.0
2003Q2,Limerick Garda Division,Road and traffic offences,448.0
2003Q2,Limerick Garda Division,"Robbery, extortion and hijacking offences",23.0
2003Q2,Limerick Garda Division,Sexual offences,19.0
2003Q2,Limerick Garda Division,Theft and related offences,1008.0
2003Q2,Limerick Garda Division,Weapons and explosives offences,48.0
2003Q3,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",202.0
2003Q3,Limerick Garda Division,Burglary and related offences,256.0
2003Q3,Limerick Garda Division,Controlled drug offences,87.0
2003Q3,Limerick Garda Division,Damage to property and to the environment  offences,433.0
2003Q3,Limerick Garda Division,Dangerous or negligent acts,328.0
2003Q3,Limerick Garda Division,"Fraud, deception and related offences",41.0
2003Q3,Limerick Garda Division,Homicide & related offences,4.0
2003Q3,Limerick Garda Division,Kidnapping and related offences,0.0
2003Q3,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",73.0
2003Q3,Limerick Garda Division,Offences not elsewhere classified,7.0
2003Q3,Limerick Garda Division,Public order and other social code offences,383.0
2003Q3,Limerick Garda Division,Road and traffic offences,435.0
2003Q3,Limerick Garda Division,"Robbery, extortion and hijacking offences",17.0
2003Q3,Limerick Garda Division,Sexual offences,16.0
2003Q3,Limerick Garda Division,Theft and related offences,890.0
2003Q3,Limerick Garda Division,Weapons and explosives offences,28.0
2003Q4,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",139.0
2003Q4,Limerick Garda Division,Burglary and related offences,287.0
2003Q4,Limerick Garda Division,Controlled drug offences,141.0
2003Q4,Limerick Garda Division,Damage to property and to the environment  offences,563.0
2003Q4,Limerick Garda Division,Dangerous or negligent acts,313.0
2003Q4,Limerick Garda Division,"Fraud, deception and related offences",47.0
2003Q4,Limerick Garda Division,Homicide & related offences,2.0
2003Q4,Limerick Garda Division,Kidnapping and related offences,2.0
2003Q4,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",54.0
2003Q4,Limerick Garda Division,Offences not elsewhere classified,5.0
2003Q4,Limerick Garda Division,Public order and other social code offences,448.0
2003Q4,Limerick Garda Division,Road and traffic offences,572.0
2003Q4,Limerick Garda Division,"Robbery, extortion and hijacking offences",32.0
2003Q4,Limerick Garda Division,Sexual offences,9.0
2003Q4,Limerick Garda Division,Theft and related offences,953.0
2003Q4,Limerick Garda Division,Weapons and explosives offences,33.0
2004Q1,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",189.0
2004Q1,Limerick Garda Division,Burglary and related offences,286.0
2004Q1,Limerick Garda Division,Controlled drug offences,158.0
2004Q1,Limerick Garda Division,Damage to property and to the environment  offences,569.0
2004Q1,Limerick Garda Division,Dangerous or negligent acts,313.0
2004Q1,Limerick Garda Division,"Fraud, deception and related offences",47.0
2004Q1,Limerick Garda Division,Homicide & related offences,3.0
2004Q1,Limerick Garda Division,Kidnapping and related offences,3.0
2004Q1,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",62.0
2004Q1,Limerick Garda Division,Offences not elsewhere classified,6.0
2004Q1,Limerick Garda Division,Public order and other social code offences,465.0
2004Q1,Limerick Garda Division,Road and traffic offences,475.0
2004Q1,Limerick Garda Division,"Robbery, extortion and hijacking offences",30.0
2004Q1,Limerick Garda Division,Sexual offences,22.0
2004Q1,Limerick Garda Division,Theft and related offences,884.0
2004Q1,Limerick Garda Division,Weapons and explosives offences,85.0
2004Q2,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",140.0
2004Q2,Limerick Garda Division,Burglary and related offences,244.0
2004Q2,Limerick Garda Division,Controlled drug offences,180.0
2004Q2,Limerick Garda Division,Damage to property and to the environment  offences,477.0
2004Q2,Limerick Garda Division,Dangerous or negligent acts,384.0
2004Q2,Limerick Garda Division,"Fraud, deception and related offences",38.0
2004Q2,Limerick Garda Division,Homicide & related offences,3.0
2004Q2,Limerick Garda Division,Kidnapping and related offences,4.0
2004Q2,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",54.0
2004Q2,Limerick Garda Division,Offences not elsewhere classified,9.0
2004Q2,Limerick Garda Division,Public order and other social code offences,409.0
2004Q2,Limerick Garda Division,Road and traffic offences,584.0
2004Q2,Limerick Garda Division,"Robbery, extortion and hijacking offences",31.0
2004Q2,Limerick Garda Division,Sexual offences,28.0
2004Q2,Limerick Garda Division,Theft and related offences,733.0
2004Q2,Limerick Garda Division,Weapons and explosives offences,52.0
2004Q3,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",157.0
2004Q3,Limerick Garda Division,Burglary and related offences,303.0
2004Q3,Limerick Garda Division,Controlled drug offences,174.0
2004Q3,Limerick Garda Division,Damage to property and to the environment  offences,449.0
2004Q3,Limerick Garda Division,Dangerous or negligent acts,334.0
2004Q3,Limerick Garda Division,"Fraud, deception and related offences",38.0
2004Q3,Limerick Garda Division,Homicide & related offences,2.0
2004Q3,Limerick Garda Division,Kidnapping and related offences,0.0
2004Q3,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",47.0
2004Q3,Limerick Garda Division,Offences not elsewhere classified,9.0
2004Q3,Limerick Garda Division,Public order and other social code offences,462.0
2004Q3,Limerick Garda Division,Road and traffic offences,693.0
2004Q3,Limerick Garda Division,"Robbery, extortion and hijacking offences",23.0
2004Q3,Limerick Garda Division,Sexual offences,15.0
2004Q3,Limerick Garda Division,Theft and related offences,860.0
2004Q3,Limerick Garda Division,Weapons and explosives offences,41.0
2004Q4,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",164.0
2004Q4,Limerick Garda Division,Burglary and related offences,264.0
2004Q4,Limerick Garda Division,Controlled drug offences,137.0
2004Q4,Limerick Garda Division,Damage to property and to the environment  offences,601.0
2004Q4,Limerick Garda Division,Dangerous or negligent acts,366.0
2004Q4,Limerick Garda Division,"Fraud, deception and related offences",47.0
2004Q4,Limerick Garda Division,Homicide & related offences,2.0
2004Q4,Limerick Garda Division,Kidnapping and related offences,1.0
