Year,Garda Division,Type of Offence,VALUE
2003,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",489.0
2003,Louth Garda Division,Burglary and related offences,727.0
2003,Louth Garda Division,Controlled drug offences,146.0
2003,Louth Garda Division,Damage to property and to the environment  offences,1111.0
2003,Louth Garda Division,Dangerous or negligent acts,761.0
2003,Louth Garda Division,"Fraud, deception and related offences",105.0
2003,Louth Garda Division,Homicide & related offences,4.0
2003,Louth Garda Division,Kidnapping and related offences,4.0
2003,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",193.0
2003,Louth Garda Division,Offences not elsewhere classified,107.0
2003,Louth Garda Division,Public order and other social code offences,1142.0
2003,Louth Garda Division,Road and traffic offences,1253.0
2003,Louth Garda Division,"Robbery, extortion and hijacking offences",53.0
2003,Louth Garda Division,Sexual offences,47.0
2003,Louth Garda Division,Theft and related offences,1843.0
2003,Louth Garda Division,Weapons and explosives offences,51.0
2004,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",350.0
2004,Louth Garda Division,Burglary and related offences,860.0
2004,Louth Garda Division,Controlled drug offences,127.0
2004,Louth Garda Division,Damage to property and to the environment  offences,1167.0
2004,Louth Garda Division,Dangerous or negligent acts,603.0
2004,Louth Garda Division,"Fraud, deception and related offences",103.0
2004,Louth Garda Division,Homicide & related offences,5.0
2004,Louth Garda Division,Kidnapping and related offences,1.0
2004,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",131.0
2004,Louth Garda Division,Offences not elsewhere classified,199.0
2004,Louth Garda Division,Public order and other social code offences,1097.0
2004,Louth Garda Division,Road and traffic offences,1004.0
2004,Louth Garda Division,"Robbery, extortion and hijacking offences",51.0
2004,Louth Garda Division,Sexual offences,38.0
2004,Louth Garda Division,Theft and related offences,1778.0
2004,Louth Garda Division,Weapons and explosives offences,39.0
2005,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",346.0
2005,Louth Garda Division,Burglary and related offences,955.0
2005,Louth Garda Division,Controlled drug offences,159.0
2005,Louth Garda Division,Damage to property and to the environment  offences,1259.0
2005,Louth Garda Division,Dangerous or negligent acts,728.0
2005,Louth Garda Division,"Fraud, deception and related offences",112.0
2005,Louth Garda Division,Homicide & related offences,8.0
2005,Louth Garda Division,Kidnapping and related offences,3.0
2005,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",156.0
2005,Louth Garda Division,Offences not elsewhere classified,369.0
2005,Louth Garda Division,Public order and other social code offences,1398.0
2005,Louth Garda Division,Road and traffic offences,1195.0
2005,Louth Garda Division,"Robbery, extortion and hijacking offences",33.0
2005,Louth Garda Division,Sexual offences,56.0
2005,Louth Garda Division,Theft and related offences,1935.0
2005,Louth Garda Division,Weapons and explosives offences,62.0
2006,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",423.0
2006,Louth Garda Division,Burglary and related offences,805.0
2006,Louth Garda Division,Controlled drug offences,208.0
2006,Louth Garda Division,Damage to property and to the environment  offences,1440.0
2006,Louth Garda Division,Dangerous or negligent acts,2268.0
2006,Louth Garda Division,"Fraud, deception and related offences",135.0
2006,Louth Garda Division,Homicide & related offences,6.0
2006,Louth Garda Division,Kidnapping and related offences,7.0
2006,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",172.0
2006,Louth Garda Division,Offences not elsewhere classified,422.0
2006,Louth Garda Division,Public order and other social code offences,1284.0
2006,Louth Garda Division,Road and traffic offences,2236.0
2006,Louth Garda Division,"Robbery, extortion and hijacking offences",67.0
2006,Louth Garda Division,Sexual offences,43.0
2006,Louth Garda Division,Theft and related offences,1993.0
2006,Louth Garda Division,Weapons and explosives offences,80.0
2007,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",498.0
2007,Louth Garda Division,Burglary and related offences,939.0
2007,Louth Garda Division,Controlled drug offences,241.0
2007,Louth Garda Division,Damage to property and to the environment  offences,1782.0
2007,Louth Garda Division,Dangerous or negligent acts,2075.0
2007,Louth Garda Division,"Fraud, deception and related offences",295.0
2007,Louth Garda Division,Homicide & related offences,7.0
2007,Louth Garda Division,Kidnapping and related offences,5.0
2007,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",169.0
2007,Louth Garda Division,Offences not elsewhere classified,235.0
2007,Louth Garda Division,Public order and other social code offences,1352.0
2007,Louth Garda Division,Road and traffic offences,2132.0
2007,Louth Garda Division,"Robbery, extortion and hijacking offences",80.0
2007,Louth Garda Division,Sexual offences,47.0
2007,Louth Garda Division,Theft and related offences,2347.0
2007,Louth Garda Division,Weapons and explosives offences,85.0
2008,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",664.0
2008,Louth Garda Division,Burglary and related offences,1077.0
2008,Louth Garda Division,Controlled drug offences,298.0
2008,Louth Garda Division,Damage to property and to the environment  offences,1871.0
2008,Louth Garda Division,Dangerous or negligent acts,2112.0
2008,Louth Garda Division,"Fraud, deception and related offences",167.0
2008,Louth Garda Division,Homicide & related offences,1.0
2008,Louth Garda Division,Kidnapping and related offences,3.0
2008,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",195.0
2008,Louth Garda Division,Offences not elsewhere classified,230.0
2008,Louth Garda Division,Public order and other social code offences,1570.0
2008,Louth Garda Division,Road and traffic offences,3054.0
2008,Louth Garda Division,"Robbery, extortion and hijacking offences",61.0
2008,Louth Garda Division,Sexual offences,39.0
2008,Louth Garda Division,Theft and related offences,2568.0
2008,Louth Garda Division,Weapons and explosives offences,139.0
2009,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",584.0
2009,Louth Garda Division,Burglary and related offences,950.0
2009,Louth Garda Division,Controlled drug offences,539.0
2009,Louth Garda Division,Damage to property and to the environment  offences,1580.0
