Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",122.0
2003Q1,Louth Garda Division,Burglary and related offences,190.0
2003Q1,Louth Garda Division,Controlled drug offences,29.0
2003Q1,Louth Garda Division,Damage to property and to the environment  offences,304.0
2003Q1,Louth Garda Division,Dangerous or negligent acts,234.0
2003Q1,Louth Garda Division,"Fraud, deception and related offences",23.0
2003Q1,Louth Garda Division,Homicide & related offences,1.0
2003Q1,Louth Garda Division,Kidnapping and related offences,0.0
2003Q1,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",45.0
2003Q1,Louth Garda Division,Offences not elsewhere classified,39.0
2003Q1,Louth Garda Division,Public order and other social code offences,258.0
2003Q1,Louth Garda Division,Road and traffic offences,236.0
2003Q1,Louth Garda Division,"Robbery, extortion and hijacking offences",16.0
2003Q1,Louth Garda Division,Sexual offences,10.0
2003Q1,Louth Garda Division,Theft and related offences,483.0
2003Q1,Louth Garda Division,Weapons and explosives offences,10.0
2003Q2,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",130.0
2003Q2,Louth Garda Division,Burglary and related offences,185.0
2003Q2,Louth Garda Division,Controlled drug offences,49.0
2003Q2,Louth Garda Division,Damage to property and to the environment  offences,298.0
2003Q2,Louth Garda Division,Dangerous or negligent acts,200.0
2003Q2,Louth Garda Division,"Fraud, deception and related offences",30.0
2003Q2,Louth Garda Division,Homicide & related offences,1.0
2003Q2,Louth Garda Division,Kidnapping and related offences,1.0
2003Q2,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",56.0
2003Q2,Louth Garda Division,Offences not elsewhere classified,23.0
2003Q2,Louth Garda Division,Public order and other social code offences,259.0
2003Q2,Louth Garda Division,Road and traffic offences,426.0
2003Q2,Louth Garda Division,"Robbery, extortion and hijacking offences",15.0
2003Q2,Louth Garda Division,Sexual offences,10.0
2003Q2,Louth Garda Division,Theft and related offences,496.0
2003Q2,Louth Garda Division,Weapons and explosives offences,18.0
2003Q3,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",118.0
2003Q3,Louth Garda Division,Burglary and related offences,167.0
2003Q3,Louth Garda Division,Controlled drug offences,42.0
2003Q3,Louth Garda Division,Damage to property and to the environment  offences,245.0
2003Q3,Louth Garda Division,Dangerous or negligent acts,165.0
2003Q3,Louth Garda Division,"Fraud, deception and related offences",25.0
2003Q3,Louth Garda Division,Homicide & related offences,1.0
2003Q3,Louth Garda Division,Kidnapping and related offences,3.0
2003Q3,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",54.0
2003Q3,Louth Garda Division,Offences not elsewhere classified,22.0
2003Q3,Louth Garda Division,Public order and other social code offences,314.0
2003Q3,Louth Garda Division,Road and traffic offences,257.0
2003Q3,Louth Garda Division,"Robbery, extortion and hijacking offences",9.0
2003Q3,Louth Garda Division,Sexual offences,14.0
2003Q3,Louth Garda Division,Theft and related offences,476.0
2003Q3,Louth Garda Division,Weapons and explosives offences,11.0
2003Q4,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",119.0
2003Q4,Louth Garda Division,Burglary and related offences,185.0
2003Q4,Louth Garda Division,Controlled drug offences,26.0
2003Q4,Louth Garda Division,Damage to property and to the environment  offences,264.0
2003Q4,Louth Garda Division,Dangerous or negligent acts,162.0
2003Q4,Louth Garda Division,"Fraud, deception and related offences",27.0
2003Q4,Louth Garda Division,Homicide & related offences,1.0
2003Q4,Louth Garda Division,Kidnapping and related offences,0.0
2003Q4,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",38.0
2003Q4,Louth Garda Division,Offences not elsewhere classified,23.0
2003Q4,Louth Garda Division,Public order and other social code offences,311.0
2003Q4,Louth Garda Division,Road and traffic offences,334.0
2003Q4,Louth Garda Division,"Robbery, extortion and hijacking offences",13.0
2003Q4,Louth Garda Division,Sexual offences,13.0
2003Q4,Louth Garda Division,Theft and related offences,388.0
2003Q4,Louth Garda Division,Weapons and explosives offences,12.0
2004Q1,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",83.0
2004Q1,Louth Garda Division,Burglary and related offences,207.0
2004Q1,Louth Garda Division,Controlled drug offences,29.0
2004Q1,Louth Garda Division,Damage to property and to the environment  offences,269.0
2004Q1,Louth Garda Division,Dangerous or negligent acts,136.0
2004Q1,Louth Garda Division,"Fraud, deception and related offences",33.0
2004Q1,Louth Garda Division,Homicide & related offences,1.0
2004Q1,Louth Garda Division,Kidnapping and related offences,0.0
2004Q1,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2004Q1,Louth Garda Division,Offences not elsewhere classified,34.0
2004Q1,Louth Garda Division,Public order and other social code offences,259.0
2004Q1,Louth Garda Division,Road and traffic offences,261.0
2004Q1,Louth Garda Division,"Robbery, extortion and hijacking offences",16.0
2004Q1,Louth Garda Division,Sexual offences,6.0
2004Q1,Louth Garda Division,Theft and related offences,433.0
2004Q1,Louth Garda Division,Weapons and explosives offences,9.0
2004Q2,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",94.0
2004Q2,Louth Garda Division,Burglary and related offences,182.0
2004Q2,Louth Garda Division,Controlled drug offences,30.0
2004Q2,Louth Garda Division,Damage to property and to the environment  offences,281.0
2004Q2,Louth Garda Division,Dangerous or negligent acts,140.0
2004Q2,Louth Garda Division,"Fraud, deception and related offences",19.0
2004Q2,Louth Garda Division,Homicide & related offences,1.0
2004Q2,Louth Garda Division,Kidnapping and related offences,0.0
2004Q2,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",32.0
2004Q2,Louth Garda Division,Offences not elsewhere classified,13.0
2004Q2,Louth Garda Division,Public order and other social code offences,251.0
2004Q2,Louth Garda Division,Road and traffic offences,260.0
2004Q2,Louth Garda Division,"Robbery, extortion and hijacking offences",12.0
2004Q2,Louth Garda Division,Sexual offences,9.0
2004Q2,Louth Garda Division,Theft and related offences,440.0
2004Q2,Louth Garda Division,Weapons and explosives offences,13.0
2004Q3,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",89.0
2004Q3,Louth Garda Division,Burglary and related offences,221.0
2004Q3,Louth Garda Division,Controlled drug offences,32.0
2004Q3,Louth Garda Division,Damage to property and to the environment  offences,320.0
2004Q3,Louth Garda Division,Dangerous or negligent acts,151.0
2004Q3,Louth Garda Division,"Fraud, deception and related offences",28.0
2004Q3,Louth Garda Division,Homicide & related offences,3.0
2004Q3,Louth Garda Division,Kidnapping and related offences,0.0
2004Q3,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",19.0
2004Q3,Louth Garda Division,Offences not elsewhere classified,9.0
2004Q3,Louth Garda Division,Public order and other social code offences,249.0
2004Q3,Louth Garda Division,Road and traffic offences,234.0
2004Q3,Louth Garda Division,"Robbery, extortion and hijacking offences",8.0
2004Q3,Louth Garda Division,Sexual offences,12.0
2004Q3,Louth Garda Division,Theft and related offences,413.0
2004Q3,Louth Garda Division,Weapons and explosives offences,6.0
2004Q4,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",84.0
2004Q4,Louth Garda Division,Burglary and related offences,250.0
2004Q4,Louth Garda Division,Controlled drug offences,36.0
2004Q4,Louth Garda Division,Damage to property and to the environment  offences,297.0
2004Q4,Louth Garda Division,Dangerous or negligent acts,176.0
2004Q4,Louth Garda Division,"Fraud, deception and related offences",23.0
2004Q4,Louth Garda Division,Homicide & related offences,0.0
2004Q4,Louth Garda Division,Kidnapping and related offences,1.0
2004Q4,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",38.0
2004Q4,Louth Garda Division,Offences not elsewhere classified,143.0
2004Q4,Louth Garda Division,Public order and other social code offences,338.0
2004Q4,Louth Garda Division,Road and traffic offences,249.0
2004Q4,Louth Garda Division,"Robbery, extortion and hijacking offences",15.0
2004Q4,Louth Garda Division,Sexual offences,11.0
2004Q4,Louth Garda Division,Theft and related offences,492.0
2004Q4,Louth Garda Division,Weapons and explosives offences,11.0
2005Q1,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",77.0
2005Q1,Louth Garda Division,Burglary and related offences,206.0
2005Q1,Louth Garda Division,Controlled drug offences,48.0
2005Q1,Louth Garda Division,Damage to property and to the environment  offences,329.0
2005Q1,Louth Garda Division,Dangerous or negligent acts,145.0
2005Q1,Louth Garda Division,"Fraud, deception and related offences",35.0
2005Q1,Louth Garda Division,Homicide & related offences,3.0
2005Q1,Louth Garda Division,Kidnapping and related offences,1.0
2005Q1,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2005Q1,Louth Garda Division,Offences not elsewhere classified,133.0
2005Q1,Louth Garda Division,Public order and other social code offences,317.0
2005Q1,Louth Garda Division,Road and traffic offences,212.0
2005Q1,Louth Garda Division,"Robbery, extortion and hijacking offences",7.0
2005Q1,Louth Garda Division,Sexual offences,11.0
2005Q1,Louth Garda Division,Theft and related offences,448.0
2005Q1,Louth Garda Division,Weapons and explosives offences,14.0
2005Q2,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",75.0
2005Q2,Louth Garda Division,Burglary and related offences,212.0
2005Q2,Louth Garda Division,Controlled drug offences,36.0
2005Q2,Louth Garda Division,Damage to property and to the environment  offences,285.0
2005Q2,Louth Garda Division,Dangerous or negligent acts,167.0
2005Q2,Louth Garda Division,"Fraud, deception and related offences",32.0
2005Q2,Louth Garda Division,Homicide & related offences,2.0
2005Q2,Louth Garda Division,Kidnapping and related offences,1.0
2005Q2,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",45.0
2005Q2,Louth Garda Division,Offences not elsewhere classified,88.0
2005Q2,Louth Garda Division,Public order and other social code offences,288.0
2005Q2,Louth Garda Division,Road and traffic offences,284.0
2005Q2,Louth Garda Division,"Robbery, extortion and hijacking offences",14.0
2005Q2,Louth Garda Division,Sexual offences,20.0
2005Q2,Louth Garda Division,Theft and related offences,511.0
2005Q2,Louth Garda Division,Weapons and explosives offences,21.0
2005Q3,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",103.0
2005Q3,Louth Garda Division,Burglary and related offences,266.0
2005Q3,Louth Garda Division,Controlled drug offences,30.0
2005Q3,Louth Garda Division,Damage to property and to the environment  offences,353.0
2005Q3,Louth Garda Division,Dangerous or negligent acts,156.0
2005Q3,Louth Garda Division,"Fraud, deception and related offences",29.0
2005Q3,Louth Garda Division,Homicide & related offences,1.0
2005Q3,Louth Garda Division,Kidnapping and related offences,0.0
