Year,Garda Division,Type of Offence,VALUE
2003,Mayo Garda Division,"Abandoning a child, child neglect and cruelty (0422)",5.0
2003,Mayo Garda Division,Abduction of person under 16 years of age (0512),0.0
2003,Mayo Garda Division,Aggravated burglary (0711),0.0
2003,Mayo Garda Division,Arson (1211),18.0
2003,Mayo Garda Division,"Assault causing harm, poisoning (034)",100.0
2003,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",396.0
2003,Mayo Garda Division,Blackmail or extortion (0621),0.0
2003,Mayo Garda Division,Burglary (not aggravated) (0712),348.0
2003,Mayo Garda Division,Burglary and related offences (07),350.0
2003,Mayo Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",1.0
2003,Mayo Garda Division,Controlled drug offences (10),87.0
2003,Mayo Garda Division,Criminal damage (not arson) (1212),704.0
2003,Mayo Garda Division,Cultivation or manufacture of drugs (1012),4.0
2003,Mayo Garda Division,Damage to property and to the environment  offences (12),724.0
2003,Mayo Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2003,Mayo Garda Division,Dangerous driving leading to death (012),2.0
2003,Mayo Garda Division,Dangerous or negligent acts (04),831.0
2003,Mayo Garda Division,Dangerous/careless driving and motorway offences (0414),180.0
2003,Mayo Garda Division,Discharging a firearm (1121),0.0
2003,Mayo Garda Division,Disorderly conduct (131),867.0
2003,Mayo Garda Division,"Driving licence-failure to have, produce, etc. (1411)",58.0
2003,Mayo Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",444.0
2003,Mayo Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),0.0
2003,Mayo Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),444.0
2003,Mayo Garda Division,Endangering traffic offences (0425),4.0
2003,Mayo Garda Division,Endangerment with potential for serious harm/death (0421),2.0
2003,Mayo Garda Division,"Explosives, chemical weapons offences (111)",3.0
2003,Mayo Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Mayo Garda Division,False imprisonment (0511),0.0
2003,Mayo Garda Division,Fireworks offences (114),0.0
2003,Mayo Garda Division,"Fraud, deception and related offences (09)",91.0
2003,Mayo Garda Division,Harassment and related offences (033),36.0
2003,Mayo Garda Division,Homicide & related offences (01),2.0
2003,Mayo Garda Division,Human trafficking offences (0513),0.0
2003,Mayo Garda Division,Importation of drugs (1011),1.0
2003,Mayo Garda Division,Infanticide (0113),0.0
2003,Mayo Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",236.0
2003,Mayo Garda Division,Kidnapping and related offences (05),0.0
2003,Mayo Garda Division,Light rail offences (Luas) (1443),0.0
2003,Mayo Garda Division,Liquor licensing offences (133),394.0
2003,Mayo Garda Division,Litter offences (1221),2.0
2003,Mayo Garda Division,Manslaughter (0112),0.0
2003,Mayo Garda Division,Murder (0111),0.0
2003,Mayo Garda Division,Murder-attempt (0311),0.0
2003,Mayo Garda Division,Obstruction under Road Traffic Acts (1432),3.0
2003,Mayo Garda Division,Offences against government and its agents (151),6.0
2003,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime (15)",68.0
2003,Mayo Garda Division,Offences not elsewhere classified (16),40.0
2003,Mayo Garda Division,"Offences while in custody, breach of court orders (157)",55.0
2003,Mayo Garda Division,Offensive weapons offences (n.e.c.) (113),13.0
2003,Mayo Garda Division,Organisation of crime and conspiracy to commit crime (152),0.0
2003,Mayo Garda Division,Other assault (035),260.0
2003,Mayo Garda Division,Other drug offences (103),3.0
2003,Mayo Garda Division,Other road offences (1433),243.0
2003,Mayo Garda Division,Other sexual offences (022),1.0
2003,Mayo Garda Division,"Other thefts, handling stolen property (084)",784.0
2003,Mayo Garda Division,Perverting the course of justice (153),7.0
2003,Mayo Garda Division,Possession of a firearm (1122),5.0
2003,Mayo Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",2.0
2003,Mayo Garda Division,Possession of drugs for personal use (1022),57.0
2003,Mayo Garda Division,Possession of drugs for sale or supply (1021),22.0
2003,Mayo Garda Division,Prostitution offences (134),0.0
2003,Mayo Garda Division,Public order and other social code offences (13),1275.0
2003,Mayo Garda Division,Public service vehicle offences (1442),4.0
2003,Mayo Garda Division,Rape and sexual assault (021),22.0
2003,Mayo Garda Division,"Regulated betting/money, collection/trading offences (135)",0.0
2003,Mayo Garda Division,Road and traffic offences (14),690.0
2003,Mayo Garda Division,Road transport - carriage of goods offences (1441),4.0
2003,Mayo Garda Division,Roadworthiness/regulatory offences (143),54.0
2003,Mayo Garda Division,Robbery from the person (0613),4.0
2003,Mayo Garda Division,Robbery of an establishment or institution (0611),1.0
2003,Mayo Garda Division,Robbery of cash or goods in transit (0612),0.0
2003,Mayo Garda Division,"Robbery, extortion and hijacking offences (06)",6.0
2003,Mayo Garda Division,Sexual offences (02),23.0
2003,Mayo Garda Division,Social code offences (n.e.c.) (136),4.0
2003,Mayo Garda Division,Speeding (0415),195.0
2003,Mayo Garda Division,Theft and related offences (08),1066.0
2003,Mayo Garda Division,Theft from person (0821),32.0
2003,Mayo Garda Division,Theft from shop (0822),166.0
2003,Mayo Garda Division,Theft/taking of vehicle and related offences (081),84.0
2003,Mayo Garda Division,Threat to kill or cause serious harm (0313),0.0
2003,Mayo Garda Division,Trespass offences (132),10.0
2003,Mayo Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2003,Mayo Garda Division,Vehicle tax/registration offences (142),88.0
2003,Mayo Garda Division,Weapons and explosives offences (11),21.0
2004,Mayo Garda Division,"Abandoning a child, child neglect and cruelty (0422)",1.0
2004,Mayo Garda Division,Abduction of person under 16 years of age (0512),0.0
2004,Mayo Garda Division,Aggravated burglary (0711),1.0
2004,Mayo Garda Division,Arson (1211),16.0
2004,Mayo Garda Division,"Assault causing harm, poisoning (034)",100.0
2004,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",409.0
2004,Mayo Garda Division,Blackmail or extortion (0621),1.0
2004,Mayo Garda Division,Burglary (not aggravated) (0712),228.0
2004,Mayo Garda Division,Burglary and related offences (07),229.0
2004,Mayo Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",1.0
2004,Mayo Garda Division,Controlled drug offences (10),81.0
2004,Mayo Garda Division,Criminal damage (not arson) (1212),626.0
2004,Mayo Garda Division,Cultivation or manufacture of drugs (1012),0.0
2004,Mayo Garda Division,Damage to property and to the environment  offences (12),645.0
2004,Mayo Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2004,Mayo Garda Division,Dangerous driving leading to death (012),0.0
2004,Mayo Garda Division,Dangerous or negligent acts (04),602.0
2004,Mayo Garda Division,Dangerous/careless driving and motorway offences (0414),134.0
2004,Mayo Garda Division,Discharging a firearm (1121),5.0
2004,Mayo Garda Division,Disorderly conduct (131),827.0
2004,Mayo Garda Division,"Driving licence-failure to have, produce, etc. (1411)",37.0
2004,Mayo Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",329.0
2004,Mayo Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),0.0
2004,Mayo Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),329.0
2004,Mayo Garda Division,Endangering traffic offences (0425),3.0
2004,Mayo Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2004,Mayo Garda Division,"Explosives, chemical weapons offences (111)",8.0
2004,Mayo Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2004,Mayo Garda Division,False imprisonment (0511),0.0
2004,Mayo Garda Division,Fireworks offences (114),0.0
2004,Mayo Garda Division,"Fraud, deception and related offences (09)",91.0
2004,Mayo Garda Division,Harassment and related offences (033),37.0
2004,Mayo Garda Division,Homicide & related offences (01),2.0
2004,Mayo Garda Division,Human trafficking offences (0513),0.0
2004,Mayo Garda Division,Importation of drugs (1011),0.0
2004,Mayo Garda Division,Infanticide (0113),0.0
2004,Mayo Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",179.0
2004,Mayo Garda Division,Kidnapping and related offences (05),0.0
2004,Mayo Garda Division,Light rail offences (Luas) (1443),0.0
2004,Mayo Garda Division,Liquor licensing offences (133),222.0
2004,Mayo Garda Division,Litter offences (1221),3.0
2004,Mayo Garda Division,Manslaughter (0112),2.0
2004,Mayo Garda Division,Murder (0111),0.0
2004,Mayo Garda Division,Murder-attempt (0311),0.0
2004,Mayo Garda Division,Obstruction under Road Traffic Acts (1432),9.0
2004,Mayo Garda Division,Offences against government and its agents (151),4.0
2004,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime (15)",49.0
2004,Mayo Garda Division,Offences not elsewhere classified (16),39.0
2004,Mayo Garda Division,"Offences while in custody, breach of court orders (157)",40.0
2004,Mayo Garda Division,Offensive weapons offences (n.e.c.) (113),6.0
2004,Mayo Garda Division,Organisation of crime and conspiracy to commit crime (152),0.0
2004,Mayo Garda Division,Other assault (035),272.0
2004,Mayo Garda Division,Other drug offences (103),2.0
