Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",112.0
2003Q1,Mayo Garda Division,Burglary and related offences,65.0
2003Q1,Mayo Garda Division,Controlled drug offences,16.0
2003Q1,Mayo Garda Division,Damage to property and to the environment  offences,152.0
2003Q1,Mayo Garda Division,Dangerous or negligent acts,168.0
2003Q1,Mayo Garda Division,"Fraud, deception and related offences",37.0
2003Q1,Mayo Garda Division,Homicide & related offences,0.0
2003Q1,Mayo Garda Division,Kidnapping and related offences,0.0
2003Q1,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",14.0
2003Q1,Mayo Garda Division,Offences not elsewhere classified,6.0
2003Q1,Mayo Garda Division,Public order and other social code offences,221.0
2003Q1,Mayo Garda Division,Road and traffic offences,144.0
2003Q1,Mayo Garda Division,"Robbery, extortion and hijacking offences",1.0
2003Q1,Mayo Garda Division,Sexual offences,9.0
2003Q1,Mayo Garda Division,Theft and related offences,268.0
2003Q1,Mayo Garda Division,Weapons and explosives offences,4.0
2003Q2,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2003Q2,Mayo Garda Division,Burglary and related offences,114.0
2003Q2,Mayo Garda Division,Controlled drug offences,28.0
2003Q2,Mayo Garda Division,Damage to property and to the environment  offences,193.0
2003Q2,Mayo Garda Division,Dangerous or negligent acts,218.0
2003Q2,Mayo Garda Division,"Fraud, deception and related offences",17.0
2003Q2,Mayo Garda Division,Homicide & related offences,0.0
2003Q2,Mayo Garda Division,Kidnapping and related offences,0.0
2003Q2,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",27.0
2003Q2,Mayo Garda Division,Offences not elsewhere classified,14.0
2003Q2,Mayo Garda Division,Public order and other social code offences,353.0
2003Q2,Mayo Garda Division,Road and traffic offences,187.0
2003Q2,Mayo Garda Division,"Robbery, extortion and hijacking offences",1.0
2003Q2,Mayo Garda Division,Sexual offences,5.0
2003Q2,Mayo Garda Division,Theft and related offences,282.0
2003Q2,Mayo Garda Division,Weapons and explosives offences,8.0
2003Q3,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",83.0
2003Q3,Mayo Garda Division,Burglary and related offences,95.0
2003Q3,Mayo Garda Division,Controlled drug offences,27.0
2003Q3,Mayo Garda Division,Damage to property and to the environment  offences,185.0
2003Q3,Mayo Garda Division,Dangerous or negligent acts,228.0
2003Q3,Mayo Garda Division,"Fraud, deception and related offences",16.0
2003Q3,Mayo Garda Division,Homicide & related offences,2.0
2003Q3,Mayo Garda Division,Kidnapping and related offences,0.0
2003Q3,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",15.0
2003Q3,Mayo Garda Division,Offences not elsewhere classified,9.0
2003Q3,Mayo Garda Division,Public order and other social code offences,293.0
2003Q3,Mayo Garda Division,Road and traffic offences,186.0
2003Q3,Mayo Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q3,Mayo Garda Division,Sexual offences,4.0
2003Q3,Mayo Garda Division,Theft and related offences,262.0
2003Q3,Mayo Garda Division,Weapons and explosives offences,4.0
2003Q4,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",105.0
2003Q4,Mayo Garda Division,Burglary and related offences,76.0
2003Q4,Mayo Garda Division,Controlled drug offences,16.0
2003Q4,Mayo Garda Division,Damage to property and to the environment  offences,194.0
2003Q4,Mayo Garda Division,Dangerous or negligent acts,217.0
2003Q4,Mayo Garda Division,"Fraud, deception and related offences",21.0
2003Q4,Mayo Garda Division,Homicide & related offences,0.0
2003Q4,Mayo Garda Division,Kidnapping and related offences,0.0
2003Q4,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",12.0
2003Q4,Mayo Garda Division,Offences not elsewhere classified,11.0
2003Q4,Mayo Garda Division,Public order and other social code offences,408.0
2003Q4,Mayo Garda Division,Road and traffic offences,173.0
2003Q4,Mayo Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q4,Mayo Garda Division,Sexual offences,5.0
2003Q4,Mayo Garda Division,Theft and related offences,254.0
2003Q4,Mayo Garda Division,Weapons and explosives offences,5.0
2004Q1,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",104.0
2004Q1,Mayo Garda Division,Burglary and related offences,59.0
2004Q1,Mayo Garda Division,Controlled drug offences,23.0
2004Q1,Mayo Garda Division,Damage to property and to the environment  offences,168.0
2004Q1,Mayo Garda Division,Dangerous or negligent acts,156.0
2004Q1,Mayo Garda Division,"Fraud, deception and related offences",23.0
2004Q1,Mayo Garda Division,Homicide & related offences,1.0
2004Q1,Mayo Garda Division,Kidnapping and related offences,0.0
2004Q1,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",12.0
2004Q1,Mayo Garda Division,Offences not elsewhere classified,4.0
2004Q1,Mayo Garda Division,Public order and other social code offences,237.0
2004Q1,Mayo Garda Division,Road and traffic offences,132.0
2004Q1,Mayo Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q1,Mayo Garda Division,Sexual offences,14.0
2004Q1,Mayo Garda Division,Theft and related offences,256.0
2004Q1,Mayo Garda Division,Weapons and explosives offences,6.0
2004Q2,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",120.0
2004Q2,Mayo Garda Division,Burglary and related offences,54.0
2004Q2,Mayo Garda Division,Controlled drug offences,21.0
2004Q2,Mayo Garda Division,Damage to property and to the environment  offences,152.0
2004Q2,Mayo Garda Division,Dangerous or negligent acts,155.0
2004Q2,Mayo Garda Division,"Fraud, deception and related offences",19.0
2004Q2,Mayo Garda Division,Homicide & related offences,0.0
2004Q2,Mayo Garda Division,Kidnapping and related offences,0.0
2004Q2,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",10.0
2004Q2,Mayo Garda Division,Offences not elsewhere classified,4.0
2004Q2,Mayo Garda Division,Public order and other social code offences,251.0
2004Q2,Mayo Garda Division,Road and traffic offences,210.0
2004Q2,Mayo Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q2,Mayo Garda Division,Sexual offences,9.0
2004Q2,Mayo Garda Division,Theft and related offences,193.0
2004Q2,Mayo Garda Division,Weapons and explosives offences,6.0
2004Q3,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",109.0
2004Q3,Mayo Garda Division,Burglary and related offences,53.0
2004Q3,Mayo Garda Division,Controlled drug offences,16.0
2004Q3,Mayo Garda Division,Damage to property and to the environment  offences,155.0
2004Q3,Mayo Garda Division,Dangerous or negligent acts,142.0
2004Q3,Mayo Garda Division,"Fraud, deception and related offences",34.0
2004Q3,Mayo Garda Division,Homicide & related offences,0.0
2004Q3,Mayo Garda Division,Kidnapping and related offences,0.0
2004Q3,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",10.0
2004Q3,Mayo Garda Division,Offences not elsewhere classified,6.0
2004Q3,Mayo Garda Division,Public order and other social code offences,277.0
2004Q3,Mayo Garda Division,Road and traffic offences,134.0
2004Q3,Mayo Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q3,Mayo Garda Division,Sexual offences,6.0
2004Q3,Mayo Garda Division,Theft and related offences,228.0
2004Q3,Mayo Garda Division,Weapons and explosives offences,5.0
2004Q4,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",76.0
2004Q4,Mayo Garda Division,Burglary and related offences,63.0
2004Q4,Mayo Garda Division,Controlled drug offences,21.0
2004Q4,Mayo Garda Division,Damage to property and to the environment  offences,170.0
2004Q4,Mayo Garda Division,Dangerous or negligent acts,149.0
2004Q4,Mayo Garda Division,"Fraud, deception and related offences",15.0
2004Q4,Mayo Garda Division,Homicide & related offences,1.0
2004Q4,Mayo Garda Division,Kidnapping and related offences,0.0
2004Q4,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2004Q4,Mayo Garda Division,Offences not elsewhere classified,25.0
2004Q4,Mayo Garda Division,Public order and other social code offences,308.0
2004Q4,Mayo Garda Division,Road and traffic offences,208.0
2004Q4,Mayo Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q4,Mayo Garda Division,Sexual offences,9.0
2004Q4,Mayo Garda Division,Theft and related offences,195.0
2004Q4,Mayo Garda Division,Weapons and explosives offences,13.0
2005Q1,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",115.0
2005Q1,Mayo Garda Division,Burglary and related offences,45.0
2005Q1,Mayo Garda Division,Controlled drug offences,27.0
2005Q1,Mayo Garda Division,Damage to property and to the environment  offences,129.0
2005Q1,Mayo Garda Division,Dangerous or negligent acts,177.0
2005Q1,Mayo Garda Division,"Fraud, deception and related offences",12.0
2005Q1,Mayo Garda Division,Homicide & related offences,0.0
2005Q1,Mayo Garda Division,Kidnapping and related offences,0.0
2005Q1,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",15.0
2005Q1,Mayo Garda Division,Offences not elsewhere classified,10.0
2005Q1,Mayo Garda Division,Public order and other social code offences,292.0
2005Q1,Mayo Garda Division,Road and traffic offences,183.0
2005Q1,Mayo Garda Division,"Robbery, extortion and hijacking offences",1.0
2005Q1,Mayo Garda Division,Sexual offences,17.0
2005Q1,Mayo Garda Division,Theft and related offences,209.0
2005Q1,Mayo Garda Division,Weapons and explosives offences,8.0
2005Q2,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",102.0
2005Q2,Mayo Garda Division,Burglary and related offences,74.0
2005Q2,Mayo Garda Division,Controlled drug offences,28.0
2005Q2,Mayo Garda Division,Damage to property and to the environment  offences,153.0
2005Q2,Mayo Garda Division,Dangerous or negligent acts,156.0
2005Q2,Mayo Garda Division,"Fraud, deception and related offences",26.0
2005Q2,Mayo Garda Division,Homicide & related offences,0.0
2005Q2,Mayo Garda Division,Kidnapping and related offences,0.0
2005Q2,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",14.0
2005Q2,Mayo Garda Division,Offences not elsewhere classified,11.0
2005Q2,Mayo Garda Division,Public order and other social code offences,264.0
2005Q2,Mayo Garda Division,Road and traffic offences,192.0
2005Q2,Mayo Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q2,Mayo Garda Division,Sexual offences,5.0
2005Q2,Mayo Garda Division,Theft and related offences,228.0
2005Q2,Mayo Garda Division,Weapons and explosives offences,7.0
2005Q3,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",103.0
2005Q3,Mayo Garda Division,Burglary and related offences,113.0
2005Q3,Mayo Garda Division,Controlled drug offences,20.0
2005Q3,Mayo Garda Division,Damage to property and to the environment  offences,184.0
2005Q3,Mayo Garda Division,Dangerous or negligent acts,190.0
2005Q3,Mayo Garda Division,"Fraud, deception and related offences",14.0
2005Q3,Mayo Garda Division,Homicide & related offences,2.0
2005Q3,Mayo Garda Division,Kidnapping and related offences,0.0
2005Q3,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",14.0
2005Q3,Mayo Garda Division,Offences not elsewhere classified,11.0
2005Q3,Mayo Garda Division,Public order and other social code offences,248.0
2005Q3,Mayo Garda Division,Road and traffic offences,175.0
2005Q3,Mayo Garda Division,"Robbery, extortion and hijacking offences",1.0
2005Q3,Mayo Garda Division,Sexual offences,12.0
2005Q3,Mayo Garda Division,Theft and related offences,201.0
2005Q3,Mayo Garda Division,Weapons and explosives offences,7.0
2005Q4,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",109.0
2005Q4,Mayo Garda Division,Burglary and related offences,65.0
2005Q4,Mayo Garda Division,Controlled drug offences,36.0
2005Q4,Mayo Garda Division,Damage to property and to the environment  offences,196.0
2005Q4,Mayo Garda Division,Dangerous or negligent acts,183.0
2005Q4,Mayo Garda Division,"Fraud, deception and related offences",13.0
2005Q4,Mayo Garda Division,Homicide & related offences,0.0
2005Q4,Mayo Garda Division,Kidnapping and related offences,0.0
2005Q4,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",8.0
2005Q4,Mayo Garda Division,Offences not elsewhere classified,11.0
2005Q4,Mayo Garda Division,Public order and other social code offences,284.0
2005Q4,Mayo Garda Division,Road and traffic offences,291.0
2005Q4,Mayo Garda Division,"Robbery, extortion and hijacking offences",2.0
2005Q4,Mayo Garda Division,Sexual offences,12.0
2005Q4,Mayo Garda Division,Theft and related offences,281.0
2005Q4,Mayo Garda Division,Weapons and explosives offences,18.0
2006Q1,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",92.0
2006Q1,Mayo Garda Division,Burglary and related offences,100.0
2006Q1,Mayo Garda Division,Controlled drug offences,32.0
2006Q1,Mayo Garda Division,Damage to property and to the environment  offences,200.0
2006Q1,Mayo Garda Division,Dangerous or negligent acts,228.0
2006Q1,Mayo Garda Division,"Fraud, deception and related offences",22.0
2006Q1,Mayo Garda Division,Homicide & related offences,0.0
2006Q1,Mayo Garda Division,Kidnapping and related offences,0.0
2006Q1,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",23.0
2006Q1,Mayo Garda Division,Offences not elsewhere classified,10.0
2006Q1,Mayo Garda Division,Public order and other social code offences,237.0
2006Q1,Mayo Garda Division,Road and traffic offences,188.0
2006Q1,Mayo Garda Division,"Robbery, extortion and hijacking offences",0.0
2006Q1,Mayo Garda Division,Sexual offences,12.0
2006Q1,Mayo Garda Division,Theft and related offences,296.0
2006Q1,Mayo Garda Division,Weapons and explosives offences,4.0
2006Q2,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",106.0
2006Q2,Mayo Garda Division,Burglary and related offences,64.0
2006Q2,Mayo Garda Division,Controlled drug offences,34.0
2006Q2,Mayo Garda Division,Damage to property and to the environment  offences,208.0
2006Q2,Mayo Garda Division,Dangerous or negligent acts,327.0
2006Q2,Mayo Garda Division,"Fraud, deception and related offences",15.0
2006Q2,Mayo Garda Division,Homicide & related offences,1.0
2006Q2,Mayo Garda Division,Kidnapping and related offences,1.0
2006Q2,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",13.0
2006Q2,Mayo Garda Division,Offences not elsewhere classified,15.0
2006Q2,Mayo Garda Division,Public order and other social code offences,268.0
2006Q2,Mayo Garda Division,Road and traffic offences,362.0
2006Q2,Mayo Garda Division,"Robbery, extortion and hijacking offences",2.0
2006Q2,Mayo Garda Division,Sexual offences,10.0
2006Q2,Mayo Garda Division,Theft and related offences,249.0
2006Q2,Mayo Garda Division,Weapons and explosives offences,6.0
2006Q3,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",137.0
2006Q3,Mayo Garda Division,Burglary and related offences,107.0
2006Q3,Mayo Garda Division,Controlled drug offences,25.0
2006Q3,Mayo Garda Division,Damage to property and to the environment  offences,268.0
2006Q3,Mayo Garda Division,Dangerous or negligent acts,316.0
2006Q3,Mayo Garda Division,"Fraud, deception and related offences",19.0
2006Q3,Mayo Garda Division,Homicide & related offences,0.0
2006Q3,Mayo Garda Division,Kidnapping and related offences,0.0
2006Q3,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2006Q3,Mayo Garda Division,Offences not elsewhere classified,10.0
2006Q3,Mayo Garda Division,Public order and other social code offences,330.0
2006Q3,Mayo Garda Division,Road and traffic offences,305.0
2006Q3,Mayo Garda Division,"Robbery, extortion and hijacking offences",4.0
2006Q3,Mayo Garda Division,Sexual offences,3.0
2006Q3,Mayo Garda Division,Theft and related offences,290.0
2006Q3,Mayo Garda Division,Weapons and explosives offences,12.0
2006Q4,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",170.0
2006Q4,Mayo Garda Division,Burglary and related offences,53.0
2006Q4,Mayo Garda Division,Controlled drug offences,29.0
2006Q4,Mayo Garda Division,Damage to property and to the environment  offences,190.0
2006Q4,Mayo Garda Division,Dangerous or negligent acts,253.0
2006Q4,Mayo Garda Division,"Fraud, deception and related offences",14.0
2006Q4,Mayo Garda Division,Homicide & related offences,0.0
2006Q4,Mayo Garda Division,Kidnapping and related offences,0.0
2006Q4,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",6.0
2006Q4,Mayo Garda Division,Offences not elsewhere classified,15.0
2006Q4,Mayo Garda Division,Public order and other social code offences,309.0
2006Q4,Mayo Garda Division,Road and traffic offences,393.0
2006Q4,Mayo Garda Division,"Robbery, extortion and hijacking offences",1.0
2006Q4,Mayo Garda Division,Sexual offences,7.0
2006Q4,Mayo Garda Division,Theft and related offences,223.0
2006Q4,Mayo Garda Division,Weapons and explosives offences,13.0
2007Q1,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",130.0
2007Q1,Mayo Garda Division,Burglary and related offences,144.0
2007Q1,Mayo Garda Division,Controlled drug offences,35.0
2007Q1,Mayo Garda Division,Damage to property and to the environment  offences,232.0
2007Q1,Mayo Garda Division,Dangerous or negligent acts,244.0
2007Q1,Mayo Garda Division,"Fraud, deception and related offences",31.0
2007Q1,Mayo Garda Division,Homicide & related offences,0.0
2007Q1,Mayo Garda Division,Kidnapping and related offences,1.0
2007Q1,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",14.0
2007Q1,Mayo Garda Division,Offences not elsewhere classified,13.0
2007Q1,Mayo Garda Division,Public order and other social code offences,249.0
2007Q1,Mayo Garda Division,Road and traffic offences,398.0
2007Q1,Mayo Garda Division,"Robbery, extortion and hijacking offences",3.0
2007Q1,Mayo Garda Division,Sexual offences,10.0
2007Q1,Mayo Garda Division,Theft and related offences,278.0
2007Q1,Mayo Garda Division,Weapons and explosives offences,3.0
2007Q2,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",135.0
2007Q2,Mayo Garda Division,Burglary and related offences,102.0
