Year,Garda Division,Type of Offence,VALUE
2003,Meath Garda Division,"Abandoning a child, child neglect and cruelty (0422)",2.0
2003,Meath Garda Division,Abduction of person under 16 years of age (0512),0.0
2003,Meath Garda Division,Aggravated burglary (0711),6.0
2003,Meath Garda Division,Arson (1211),33.0
2003,Meath Garda Division,"Assault causing harm, poisoning (034)",77.0
2003,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",279.0
2003,Meath Garda Division,Blackmail or extortion (0621),1.0
2003,Meath Garda Division,Burglary (not aggravated) (0712),825.0
2003,Meath Garda Division,Burglary and related offences (07),834.0
2003,Meath Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",3.0
2003,Meath Garda Division,Controlled drug offences (10),144.0
2003,Meath Garda Division,Criminal damage (not arson) (1212),553.0
2003,Meath Garda Division,Cultivation or manufacture of drugs (1012),0.0
2003,Meath Garda Division,Damage to property and to the environment  offences (12),589.0
2003,Meath Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2003,Meath Garda Division,Dangerous driving leading to death (012),1.0
2003,Meath Garda Division,Dangerous or negligent acts (04),618.0
2003,Meath Garda Division,Dangerous/careless driving and motorway offences (0414),137.0
2003,Meath Garda Division,Discharging a firearm (1121),7.0
2003,Meath Garda Division,Disorderly conduct (131),396.0
2003,Meath Garda Division,"Driving licence-failure to have, produce, etc. (1411)",18.0
2003,Meath Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",363.0
2003,Meath Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),3.0
2003,Meath Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),360.0
2003,Meath Garda Division,Endangering traffic offences (0425),4.0
2003,Meath Garda Division,Endangerment with potential for serious harm/death (0421),2.0
2003,Meath Garda Division,"Explosives, chemical weapons offences (111)",2.0
2003,Meath Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Meath Garda Division,False imprisonment (0511),1.0
2003,Meath Garda Division,Fireworks offences (114),0.0
2003,Meath Garda Division,"Fraud, deception and related offences (09)",42.0
2003,Meath Garda Division,Harassment and related offences (033),16.0
2003,Meath Garda Division,Homicide & related offences (01),2.0
2003,Meath Garda Division,Human trafficking offences (0513),0.0
2003,Meath Garda Division,Importation of drugs (1011),0.0
2003,Meath Garda Division,Infanticide (0113),0.0
2003,Meath Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",228.0
2003,Meath Garda Division,Kidnapping and related offences (05),1.0
2003,Meath Garda Division,Light rail offences (Luas) (1443),0.0
2003,Meath Garda Division,Liquor licensing offences (133),41.0
2003,Meath Garda Division,Litter offences (1221),3.0
2003,Meath Garda Division,Manslaughter (0112),0.0
2003,Meath Garda Division,Murder (0111),1.0
2003,Meath Garda Division,Murder-attempt (0311),1.0
2003,Meath Garda Division,Obstruction under Road Traffic Acts (1432),1.0
2003,Meath Garda Division,Offences against government and its agents (151),3.0
2003,Meath Garda Division,"Offences against government, justice procedures and organisation of crime (15)",107.0
2003,Meath Garda Division,Offences not elsewhere classified (16),39.0
2003,Meath Garda Division,"Offences while in custody, breach of court orders (157)",101.0
2003,Meath Garda Division,Offensive weapons offences (n.e.c.) (113),10.0
2003,Meath Garda Division,Organisation of crime and conspiracy to commit crime (152),0.0
2003,Meath Garda Division,Other assault (035),185.0
2003,Meath Garda Division,Other drug offences (103),2.0
2003,Meath Garda Division,Other road offences (1433),758.0
2003,Meath Garda Division,Other sexual offences (022),2.0
2003,Meath Garda Division,"Other thefts, handling stolen property (084)",737.0
2003,Meath Garda Division,Perverting the course of justice (153),3.0
2003,Meath Garda Division,Possession of a firearm (1122),5.0
2003,Meath Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",3.0
2003,Meath Garda Division,Possession of drugs for personal use (1022),119.0
2003,Meath Garda Division,Possession of drugs for sale or supply (1021),23.0
2003,Meath Garda Division,Prostitution offences (134),0.0
2003,Meath Garda Division,Public order and other social code offences (13),458.0
2003,Meath Garda Division,Public service vehicle offences (1442),4.0
2003,Meath Garda Division,Rape and sexual assault (021),35.0
2003,Meath Garda Division,"Regulated betting/money, collection/trading offences (135)",0.0
2003,Meath Garda Division,Road and traffic offences (14),1142.0
2003,Meath Garda Division,Road transport - carriage of goods offences (1441),39.0
2003,Meath Garda Division,Roadworthiness/regulatory offences (143),2.0
2003,Meath Garda Division,Robbery from the person (0613),12.0
2003,Meath Garda Division,Robbery of an establishment or institution (0611),35.0
2003,Meath Garda Division,Robbery of cash or goods in transit (0612),5.0
2003,Meath Garda Division,"Robbery, extortion and hijacking offences (06)",56.0
2003,Meath Garda Division,Sexual offences (02),37.0
2003,Meath Garda Division,Social code offences (n.e.c.) (136),8.0
2003,Meath Garda Division,Speeding (0415),109.0
2003,Meath Garda Division,Theft and related offences (08),1283.0
2003,Meath Garda Division,Theft from person (0821),54.0
2003,Meath Garda Division,Theft from shop (0822),208.0
2003,Meath Garda Division,Theft/taking of vehicle and related offences (081),284.0
2003,Meath Garda Division,Threat to kill or cause serious harm (0313),0.0
2003,Meath Garda Division,Trespass offences (132),13.0
2003,Meath Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2003,Meath Garda Division,Vehicle tax/registration offences (142),92.0
2003,Meath Garda Division,Weapons and explosives offences (11),24.0
2004,Meath Garda Division,"Abandoning a child, child neglect and cruelty (0422)",2.0
2004,Meath Garda Division,Abduction of person under 16 years of age (0512),0.0
2004,Meath Garda Division,Aggravated burglary (0711),6.0
2004,Meath Garda Division,Arson (1211),36.0
2004,Meath Garda Division,"Assault causing harm, poisoning (034)",81.0
2004,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",279.0
2004,Meath Garda Division,Blackmail or extortion (0621),0.0
2004,Meath Garda Division,Burglary (not aggravated) (0712),720.0
2004,Meath Garda Division,Burglary and related offences (07),733.0
2004,Meath Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",1.0
2004,Meath Garda Division,Controlled drug offences (10),172.0
2004,Meath Garda Division,Criminal damage (not arson) (1212),699.0
2004,Meath Garda Division,Cultivation or manufacture of drugs (1012),0.0
2004,Meath Garda Division,Damage to property and to the environment  offences (12),735.0
2004,Meath Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2004,Meath Garda Division,Dangerous driving leading to death (012),1.0
2004,Meath Garda Division,Dangerous or negligent acts (04),712.0
2004,Meath Garda Division,Dangerous/careless driving and motorway offences (0414),160.0
2004,Meath Garda Division,Discharging a firearm (1121),3.0
2004,Meath Garda Division,Disorderly conduct (131),467.0
2004,Meath Garda Division,"Driving licence-failure to have, produce, etc. (1411)",29.0
2004,Meath Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",440.0
2004,Meath Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),0.0
2004,Meath Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),440.0
2004,Meath Garda Division,Endangering traffic offences (0425),5.0
2004,Meath Garda Division,Endangerment with potential for serious harm/death (0421),1.0
2004,Meath Garda Division,"Explosives, chemical weapons offences (111)",0.0
2004,Meath Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2004,Meath Garda Division,False imprisonment (0511),0.0
2004,Meath Garda Division,Fireworks offences (114),0.0
2004,Meath Garda Division,"Fraud, deception and related offences (09)",102.0
2004,Meath Garda Division,Harassment and related offences (033),39.0
2004,Meath Garda Division,Homicide & related offences (01),2.0
2004,Meath Garda Division,Human trafficking offences (0513),0.0
2004,Meath Garda Division,Importation of drugs (1011),0.0
2004,Meath Garda Division,Infanticide (0113),0.0
2004,Meath Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",346.0
2004,Meath Garda Division,Kidnapping and related offences (05),0.0
2004,Meath Garda Division,Light rail offences (Luas) (1443),0.0
2004,Meath Garda Division,Liquor licensing offences (133),64.0
2004,Meath Garda Division,Litter offences (1221),0.0
2004,Meath Garda Division,Manslaughter (0112),0.0
2004,Meath Garda Division,Murder (0111),1.0
2004,Meath Garda Division,Murder-attempt (0311),0.0
2004,Meath Garda Division,Obstruction under Road Traffic Acts (1432),1.0
2004,Meath Garda Division,Offences against government and its agents (151),1.0
2004,Meath Garda Division,"Offences against government, justice procedures and organisation of crime (15)",117.0
2004,Meath Garda Division,Offences not elsewhere classified (16),22.0
