Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",72.0
2003Q1,Meath Garda Division,Burglary and related offences,222.0
2003Q1,Meath Garda Division,Controlled drug offences,19.0
2003Q1,Meath Garda Division,Damage to property and to the environment  offences,148.0
2003Q1,Meath Garda Division,Dangerous or negligent acts,152.0
2003Q1,Meath Garda Division,"Fraud, deception and related offences",17.0
2003Q1,Meath Garda Division,Homicide & related offences,2.0
2003Q1,Meath Garda Division,Kidnapping and related offences,1.0
2003Q1,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",22.0
2003Q1,Meath Garda Division,Offences not elsewhere classified,7.0
2003Q1,Meath Garda Division,Public order and other social code offences,108.0
2003Q1,Meath Garda Division,Road and traffic offences,291.0
2003Q1,Meath Garda Division,"Robbery, extortion and hijacking offences",15.0
2003Q1,Meath Garda Division,Sexual offences,12.0
2003Q1,Meath Garda Division,Theft and related offences,307.0
2003Q1,Meath Garda Division,Weapons and explosives offences,4.0
2003Q2,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",65.0
2003Q2,Meath Garda Division,Burglary and related offences,198.0
2003Q2,Meath Garda Division,Controlled drug offences,28.0
2003Q2,Meath Garda Division,Damage to property and to the environment  offences,135.0
2003Q2,Meath Garda Division,Dangerous or negligent acts,154.0
2003Q2,Meath Garda Division,"Fraud, deception and related offences",10.0
2003Q2,Meath Garda Division,Homicide & related offences,0.0
2003Q2,Meath Garda Division,Kidnapping and related offences,0.0
2003Q2,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",32.0
2003Q2,Meath Garda Division,Offences not elsewhere classified,6.0
2003Q2,Meath Garda Division,Public order and other social code offences,91.0
2003Q2,Meath Garda Division,Road and traffic offences,350.0
2003Q2,Meath Garda Division,"Robbery, extortion and hijacking offences",12.0
2003Q2,Meath Garda Division,Sexual offences,8.0
2003Q2,Meath Garda Division,Theft and related offences,308.0
2003Q2,Meath Garda Division,Weapons and explosives offences,8.0
2003Q3,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",70.0
2003Q3,Meath Garda Division,Burglary and related offences,204.0
2003Q3,Meath Garda Division,Controlled drug offences,60.0
2003Q3,Meath Garda Division,Damage to property and to the environment  offences,142.0
2003Q3,Meath Garda Division,Dangerous or negligent acts,154.0
2003Q3,Meath Garda Division,"Fraud, deception and related offences",5.0
2003Q3,Meath Garda Division,Homicide & related offences,0.0
2003Q3,Meath Garda Division,Kidnapping and related offences,0.0
2003Q3,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",27.0
2003Q3,Meath Garda Division,Offences not elsewhere classified,13.0
2003Q3,Meath Garda Division,Public order and other social code offences,117.0
2003Q3,Meath Garda Division,Road and traffic offences,246.0
2003Q3,Meath Garda Division,"Robbery, extortion and hijacking offences",13.0
2003Q3,Meath Garda Division,Sexual offences,13.0
2003Q3,Meath Garda Division,Theft and related offences,353.0
2003Q3,Meath Garda Division,Weapons and explosives offences,6.0
2003Q4,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",72.0
2003Q4,Meath Garda Division,Burglary and related offences,210.0
2003Q4,Meath Garda Division,Controlled drug offences,37.0
2003Q4,Meath Garda Division,Damage to property and to the environment  offences,164.0
2003Q4,Meath Garda Division,Dangerous or negligent acts,158.0
2003Q4,Meath Garda Division,"Fraud, deception and related offences",10.0
2003Q4,Meath Garda Division,Homicide & related offences,0.0
2003Q4,Meath Garda Division,Kidnapping and related offences,0.0
2003Q4,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2003Q4,Meath Garda Division,Offences not elsewhere classified,13.0
2003Q4,Meath Garda Division,Public order and other social code offences,142.0
2003Q4,Meath Garda Division,Road and traffic offences,255.0
2003Q4,Meath Garda Division,"Robbery, extortion and hijacking offences",16.0
2003Q4,Meath Garda Division,Sexual offences,4.0
2003Q4,Meath Garda Division,Theft and related offences,315.0
2003Q4,Meath Garda Division,Weapons and explosives offences,6.0
2004Q1,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",84.0
