Year,Garda Division,Type of Offence,VALUE
2003,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",296.0
2003,Roscommon-Longford Garda Division,Burglary and related offences,368.0
2003,Roscommon-Longford Garda Division,Controlled drug offences,91.0
2003,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,482.0
2003,Roscommon-Longford Garda Division,Dangerous or negligent acts,320.0
2003,Roscommon-Longford Garda Division,"Fraud, deception and related offences",48.0
2003,Roscommon-Longford Garda Division,Homicide & related offences,1.0
2003,Roscommon-Longford Garda Division,Kidnapping and related offences,5.0
2003,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",61.0
2003,Roscommon-Longford Garda Division,Offences not elsewhere classified,56.0
2003,Roscommon-Longford Garda Division,Public order and other social code offences,761.0
2003,Roscommon-Longford Garda Division,Road and traffic offences,500.0
2003,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",14.0
2003,Roscommon-Longford Garda Division,Sexual offences,22.0
2003,Roscommon-Longford Garda Division,Theft and related offences,773.0
2003,Roscommon-Longford Garda Division,Weapons and explosives offences,13.0
2004,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",299.0
2004,Roscommon-Longford Garda Division,Burglary and related offences,369.0
2004,Roscommon-Longford Garda Division,Controlled drug offences,107.0
2004,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,438.0
2004,Roscommon-Longford Garda Division,Dangerous or negligent acts,373.0
2004,Roscommon-Longford Garda Division,"Fraud, deception and related offences",42.0
2004,Roscommon-Longford Garda Division,Homicide & related offences,3.0
2004,Roscommon-Longford Garda Division,Kidnapping and related offences,1.0
2004,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",67.0
2004,Roscommon-Longford Garda Division,Offences not elsewhere classified,37.0
2004,Roscommon-Longford Garda Division,Public order and other social code offences,627.0
2004,Roscommon-Longford Garda Division,Road and traffic offences,679.0
2004,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",9.0
2004,Roscommon-Longford Garda Division,Sexual offences,31.0
2004,Roscommon-Longford Garda Division,Theft and related offences,865.0
2004,Roscommon-Longford Garda Division,Weapons and explosives offences,23.0
2005,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",245.0
2005,Roscommon-Longford Garda Division,Burglary and related offences,354.0
2005,Roscommon-Longford Garda Division,Controlled drug offences,110.0
2005,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,382.0
2005,Roscommon-Longford Garda Division,Dangerous or negligent acts,771.0
2005,Roscommon-Longford Garda Division,"Fraud, deception and related offences",47.0
2005,Roscommon-Longford Garda Division,Homicide & related offences,2.0
2005,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2005,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",51.0
2005,Roscommon-Longford Garda Division,Offences not elsewhere classified,35.0
2005,Roscommon-Longford Garda Division,Public order and other social code offences,714.0
2005,Roscommon-Longford Garda Division,Road and traffic offences,965.0
2005,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",14.0
2005,Roscommon-Longford Garda Division,Sexual offences,25.0
2005,Roscommon-Longford Garda Division,Theft and related offences,791.0
2005,Roscommon-Longford Garda Division,Weapons and explosives offences,26.0
2006,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",313.0
2006,Roscommon-Longford Garda Division,Burglary and related offences,398.0
2006,Roscommon-Longford Garda Division,Controlled drug offences,145.0
2006,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,537.0
2006,Roscommon-Longford Garda Division,Dangerous or negligent acts,1469.0
2006,Roscommon-Longford Garda Division,"Fraud, deception and related offences",84.0
2006,Roscommon-Longford Garda Division,Homicide & related offences,2.0
2006,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2006,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",96.0
2006,Roscommon-Longford Garda Division,Offences not elsewhere classified,41.0
2006,Roscommon-Longford Garda Division,Public order and other social code offences,769.0
2006,Roscommon-Longford Garda Division,Road and traffic offences,2240.0
2006,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",13.0
2006,Roscommon-Longford Garda Division,Sexual offences,25.0
2006,Roscommon-Longford Garda Division,Theft and related offences,934.0
2006,Roscommon-Longford Garda Division,Weapons and explosives offences,39.0
2007,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",413.0
2007,Roscommon-Longford Garda Division,Burglary and related offences,417.0
2007,Roscommon-Longford Garda Division,Controlled drug offences,226.0
2007,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,538.0
2007,Roscommon-Longford Garda Division,Dangerous or negligent acts,1474.0
2007,Roscommon-Longford Garda Division,"Fraud, deception and related offences",132.0
2007,Roscommon-Longford Garda Division,Homicide & related offences,8.0
2007,Roscommon-Longford Garda Division,Kidnapping and related offences,1.0
2007,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",95.0
2007,Roscommon-Longford Garda Division,Offences not elsewhere classified,59.0
2007,Roscommon-Longford Garda Division,Public order and other social code offences,780.0
2007,Roscommon-Longford Garda Division,Road and traffic offences,2471.0
2007,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",14.0
2007,Roscommon-Longford Garda Division,Sexual offences,35.0
2007,Roscommon-Longford Garda Division,Theft and related offences,955.0
2007,Roscommon-Longford Garda Division,Weapons and explosives offences,52.0
2008,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",385.0
2008,Roscommon-Longford Garda Division,Burglary and related offences,452.0
2008,Roscommon-Longford Garda Division,Controlled drug offences,201.0
2008,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,504.0
2008,Roscommon-Longford Garda Division,Dangerous or negligent acts,1160.0
2008,Roscommon-Longford Garda Division,"Fraud, deception and related offences",110.0
2008,Roscommon-Longford Garda Division,Homicide & related offences,2.0
2008,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2008,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",100.0
2008,Roscommon-Longford Garda Division,Offences not elsewhere classified,72.0
2008,Roscommon-Longford Garda Division,Public order and other social code offences,743.0
2008,Roscommon-Longford Garda Division,Road and traffic offences,2607.0
2008,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",19.0
2008,Roscommon-Longford Garda Division,Sexual offences,21.0
2008,Roscommon-Longford Garda Division,Theft and related offences,901.0
2008,Roscommon-Longford Garda Division,Weapons and explosives offences,49.0
2009,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",413.0
2009,Roscommon-Longford Garda Division,Burglary and related offences,532.0
2009,Roscommon-Longford Garda Division,Controlled drug offences,180.0
2009,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,571.0
2009,Roscommon-Longford Garda Division,Dangerous or negligent acts,1006.0
2009,Roscommon-Longford Garda Division,"Fraud, deception and related offences",90.0
2009,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2009,Roscommon-Longford Garda Division,Kidnapping and related offences,2.0
2009,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",86.0
2009,Roscommon-Longford Garda Division,Offences not elsewhere classified,100.0
2009,Roscommon-Longford Garda Division,Public order and other social code offences,787.0
2009,Roscommon-Longford Garda Division,Road and traffic offences,2670.0
2009,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",16.0
2009,Roscommon-Longford Garda Division,Sexual offences,20.0
2009,Roscommon-Longford Garda Division,Theft and related offences,935.0
2009,Roscommon-Longford Garda Division,Weapons and explosives offences,63.0
2010,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",361.0
2010,Roscommon-Longford Garda Division,Burglary and related offences,460.0
2010,Roscommon-Longford Garda Division,Controlled drug offences,165.0
2010,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,467.0
2010,Roscommon-Longford Garda Division,Dangerous or negligent acts,881.0
2010,Roscommon-Longford Garda Division,"Fraud, deception and related offences",95.0
