Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",68.0
2003Q1,Roscommon-Longford Garda Division,Burglary and related offences,70.0
2003Q1,Roscommon-Longford Garda Division,Controlled drug offences,4.0
2003Q1,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,97.0
2003Q1,Roscommon-Longford Garda Division,Dangerous or negligent acts,74.0
2003Q1,Roscommon-Longford Garda Division,"Fraud, deception and related offences",27.0
2003Q1,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2003Q1,Roscommon-Longford Garda Division,Kidnapping and related offences,2.0
2003Q1,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",11.0
2003Q1,Roscommon-Longford Garda Division,Offences not elsewhere classified,24.0
2003Q1,Roscommon-Longford Garda Division,Public order and other social code offences,113.0
2003Q1,Roscommon-Longford Garda Division,Road and traffic offences,100.0
2003Q1,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",3.0
2003Q1,Roscommon-Longford Garda Division,Sexual offences,8.0
2003Q1,Roscommon-Longford Garda Division,Theft and related offences,180.0
2003Q1,Roscommon-Longford Garda Division,Weapons and explosives offences,3.0
2003Q2,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",60.0
2003Q2,Roscommon-Longford Garda Division,Burglary and related offences,121.0
2003Q2,Roscommon-Longford Garda Division,Controlled drug offences,28.0
2003Q2,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,142.0
2003Q2,Roscommon-Longford Garda Division,Dangerous or negligent acts,76.0
2003Q2,Roscommon-Longford Garda Division,"Fraud, deception and related offences",7.0
2003Q2,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2003Q2,Roscommon-Longford Garda Division,Kidnapping and related offences,1.0
2003Q2,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2003Q2,Roscommon-Longford Garda Division,Offences not elsewhere classified,8.0
