Year,Garda Division,Type of Offence,VALUE
2003,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",300.0
2003,Sligo-Leitrim Garda Division,Burglary and related offences,405.0
2003,Sligo-Leitrim Garda Division,Controlled drug offences,139.0
2003,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,1078.0
2003,Sligo-Leitrim Garda Division,Dangerous or negligent acts,483.0
2003,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",63.0
2003,Sligo-Leitrim Garda Division,Homicide & related offences,4.0
2003,Sligo-Leitrim Garda Division,Kidnapping and related offences,1.0
2003,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",44.0
2003,Sligo-Leitrim Garda Division,Offences not elsewhere classified,50.0
2003,Sligo-Leitrim Garda Division,Public order and other social code offences,583.0
2003,Sligo-Leitrim Garda Division,Road and traffic offences,474.0
2003,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",11.0
2003,Sligo-Leitrim Garda Division,Sexual offences,28.0
2003,Sligo-Leitrim Garda Division,Theft and related offences,1055.0
2003,Sligo-Leitrim Garda Division,Weapons and explosives offences,21.0
2004,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",278.0
2004,Sligo-Leitrim Garda Division,Burglary and related offences,328.0
2004,Sligo-Leitrim Garda Division,Controlled drug offences,113.0
2004,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,770.0
2004,Sligo-Leitrim Garda Division,Dangerous or negligent acts,470.0
2004,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",68.0
2004,Sligo-Leitrim Garda Division,Homicide & related offences,5.0
2004,Sligo-Leitrim Garda Division,Kidnapping and related offences,0.0
2004,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",39.0
2004,Sligo-Leitrim Garda Division,Offences not elsewhere classified,53.0
2004,Sligo-Leitrim Garda Division,Public order and other social code offences,761.0
2004,Sligo-Leitrim Garda Division,Road and traffic offences,431.0
2004,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",20.0
2004,Sligo-Leitrim Garda Division,Sexual offences,25.0
2004,Sligo-Leitrim Garda Division,Theft and related offences,906.0
2004,Sligo-Leitrim Garda Division,Weapons and explosives offences,25.0
2005,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",277.0
2005,Sligo-Leitrim Garda Division,Burglary and related offences,320.0
2005,Sligo-Leitrim Garda Division,Controlled drug offences,154.0
2005,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,851.0
2005,Sligo-Leitrim Garda Division,Dangerous or negligent acts,563.0
2005,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",66.0
2005,Sligo-Leitrim Garda Division,Homicide & related offences,7.0
2005,Sligo-Leitrim Garda Division,Kidnapping and related offences,0.0
2005,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",68.0
2005,Sligo-Leitrim Garda Division,Offences not elsewhere classified,47.0
2005,Sligo-Leitrim Garda Division,Public order and other social code offences,1363.0
2005,Sligo-Leitrim Garda Division,Road and traffic offences,735.0
2005,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",14.0
2005,Sligo-Leitrim Garda Division,Sexual offences,31.0
2005,Sligo-Leitrim Garda Division,Theft and related offences,978.0
2005,Sligo-Leitrim Garda Division,Weapons and explosives offences,21.0
