Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",68.0
2003Q1,Sligo-Leitrim Garda Division,Burglary and related offences,72.0
2003Q1,Sligo-Leitrim Garda Division,Controlled drug offences,27.0
2003Q1,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,238.0
2003Q1,Sligo-Leitrim Garda Division,Dangerous or negligent acts,112.0
2003Q1,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",10.0
2003Q1,Sligo-Leitrim Garda Division,Homicide & related offences,1.0
2003Q1,Sligo-Leitrim Garda Division,Kidnapping and related offences,0.0
2003Q1,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",5.0
2003Q1,Sligo-Leitrim Garda Division,Offences not elsewhere classified,21.0
2003Q1,Sligo-Leitrim Garda Division,Public order and other social code offences,120.0
2003Q1,Sligo-Leitrim Garda Division,Road and traffic offences,105.0
2003Q1,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q1,Sligo-Leitrim Garda Division,Sexual offences,15.0
2003Q1,Sligo-Leitrim Garda Division,Theft and related offences,174.0
2003Q1,Sligo-Leitrim Garda Division,Weapons and explosives offences,7.0
2003Q2,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",58.0
2003Q2,Sligo-Leitrim Garda Division,Burglary and related offences,117.0
2003Q2,Sligo-Leitrim Garda Division,Controlled drug offences,30.0
2003Q2,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,309.0
2003Q2,Sligo-Leitrim Garda Division,Dangerous or negligent acts,136.0
2003Q2,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",10.0
2003Q2,Sligo-Leitrim Garda Division,Homicide & related offences,0.0
2003Q2,Sligo-Leitrim Garda Division,Kidnapping and related offences,0.0
2003Q2,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",12.0
2003Q2,Sligo-Leitrim Garda Division,Offences not elsewhere classified,14.0
2003Q2,Sligo-Leitrim Garda Division,Public order and other social code offences,135.0
2003Q2,Sligo-Leitrim Garda Division,Road and traffic offences,115.0
2003Q2,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",5.0
2003Q2,Sligo-Leitrim Garda Division,Sexual offences,3.0
2003Q2,Sligo-Leitrim Garda Division,Theft and related offences,287.0
2003Q2,Sligo-Leitrim Garda Division,Weapons and explosives offences,2.0
2003Q3,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",104.0
2003Q3,Sligo-Leitrim Garda Division,Burglary and related offences,118.0
2003Q3,Sligo-Leitrim Garda Division,Controlled drug offences,48.0
2003Q3,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,268.0
2003Q3,Sligo-Leitrim Garda Division,Dangerous or negligent acts,120.0
2003Q3,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",16.0
2003Q3,Sligo-Leitrim Garda Division,Homicide & related offences,2.0
2003Q3,Sligo-Leitrim Garda Division,Kidnapping and related offences,1.0
2003Q3,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",11.0
2003Q3,Sligo-Leitrim Garda Division,Offences not elsewhere classified,8.0
2003Q3,Sligo-Leitrim Garda Division,Public order and other social code offences,161.0
2003Q3,Sligo-Leitrim Garda Division,Road and traffic offences,115.0
2003Q3,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q3,Sligo-Leitrim Garda Division,Sexual offences,3.0
2003Q3,Sligo-Leitrim Garda Division,Theft and related offences,322.0
2003Q3,Sligo-Leitrim Garda Division,Weapons and explosives offences,7.0
2003Q4,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",70.0
2003Q4,Sligo-Leitrim Garda Division,Burglary and related offences,98.0
2003Q4,Sligo-Leitrim Garda Division,Controlled drug offences,34.0
2003Q4,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,263.0
2003Q4,Sligo-Leitrim Garda Division,Dangerous or negligent acts,115.0
2003Q4,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",27.0
2003Q4,Sligo-Leitrim Garda Division,Homicide & related offences,1.0
2003Q4,Sligo-Leitrim Garda Division,Kidnapping and related offences,0.0
2003Q4,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",16.0
2003Q4,Sligo-Leitrim Garda Division,Offences not elsewhere classified,7.0
2003Q4,Sligo-Leitrim Garda Division,Public order and other social code offences,167.0
2003Q4,Sligo-Leitrim Garda Division,Road and traffic offences,139.0
2003Q4,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q4,Sligo-Leitrim Garda Division,Sexual offences,7.0
2003Q4,Sligo-Leitrim Garda Division,Theft and related offences,272.0
2003Q4,Sligo-Leitrim Garda Division,Weapons and explosives offences,5.0
2004Q1,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",91.0
2004Q1,Sligo-Leitrim Garda Division,Burglary and related offences,78.0
2004Q1,Sligo-Leitrim Garda Division,Controlled drug offences,34.0
2004Q1,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,192.0
2004Q1,Sligo-Leitrim Garda Division,Dangerous or negligent acts,97.0
2004Q1,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",33.0
2004Q1,Sligo-Leitrim Garda Division,Homicide & related offences,2.0
2004Q1,Sligo-Leitrim Garda Division,Kidnapping and related offences,0.0
2004Q1,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",12.0
2004Q1,Sligo-Leitrim Garda Division,Offences not elsewhere classified,17.0
2004Q1,Sligo-Leitrim Garda Division,Public order and other social code offences,142.0
2004Q1,Sligo-Leitrim Garda Division,Road and traffic offences,83.0
2004Q1,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q1,Sligo-Leitrim Garda Division,Sexual offences,7.0
2004Q1,Sligo-Leitrim Garda Division,Theft and related offences,245.0
2004Q1,Sligo-Leitrim Garda Division,Weapons and explosives offences,10.0
2004Q2,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",69.0
2004Q2,Sligo-Leitrim Garda Division,Burglary and related offences,88.0
2004Q2,Sligo-Leitrim Garda Division,Controlled drug offences,31.0
2004Q2,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,189.0
2004Q2,Sligo-Leitrim Garda Division,Dangerous or negligent acts,137.0
2004Q2,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",10.0
2004Q2,Sligo-Leitrim Garda Division,Homicide & related offences,0.0
2004Q2,Sligo-Leitrim Garda Division,Kidnapping and related offences,0.0
2004Q2,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",12.0
2004Q2,Sligo-Leitrim Garda Division,Offences not elsewhere classified,19.0
2004Q2,Sligo-Leitrim Garda Division,Public order and other social code offences,176.0
2004Q2,Sligo-Leitrim Garda Division,Road and traffic offences,135.0
2004Q2,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",6.0
2004Q2,Sligo-Leitrim Garda Division,Sexual offences,4.0
2004Q2,Sligo-Leitrim Garda Division,Theft and related offences,193.0
2004Q2,Sligo-Leitrim Garda Division,Weapons and explosives offences,8.0
2004Q3,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",62.0
2004Q3,Sligo-Leitrim Garda Division,Burglary and related offences,73.0
2004Q3,Sligo-Leitrim Garda Division,Controlled drug offences,16.0
