Year,Garda Division,Type of Offence,VALUE
2003,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",418.0
2003,Tipperary Garda Division,Burglary and related offences,589.0
2003,Tipperary Garda Division,Controlled drug offences,422.0
2003,Tipperary Garda Division,Damage to property and to the environment  offences,766.0
2003,Tipperary Garda Division,Dangerous or negligent acts,728.0
2003,Tipperary Garda Division,"Fraud, deception and related offences",104.0
2003,Tipperary Garda Division,Homicide & related offences,2.0
2003,Tipperary Garda Division,Kidnapping and related offences,4.0
2003,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",103.0
2003,Tipperary Garda Division,Offences not elsewhere classified,56.0
2003,Tipperary Garda Division,Public order and other social code offences,1154.0
2003,Tipperary Garda Division,Road and traffic offences,930.0
2003,Tipperary Garda Division,"Robbery, extortion and hijacking offences",22.0
2003,Tipperary Garda Division,Sexual offences,41.0
2003,Tipperary Garda Division,Theft and related offences,1231.0
2003,Tipperary Garda Division,Weapons and explosives offences,59.0
2004,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",450.0
2004,Tipperary Garda Division,Burglary and related offences,598.0
2004,Tipperary Garda Division,Controlled drug offences,357.0
2004,Tipperary Garda Division,Damage to property and to the environment  offences,793.0
2004,Tipperary Garda Division,Dangerous or negligent acts,904.0
2004,Tipperary Garda Division,"Fraud, deception and related offences",86.0
2004,Tipperary Garda Division,Homicide & related offences,3.0
2004,Tipperary Garda Division,Kidnapping and related offences,0.0
2004,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",84.0
2004,Tipperary Garda Division,Offences not elsewhere classified,34.0
2004,Tipperary Garda Division,Public order and other social code offences,1782.0
2004,Tipperary Garda Division,Road and traffic offences,1857.0
2004,Tipperary Garda Division,"Robbery, extortion and hijacking offences",13.0
2004,Tipperary Garda Division,Sexual offences,39.0
2004,Tipperary Garda Division,Theft and related offences,1276.0
2004,Tipperary Garda Division,Weapons and explosives offences,85.0
2005,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",472.0
