Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2003Q1,Tipperary Garda Division,Burglary and related offences,149.0
2003Q1,Tipperary Garda Division,Controlled drug offences,81.0
2003Q1,Tipperary Garda Division,Damage to property and to the environment  offences,182.0
2003Q1,Tipperary Garda Division,Dangerous or negligent acts,146.0
2003Q1,Tipperary Garda Division,"Fraud, deception and related offences",28.0
2003Q1,Tipperary Garda Division,Homicide & related offences,1.0
2003Q1,Tipperary Garda Division,Kidnapping and related offences,1.0
2003Q1,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",27.0
2003Q1,Tipperary Garda Division,Offences not elsewhere classified,36.0
2003Q1,Tipperary Garda Division,Public order and other social code offences,229.0
2003Q1,Tipperary Garda Division,Road and traffic offences,194.0
2003Q1,Tipperary Garda Division,"Robbery, extortion and hijacking offences",5.0
2003Q1,Tipperary Garda Division,Sexual offences,11.0
2003Q1,Tipperary Garda Division,Theft and related offences,317.0
2003Q1,Tipperary Garda Division,Weapons and explosives offences,14.0
2003Q2,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",91.0
2003Q2,Tipperary Garda Division,Burglary and related offences,154.0
2003Q2,Tipperary Garda Division,Controlled drug offences,107.0
2003Q2,Tipperary Garda Division,Damage to property and to the environment  offences,213.0
2003Q2,Tipperary Garda Division,Dangerous or negligent acts,158.0
2003Q2,Tipperary Garda Division,"Fraud, deception and related offences",20.0
2003Q2,Tipperary Garda Division,Homicide & related offences,0.0
2003Q2,Tipperary Garda Division,Kidnapping and related offences,2.0
2003Q2,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",20.0
2003Q2,Tipperary Garda Division,Offences not elsewhere classified,10.0
2003Q2,Tipperary Garda Division,Public order and other social code offences,258.0
2003Q2,Tipperary Garda Division,Road and traffic offences,215.0
2003Q2,Tipperary Garda Division,"Robbery, extortion and hijacking offences",4.0
2003Q2,Tipperary Garda Division,Sexual offences,12.0
2003Q2,Tipperary Garda Division,Theft and related offences,303.0
2003Q2,Tipperary Garda Division,Weapons and explosives offences,18.0
2003Q3,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",123.0
2003Q3,Tipperary Garda Division,Burglary and related offences,130.0
2003Q3,Tipperary Garda Division,Controlled drug offences,147.0
2003Q3,Tipperary Garda Division,Damage to property and to the environment  offences,167.0
2003Q3,Tipperary Garda Division,Dangerous or negligent acts,195.0
2003Q3,Tipperary Garda Division,"Fraud, deception and related offences",13.0
2003Q3,Tipperary Garda Division,Homicide & related offences,1.0
2003Q3,Tipperary Garda Division,Kidnapping and related offences,1.0
2003Q3,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2003Q3,Tipperary Garda Division,Offences not elsewhere classified,3.0
2003Q3,Tipperary Garda Division,Public order and other social code offences,267.0
2003Q3,Tipperary Garda Division,Road and traffic offences,236.0
2003Q3,Tipperary Garda Division,"Robbery, extortion and hijacking offences",5.0
2003Q3,Tipperary Garda Division,Sexual offences,6.0
2003Q3,Tipperary Garda Division,Theft and related offences,332.0
2003Q3,Tipperary Garda Division,Weapons and explosives offences,9.0
2003Q4,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",108.0
2003Q4,Tipperary Garda Division,Burglary and related offences,156.0
2003Q4,Tipperary Garda Division,Controlled drug offences,87.0
2003Q4,Tipperary Garda Division,Damage to property and to the environment  offences,204.0
2003Q4,Tipperary Garda Division,Dangerous or negligent acts,229.0
2003Q4,Tipperary Garda Division,"Fraud, deception and related offences",43.0
2003Q4,Tipperary Garda Division,Homicide & related offences,0.0
2003Q4,Tipperary Garda Division,Kidnapping and related offences,0.0
2003Q4,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",25.0
2003Q4,Tipperary Garda Division,Offences not elsewhere classified,7.0
2003Q4,Tipperary Garda Division,Public order and other social code offences,400.0
2003Q4,Tipperary Garda Division,Road and traffic offences,285.0
2003Q4,Tipperary Garda Division,"Robbery, extortion and hijacking offences",8.0
2003Q4,Tipperary Garda Division,Sexual offences,12.0
2003Q4,Tipperary Garda Division,Theft and related offences,279.0
