Year,Garda Division,Type of Offence,VALUE
2003,Waterford Garda Division,"Abandoning a child, child neglect and cruelty (0422)",4.0
2003,Waterford Garda Division,Abduction of person under 16 years of age (0512),1.0
2003,Waterford Garda Division,Aggravated burglary (0711),7.0
2003,Waterford Garda Division,Arson (1211),41.0
2003,Waterford Garda Division,"Assault causing harm, poisoning (034)",146.0
2003,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",378.0
2003,Waterford Garda Division,Blackmail or extortion (0621),0.0
2003,Waterford Garda Division,Burglary (not aggravated) (0712),841.0
2003,Waterford Garda Division,Burglary and related offences (07),850.0
2003,Waterford Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2003,Waterford Garda Division,Controlled drug offences (10),659.0
2003,Waterford Garda Division,Criminal damage (not arson) (1212),755.0
2003,Waterford Garda Division,Cultivation or manufacture of drugs (1012),5.0
2003,Waterford Garda Division,Damage to property and to the environment  offences (12),801.0
2003,Waterford Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2003,Waterford Garda Division,Dangerous driving leading to death (012),3.0
2003,Waterford Garda Division,Dangerous or negligent acts (04),613.0
2003,Waterford Garda Division,Dangerous/careless driving and motorway offences (0414),109.0
2003,Waterford Garda Division,Discharging a firearm (1121),1.0
2003,Waterford Garda Division,Disorderly conduct (131),1961.0
2003,Waterford Garda Division,"Driving licence-failure to have, produce, etc. (1411)",77.0
2003,Waterford Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",471.0
2003,Waterford Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),4.0
2003,Waterford Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),467.0
2003,Waterford Garda Division,Endangering traffic offences (0425),3.0
2003,Waterford Garda Division,Endangerment with potential for serious harm/death (0421),1.0
2003,Waterford Garda Division,"Explosives, chemical weapons offences (111)",5.0
2003,Waterford Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Waterford Garda Division,False imprisonment (0511),3.0
2003,Waterford Garda Division,Fireworks offences (114),0.0
2003,Waterford Garda Division,"Fraud, deception and related offences (09)",139.0
2003,Waterford Garda Division,Harassment and related offences (033),23.0
2003,Waterford Garda Division,Homicide & related offences (01),5.0
2003,Waterford Garda Division,Human trafficking offences (0513),0.0
2003,Waterford Garda Division,Importation of drugs (1011),0.0
2003,Waterford Garda Division,Infanticide (0113),0.0
2003,Waterford Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",279.0
2003,Waterford Garda Division,Kidnapping and related offences (05),4.0
2003,Waterford Garda Division,Light rail offences (Luas) (1443),0.0
2003,Waterford Garda Division,Liquor licensing offences (133),196.0
2003,Waterford Garda Division,Litter offences (1221),5.0
2003,Waterford Garda Division,Manslaughter (0112),1.0
2003,Waterford Garda Division,Murder (0111),1.0
2003,Waterford Garda Division,Murder-attempt (0311),0.0
2003,Waterford Garda Division,Obstruction under Road Traffic Acts (1432),1.0
2003,Waterford Garda Division,Offences against government and its agents (151),6.0
2003,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime (15)",300.0
2003,Waterford Garda Division,Offences not elsewhere classified (16),44.0
2003,Waterford Garda Division,"Offences while in custody, breach of court orders (157)",282.0
2003,Waterford Garda Division,Offensive weapons offences (n.e.c.) (113),58.0
2003,Waterford Garda Division,Organisation of crime and conspiracy to commit crime (152),1.0
2003,Waterford Garda Division,Other assault (035),209.0
2003,Waterford Garda Division,Other drug offences (103),15.0
2003,Waterford Garda Division,Other road offences (1433),415.0
2003,Waterford Garda Division,Other sexual offences (022),8.0
2003,Waterford Garda Division,"Other thefts, handling stolen property (084)",871.0
2003,Waterford Garda Division,Perverting the course of justice (153),11.0
2003,Waterford Garda Division,Possession of a firearm (1122),7.0
2003,Waterford Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",2.0
2003,Waterford Garda Division,Possession of drugs for personal use (1022),511.0
2003,Waterford Garda Division,Possession of drugs for sale or supply (1021),128.0
2003,Waterford Garda Division,Prostitution offences (134),0.0
2003,Waterford Garda Division,Public order and other social code offences (13),2234.0
2003,Waterford Garda Division,Public service vehicle offences (1442),17.0
2003,Waterford Garda Division,Rape and sexual assault (021),69.0
2003,Waterford Garda Division,"Regulated betting/money, collection/trading offences (135)",6.0
2003,Waterford Garda Division,Road and traffic offences (14),889.0
2003,Waterford Garda Division,Road transport - carriage of goods offences (1441),19.0
2003,Waterford Garda Division,Roadworthiness/regulatory offences (143),41.0
2003,Waterford Garda Division,Robbery from the person (0613),35.0
2003,Waterford Garda Division,Robbery of an establishment or institution (0611),6.0
2003,Waterford Garda Division,Robbery of cash or goods in transit (0612),0.0
2003,Waterford Garda Division,"Robbery, extortion and hijacking offences (06)",41.0
2003,Waterford Garda Division,Sexual offences (02),77.0
2003,Waterford Garda Division,Social code offences (n.e.c.) (136),20.0
2003,Waterford Garda Division,Speeding (0415),25.0
2003,Waterford Garda Division,Theft and related offences (08),1904.0
2003,Waterford Garda Division,Theft from person (0821),113.0
2003,Waterford Garda Division,Theft from shop (0822),650.0
2003,Waterford Garda Division,Theft/taking of vehicle and related offences (081),270.0
2003,Waterford Garda Division,Threat to kill or cause serious harm (0313),0.0
2003,Waterford Garda Division,Trespass offences (132),51.0
2003,Waterford Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2003,Waterford Garda Division,Vehicle tax/registration offences (142),40.0
2003,Waterford Garda Division,Weapons and explosives offences (11),71.0
2004,Waterford Garda Division,"Abandoning a child, child neglect and cruelty (0422)",10.0
2004,Waterford Garda Division,Abduction of person under 16 years of age (0512),0.0
2004,Waterford Garda Division,Aggravated burglary (0711),2.0
2004,Waterford Garda Division,Arson (1211),25.0
2004,Waterford Garda Division,"Assault causing harm, poisoning (034)",135.0
2004,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",383.0
2004,Waterford Garda Division,Blackmail or extortion (0621),0.0
2004,Waterford Garda Division,Burglary (not aggravated) (0712),717.0
2004,Waterford Garda Division,Burglary and related offences (07),723.0
2004,Waterford Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",0.0
2004,Waterford Garda Division,Controlled drug offences (10),675.0
2004,Waterford Garda Division,Criminal damage (not arson) (1212),747.0
2004,Waterford Garda Division,Cultivation or manufacture of drugs (1012),1.0
2004,Waterford Garda Division,Damage to property and to the environment  offences (12),776.0
2004,Waterford Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
