Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",99.0
2003Q1,Waterford Garda Division,Burglary and related offences,234.0
2003Q1,Waterford Garda Division,Controlled drug offences,155.0
2003Q1,Waterford Garda Division,Damage to property and to the environment  offences,183.0
2003Q1,Waterford Garda Division,Dangerous or negligent acts,132.0
2003Q1,Waterford Garda Division,"Fraud, deception and related offences",47.0
2003Q1,Waterford Garda Division,Homicide & related offences,2.0
2003Q1,Waterford Garda Division,Kidnapping and related offences,0.0
2003Q1,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",61.0
2003Q1,Waterford Garda Division,Offences not elsewhere classified,17.0
2003Q1,Waterford Garda Division,Public order and other social code offences,556.0
2003Q1,Waterford Garda Division,Road and traffic offences,221.0
2003Q1,Waterford Garda Division,"Robbery, extortion and hijacking offences",9.0
2003Q1,Waterford Garda Division,Sexual offences,36.0
2003Q1,Waterford Garda Division,Theft and related offences,552.0
2003Q1,Waterford Garda Division,Weapons and explosives offences,17.0
2003Q2,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2003Q2,Waterford Garda Division,Burglary and related offences,172.0
2003Q2,Waterford Garda Division,Controlled drug offences,186.0
2003Q2,Waterford Garda Division,Damage to property and to the environment  offences,194.0
2003Q2,Waterford Garda Division,Dangerous or negligent acts,150.0
2003Q2,Waterford Garda Division,"Fraud, deception and related offences",48.0
2003Q2,Waterford Garda Division,Homicide & related offences,0.0
2003Q2,Waterford Garda Division,Kidnapping and related offences,2.0
2003Q2,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",77.0
2003Q2,Waterford Garda Division,Offences not elsewhere classified,11.0
2003Q2,Waterford Garda Division,Public order and other social code offences,534.0
2003Q2,Waterford Garda Division,Road and traffic offences,247.0
2003Q2,Waterford Garda Division,"Robbery, extortion and hijacking offences",8.0
2003Q2,Waterford Garda Division,Sexual offences,22.0
2003Q2,Waterford Garda Division,Theft and related offences,430.0
2003Q2,Waterford Garda Division,Weapons and explosives offences,18.0
2003Q3,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2003Q3,Waterford Garda Division,Burglary and related offences,228.0
2003Q3,Waterford Garda Division,Controlled drug offences,181.0
2003Q3,Waterford Garda Division,Damage to property and to the environment  offences,226.0
2003Q3,Waterford Garda Division,Dangerous or negligent acts,165.0
2003Q3,Waterford Garda Division,"Fraud, deception and related offences",26.0
2003Q3,Waterford Garda Division,Homicide & related offences,2.0
2003Q3,Waterford Garda Division,Kidnapping and related offences,1.0
2003Q3,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",67.0
2003Q3,Waterford Garda Division,Offences not elsewhere classified,9.0
2003Q3,Waterford Garda Division,Public order and other social code offences,645.0
2003Q3,Waterford Garda Division,Road and traffic offences,211.0
2003Q3,Waterford Garda Division,"Robbery, extortion and hijacking offences",13.0
2003Q3,Waterford Garda Division,Sexual offences,11.0
2003Q3,Waterford Garda Division,Theft and related offences,496.0
2003Q3,Waterford Garda Division,Weapons and explosives offences,22.0
