Year,Garda Division,Type of Offence,VALUE
2003,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",285.0
2003,Westmeath Garda Division,Burglary and related offences,594.0
2003,Westmeath Garda Division,Controlled drug offences,103.0
2003,Westmeath Garda Division,Damage to property and to the environment  offences,620.0
2003,Westmeath Garda Division,Dangerous or negligent acts,305.0
2003,Westmeath Garda Division,"Fraud, deception and related offences",49.0
2003,Westmeath Garda Division,Homicide & related offences,3.0
2003,Westmeath Garda Division,Kidnapping and related offences,1.0
2003,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",87.0
2003,Westmeath Garda Division,Offences not elsewhere classified,89.0
2003,Westmeath Garda Division,Public order and other social code offences,888.0
2003,Westmeath Garda Division,Road and traffic offences,494.0
2003,Westmeath Garda Division,"Robbery, extortion and hijacking offences",32.0
2003,Westmeath Garda Division,Sexual offences,22.0
2003,Westmeath Garda Division,Theft and related offences,1278.0
2003,Westmeath Garda Division,Weapons and explosives offences,23.0
2004,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",246.0
2004,Westmeath Garda Division,Burglary and related offences,522.0
2004,Westmeath Garda Division,Controlled drug offences,81.0
2004,Westmeath Garda Division,Damage to property and to the environment  offences,694.0
2004,Westmeath Garda Division,Dangerous or negligent acts,369.0
2004,Westmeath Garda Division,"Fraud, deception and related offences",79.0
2004,Westmeath Garda Division,Homicide & related offences,1.0
2004,Westmeath Garda Division,Kidnapping and related offences,3.0
2004,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",51.0
2004,Westmeath Garda Division,Offences not elsewhere classified,47.0
2004,Westmeath Garda Division,Public order and other social code offences,1002.0
2004,Westmeath Garda Division,Road and traffic offences,588.0
2004,Westmeath Garda Division,"Robbery, extortion and hijacking offences",31.0
2004,Westmeath Garda Division,Sexual offences,42.0
2004,Westmeath Garda Division,Theft and related offences,1212.0
2004,Westmeath Garda Division,Weapons and explosives offences,22.0
2005,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",315.0
2005,Westmeath Garda Division,Burglary and related offences,628.0
2005,Westmeath Garda Division,Controlled drug offences,158.0
2005,Westmeath Garda Division,Damage to property and to the environment  offences,768.0
2005,Westmeath Garda Division,Dangerous or negligent acts,509.0
2005,Westmeath Garda Division,"Fraud, deception and related offences",51.0
2005,Westmeath Garda Division,Homicide & related offences,4.0
2005,Westmeath Garda Division,Kidnapping and related offences,4.0
2005,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",99.0
2005,Westmeath Garda Division,Offences not elsewhere classified,45.0
2005,Westmeath Garda Division,Public order and other social code offences,1212.0
2005,Westmeath Garda Division,Road and traffic offences,613.0
2005,Westmeath Garda Division,"Robbery, extortion and hijacking offences",33.0
2005,Westmeath Garda Division,Sexual offences,34.0
2005,Westmeath Garda Division,Theft and related offences,1321.0
2005,Westmeath Garda Division,Weapons and explosives offences,31.0
2006,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",305.0
2006,Westmeath Garda Division,Burglary and related offences,605.0
2006,Westmeath Garda Division,Controlled drug offences,285.0
2006,Westmeath Garda Division,Damage to property and to the environment  offences,770.0
2006,Westmeath Garda Division,Dangerous or negligent acts,1174.0
2006,Westmeath Garda Division,"Fraud, deception and related offences",92.0
2006,Westmeath Garda Division,Homicide & related offences,4.0
2006,Westmeath Garda Division,Kidnapping and related offences,3.0
2006,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",125.0
2006,Westmeath Garda Division,Offences not elsewhere classified,29.0
2006,Westmeath Garda Division,Public order and other social code offences,1169.0
2006,Westmeath Garda Division,Road and traffic offences,1706.0
2006,Westmeath Garda Division,"Robbery, extortion and hijacking offences",39.0
2006,Westmeath Garda Division,Sexual offences,23.0
2006,Westmeath Garda Division,Theft and related offences,1463.0
2006,Westmeath Garda Division,Weapons and explosives offences,60.0
2007,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",408.0
2007,Westmeath Garda Division,Burglary and related offences,626.0
2007,Westmeath Garda Division,Controlled drug offences,204.0
2007,Westmeath Garda Division,Damage to property and to the environment  offences,993.0
2007,Westmeath Garda Division,Dangerous or negligent acts,1437.0
2007,Westmeath Garda Division,"Fraud, deception and related offences",110.0
2007,Westmeath Garda Division,Homicide & related offences,4.0
2007,Westmeath Garda Division,Kidnapping and related offences,3.0
2007,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",142.0
2007,Westmeath Garda Division,Offences not elsewhere classified,52.0
2007,Westmeath Garda Division,Public order and other social code offences,1143.0
2007,Westmeath Garda Division,Road and traffic offences,1510.0
2007,Westmeath Garda Division,"Robbery, extortion and hijacking offences",33.0
2007,Westmeath Garda Division,Sexual offences,31.0
2007,Westmeath Garda Division,Theft and related offences,1477.0
2007,Westmeath Garda Division,Weapons and explosives offences,51.0
2008,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",420.0
2008,Westmeath Garda Division,Burglary and related offences,601.0
2008,Westmeath Garda Division,Controlled drug offences,333.0
2008,Westmeath Garda Division,Damage to property and to the environment  offences,826.0
2008,Westmeath Garda Division,Dangerous or negligent acts,1051.0
2008,Westmeath Garda Division,"Fraud, deception and related offences",108.0
2008,Westmeath Garda Division,Homicide & related offences,2.0
2008,Westmeath Garda Division,Kidnapping and related offences,0.0
2008,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",153.0
2008,Westmeath Garda Division,Offences not elsewhere classified,73.0
2008,Westmeath Garda Division,Public order and other social code offences,1219.0
2008,Westmeath Garda Division,Road and traffic offences,2480.0
2008,Westmeath Garda Division,"Robbery, extortion and hijacking offences",23.0
2008,Westmeath Garda Division,Sexual offences,28.0
2008,Westmeath Garda Division,Theft and related offences,1228.0
2008,Westmeath Garda Division,Weapons and explosives offences,75.0
2009,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",397.0
2009,Westmeath Garda Division,Burglary and related offences,524.0
2009,Westmeath Garda Division,Controlled drug offences,286.0
2009,Westmeath Garda Division,Damage to property and to the environment  offences,796.0
2009,Westmeath Garda Division,Dangerous or negligent acts,853.0
2009,Westmeath Garda Division,"Fraud, deception and related offences",108.0
2009,Westmeath Garda Division,Homicide & related offences,1.0
2009,Westmeath Garda Division,Kidnapping and related offences,2.0
2009,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",160.0
2009,Westmeath Garda Division,Offences not elsewhere classified,72.0
2009,Westmeath Garda Division,Public order and other social code offences,1082.0
2009,Westmeath Garda Division,Road and traffic offences,3102.0
2009,Westmeath Garda Division,"Robbery, extortion and hijacking offences",34.0
2009,Westmeath Garda Division,Sexual offences,27.0
2009,Westmeath Garda Division,Theft and related offences,1225.0
2009,Westmeath Garda Division,Weapons and explosives offences,65.0
2010,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",357.0
2010,Westmeath Garda Division,Burglary and related offences,528.0
2010,Westmeath Garda Division,Controlled drug offences,296.0
2010,Westmeath Garda Division,Damage to property and to the environment  offences,758.0
2010,Westmeath Garda Division,Dangerous or negligent acts,567.0
2010,Westmeath Garda Division,"Fraud, deception and related offences",100.0
2010,Westmeath Garda Division,Homicide & related offences,3.0
2010,Westmeath Garda Division,Kidnapping and related offences,5.0
2010,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",206.0
2010,Westmeath Garda Division,Offences not elsewhere classified,70.0
2010,Westmeath Garda Division,Public order and other social code offences,1077.0
2010,Westmeath Garda Division,Road and traffic offences,2327.0
2010,Westmeath Garda Division,"Robbery, extortion and hijacking offences",33.0
2010,Westmeath Garda Division,Sexual offences,33.0
2010,Westmeath Garda Division,Theft and related offences,1294.0
2010,Westmeath Garda Division,Weapons and explosives offences,63.0
2011,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",361.0
2011,Westmeath Garda Division,Burglary and related offences,573.0
2011,Westmeath Garda Division,Controlled drug offences,253.0
2011,Westmeath Garda Division,Damage to property and to the environment  offences,626.0
2011,Westmeath Garda Division,Dangerous or negligent acts,964.0
2011,Westmeath Garda Division,"Fraud, deception and related offences",87.0
2011,Westmeath Garda Division,Homicide & related offences,3.0
2011,Westmeath Garda Division,Kidnapping and related offences,0.0
2011,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",162.0
2011,Westmeath Garda Division,Offences not elsewhere classified,58.0
2011,Westmeath Garda Division,Public order and other social code offences,958.0
2011,Westmeath Garda Division,Road and traffic offences,2269.0
2011,Westmeath Garda Division,"Robbery, extortion and hijacking offences",32.0
2011,Westmeath Garda Division,Sexual offences,36.0
2011,Westmeath Garda Division,Theft and related offences,1235.0
2011,Westmeath Garda Division,Weapons and explosives offences,50.0
2012,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",325.0
2012,Westmeath Garda Division,Burglary and related offences,568.0
2012,Westmeath Garda Division,Controlled drug offences,268.0
2012,Westmeath Garda Division,Damage to property and to the environment  offences,615.0
2012,Westmeath Garda Division,Dangerous or negligent acts,852.0
2012,Westmeath Garda Division,"Fraud, deception and related offences",130.0
2012,Westmeath Garda Division,Homicide & related offences,1.0
2012,Westmeath Garda Division,Kidnapping and related offences,0.0
2012,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",201.0
2012,Westmeath Garda Division,Offences not elsewhere classified,58.0
2012,Westmeath Garda Division,Public order and other social code offences,899.0
2012,Westmeath Garda Division,Road and traffic offences,2410.0
2012,Westmeath Garda Division,"Robbery, extortion and hijacking offences",22.0
2012,Westmeath Garda Division,Sexual offences,29.0
2012,Westmeath Garda Division,Theft and related offences,1250.0
2012,Westmeath Garda Division,Weapons and explosives offences,44.0
2013,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",247.0
2013,Westmeath Garda Division,Burglary and related offences,669.0
2013,Westmeath Garda Division,Controlled drug offences,295.0
2013,Westmeath Garda Division,Damage to property and to the environment  offences,539.0
2013,Westmeath Garda Division,Dangerous or negligent acts,1000.0
2013,Westmeath Garda Division,"Fraud, deception and related offences",94.0
2013,Westmeath Garda Division,Homicide & related offences,1.0
2013,Westmeath Garda Division,Kidnapping and related offences,1.0
2013,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",171.0
2013,Westmeath Garda Division,Offences not elsewhere classified,34.0
2013,Westmeath Garda Division,Public order and other social code offences,844.0
2013,Westmeath Garda Division,Road and traffic offences,1785.0
2013,Westmeath Garda Division,"Robbery, extortion and hijacking offences",29.0
2013,Westmeath Garda Division,Sexual offences,39.0
2013,Westmeath Garda Division,Theft and related offences,1267.0
2013,Westmeath Garda Division,Weapons and explosives offences,38.0
2014,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",297.0
2014,Westmeath Garda Division,Burglary and related offences,581.0
2014,Westmeath Garda Division,Controlled drug offences,353.0
2014,Westmeath Garda Division,Damage to property and to the environment  offences,552.0
2014,Westmeath Garda Division,Dangerous or negligent acts,1487.0
2014,Westmeath Garda Division,"Fraud, deception and related offences",102.0
2014,Westmeath Garda Division,Homicide & related offences,1.0
2014,Westmeath Garda Division,Kidnapping and related offences,0.0
2014,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",176.0
2014,Westmeath Garda Division,Offences not elsewhere classified,33.0
2014,Westmeath Garda Division,Public order and other social code offences,643.0
2014,Westmeath Garda Division,Road and traffic offences,1543.0
2014,Westmeath Garda Division,"Robbery, extortion and hijacking offences",32.0
2014,Westmeath Garda Division,Sexual offences,29.0
2014,Westmeath Garda Division,Theft and related offences,1188.0
2014,Westmeath Garda Division,Weapons and explosives offences,53.0
2015,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",297.0
2015,Westmeath Garda Division,Burglary and related offences,340.0
2015,Westmeath Garda Division,Controlled drug offences,451.0
2015,Westmeath Garda Division,Damage to property and to the environment  offences,462.0
2015,Westmeath Garda Division,Dangerous or negligent acts,1635.0
2015,Westmeath Garda Division,"Fraud, deception and related offences",104.0
2015,Westmeath Garda Division,Homicide & related offences,2.0
2015,Westmeath Garda Division,Kidnapping and related offences,5.0
2015,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",199.0
2015,Westmeath Garda Division,Offences not elsewhere classified,43.0
2015,Westmeath Garda Division,Public order and other social code offences,632.0
2015,Westmeath Garda Division,Road and traffic offences,1516.0
2015,Westmeath Garda Division,"Robbery, extortion and hijacking offences",24.0
2015,Westmeath Garda Division,Sexual offences,28.0
2015,Westmeath Garda Division,Theft and related offences,1125.0
2015,Westmeath Garda Division,Weapons and explosives offences,48.0
