Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",91.0
2003Q1,Westmeath Garda Division,Burglary and related offences,197.0
2003Q1,Westmeath Garda Division,Controlled drug offences,29.0
2003Q1,Westmeath Garda Division,Damage to property and to the environment  offences,133.0
2003Q1,Westmeath Garda Division,Dangerous or negligent acts,66.0
2003Q1,Westmeath Garda Division,"Fraud, deception and related offences",23.0
2003Q1,Westmeath Garda Division,Homicide & related offences,1.0
2003Q1,Westmeath Garda Division,Kidnapping and related offences,1.0
2003Q1,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2003Q1,Westmeath Garda Division,Offences not elsewhere classified,28.0
2003Q1,Westmeath Garda Division,Public order and other social code offences,195.0
2003Q1,Westmeath Garda Division,Road and traffic offences,96.0
2003Q1,Westmeath Garda Division,"Robbery, extortion and hijacking offences",12.0
2003Q1,Westmeath Garda Division,Sexual offences,9.0
2003Q1,Westmeath Garda Division,Theft and related offences,331.0
2003Q1,Westmeath Garda Division,Weapons and explosives offences,9.0
2003Q2,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",74.0
2003Q2,Westmeath Garda Division,Burglary and related offences,112.0
2003Q2,Westmeath Garda Division,Controlled drug offences,26.0
2003Q2,Westmeath Garda Division,Damage to property and to the environment  offences,178.0
2003Q2,Westmeath Garda Division,Dangerous or negligent acts,84.0
2003Q2,Westmeath Garda Division,"Fraud, deception and related offences",3.0
2003Q2,Westmeath Garda Division,Homicide & related offences,0.0
2003Q2,Westmeath Garda Division,Kidnapping and related offences,0.0
2003Q2,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",20.0
2003Q2,Westmeath Garda Division,Offences not elsewhere classified,26.0
2003Q2,Westmeath Garda Division,Public order and other social code offences,280.0
2003Q2,Westmeath Garda Division,Road and traffic offences,145.0
2003Q2,Westmeath Garda Division,"Robbery, extortion and hijacking offences",6.0
2003Q2,Westmeath Garda Division,Sexual offences,4.0
2003Q2,Westmeath Garda Division,Theft and related offences,361.0
2003Q2,Westmeath Garda Division,Weapons and explosives offences,4.0
2003Q3,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",70.0
2003Q3,Westmeath Garda Division,Burglary and related offences,124.0
2003Q3,Westmeath Garda Division,Controlled drug offences,29.0
2003Q3,Westmeath Garda Division,Damage to property and to the environment  offences,156.0
2003Q3,Westmeath Garda Division,Dangerous or negligent acts,79.0
2003Q3,Westmeath Garda Division,"Fraud, deception and related offences",14.0
2003Q3,Westmeath Garda Division,Homicide & related offences,1.0
2003Q3,Westmeath Garda Division,Kidnapping and related offences,0.0
2003Q3,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",28.0
2003Q3,Westmeath Garda Division,Offences not elsewhere classified,14.0
2003Q3,Westmeath Garda Division,Public order and other social code offences,205.0
2003Q3,Westmeath Garda Division,Road and traffic offences,107.0
2003Q3,Westmeath Garda Division,"Robbery, extortion and hijacking offences",8.0
2003Q3,Westmeath Garda Division,Sexual offences,5.0
2003Q3,Westmeath Garda Division,Theft and related offences,312.0
2003Q3,Westmeath Garda Division,Weapons and explosives offences,3.0
2003Q4,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",50.0
2003Q4,Westmeath Garda Division,Burglary and related offences,161.0
2003Q4,Westmeath Garda Division,Controlled drug offences,19.0
2003Q4,Westmeath Garda Division,Damage to property and to the environment  offences,153.0
2003Q4,Westmeath Garda Division,Dangerous or negligent acts,76.0
2003Q4,Westmeath Garda Division,"Fraud, deception and related offences",9.0
2003Q4,Westmeath Garda Division,Homicide & related offences,1.0
2003Q4,Westmeath Garda Division,Kidnapping and related offences,0.0
2003Q4,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",18.0
2003Q4,Westmeath Garda Division,Offences not elsewhere classified,21.0
2003Q4,Westmeath Garda Division,Public order and other social code offences,208.0
2003Q4,Westmeath Garda Division,Road and traffic offences,146.0
2003Q4,Westmeath Garda Division,"Robbery, extortion and hijacking offences",6.0
2003Q4,Westmeath Garda Division,Sexual offences,4.0
2003Q4,Westmeath Garda Division,Theft and related offences,274.0
2003Q4,Westmeath Garda Division,Weapons and explosives offences,7.0
2004Q1,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",60.0
2004Q1,Westmeath Garda Division,Burglary and related offences,143.0
2004Q1,Westmeath Garda Division,Controlled drug offences,19.0
2004Q1,Westmeath Garda Division,Damage to property and to the environment  offences,151.0
2004Q1,Westmeath Garda Division,Dangerous or negligent acts,85.0
2004Q1,Westmeath Garda Division,"Fraud, deception and related offences",52.0
2004Q1,Westmeath Garda Division,Homicide & related offences,1.0
2004Q1,Westmeath Garda Division,Kidnapping and related offences,2.0
2004Q1,Westmeath Garda Division,"Offences against government, justice procedures and organisation of crime",13.0
2004Q1,Westmeath Garda Division,Offences not elsewhere classified,16.0
2004Q1,Westmeath Garda Division,Public order and other social code offences,192.0
2004Q1,Westmeath Garda Division,Road and traffic offences,111.0
2004Q1,Westmeath Garda Division,"Robbery, extortion and hijacking offences",9.0
2004Q1,Westmeath Garda Division,Sexual offences,15.0
2004Q1,Westmeath Garda Division,Theft and related offences,329.0
2004Q1,Westmeath Garda Division,Weapons and explosives offences,6.0
