Year,Garda Division,Type of Offence,VALUE
2003,Wexford Garda Division,"Abandoning a child, child neglect and cruelty (0422)",7.0
2003,Wexford Garda Division,Abduction of person under 16 years of age (0512),1.0
2003,Wexford Garda Division,Aggravated burglary (0711),9.0
2003,Wexford Garda Division,Arson (1211),16.0
2003,Wexford Garda Division,"Assault causing harm, poisoning (034)",73.0
2003,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",323.0
2003,Wexford Garda Division,Blackmail or extortion (0621),0.0
2003,Wexford Garda Division,Burglary (not aggravated) (0712),742.0
2003,Wexford Garda Division,Burglary and related offences (07),753.0
2003,Wexford Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",1.0
2003,Wexford Garda Division,Controlled drug offences (10),199.0
2003,Wexford Garda Division,Criminal damage (not arson) (1212),589.0
2003,Wexford Garda Division,Cultivation or manufacture of drugs (1012),2.0
2003,Wexford Garda Division,Damage to property and to the environment  offences (12),606.0
2003,Wexford Garda Division,Dangerous driving causing serious bodily harm (0411),1.0
2003,Wexford Garda Division,Dangerous driving leading to death (012),1.0
2003,Wexford Garda Division,Dangerous or negligent acts (04),524.0
2003,Wexford Garda Division,Dangerous/careless driving and motorway offences (0414),139.0
2003,Wexford Garda Division,Discharging a firearm (1121),5.0
2003,Wexford Garda Division,Disorderly conduct (131),745.0
2003,Wexford Garda Division,"Driving licence-failure to have, produce, etc. (1411)",88.0
2003,Wexford Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",360.0
2003,Wexford Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),0.0
2003,Wexford Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),360.0
2003,Wexford Garda Division,Endangering traffic offences (0425),1.0
2003,Wexford Garda Division,Endangerment with potential for serious harm/death (0421),0.0
2003,Wexford Garda Division,"Explosives, chemical weapons offences (111)",0.0
2003,Wexford Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Wexford Garda Division,False imprisonment (0511),1.0
2003,Wexford Garda Division,Fireworks offences (114),0.0
2003,Wexford Garda Division,"Fraud, deception and related offences (09)",115.0
2003,Wexford Garda Division,Harassment and related offences (033),47.0
2003,Wexford Garda Division,Homicide & related offences (01),2.0
2003,Wexford Garda Division,Human trafficking offences (0513),0.0
2003,Wexford Garda Division,Importation of drugs (1011),3.0
2003,Wexford Garda Division,Infanticide (0113),0.0
2003,Wexford Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",369.0
2003,Wexford Garda Division,Kidnapping and related offences (05),2.0
2003,Wexford Garda Division,Light rail offences (Luas) (1443),0.0
2003,Wexford Garda Division,Liquor licensing offences (133),82.0
2003,Wexford Garda Division,Litter offences (1221),1.0
2003,Wexford Garda Division,Manslaughter (0112),1.0
2003,Wexford Garda Division,Murder (0111),0.0
2003,Wexford Garda Division,Murder-attempt (0311),0.0
2003,Wexford Garda Division,Obstruction under Road Traffic Acts (1432),6.0
2003,Wexford Garda Division,Offences against government and its agents (151),2.0
2003,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime (15)",154.0
