Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",79.0
2003Q1,Wexford Garda Division,Burglary and related offences,131.0
2003Q1,Wexford Garda Division,Controlled drug offences,58.0
2003Q1,Wexford Garda Division,Damage to property and to the environment  offences,174.0
2003Q1,Wexford Garda Division,Dangerous or negligent acts,123.0
2003Q1,Wexford Garda Division,"Fraud, deception and related offences",27.0
2003Q1,Wexford Garda Division,Homicide & related offences,1.0
2003Q1,Wexford Garda Division,Kidnapping and related offences,0.0
2003Q1,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2003Q1,Wexford Garda Division,Offences not elsewhere classified,11.0
2003Q1,Wexford Garda Division,Public order and other social code offences,200.0
2003Q1,Wexford Garda Division,Road and traffic offences,209.0
2003Q1,Wexford Garda Division,"Robbery, extortion and hijacking offences",8.0
2003Q1,Wexford Garda Division,Sexual offences,16.0
2003Q1,Wexford Garda Division,Theft and related offences,314.0
2003Q1,Wexford Garda Division,Weapons and explosives offences,13.0
2003Q2,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",95.0
2003Q2,Wexford Garda Division,Burglary and related offences,225.0
2003Q2,Wexford Garda Division,Controlled drug offences,39.0
2003Q2,Wexford Garda Division,Damage to property and to the environment  offences,139.0
2003Q2,Wexford Garda Division,Dangerous or negligent acts,155.0
2003Q2,Wexford Garda Division,"Fraud, deception and related offences",20.0
2003Q2,Wexford Garda Division,Homicide & related offences,0.0
2003Q2,Wexford Garda Division,Kidnapping and related offences,0.0
2003Q2,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",43.0
2003Q2,Wexford Garda Division,Offences not elsewhere classified,7.0
2003Q2,Wexford Garda Division,Public order and other social code offences,241.0
2003Q2,Wexford Garda Division,Road and traffic offences,244.0
2003Q2,Wexford Garda Division,"Robbery, extortion and hijacking offences",2.0
2003Q2,Wexford Garda Division,Sexual offences,10.0
2003Q2,Wexford Garda Division,Theft and related offences,350.0
2003Q2,Wexford Garda Division,Weapons and explosives offences,5.0
2003Q3,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2003Q3,Wexford Garda Division,Burglary and related offences,176.0
2003Q3,Wexford Garda Division,Controlled drug offences,50.0
2003Q3,Wexford Garda Division,Damage to property and to the environment  offences,146.0
2003Q3,Wexford Garda Division,Dangerous or negligent acts,126.0
2003Q3,Wexford Garda Division,"Fraud, deception and related offences",30.0
2003Q3,Wexford Garda Division,Homicide & related offences,1.0
2003Q3,Wexford Garda Division,Kidnapping and related offences,1.0
2003Q3,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2003Q3,Wexford Garda Division,Offences not elsewhere classified,7.0
2003Q3,Wexford Garda Division,Public order and other social code offences,227.0
2003Q3,Wexford Garda Division,Road and traffic offences,184.0
2003Q3,Wexford Garda Division,"Robbery, extortion and hijacking offences",7.0
2003Q3,Wexford Garda Division,Sexual offences,14.0
2003Q3,Wexford Garda Division,Theft and related offences,337.0
2003Q3,Wexford Garda Division,Weapons and explosives offences,5.0
2003Q4,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",53.0
2003Q4,Wexford Garda Division,Burglary and related offences,221.0
2003Q4,Wexford Garda Division,Controlled drug offences,52.0
2003Q4,Wexford Garda Division,Damage to property and to the environment  offences,147.0
2003Q4,Wexford Garda Division,Dangerous or negligent acts,120.0
2003Q4,Wexford Garda Division,"Fraud, deception and related offences",38.0
2003Q4,Wexford Garda Division,Homicide & related offences,0.0
2003Q4,Wexford Garda Division,Kidnapping and related offences,1.0
2003Q4,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",41.0
2003Q4,Wexford Garda Division,Offences not elsewhere classified,4.0
2003Q4,Wexford Garda Division,Public order and other social code offences,191.0
2003Q4,Wexford Garda Division,Road and traffic offences,211.0
2003Q4,Wexford Garda Division,"Robbery, extortion and hijacking offences",9.0
2003Q4,Wexford Garda Division,Sexual offences,13.0
2003Q4,Wexford Garda Division,Theft and related offences,270.0
2003Q4,Wexford Garda Division,Weapons and explosives offences,7.0
2004Q1,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",56.0
2004Q1,Wexford Garda Division,Burglary and related offences,249.0
2004Q1,Wexford Garda Division,Controlled drug offences,46.0
2004Q1,Wexford Garda Division,Damage to property and to the environment  offences,230.0
2004Q1,Wexford Garda Division,Dangerous or negligent acts,139.0
2004Q1,Wexford Garda Division,"Fraud, deception and related offences",36.0
2004Q1,Wexford Garda Division,Homicide & related offences,1.0
2004Q1,Wexford Garda Division,Kidnapping and related offences,1.0
2004Q1,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2004Q1,Wexford Garda Division,Offences not elsewhere classified,12.0
2004Q1,Wexford Garda Division,Public order and other social code offences,214.0
2004Q1,Wexford Garda Division,Road and traffic offences,216.0
2004Q1,Wexford Garda Division,"Robbery, extortion and hijacking offences",3.0
2004Q1,Wexford Garda Division,Sexual offences,11.0
2004Q1,Wexford Garda Division,Theft and related offences,330.0
2004Q1,Wexford Garda Division,Weapons and explosives offences,11.0
2004Q2,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2004Q2,Wexford Garda Division,Burglary and related offences,176.0
2004Q2,Wexford Garda Division,Controlled drug offences,50.0
2004Q2,Wexford Garda Division,Damage to property and to the environment  offences,155.0
2004Q2,Wexford Garda Division,Dangerous or negligent acts,241.0
2004Q2,Wexford Garda Division,"Fraud, deception and related offences",15.0
2004Q2,Wexford Garda Division,Homicide & related offences,2.0
2004Q2,Wexford Garda Division,Kidnapping and related offences,2.0
2004Q2,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2004Q2,Wexford Garda Division,Offences not elsewhere classified,6.0
2004Q2,Wexford Garda Division,Public order and other social code offences,200.0
2004Q2,Wexford Garda Division,Road and traffic offences,316.0
2004Q2,Wexford Garda Division,"Robbery, extortion and hijacking offences",6.0
2004Q2,Wexford Garda Division,Sexual offences,10.0
2004Q2,Wexford Garda Division,Theft and related offences,291.0
2004Q2,Wexford Garda Division,Weapons and explosives offences,9.0
2004Q3,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",93.0
2004Q3,Wexford Garda Division,Burglary and related offences,173.0
2004Q3,Wexford Garda Division,Controlled drug offences,58.0
2004Q3,Wexford Garda Division,Damage to property and to the environment  offences,160.0
2004Q3,Wexford Garda Division,Dangerous or negligent acts,192.0
2004Q3,Wexford Garda Division,"Fraud, deception and related offences",24.0
2004Q3,Wexford Garda Division,Homicide & related offences,2.0
2004Q3,Wexford Garda Division,Kidnapping and related offences,0.0
2004Q3,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",12.0
2004Q3,Wexford Garda Division,Offences not elsewhere classified,11.0
2004Q3,Wexford Garda Division,Public order and other social code offences,224.0
2004Q3,Wexford Garda Division,Road and traffic offences,283.0
2004Q3,Wexford Garda Division,"Robbery, extortion and hijacking offences",5.0
2004Q3,Wexford Garda Division,Sexual offences,12.0
2004Q3,Wexford Garda Division,Theft and related offences,323.0
2004Q3,Wexford Garda Division,Weapons and explosives offences,13.0
2004Q4,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",63.0
2004Q4,Wexford Garda Division,Burglary and related offences,195.0
2004Q4,Wexford Garda Division,Controlled drug offences,56.0
2004Q4,Wexford Garda Division,Damage to property and to the environment  offences,123.0
2004Q4,Wexford Garda Division,Dangerous or negligent acts,183.0
2004Q4,Wexford Garda Division,"Fraud, deception and related offences",14.0
2004Q4,Wexford Garda Division,Homicide & related offences,1.0
2004Q4,Wexford Garda Division,Kidnapping and related offences,2.0
2004Q4,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2004Q4,Wexford Garda Division,Offences not elsewhere classified,13.0
2004Q4,Wexford Garda Division,Public order and other social code offences,229.0
2004Q4,Wexford Garda Division,Road and traffic offences,278.0
2004Q4,Wexford Garda Division,"Robbery, extortion and hijacking offences",7.0
2004Q4,Wexford Garda Division,Sexual offences,9.0
2004Q4,Wexford Garda Division,Theft and related offences,308.0
2004Q4,Wexford Garda Division,Weapons and explosives offences,9.0
2005Q1,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",76.0
2005Q1,Wexford Garda Division,Burglary and related offences,213.0
2005Q1,Wexford Garda Division,Controlled drug offences,98.0
2005Q1,Wexford Garda Division,Damage to property and to the environment  offences,116.0
2005Q1,Wexford Garda Division,Dangerous or negligent acts,200.0
2005Q1,Wexford Garda Division,"Fraud, deception and related offences",38.0
2005Q1,Wexford Garda Division,Homicide & related offences,1.0
2005Q1,Wexford Garda Division,Kidnapping and related offences,3.0
2005Q1,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2005Q1,Wexford Garda Division,Offences not elsewhere classified,6.0
2005Q1,Wexford Garda Division,Public order and other social code offences,173.0
2005Q1,Wexford Garda Division,Road and traffic offences,313.0
2005Q1,Wexford Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q1,Wexford Garda Division,Sexual offences,38.0
2005Q1,Wexford Garda Division,Theft and related offences,304.0
2005Q1,Wexford Garda Division,Weapons and explosives offences,8.0
2005Q2,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",87.0
2005Q2,Wexford Garda Division,Burglary and related offences,215.0
2005Q2,Wexford Garda Division,Controlled drug offences,132.0
2005Q2,Wexford Garda Division,Damage to property and to the environment  offences,166.0
2005Q2,Wexford Garda Division,Dangerous or negligent acts,181.0
2005Q2,Wexford Garda Division,"Fraud, deception and related offences",30.0
2005Q2,Wexford Garda Division,Homicide & related offences,4.0
2005Q2,Wexford Garda Division,Kidnapping and related offences,0.0
2005Q2,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2005Q2,Wexford Garda Division,Offences not elsewhere classified,8.0
2005Q2,Wexford Garda Division,Public order and other social code offences,275.0
2005Q2,Wexford Garda Division,Road and traffic offences,445.0
2005Q2,Wexford Garda Division,"Robbery, extortion and hijacking offences",2.0
2005Q2,Wexford Garda Division,Sexual offences,10.0
2005Q2,Wexford Garda Division,Theft and related offences,342.0
2005Q2,Wexford Garda Division,Weapons and explosives offences,14.0
2005Q3,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",79.0
2005Q3,Wexford Garda Division,Burglary and related offences,198.0
2005Q3,Wexford Garda Division,Controlled drug offences,125.0
