Year,Garda Division,Type of Offence,VALUE
2003,Wicklow Garda Division,"Abandoning a child, child neglect and cruelty (0422)",3.0
2003,Wicklow Garda Division,Abduction of person under 16 years of age (0512),2.0
2003,Wicklow Garda Division,Aggravated burglary (0711),13.0
2003,Wicklow Garda Division,Arson (1211),31.0
2003,Wicklow Garda Division,"Assault causing harm, poisoning (034)",86.0
2003,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",286.0
2003,Wicklow Garda Division,Blackmail or extortion (0621),1.0
2003,Wicklow Garda Division,Burglary (not aggravated) (0712),1125.0
2003,Wicklow Garda Division,Burglary and related offences (07),1142.0
2003,Wicklow Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",2.0
2003,Wicklow Garda Division,Controlled drug offences (10),201.0
2003,Wicklow Garda Division,Criminal damage (not arson) (1212),953.0
2003,Wicklow Garda Division,Cultivation or manufacture of drugs (1012),1.0
2003,Wicklow Garda Division,Damage to property and to the environment  offences (12),988.0
2003,Wicklow Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2003,Wicklow Garda Division,Dangerous driving leading to death (012),4.0
2003,Wicklow Garda Division,Dangerous or negligent acts (04),706.0
2003,Wicklow Garda Division,Dangerous/careless driving and motorway offences (0414),175.0
2003,Wicklow Garda Division,Discharging a firearm (1121),2.0
2003,Wicklow Garda Division,Disorderly conduct (131),931.0
2003,Wicklow Garda Division,"Driving licence-failure to have, produce, etc. (1411)",71.0
2003,Wicklow Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",305.0
2003,Wicklow Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),0.0
2003,Wicklow Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),305.0
2003,Wicklow Garda Division,Endangering traffic offences (0425),5.0
2003,Wicklow Garda Division,Endangerment with potential for serious harm/death (0421),2.0
2003,Wicklow Garda Division,"Explosives, chemical weapons offences (111)",1.0
2003,Wicklow Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
2003,Wicklow Garda Division,False imprisonment (0511),1.0
2003,Wicklow Garda Division,Fireworks offences (114),0.0
2003,Wicklow Garda Division,"Fraud, deception and related offences (09)",60.0
2003,Wicklow Garda Division,Harassment and related offences (033),16.0
2003,Wicklow Garda Division,Homicide & related offences (01),4.0
2003,Wicklow Garda Division,Human trafficking offences (0513),0.0
2003,Wicklow Garda Division,Importation of drugs (1011),0.0
2003,Wicklow Garda Division,Infanticide (0113),0.0
2003,Wicklow Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",604.0
2003,Wicklow Garda Division,Kidnapping and related offences (05),3.0
2003,Wicklow Garda Division,Light rail offences (Luas) (1443),0.0
2003,Wicklow Garda Division,Liquor licensing offences (133),39.0
2003,Wicklow Garda Division,Litter offences (1221),4.0
2003,Wicklow Garda Division,Manslaughter (0112),0.0
2003,Wicklow Garda Division,Murder (0111),0.0
2003,Wicklow Garda Division,Murder-attempt (0311),0.0
2003,Wicklow Garda Division,Obstruction under Road Traffic Acts (1432),5.0
2003,Wicklow Garda Division,Offences against government and its agents (151),5.0
2003,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime (15)",139.0
2003,Wicklow Garda Division,Offences not elsewhere classified (16),34.0
2003,Wicklow Garda Division,"Offences while in custody, breach of court orders (157)",132.0
2003,Wicklow Garda Division,Offensive weapons offences (n.e.c.) (113),27.0
2003,Wicklow Garda Division,Organisation of crime and conspiracy to commit crime (152),0.0
2003,Wicklow Garda Division,Other assault (035),184.0
2003,Wicklow Garda Division,Other drug offences (103),9.0
2003,Wicklow Garda Division,Other road offences (1433),351.0
2003,Wicklow Garda Division,Other sexual offences (022),2.0
2003,Wicklow Garda Division,"Other thefts, handling stolen property (084)",1219.0
2003,Wicklow Garda Division,Perverting the course of justice (153),2.0
2003,Wicklow Garda Division,Possession of a firearm (1122),6.0
2003,Wicklow Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",4.0
