Quarter,Garda Division,Type of Offence,VALUE
2003Q1,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",59.0
2003Q1,Wicklow Garda Division,Burglary and related offences,288.0
2003Q1,Wicklow Garda Division,Controlled drug offences,35.0
2003Q1,Wicklow Garda Division,Damage to property and to the environment  offences,266.0
2003Q1,Wicklow Garda Division,Dangerous or negligent acts,177.0
2003Q1,Wicklow Garda Division,"Fraud, deception and related offences",22.0
2003Q1,Wicklow Garda Division,Homicide & related offences,1.0
2003Q1,Wicklow Garda Division,Kidnapping and related offences,1.0
2003Q1,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",47.0
2003Q1,Wicklow Garda Division,Offences not elsewhere classified,14.0
2003Q1,Wicklow Garda Division,Public order and other social code offences,286.0
2003Q1,Wicklow Garda Division,Road and traffic offences,297.0
2003Q1,Wicklow Garda Division,"Robbery, extortion and hijacking offences",10.0
2003Q1,Wicklow Garda Division,Sexual offences,16.0
2003Q1,Wicklow Garda Division,Theft and related offences,469.0
2003Q1,Wicklow Garda Division,Weapons and explosives offences,7.0
2003Q2,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",73.0
2003Q2,Wicklow Garda Division,Burglary and related offences,265.0
2003Q2,Wicklow Garda Division,Controlled drug offences,71.0
2003Q2,Wicklow Garda Division,Damage to property and to the environment  offences,225.0
2003Q2,Wicklow Garda Division,Dangerous or negligent acts,183.0
2003Q2,Wicklow Garda Division,"Fraud, deception and related offences",18.0
2003Q2,Wicklow Garda Division,Homicide & related offences,2.0
2003Q2,Wicklow Garda Division,Kidnapping and related offences,2.0
2003Q2,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2003Q2,Wicklow Garda Division,Offences not elsewhere classified,8.0
2003Q2,Wicklow Garda Division,Public order and other social code offences,252.0
2003Q2,Wicklow Garda Division,Road and traffic offences,330.0
2003Q2,Wicklow Garda Division,"Robbery, extortion and hijacking offences",7.0
2003Q2,Wicklow Garda Division,Sexual offences,19.0
2003Q2,Wicklow Garda Division,Theft and related offences,539.0
2003Q2,Wicklow Garda Division,Weapons and explosives offences,8.0
2003Q3,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",68.0
2003Q3,Wicklow Garda Division,Burglary and related offences,262.0
2003Q3,Wicklow Garda Division,Controlled drug offences,52.0
2003Q3,Wicklow Garda Division,Damage to property and to the environment  offences,230.0
2003Q3,Wicklow Garda Division,Dangerous or negligent acts,175.0
2003Q3,Wicklow Garda Division,"Fraud, deception and related offences",10.0
2003Q3,Wicklow Garda Division,Homicide & related offences,0.0
2003Q3,Wicklow Garda Division,Kidnapping and related offences,0.0
2003Q3,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",27.0
2003Q3,Wicklow Garda Division,Offences not elsewhere classified,6.0
2003Q3,Wicklow Garda Division,Public order and other social code offences,241.0
2003Q3,Wicklow Garda Division,Road and traffic offences,306.0
2003Q3,Wicklow Garda Division,"Robbery, extortion and hijacking offences",11.0
2003Q3,Wicklow Garda Division,Sexual offences,4.0
2003Q3,Wicklow Garda Division,Theft and related offences,473.0
2003Q3,Wicklow Garda Division,Weapons and explosives offences,9.0
2003Q4,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",86.0
2003Q4,Wicklow Garda Division,Burglary and related offences,327.0
2003Q4,Wicklow Garda Division,Controlled drug offences,43.0
2003Q4,Wicklow Garda Division,Damage to property and to the environment  offences,267.0
2003Q4,Wicklow Garda Division,Dangerous or negligent acts,171.0
2003Q4,Wicklow Garda Division,"Fraud, deception and related offences",10.0
2003Q4,Wicklow Garda Division,Homicide & related offences,1.0
2003Q4,Wicklow Garda Division,Kidnapping and related offences,0.0
2003Q4,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2003Q4,Wicklow Garda Division,Offences not elsewhere classified,6.0
2003Q4,Wicklow Garda Division,Public order and other social code offences,244.0
2003Q4,Wicklow Garda Division,Road and traffic offences,292.0
2003Q4,Wicklow Garda Division,"Robbery, extortion and hijacking offences",9.0
2003Q4,Wicklow Garda Division,Sexual offences,7.0
2003Q4,Wicklow Garda Division,Theft and related offences,405.0
2003Q4,Wicklow Garda Division,Weapons and explosives offences,12.0
2004Q1,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",76.0
2004Q1,Wicklow Garda Division,Burglary and related offences,350.0
2004Q1,Wicklow Garda Division,Controlled drug offences,48.0
2004Q1,Wicklow Garda Division,Damage to property and to the environment  offences,228.0
2004Q1,Wicklow Garda Division,Dangerous or negligent acts,148.0
2004Q1,Wicklow Garda Division,"Fraud, deception and related offences",20.0
2004Q1,Wicklow Garda Division,Homicide & related offences,0.0
2004Q1,Wicklow Garda Division,Kidnapping and related offences,0.0
2004Q1,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",30.0
2004Q1,Wicklow Garda Division,Offences not elsewhere classified,8.0
2004Q1,Wicklow Garda Division,Public order and other social code offences,243.0
2004Q1,Wicklow Garda Division,Road and traffic offences,314.0
2004Q1,Wicklow Garda Division,"Robbery, extortion and hijacking offences",6.0
2004Q1,Wicklow Garda Division,Sexual offences,18.0
2004Q1,Wicklow Garda Division,Theft and related offences,488.0
2004Q1,Wicklow Garda Division,Weapons and explosives offences,14.0
2004Q2,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",70.0
2004Q2,Wicklow Garda Division,Burglary and related offences,257.0
2004Q2,Wicklow Garda Division,Controlled drug offences,60.0
2004Q2,Wicklow Garda Division,Damage to property and to the environment  offences,316.0
2004Q2,Wicklow Garda Division,Dangerous or negligent acts,248.0
2004Q2,Wicklow Garda Division,"Fraud, deception and related offences",15.0
2004Q2,Wicklow Garda Division,Homicide & related offences,1.0
2004Q2,Wicklow Garda Division,Kidnapping and related offences,1.0
2004Q2,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2004Q2,Wicklow Garda Division,Offences not elsewhere classified,4.0
2004Q2,Wicklow Garda Division,Public order and other social code offences,219.0
2004Q2,Wicklow Garda Division,Road and traffic offences,438.0
2004Q2,Wicklow Garda Division,"Robbery, extortion and hijacking offences",21.0
2004Q2,Wicklow Garda Division,Sexual offences,11.0
2004Q2,Wicklow Garda Division,Theft and related offences,477.0
2004Q2,Wicklow Garda Division,Weapons and explosives offences,10.0
2004Q3,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",77.0
2004Q3,Wicklow Garda Division,Burglary and related offences,249.0
2004Q3,Wicklow Garda Division,Controlled drug offences,56.0
2004Q3,Wicklow Garda Division,Damage to property and to the environment  offences,240.0
2004Q3,Wicklow Garda Division,Dangerous or negligent acts,247.0
2004Q3,Wicklow Garda Division,"Fraud, deception and related offences",18.0
2004Q3,Wicklow Garda Division,Homicide & related offences,0.0
2004Q3,Wicklow Garda Division,Kidnapping and related offences,1.0
2004Q3,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2004Q3,Wicklow Garda Division,Offences not elsewhere classified,3.0
2004Q3,Wicklow Garda Division,Public order and other social code offences,273.0
2004Q3,Wicklow Garda Division,Road and traffic offences,336.0
2004Q3,Wicklow Garda Division,"Robbery, extortion and hijacking offences",17.0
2004Q3,Wicklow Garda Division,Sexual offences,16.0
2004Q3,Wicklow Garda Division,Theft and related offences,522.0
2004Q3,Wicklow Garda Division,Weapons and explosives offences,10.0
2004Q4,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",93.0
2004Q4,Wicklow Garda Division,Burglary and related offences,262.0
2004Q4,Wicklow Garda Division,Controlled drug offences,62.0
2004Q4,Wicklow Garda Division,Damage to property and to the environment  offences,305.0
2004Q4,Wicklow Garda Division,Dangerous or negligent acts,182.0
2004Q4,Wicklow Garda Division,"Fraud, deception and related offences",21.0
2004Q4,Wicklow Garda Division,Homicide & related offences,0.0
2004Q4,Wicklow Garda Division,Kidnapping and related offences,0.0
2004Q4,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2004Q4,Wicklow Garda Division,Offences not elsewhere classified,2.0
2004Q4,Wicklow Garda Division,Public order and other social code offences,373.0
2004Q4,Wicklow Garda Division,Road and traffic offences,348.0
2004Q4,Wicklow Garda Division,"Robbery, extortion and hijacking offences",9.0
2004Q4,Wicklow Garda Division,Sexual offences,8.0
2004Q4,Wicklow Garda Division,Theft and related offences,388.0
2004Q4,Wicklow Garda Division,Weapons and explosives offences,11.0
2005Q1,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",77.0
2005Q1,Wicklow Garda Division,Burglary and related offences,348.0
2005Q1,Wicklow Garda Division,Controlled drug offences,86.0
2005Q1,Wicklow Garda Division,Damage to property and to the environment  offences,300.0
2005Q1,Wicklow Garda Division,Dangerous or negligent acts,133.0
2005Q1,Wicklow Garda Division,"Fraud, deception and related offences",20.0
2005Q1,Wicklow Garda Division,Homicide & related offences,0.0
2005Q1,Wicklow Garda Division,Kidnapping and related offences,0.0
2005Q1,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",30.0
