Division,Crime,SPRING,SUMMER,AUTUMN,WINTER,Cluster
Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Cavan-Monaghan Garda Division,Burglary and related offences,0,0,0,0,0
Cavan-Monaghan Garda Division,Controlled drug offences,0,10,10,0,0
Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Cavan-Monaghan Garda Division,Dangerous or negligent acts,76,74,132,88,0
Cavan-Monaghan Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Cavan-Monaghan Garda Division,Homicide & related offences,0,0,0,0,0
Cavan-Monaghan Garda Division,Kidnapping and related offences,0,0,0,0,0
Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Cavan-Monaghan Garda Division,Offences not elsewhere classified,0,0,0,0,0
Cavan-Monaghan Garda Division,Public order and other social code offences,68,60,96,74,0
Cavan-Monaghan Garda Division,Road and traffic offences,732,760,600,688,1
Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Cavan-Monaghan Garda Division,Sexual offences,0,0,0,0,0
Cavan-Monaghan Garda Division,Theft and related offences,406,382,450,382,2
Cavan-Monaghan Garda Division,Weapons and explosives offences,0,0,0,0,0
Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Clare Garda Division,Burglary and related offences,0,0,0,0,0
Clare Garda Division,Controlled drug offences,0,10,10,0,0
Clare Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Clare Garda Division,Dangerous or negligent acts,76,74,132,88,0
Clare Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Clare Garda Division,Homicide & related offences,0,0,0,0,0
Clare Garda Division,Kidnapping and related offences,0,0,0,0,0
Clare Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Clare Garda Division,Offences not elsewhere classified,0,0,0,0,0
Clare Garda Division,Public order and other social code offences,68,60,96,74,0
Clare Garda Division,Road and traffic offences,732,760,600,688,1
Clare Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Clare Garda Division,Sexual offences,0,0,0,0,0
Clare Garda Division,Theft and related offences,406,382,450,382,2
Clare Garda Division,Weapons and explosives offences,0,0,0,0,0
Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Cork City Garda Division,Burglary and related offences,0,0,0,0,0
Cork City Garda Division,Controlled drug offences,0,10,10,0,0
Cork City Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Cork City Garda Division,Dangerous or negligent acts,76,74,132,88,0
Cork City Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Cork City Garda Division,Homicide & related offences,0,0,0,0,0
Cork City Garda Division,Kidnapping and related offences,0,0,0,0,0
Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Cork City Garda Division,Offences not elsewhere classified,0,0,0,0,0
Cork City Garda Division,Public order and other social code offences,68,60,96,74,0
Cork City Garda Division,Road and traffic offences,732,760,600,688,1
Cork City Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Cork City Garda Division,Sexual offences,0,0,0,0,0
Cork City Garda Division,Theft and related offences,406,382,450,382,2
Cork City Garda Division,Weapons and explosives offences,0,0,0,0,0
Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Cork North Garda Division,Burglary and related offences,0,0,0,0,0
Cork North Garda Division,Controlled drug offences,0,10,10,0,0
Cork North Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Cork North Garda Division,Dangerous or negligent acts,76,74,132,88,0
Cork North Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Cork North Garda Division,Homicide & related offences,0,0,0,0,0
Cork North Garda Division,Kidnapping and related offences,0,0,0,0,0
Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Cork North Garda Division,Offences not elsewhere classified,0,0,0,0,0
Cork North Garda Division,Public order and other social code offences,68,60,96,74,0
Cork North Garda Division,Road and traffic offences,732,760,600,688,1
Cork North Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Cork North Garda Division,Sexual offences,0,0,0,0,0
Cork North Garda Division,Theft and related offences,406,382,450,382,2
Cork North Garda Division,Weapons and explosives offences,0,0,0,0,0
Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Cork West Garda Division,Burglary and related offences,0,0,0,0,0
Cork West Garda Division,Controlled drug offences,0,10,10,0,0
Cork West Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Cork West Garda Division,Dangerous or negligent acts,76,74,132,88,0
Cork West Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Cork West Garda Division,Homicide & related offences,0,0,0,0,0
Cork West Garda Division,Kidnapping and related offences,0,0,0,0,0
Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Cork West Garda Division,Offences not elsewhere classified,0,0,0,0,0
Cork West Garda Division,Public order and other social code offences,68,60,96,74,0
Cork West Garda Division,Road and traffic offences,732,760,600,688,1
Cork West Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Cork West Garda Division,Sexual offences,0,0,0,0,0
Cork West Garda Division,Theft and related offences,406,382,450,382,2
Cork West Garda Division,Weapons and explosives offences,0,0,0,0,0
D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
D.M.R. Eastern Garda Division,Burglary and related offences,0,0,0,0,0
D.M.R. Eastern Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. Eastern Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. Eastern Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. Eastern Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. Eastern Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. Eastern Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. Eastern Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. Eastern Garda Division,Road and traffic offences,732,760,600,688,1
D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
D.M.R. Eastern Garda Division,Sexual offences,0,0,0,0,0
D.M.R. Eastern Garda Division,Theft and related offences,406,382,450,382,2
D.M.R. Eastern Garda Division,Weapons and explosives offences,0,0,0,0,0
D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
D.M.R. North Central Garda Division,Burglary and related offences,0,0,0,0,0
D.M.R. North Central Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. North Central Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. North Central Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. North Central Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. North Central Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. North Central Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. North Central Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. North Central Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. North Central Garda Division,Road and traffic offences,732,760,600,688,1
D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
D.M.R. North Central Garda Division,Sexual offences,0,0,0,0,0
D.M.R. North Central Garda Division,Theft and related offences,406,382,450,382,2
D.M.R. North Central Garda Division,Weapons and explosives offences,0,0,0,0,0
D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
D.M.R. Northern Garda Division,Burglary and related offences,0,0,0,0,0
D.M.R. Northern Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. Northern Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. Northern Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. Northern Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. Northern Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. Northern Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. Northern Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. Northern Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. Northern Garda Division,Road and traffic offences,732,760,600,688,1
D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
D.M.R. Northern Garda Division,Sexual offences,0,0,0,0,0
D.M.R. Northern Garda Division,Theft and related offences,406,382,450,382,2
D.M.R. Northern Garda Division,Weapons and explosives offences,0,0,0,0,0
D.M.R. South Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
D.M.R. South Central Garda Division,Burglary and related offences,0,0,0,0,0
D.M.R. South Central Garda Division,Controlled drug offences,0,10,10,0,0
D.M.R. South Central Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
D.M.R. South Central Garda Division,Dangerous or negligent acts,76,74,132,88,0
D.M.R. South Central Garda Division,"Fraud, deception and related offences",0,0,0,0,0
D.M.R. South Central Garda Division,Homicide & related offences,0,0,0,0,0
D.M.R. South Central Garda Division,Kidnapping and related offences,0,0,0,0,0
D.M.R. South Central Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
D.M.R. South Central Garda Division,Offences not elsewhere classified,0,0,0,0,0
D.M.R. South Central Garda Division,Public order and other social code offences,68,60,96,74,0
D.M.R. South Central Garda Division,Road and traffic offences,732,760,600,688,1
