,Division,Crime,SPRING,SUMMER,AUTUMN,WINTER
0,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
1,Cavan-Monaghan Garda Division,Burglary and related offences,0,0,0,0
2,Cavan-Monaghan Garda Division,Controlled drug offences,0,10,10,0
3,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,4,2,0,0
4,Cavan-Monaghan Garda Division,Dangerous or negligent acts,76,74,132,88
5,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",0,0,0,0
6,Cavan-Monaghan Garda Division,Homicide & related offences,0,0,0,0
7,Cavan-Monaghan Garda Division,Kidnapping and related offences,0,0,0,0
8,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
9,Cavan-Monaghan Garda Division,Offences not elsewhere classified,0,0,0,0
10,Cavan-Monaghan Garda Division,Public order and other social code offences,68,60,96,74
11,Cavan-Monaghan Garda Division,Road and traffic offences,732,760,600,688
12,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
13,Cavan-Monaghan Garda Division,Sexual offences,0,0,0,0
14,Cavan-Monaghan Garda Division,Theft and related offences,406,382,450,382
15,Cavan-Monaghan Garda Division,Weapons and explosives offences,0,0,0,0
16,Clare Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
17,Clare Garda Division,Burglary and related offences,0,0,0,0
18,Clare Garda Division,Controlled drug offences,0,10,10,0
19,Clare Garda Division,Damage to property and to the environment  offences,4,2,0,0
20,Clare Garda Division,Dangerous or negligent acts,76,74,132,88
21,Clare Garda Division,"Fraud, deception and related offences",0,0,0,0
22,Clare Garda Division,Homicide & related offences,0,0,0,0
23,Clare Garda Division,Kidnapping and related offences,0,0,0,0
24,Clare Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
25,Clare Garda Division,Offences not elsewhere classified,0,0,0,0
26,Clare Garda Division,Public order and other social code offences,68,60,96,74
27,Clare Garda Division,Road and traffic offences,732,760,600,688
28,Clare Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
29,Clare Garda Division,Sexual offences,0,0,0,0
30,Clare Garda Division,Theft and related offences,406,382,450,382
31,Clare Garda Division,Weapons and explosives offences,0,0,0,0
32,Cork City Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
33,Cork City Garda Division,Burglary and related offences,0,0,0,0
34,Cork City Garda Division,Controlled drug offences,0,10,10,0
35,Cork City Garda Division,Damage to property and to the environment  offences,4,2,0,0
36,Cork City Garda Division,Dangerous or negligent acts,76,74,132,88
37,Cork City Garda Division,"Fraud, deception and related offences",0,0,0,0
38,Cork City Garda Division,Homicide & related offences,0,0,0,0
39,Cork City Garda Division,Kidnapping and related offences,0,0,0,0
40,Cork City Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
41,Cork City Garda Division,Offences not elsewhere classified,0,0,0,0
42,Cork City Garda Division,Public order and other social code offences,68,60,96,74
43,Cork City Garda Division,Road and traffic offences,732,760,600,688
44,Cork City Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
45,Cork City Garda Division,Sexual offences,0,0,0,0
46,Cork City Garda Division,Theft and related offences,406,382,450,382
47,Cork City Garda Division,Weapons and explosives offences,0,0,0,0
48,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
49,Cork North Garda Division,Burglary and related offences,0,0,0,0
50,Cork North Garda Division,Controlled drug offences,0,10,10,0
51,Cork North Garda Division,Damage to property and to the environment  offences,4,2,0,0
52,Cork North Garda Division,Dangerous or negligent acts,76,74,132,88
53,Cork North Garda Division,"Fraud, deception and related offences",0,0,0,0
54,Cork North Garda Division,Homicide & related offences,0,0,0,0
55,Cork North Garda Division,Kidnapping and related offences,0,0,0,0
56,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
57,Cork North Garda Division,Offences not elsewhere classified,0,0,0,0
58,Cork North Garda Division,Public order and other social code offences,68,60,96,74
59,Cork North Garda Division,Road and traffic offences,732,760,600,688
60,Cork North Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
61,Cork North Garda Division,Sexual offences,0,0,0,0
62,Cork North Garda Division,Theft and related offences,406,382,450,382
63,Cork North Garda Division,Weapons and explosives offences,0,0,0,0
64,Cork West Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
65,Cork West Garda Division,Burglary and related offences,0,0,0,0
66,Cork West Garda Division,Controlled drug offences,0,10,10,0
67,Cork West Garda Division,Damage to property and to the environment  offences,4,2,0,0
68,Cork West Garda Division,Dangerous or negligent acts,76,74,132,88
69,Cork West Garda Division,"Fraud, deception and related offences",0,0,0,0
70,Cork West Garda Division,Homicide & related offences,0,0,0,0
71,Cork West Garda Division,Kidnapping and related offences,0,0,0,0
72,Cork West Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
73,Cork West Garda Division,Offences not elsewhere classified,0,0,0,0
74,Cork West Garda Division,Public order and other social code offences,68,60,96,74
75,Cork West Garda Division,Road and traffic offences,732,760,600,688
76,Cork West Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
77,Cork West Garda Division,Sexual offences,0,0,0,0
78,Cork West Garda Division,Theft and related offences,406,382,450,382
79,Cork West Garda Division,Weapons and explosives offences,0,0,0,0
80,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
81,D.M.R. Eastern Garda Division,Burglary and related offences,0,0,0,0
82,D.M.R. Eastern Garda Division,Controlled drug offences,0,10,10,0
83,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,4,2,0,0
84,D.M.R. Eastern Garda Division,Dangerous or negligent acts,76,74,132,88
85,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",0,0,0,0
